Key	KBKFinancing_Id	ActualDate	Val	Id
6046	3242	20130101000000	11592,5	1e11b98afca9470793da54683ca9b442
6745	3242	20160101000000	13418,6	a6c8fa321deb4708ba66672b9dbc8532
10310	3242	20120101000000	79872,4	aa00f2f155c1428f9e7dc8817081da2f
10685	3242	20140101000000	12171,6	dd7cb6d8e2b744af865ed2f57692c344
11068	3242	20150101000000	12780,0	855a79b45f264c95bc7edbff663006cb
11911	3242	20110101000000	10514,7	5a370d2be2e04dd89d0ef26a01551e9c
5543	2174	20120101000000	252,0	b78e0faa2005412abfc6471be56a5447
11436	2256	20120101000000	1764,0	14489015b9dd4bb9b05ae58cdd024258
11126	2604	20120101000000	5000,0	f9817f7199654fe3b8abdd9bc42e4b6c
5353	3005	20150101000000	9500,0	dfc8b5a3be3b4364b672420ba33bbe13
6807	3005	20160101000000	10000,0	3f05181d3c8649b8855768c93ff61bd6
8334	3005	20130101000000	7500,0	5e3de56b8295477ba15b9480f42b6e48
9136	3005	20140101000000	9500,0	5796cffb64bb4f8dac89a9b72a0f09d9
10957	3005	20120101000000	0,0	d157c3666eb3474d87f0d9be6de0ce6f
12088	3005	20110101000000	0,0	a999ff6cdc66442db98ff6fb0f79bf67
11413	1532	20120101000000	16300,0	295c03d9330b4a9eba35e5036e58741b
6668	2787	20160101000000	34000,0	cbddd41ba10f4ea581b064c0789934df
7283	2787	20120101000000	11900,0	2d250d7c9f4a46249e02764bfe353434
9876	2787	20150101000000	33300,0	554665e0366247e4be02bcc66c678da8
10620	2787	20140101000000	31800,0	a0ebb1e957e2419dbfc6d1288656b180
10779	2787	20110101000000	22300,0	b606760efb8b4b1ebb7ad5426687fc40
10835	2787	20130101000000	30000,0	c455d2dfc396496e8651d69b46729871
4455	2425	20110101000000	2358,0	bb9bba97a15a4826ba7d2951da6e9c68
5345	2425	20160101000000	1981,0	a1270b49ac2544bcbbb041d04769261f
6061	2425	20120101000000	2476,0	8cf9cd489708460d8ac954ea1f362ab4
8463	2425	20140101000000	 	04e1375faef14d7a924097dfd75eb018
9495	2425	20150101000000	3962,0	83c0b5dd9af44d99bea8b2f832f459d7
12032	2425	20130101000000	495,0	b7e165a570f246499fe5f5a8413295a0
3947	2871	20160101000000	 	13a23f205f44461998a31bd0d435c1e7
3999	2871	20130101000000	 	7700002c7e284030a5e81d1ab5b112fc
8449	2871	20150101000000	 	7050b8e5d7d24a65b02f9788943df5c0
8811	2871	20140101000000	 	221dd099da1241a581f4a15b96040f21
8951	2871	20120101000000	0,0	49eec38455a64d528163a4cc8445fdda
9289	2871	20110101000000	0,0	8e1cdaac12ac4b92a742ad4b410bb751
3399	2897	20140101000000	1229300,0	555068fcd3d74921bef60d1559ed36ee
