№ строки	Название	Адрес	Площадь,га	Телефон	Места захоронений	Статус кладбища
72	Леоновское кладбище	1-я ул. Леонова, вл. 8	2.3939	(499) 188-42-46	Захоронение урной в землю	Закрытое
73	Летовское кладбище	Поселение Сосенское, с. Летово	0.51	448-67-88	захоронение урной в землю	Закрытое
74	Лианозовское кладбище	83-й км МКАД	12.3	(499) 188-42-46	Захоронение урной в землю	Закрытое
75	Лукошкино кладбище	Поселение Кленовское, д. Лукошкино	1.4000000000000001	232-40-21	захоронение урной в землю	Закрытое
76	Люблинское кладбище	Ул. Ставропольская, д. 74а	19.0132	(499) 784-02-71	Захоронение урной в землю	Закрытое
77	Маврино кладбище	Поселение Кленовское, д. Маврино	0.6	232-40-21	захоронение урной в землю	Закрытое
78	Медведковское кладбище	ул. Заповедная, вл. 7а	1.1884000000000001	(903) 177-11-05	Захоронение урной в землю	Закрытое
79	Митинское кладбище	6-й км Пятницкого ш.	108.10000000000001	(499) 650-75-10	Открытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг	Закрытое
80	Миусское кладбище	Ул. Сущевский Вал, вл. 19	5.0353	689-43-13	Захоронение урной в землю	Закрытое
81	Никольское кладбище	Зеленоград, Московский просп. (д. Ржавки)	1.6	(499) 735-85-33	захоронение урной в землю	Закрытое
82	Никольское кладбище	Поселение Вороновское, с. Никольское	0.6	232-40-21	захоронение урной в землю	Закрытое
83	Николо-Архангельское (Центральное) кладбище	Носовихинское ш., д. 16	148.08	791-05-39	Открытый колумбарий, закрытый колумбарий, захоронение урной в землю	Закрытое
84	Николо-Архангельское (Восточное) кладбище	Носовихинское ш., д. 16	148.08	791-05-39	Открытый колумбарий, закрытый колумбарий, захоронение урной в землю	Закрытое
85	Николо-Хованское-1 кладбище	Поселение Сосенское	1.7	448-67-88	захоронение урной в землю	Закрытое
86	Новогромово кладбище	поселение Вороновское, д. Новогромово	0.2	232-40-21	захоронение урной в землю	Закрытое
87	Новодевичье кладбище	Лужнецкий пр., д. 2	6.0	(499) 246-66-14	Открытый колумбарий, захоронение урной в землю	Закрытое
88	Ознобишино кладбище	Поселение Щаповское, д. Ознобишино	4.8	232-40-21	захоронение урной в землю	Закрытое
89	Девятское кладбище	Поселение Рязановское, д. Девятское	5.96	232-40-21	захоронение урной в землю	Закрытое
90	Зосимова пустынь кладбище	Поселение Новофедоровское, п. Зосимова пустынь	0.6	952-47-37, 952-29-63	захоронение урной в землю	Закрытое
91	Исаково кладбище	Поселение Михайлово-Ярцевское, д. Исаково	4.49	232-40-21	захоронение урной в землю	Закрытое
92	Кувекинское кладбище	Поселение Десеновское, д. Кувекино	1.2	448-67-88	захоронение урной в землю	Закрытое
93	Львово кладбище	Поселение Вороновское, д. Львово	5.0	232-40-21	захоронение урной в землю	Закрытое
94	Николо-Хованское кладбище	Поселение Сосенское, с. Николо-Хованское	5.7	448-67-88	захоронение урной в землю	Закрытое
95	Передельцевское кладбище	Поселение Московский	3.0	448-67-88	захоронение урной в землю	Закрытое
96	Поповка кладбище	Поселение Первомайское, д. Поповка	0.5	952-47-37, 952-29-63	захоронение урной в землю	Закрытое
97	Ракитки кладбище	Поселение Десеновское, с. Десна	30.3	448-67-88	захоронение урной в землю	Закрытое
98	Рублевское кладбище	пос. Рублево, Рублевское ш., 2-й км за МКАД	3.3810000000000002	440-69-84	захоронение урной в землю	Закрытое
99	Свитино кладбище	Поселение Вороновское, с. Свитино	1.5	232-40-21	захоронение урной в землю	Закрытое
100	Товарищево кладбище	Поселение Кленовское, д. Товарищево	0.5	232-40-21	захоронение урной в землю	Закрытое
101	Щапово кладбище	Поселение Щаповское, п. Щапово	2.5	232-40-21	захоронение урной в землю	Закрытое
102	Митинский крематорий	п. Митино, 6-й км. Пятницкого ш.		561-53-41	крематорий	крематорий
103	Рождественно кладбище	Поселение Роговское, д. Рождественно	4.9	232-40-21	захоронение урной в землю	Закрытое
