№ строки	Название	Адрес	Административный округ, район	Адрес начала маршрута	Вид использования	Вид трассы	Протяженность (км)	Балансодержатель	Эксплуатирующая организация лыжной трассы
100	Ландшафтный заказник "Тропаревский", между улицей Академика Анохина, МКАД, Востряковским кладбищем	ул. Академика Анохина, д. 22	Тропарёво-Никулино ЗАО	ул. Академика Анохина, д. 22	существует	Прогулочная	2.50000000000	ГПБУ "Управление ООПТ по ЗАО"	ГПБУ "Управление ООПТ по ЗАО", ГУ "ЦФКиС ЗАО"
101	Зона отдыха (Мещерское), между улицей Воскресенской и  улицей Прудовой	ул. Варваринская, д. 2, стр. 8	Солнцево ЗАО	ул. Варваринская, д. 2, стр. 8	существует	Прогулочная	3.00000000000	ГУ " Ген.ДирекцияЗАО"	ГУ "ЦФКиС ЗАО"
102	Набережная Москвы-реки	2 Южнопортовый пр-д, д. 2-13	ЮВАО, Южнопортовый	2 Южнопортовый пр-д, д. 2-13	Существующая	Прогулочная	0.50000000000	ГКУ ИС Южнопортового района	Муниципалитет района Южнопортовый
103	Сквер имени       «60 лет  Победы в Великой Отечественной Войне»	ул.Гурьянова, д. 31 к.2	Печатники	ул.Гурьянова, д. 31 к.2	Существующая	Прогулочная	2.10000000000	ГКУ «ДЕЗ ЖКХиБ ЮВАО»	Муниципалитет района Печатники
104	ПК и О "Кузьминки-Люблино"	ПК и О "Кузьминки-Люблино" кв.7	ЮВАО, Кузьминки	ПК и О "Кузьминки-Люблино" кв.7	Новая	Прогулочная	1.60000000000	ГПБУ "Управление ООПТ по ЮВАО	ГПБУ "Управление ООПТ по ЮВАО
105	2-ой Краснокурсантский пр-д, 12, стадион "Энергия"	2-ой Краснокурсантский пр-д, 12	ЮВАО, Лефортово	2-ой Краснокурсантский пр-д, 12	Новая	Прогулочная	0.50000000000	Московский энергетический институт	Муниципалитет Лефортово
106	Ул. Марьинский парк, д.37-41	Ул. Марьинский парк, д.37	ЮВАО, Люблино	Ул. Марьинский парк, д.37	Новая	Прогулочная	1.00000000000	ГБУ «Дирекция парка 850-летия Москвы»	Муниципалитет Люблино
107	Парк «850-летия Москвы»	Батайский пр-д,65 (велодорожка)	ЮВАО, Марьино- Капотня	Батайский пр-д,65 (велодорожка)	Новая	Прогулочная	5.00000000000	ГБУ «Дирекция парка 850-летия Москвы»	ГБУ «Дирекция парка 850-летия Москвы»
108	Парк «850-летия Москвы»	Проетируемый проезд, кв, 5466-5467	ЮВАО,Капотня	Проетируемый проезд, кв, 5466-5467	Новая	Прогулочная	2.00000000000	ГБУ «Дирекция парка 850-летия Москвы»	ГБУ «Дирекция парка 850-летия Москвы»
109	Парк «Артема Боровика»	ул. Поречная, д.3, корп.1 – д.17/22	ЮВАО, Марьино	ул. Поречная, д.3, корп.1 – д.17/22	Новая	Прогулочная	1.20000000000	ГБУ «Дирекция парка 850-летия Москвы»	ГБУ «Дирекция парка 850-летия Москвы»
110	Бирюлевский дендропарк	ул.Липецкая	ЮАО, Бирюлёво Восточное	ул.Липецкая	Существующая	Прогулочная	2.50000000000	ГПБУ "Управление ООПТ по ЮАО"	ГПБУ "Управление ООПТ по ЮАО" Управа района
111	Бирюлевский дендропарк	ул.Липецкая	ЮАО, Бирюлёво Восточное	ул.Липецкая	Существующая	Прогулочная	2.50000000000	ГПБУ "Управление ООПТ по ЮАО"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района
112	Герценский парк	Загорьевский проезд, д.4	ЮАО, Бирюлёво Восточное	Загорьевский проезд, д.4	Существующая	Прогулочная	2.00000000000	ГПБУ "Управление ООПТ по ЮАО"	ГБУ ДЕЗ ЮАО Управа района
