№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
3046	Кафе "Маленькая Япония"	Россия, Москва, Большая Дорогомиловская улица, 12а	Закрытое акционерное общество "ЛАНЧ"	6062 ДПРУ	20101120	20151120	Действует
3047	Кафе	Россия, Москва, Пресненская набережная, 10блокb	Общество с ограниченной ответственностью "ЛПК"	13697 ДПРУ	20110216	20130216	Действует
3048	Ресторан	Россия, Москва, Пресненская набережная, 10блокb	Общество с ограниченной ответственностью "Гудман Сити"	13193 ДПРУ	20101117	20151117	Действует
3049	Кафе "Трактир "елки-Палки"	Россия, Москва, Большая Дорогомиловская улица, 12а	Закрытое акционерное общество "ЛАНЧ"	7323 ДПРУ	20110529	20160529	Действует
3050	Кафе	Россия, Москва, Перовская улица, 35а	Общество с ограниченной ответственностью "АВЕРТЭКС"	11164 ДПРУ	20091224	20141224	Действует
3051	Магазин	Россия, Москва, Багратионовский проезд, 2а	Общество с ограниченной ответственностью  "ВЕНТА-А.М."	11405 ДПРУ	20100101	20150101	Действует
3052	Кафе	Россия, Москва, район Крылатское, Рублевское шоссе, 28к1	Общество с ограниченной ответственностью "ПЛАТОС"	8895 ДПРУ	20081230	20131230	Действует
3053	Магазин	Россия, Москва, район Крылатское, Рублевское шоссе, 28к1	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	1932 ДТУ	20120629	20170629	Действует
3054	Кафе	Россия, Москва, Большая Дорогомиловская улица, 14к1	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	262 ДТУ	20110425	20140425	Действует
3055	Магазин	Россия, Москва, район Крылатское, Рублевское шоссе, 28к1-б	Общество с ограниченной ответственностью "Рублевка 28"	8463 ДПРУ	20081119	20131119	Действует
3056	Супермаркет	Россия, Москва, Большая Дорогомиловская улица, 16	Общество с ограниченной ответственностью "Городской супермаркет"	2502 ДПРУ	20061005	20141005	Действует
3057	Магазин	Россия, Москва, Большая Филевская улица, 21к1	Общество с ограниченной ответственностью "Торговая фирма "Ринали"	7339 ДПРУ	20080530	20130530	Действует
3058	Ресторан	Россия, Москва, Тестовская улица, 10	Общество с ограниченной ответственностью "Хороший человек"	1538 ДТУ	20120316	20140916	Действует
3059	Бар	Россия, Москва, Тестовская улица, 10	Общество с ограниченной ответственностью "Содексо ЕвроАзия"	813 ДТУ	20110818	20130818	Действует
3060	Ресторан "Ла Торре"	Россия, Москва, Тестовская улица, 10	Общество с ограниченной ответственностью "Итал Фуд"	9358 ДПРУ	20090408	20140408	Действует
3061	Ресторан "Ла Торре"	Россия, Москва, Тестовская улица, 10	Общество с ограниченной ответственностью "Итал Фуд"	12082 ДПРУ	20100409	20150409	Действует
3062	Кафе	Россия, Москва, улица Арбат, 1	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	12894 ДПРУ	20100924	20130924	Действует
3063	Кафе	Россия, Москва, улица Арбат, 1	Общество с ограниченной ответственностью "КОФЕ СЭТ"	1456 ДТУ	20120216	20150216	Действует
3064	Кафе	Россия, Москва, улица Арбат, 1	Общество с ограниченной ответственностью "Альмадор"	1139 ДПРУ	20070829	20140628	Действует
3065	Ресторан	Россия, Москва, улица Арбат, 1	Общество с ограниченной ответственностью "МИЛСТАР"	12010 ДПРУ	20100407	20150407	Действует
3066	Кафе	Россия, Москва, улица Арбат, 1	Общество с ограниченной ответственностью "Кофе Хаус.Эспрессо и Капучино Бар"	598 ДПРУ	20060502	20160502	Действует
3067	Кафе "ОМ Кафе"	Россия, Москва, улица Новый Арбат, 15с1	Общество с ограниченной ответственностью "АванСтатус"	9308 ДПРУ	20090327	20140327	Действует
3068	Кафе	Россия, Москва, шоссе Энтузиастов, 15/16	Общество с ограниченной ответственностью "Кофе Хаус. Эспрессо и Капучино Бар"	801 ДТУ	20110815	20160815	Действует
3069	Бар	Россия, Москва, шоссе Энтузиастов, 15/16	Общество с ограниченной ответственностью "Реймос"	8848 ДПРУ	20100709	20131229	Действует
3070	Ресторан	Россия, Москва, шоссе Энтузиастов, 15/16	Общество с ограниченной ответственностью "Реймос"	8848 ДПРУ	20100709	20131229	Действует
3071	Ресторан	Россия, Москва, улица Новый Арбат, 11с2	Общество с ограниченной ответственностью "Компания  Реал - 2000"	7080 ДПРУ	20080421	20130421	Действует
3072	Кафе	Россия, Москва, Зеленый проспект, 54а	Общество с ограниченной ответственностью "АВЕРТЭКС"	8359 ДПРУ	20081101	20131101	Действует
3073	Кафе	Россия, Москва, Зеленый проспект, 54а	Общество с ограниченной ответственностью "СПАЙСИ"	13653 ДПРУ	20110210	20160210	Действует
3074	Ресторан	Россия, Москва, Зеленый проспект, 54а	Общество с ограниченной ответственностью "АВЕРТЭКС"	8360 ДПРУ	20081101	20131101	Действует
3075	Гастроном "Весна"	Россия, Москва, улица Новый Арбат, 19	Открытое акционерное общество "Торговый Дом ГУМ"	9920 ДПРУ	20090703	20140703	Действует
3076	Ресторан	Россия, Москва, улица Новый Арбат, 19	Общество с ограниченной ответственностью "АНЭС"	6870 ДПРУ	20120126	20130318	Действует
3077	Кафе	Россия, Москва, улица Большая Якиманка, 22	Общество с ограниченной ответственностью "ЛАГУНА"	44462 ПРИУ	20080929	20131027	Действует
3078	Ресторан	Россия, Москва, Марксистская улица, 20с1	Общество с ограниченной ответственностью "Ресторан "Пятый океан"	10264 ДПРУ	20090903	20140903	Действует
3079	Кафе "Труффальдино"	Россия, Москва, Марксистская улица, 20с1	Общество с ограниченной ответственностью "АНЕЙ-БАЗИ"	253 ДПРУ	20060317	20140317	Действует
3080	Ресторан	Россия, Москва, Пречистенская набережная, 13с3	Общество с ограниченной ответственностью "Ресторанный синдикат"	7623 ДПРУ	20080716	20130716	Действует
3081	Кафе	Россия, Москва, Ярцевская улица, 22с1	Закрытое акционерное общество "Лотоклуб"	8054 ДПРУ	20080912	20130912	Действует
3082	Магазин	Россия, Москва, Ярцевская улица, 22с1	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	883 ДТУ	20110920	20160920	Действует
3083	Магазин	Россия, Москва, улица Неверовского, 15	Открытое акционерное общество "Седьмой Континент"	13457 ДПРУ	20110129	20160129	Действует
3084	Ресторан	Россия, Москва, улица Неверовского, 15	Общество с ограниченной ответственностью "Наина"	10297 ДПРУ	20090904	20140904	Действует
3085	Магазин	Россия, Москва, Малая Филевская улица, 12к1	Общество с ограниченной ответственностью "Серебряный путь"	6282 ДПРУ	20071214	20161214	Действует
3086	Бар	Россия, Москва, Марксистская улица, 3с1	Закрытое акционерное общество "Сеть пивных баров"	13628 ДПРУ	20110126	20160126	Действует
3087	Магазин	Россия, Москва, улица Плющиха, 53/25с2	Общество с ограниченной ответственностью "НИКА-1"	1520 ДТУ	20120307	20170307	Действует
3088	Магазин	Россия, Москва, улица Плющиха, 53/25с2	Общество с ограниченной ответственностью "Монолит"	5792 ДПРУ	20071016	20151016	Действует
3089	Ресторан	Россия, Москва, Садовническая набережная, 69	Общество с ограниченной ответственностью "Ла Луна ди Капри"	1301 ДТУ	20120111	20150111	Действует
3090	Ресторан	Россия, Москва, Садовническая набережная, 69	Общество с ограниченной ответственностью "Фэшн Фудс"	44144 ПРИУ	20050826	20130826	Действует
3091	Кафе "Гранат-Эксклюзив"	Россия, Москва, Ярцевская улица, 19с2	Общество с ограниченной ответственностью "ГРАНАТ"	7538 ДПРУ	20080627	20130627	Действует
3092	Магазин типа гипермаркет	Россия, Москва, Ярцевская улица, 19с2	Общество с ограниченной ответственностью "АШАН"	7794 ДПРУ	20080808	20130808	Действует
3093	Магазин	Россия, Москва, Нижегородская улица, 9в	Общество с ограниченной ответственностью "НИКО"	6253 ДПРУ	20071210	20121210	Действует
3094	Кафе	Россия, Москва, Нижегородская улица, 2к1	Общество с ограниченной ответственностью "ЛавантЛюкс"	81 ДПРУ	20070118	20140207	Действует
