№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
4087	Кафе	Россия, Москва, Комсомольский проспект, 7/3к1	Общество с ограниченной ответственностью "ГУРИЯ"	1240 ДТУ	20111223	20131223	Действует
4088	Ресторан	Россия, Москва, 3-й Крутицкий переулок, 13с2	Общество с ограниченной ответственностью "Милко-Т"	13310 ДПРУ	20101210	20151210	Действует
4089	Бар пивной "Джорджия"	Россия, Москва, 3-й Крутицкий переулок, 13с2	Закрытое акционерное общество "ДЖОРДЖИЯ"	5781 ДПРУ	20071012	20141012	Действует
4090	Бар	Россия, Москва, площадь Победы, 3	Федеральное государственное учреждение  культуры "Центральный музей Великой Отечественной войны 1941-1945 гг."	6999 ДПРУ	20080403	20130403	Действует
4091	Кафе	Россия, Москва, Комсомольский проспект, 14/1к1	Общество с ограниченной ответственностью "ДЕУМ ГРУПП"	6072 ДПРУ	20071121	20121121	Действует
4092	Ресторан	Россия, Москва, Волгоградский проспект, 4а	Общество с ограниченной ответственностью "СТОРМИНИКС"	9172 ДПРУ	20090225	20150225	Действует
4093	Кафе	Россия, Москва, Валовая улица, 6	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	10530 ДПРУ	20091015	20141015	Действует
4094	Ресторан	Россия, Москва, Шлюзовая набережная, 6с1	Общество с ограниченной ответственностью "Катерина-Сити М"	4060 ДПРУ	20070222	20150222	Действует
4095	Магазин	Россия, Москва, улица Крымский Вал, 8	Общество с ограниченной ответственностью "Актис"	8725 ДПРУ	20081219	20131219	Действует
4096	Универсам	Россия, Москва, Нижегородская улица, 84	Общество с ограниченной ответственностью "ЛИКА"	8206 ДПРУ	20081010	20131010	Действует
4097	Бар "Алекс"	Россия, Москва, Шлюзовая набережная, 6с2	Общество с ограниченной ответственностью "Катерина-Сити М"	4063 ДПРУ	20070222	20150222	Действует
4098	Магазин	Россия, Москва, Орехово-Зуевский проезд, 10	Закрытое акционерное общество "Алашер"	12144 ДПРУ	20100421	20150421	Действует
4099	Магазин	Россия, Москва, Кунцевская улица, 4к1	Общество с ограниченной ответственностью "Сабрина"	75 ДТУ	20110325	20160325	Действует
4100	Магазин "Продукты"	Россия, Москва, улица Коновалова, 16	Закрытое акционерное общество "ИнВэлл"	2536 ДТУ	20121012	20151012	Действует
4101	Магазин	Россия, Москва, Вяземская улица, 16	Общество с ограниченной ответственностью "ТРОЕКУРОВО"	3739 ДПРУ	20070117	20130117	Действует
4102	Магазин	Россия, Москва, Велозаводская улица, 9	Общество с ограниченной ответственностью "АРМА-ФРАНС"	1308 ДТУ	20120113	20130113	Действует
4103	Магазин	Россия, Москва, 2-й Павелецкий проезд, 7с7	Общество с ограниченной ответственностью "МАРЛИЗЗ"	12024 ДПРУ	20100408	20130408	Действует
4104	Кафе	Россия, Москва, Люблинская улица, 7с1	Общество с ограниченной ответственностью "Лоба"	9273 ДПРУ	20090320	20140320	Действует
4105	Кафе	Россия, Москва, Минская улица, 1гк2	Общество с ограниченной ответственностью "Золотой Ключик"	6326 ДПРУ	20071220	20121220	Аннулирована
4106	Магазин	Россия, Москва, Святоозерская улица, 34	Общество с ограниченной ответственностью "ТРЕЙДЕР ДЖОНС"	1594 ДТУ	20120405	20170405	Действует
4107	Магазин	Россия, Москва, Веерная улица, 4к1	Общество с ограниченной ответственностью "ВИКТОРИЯ"	8340 ДПРУ	20081029	20141029	Действует
4108	Ресторан	Россия, Москва, Велозаводская улица, 6	Общество с ограниченной ответственностью "ГАЛАКТИКА"	12366 ДПРУ	20100520	20130520	Действует
4109	Ресторан "Бенвенуто"	Россия, Москва, Велозаводская улица, 6	Общество с ограниченной ответственностью "ВЕНЕЦИЯ"	4809 ДПРУ	20091202	20170619	Действует
4110	Кафе	Россия, Москва, улица Шаболовка, 56	Общество с ограниченной ответственностью "Шиша Бар 2"	13607 ДПРУ	20110120	20160120	Аннулирована
4111	Магазин	Россия, Москва, Святоозерская улица, 18	Общество с ограниченной ответственностью "Интер Трейд"	59 ДТУ	20110415	20160415	Действует
4112	Кафе	Россия, Москва, улица Ленинская Слобода, 5	Общество с ограниченной ответственностью "СЛОБОДА"	7712 ДПРУ	20080729	20130729	Действует
4113	Магазин	Россия, Москва, Оренбургская улица, 18	Общество с ограниченной ответственностью "Торговый Дом "ОДИССЕЙ"	1189 ДТУ	20111215	20141215	Действует
4114	Магазин	Россия, Москва, Окская улица, 20к2	Закрытое акционерное общество "Вегат Плюс"	4403 ДПРУ	20070428	20170428	Действует
4115	Магазин	Россия, Москва, 1-я Новокузьминская улица, 22к2	Общество с ограниченной ответственностью "Алла"	8902 ДПРУ	20090101	20140101	Действует
4116	Магазин	Россия, Москва, Зеленодольская улица, 22/14	Общество с ограниченной ответственностью "ЕЛЕНА"	12442 ДПРУ	20100624	20150624	Действует
4117	Универсам	Россия, Москва, Рязанский проспект, вл99ас1	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	9326 ДПРУ	20090331	20140331	Действует
4118	Склад-магазин	Россия, Москва, Павловская улица, 27	Закрытое акционерное общество "ЛАНЧ"	6528 ДПРУ	20080117	20130117	Действует
4119	Склад-магазин	Россия, Москва, Павловская улица, 27	Общество с ограниченной ответственностью "БэстМил"	13613 ДПРУ	20110120	20160120	Действует
4120	Магазин	Россия, Москва, Мосфильмовская улица, 28а	Общество с ограниченной ответственностью "Линас"	1656 ДТУ	20120419	20170419	Действует
4121	Магазин	Россия, Москва, улица Довженко, 6	Общество с ограниченной ответственностью "САТУРН"	492 ДТУ	20110624	20140624	Действует
4122	Кафе	Россия, Москва, Партийный переулок, 1к3	Общество с ограниченной ответственностью "Борщ"	13711 ДПРУ	20110305	20140305	Действует
4123	Магазин	Россия, Москва, Лухмановская улица, 15к2	Общество с ограниченной ответственностью "Интэкс-Стайл"	1474 ДТУ	20120302	20140302	Действует
4124	Магазин	Россия, Москва, Комсомольский проспект, 40	Общество с ограниченной ответственностью "Азербайджан +"	6958 ДПРУ	20080328	20130328	Действует
4125	Ресторан	Россия, Москва, улица Хамовнический Вал, 34	Закрытое акционерное общество "ЮНКОМ"	10402 ДПРУ	20090915	20140915	Действует
4126	Магазин	Россия, Москва, улица Симоновский Вал, 15	Общество с ограниченной ответственностью "ВОЯЖ-КАРИБЫ"	3120 ДПРУ	20061130	20141130	Действует
4127	Ресторан	Россия, Москва, улица Симоновский Вал, 15	Общество с ограниченной ответственностью "Компания "Стейдком"	10036 ДПРУ	20100416	20140717	Действует
4128	Магазин	Россия, Москва, Гвардейская улица, 5к1	Закрытое акционерное общество "ДИСКОНТцентр"	9376 ДПРУ	20090408	20140408	Действует
4129	Магазин	Россия, Москва, улица Толбухина, 12к1	Общество с ограниченной ответственностью "АЛ-КО СЕТУНЬ"	1830 ДТУ	20120525	20150525	Действует
4130	Магазин	Россия, Москва, улица Гришина, 9	Общество с ограниченной ответственностью "Агроаспект"	44109 ПРИУ	20050824	20130824	Действует
4131	Магазин	Россия, Москва, Большая Серпуховская улица, 31к1	Общество с ограниченной ответственностью "СтарЛайнФуд"	12916 ДПРУ	20100930	20150930	Действует
4132	Магазин	Россия, Москва, Фрунзенская набережная, 36/2	Общество с ограниченной ответственностью "Отдохни-77"	10712 ДПРУ	20091015	20171015	Действует
4133	Ресторан	Россия, Москва, улица Крымский Вал, 9с23	Общество с ограниченной ответственностью "ФОНАРНЫЙ ПЕРЕУЛОК"	880 ДТУ	20110922	20140922	Действует
4134	Магазин	Россия, Москва, улица Горбунова, 7к2	Общество с ограниченной ответственностью "Инверсия"	10220 ДПРУ	20090819	20140819	Действует
4135	Магазин	Россия, Москва, Снайперская улица, 8	Общество с ограниченной ответственностью "Сластена-1"	1981 ДПРУ	20060818	20150824	Действует
4136	Ресторан	Россия, Москва, 1-й Щипковский переулок, 3	Общество с ограниченной ответственностью "Сатурн-ПВ"	8517 ДПРУ	20081127	20131127	Действует
4137	Ресторан	Россия, Москва, улица Шаболовка, 25к2	Общество с ограниченной ответственностью "ЮНИКС"	10505 ДПРУ	20091007	20151007	Действует
4138	Магазин	Россия, Москва, улица Доватора, 14	Общество с ограниченной ответственностью "Аванта"	44566 ПРИУ	20051121	20131121	Действует
4139	Универсам	Россия, Москва, Зеленодольская улица, 40	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	11635 ДПРУ	20100218	20150218	Действует
4140	Кафе	Россия, Москва, 5-й Донской проезд, 19с2	Общество с ограниченной ответственностью "АВТО-СПА"	6977 ДПРУ	20080402	20130402	Действует
4141	Кафе	Россия, Москва, Волгоградский проспект, 145к2	Общество с ограниченной ответственностью "ЮССА"	10882 ДПРУ	20091030	20141030	Действует
4142	Кафе	Россия, Москва, Автозаводская улица, 17к1	Общество с ограниченной ответственностью "Миллион плюс"	1241 ДТУ	20111228	20141228	Действует
4143	Кафе	Россия, Москва, Ломоносовский проспект, 29к3	Общество с ограниченной ответственностью "Цветочный лес"	1959 ДТУ	20120706	20130706	Действует
4144	Магазин	Россия, Москва, Автозаводская улица, 17к1	Общество с ограниченной ответственностью "Добролюбово"	3483 ДПРУ	20061229	20141229	Действует
4145	Магазин "Продукты"	Россия, Москва, Автозаводская улица, 17к1	Общество с ограниченной ответственностью "ТД Кротон-Алко"	10514 ДПРУ	20090922	20140922	Действует
4146	Ресторан	Россия, Москва, Ломоносовский проспект, 29к3	Общество с ограниченной ответственностью "Восток"	69 ДТУ	20110323	20160323	Действует
4147	Кафе	Россия, Москва, 2-й Южнопортовый проезд, 27ас2	Общество с ограниченной ответственностью "Гуд Плэйс"	1529 ДТУ	20120314	20150314	Действует
4148	Кафе	Россия, Москва, Мичуринский проспект, 3	Общество с ограниченной ответственностью "Ассаджиаторе"	10257 ДПРУ	20090826	20140826	Действует
4149	Магазин	Россия, Москва, Волгоградский проспект, 145/8	Общество с ограниченной ответственностью "ПЛИТСЕРВИС и Ко"                  PLITS & Co	1379 ПРЮВЮ	20091105	20131130	Действует
4150	Магазин	Россия, Москва, Волгоградский проспект, 145/8	Закрытое акционерное общество "Вегат Плюс"	5521 ДПРУ	20070921	20170921	Действует
4151	Магазин	Россия, Москва, Матвеевская улица, 4к1	Общество с ограниченной ответственностью Фирма  "Каравай-1"	9439 ДПРУ	20090423	20140423	Действует
4152	Магазин	Россия, Москва, Матвеевская улица, 4к1	Общество с ограниченной ответственностью "ПРАССА"	8938 ДПРУ	20090113	20140113	Действует
4153	Магазин	Россия, Москва, улица Трофимова, 35/20	Общество с ограниченной ответственностью "Отдохни-77"	11726 ДПРУ	20100215	20130215	Действует
4154	Магазин	Россия, Москва, Ташкентская улица, 12/20	Общество с ограниченной ответственностью "Норман-трейд"	1103 ДТУ	20111129	20141129	Действует
4155	Ресторан	Россия, Москва, Ленинский проспект, 43	Общество с ограниченной ответственностью "ЖЕЛТОЕ МОРЕ"	13167 ДПРУ	20101125	20151125	Действует
4156	Кафе	Россия, Москва, Ленинский проспект, 43	Закрытое акционерное общество " фирма НИКИ"	80 ДПРУ	20060126	20140126	Действует
4157	Бар	Россия, Москва, Сколковское шоссе, 31с2	Общество с ограниченной ответственностью "МЕМФИС"	975 ПРЗЮЗ	20090313	20131004	Действует
4158	Кафе	Россия, Москва, Саввинская набережная, 23с1	Общество с ограниченной ответственностью "Савва-Арт"	474 ДТУ	20110621	20160621	Действует
4159	Ресторан	Россия, Москва, 3-й Крутицкий переулок, 11	Общество с ограниченной ответственностью "Серый бык"	7253 ДПРУ	20100722	20130519	Действует
4160	Магазин	Россия, Москва, Кунцевская улица, 10	Общество с ограниченной ответственностью "КУРАЙ"	6047 ДПРУ	20071116	20121116	Действует
4161	Магазин	Россия, Москва, Кунцевская улица, 10	Общество с ограниченной ответственностью "ПродТорг"	197 ДТУ	20110422	20160422	Действует
4162	Кафе	Россия, Москва, Кунцевская улица, 10	Общество с ограниченной ответственностью "Санта"	1075 ДТУ	20111123	20121123	Действует
4163	Кафе	Россия, Москва, улица Крымский Вал, 9с1	Общество с ограниченной ответственностью "ГАЛА-2000"	12216 ДПРУ	20100429	20130429	Действует
4164	Кафе "Шляпа"	Россия, Москва, улица Крымский Вал, 9с1	Закрытое акционерное общество "Чудо-Град"	43894 ПРИУ	20050701	20130701	Действует
4165	Магазин	Россия, Москва, Орехово-Зуевский проезд, 18/8	Общество с ограниченной ответственностью "МАТЕЛОТ-3"	7123 ДПРУ	20080424	20160424	Действует
4166	Кафе	Россия, Москва, Комсомольский проспект, 14/1к2	Общество с ограниченной ответственностью "АСТРАТЕКС"	11642 ДПРУ	20100216	20130216	Действует
4167	Бар	Россия, Москва, улица Большая Якиманка, 54	Общество с ограниченной ответственностью "Прогресс"	9547 ДПРУ	20090430	20140430	Действует
4168	Магазин	Россия, Москва, улица Боженко, 7к1	Общество с ограниченной ответственностью "Виктория"	500 ДТУ	20110628	20160628	Действует
4169	Магазин	Россия, Москва, Нижегородская улица, 83	Общество с ограниченной ответственностью "Винный Маг"	6489 ДПРУ	20080111	20130111	Действует
4170	Магазин "Продукты"	Россия, Москва, Языковский переулок, 5к6	Общество с ограниченной ответственностью "ВЛАС-95"	8183 ДПРУ	20081003	20131003	Действует
4171	Магазин	Россия, Москва, Языковский переулок, 5к6	Общество с ограниченной ответственностью "Мальва-С"	6440 ДПРУ	20080108	20130108	Действует
4172	Магазин	Россия, Москва, Языковский переулок, 5к6	Общество с ограниченной ответственностью "КРОНА - ММ"	1120 ДПРУ	20060623	20140623	Действует
4173	Магазин "Продукты"	Россия, Москва, Кастанаевская улица, 51к2	Общество с ограниченной ответственностью "КОЛОС - АЛЬФА"	3711 ДПРУ	20070112	20150112	Действует
4174	Ресторан "Море суши"	Россия, Москва, Нижегородская улица, 80к1	Общество с ограниченной ответственностью "Новые Рестораны"	6264 ДПРУ	20071212	20121212	Действует
4175	Ресторан	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Логика"	7405 ДПРУ	20080613	20130613	Действует
4176	Магазин	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Столичная торговая компания"	6659 ДПРУ	20080211	20130211	Действует
4177	Кафе	Россия, Москва, 2-й Павелецкий проезд, 5с1	Общество с ограниченной ответственностью "ПИТ-СТОП"	8566 ДПРУ	20081205	20131205	Действует
4178	Магазин	Россия, Москва, Святоозерская улица, 21	Общество с ограниченной ответственностью "АМИРА"	13198 ДПРУ	20101118	20131118	Действует
4179	Магазин	Россия, Москва, Святоозерская улица, 13	Общество с ограниченной ответственностью "ЭТТАНА"	4178 ДПРУ	20070309	20130309	Действует
4180	Магазин	Россия, Москва, улица Шаболовка, 65к1	Общество с ограниченной ответственностью "Арома Маркет"	5370 ДПРУ	20070923	20170923	Действует
4181	Кафе	Россия, Москва, улица Хлобыстова, вл17	Общество с ограниченной ответственностью "Мотто-1"	905 ДТУ	20110930	20140930	Действует
4182	Магазин	Россия, Москва, Веерная улица, 46	Общество с ограниченной ответственностью "ЛЕСНОЕ"	5398 ДПРУ	20070906	20150906	Действует
4183	Магазин	Россия, Москва, улица Васильцовский Стан, 3к1	Общество с ограниченной ответственностью "ФАРИД-10"	12978 ДПРУ	20101001	20131001	Действует
4184	Кафе	Россия, Москва, Дубининская улица, 69к74	Общество с ограниченной ответственностью "НПО Пожарные технологии"	12823 ДПРУ	20100903	20130903	Действует
4185	Магазин	Россия, Москва, Зеленодольская улица, 9к2	Открытое акционерное общество "Седьмой Континент"	12294 ДПРУ	20100617	20150617	Действует
4186	Магазин	Россия, Москва, Люблинская улица, 7/2к1	Общество с ограниченной ответственностью "МАГАЗИН № 60 "ХЛЕБ"	1014 ПРЮВЮ	20050628	20160628	Действует
4187	Магазин	Россия, Москва, Люблинская улица, 7/2к1	Общество с ограниченной ответственностью "ЕЛИСЕЙ и Ко"	11028 ДПРУ	20091118	20141118	Действует
4188	Магазин	Россия, Москва, Люблинская улица, 7/2к1	Общество с ограниченной ответственностью "У  РУБЕНА"	6533 ДПРУ	20080118	20130118	Действует
4189	Магазин	Россия, Москва, Аминьевское шоссе, 14к1	Общество с ограниченной ответственностью "Метелица"	603 ПРЗЮЗ	20050216	20160216	Действует
4190	Магазин	Россия, Москва, Аминьевское шоссе, 14к1	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	912 ДТУ	20111005	20161005	Действует
4191	Кафе	Россия, Москва, Святоозерская улица, 9	Общество с ограниченной ответственностью "Суаре Гранд"	1098 ДТУ	20111129	20151129	Действует
4192	Магазин	Россия, Москва, Святоозерская улица, 9	Общество с ограниченной ответственностью "Мак-2005"	11510 ДПРУ	20100114	20170201	Действует
4193	Магазин	Россия, Москва, Окская улица, 5к1	Общество с ограниченной ответственностью "Забава"	165 ДТУ	20110412	20160412	Действует
4194	Кафе	Россия, Москва, Окская улица, 5к1	Общество с ограниченной ответственностью "ОТЕЛЬ НА ОКСКОЙ"	1897 ДТУ	20120621	20140621	Действует
4195	Магазин	Россия, Москва, Верейская улица, 15с22	Общество с ограниченной ответственностью "Вино и Компания"	950 ДТУ	20111021	20161021	Действует
4196	Бар	Россия, Москва, улица Лужники, 24с2	Российско-итальянское предприятие "СОРИНВЕСТ" ( в форме Общества с ограниченной ответственностью)	9027 ДПРУ	20090316	20130316	Действует
4197	Магазин	Россия, Москва, Люсиновская улица, 36/50	Общество с ограниченной ответственностью "Андреевна"	7661 ДПРУ	20080721	20130721	Действует
4198	Кафе	Россия, Москва, Волгоградский проспект, 32к5	Общество с ограниченной ответственностью "Келибия"	13416 ДПРУ	20101222	20121222	Действует
4199	Кафе	Россия, Москва, Дербеневская набережная, 7с8	Общество с ограниченной ответственностью "Кофе Хаус. Эспрессо и Капучино Бар"	11189 ДПРУ	20091217	20121217	Действует
4200	Ресторан	Россия, Москва, Дербеневская набережная, 7с14	Общество с ограниченной ответственностью "Джимми Паб"	665 ДТУ	20110728	20160728	Действует
4201	Кафе	Россия, Москва, Волгоградский проспект, 37а	Общество с ограниченной ответственностью "Авалонж"	8457 ДПРУ	20081119	20131119	Действует
4202	Магазин	Россия, Москва, 3-я Институтская улица, 12	Общество с ограниченной ответственностью "ВЛАДиС-97"	223 ДТУ	20110422	20140422	Действует
4203	Магазин	Россия, Москва, улица Шаболовка, 23	Общество с ограниченной ответственностью "МИР ПРОДУКТОВ"	11803 ДПРУ	20100312	20130312	Действует
4204	Кафе	Россия, Москва, Усачева улица, 35с4	Общество с ограниченной ответственностью "СГС Групп"	1414 ДТУ	20120203	20140203	Действует
4205	Магазин	Россия, Москва, улица Доватора, 12	Общество с ограниченной ответственностью "Гардиан Торг"	7741 ДПРУ	20080801	20130801	Действует
4206	Магазин	Россия, Москва, улица Гришина, 15с3	Закрытое акционерное общество "Вегат Плюс"	3686 ДПРУ	20070112	20150112	Действует
4207	Магазин	Россия, Москва, улица Гришина, 15с3	Общество с ограниченной ответственностью "Евдокия +З.О"	12872 ДПРУ	20100917	20151005	Действует
4208	Бар	Россия, Москва, Снайперская улица, 8б	Общество с ограниченной ответственностью "ГРИСС"	3269 ДПРУ	20061214	20121214	Действует
4209	Магазин	Россия, Москва, Снайперская улица, 8б	Общество с ограниченной ответственностью "ГРИСС"	3270 ДПРУ	20061214	20121214	Действует
4210	Ресторан	Россия, Москва, 1-я Дубровская улица, 13ас1	Общество с ограниченной ответственностью "Общий Центр Обслуживания"	454 ДТУ	20110615	20140615	Действует
4211	Магазин	Россия, Москва, Вешняковская улица, 18бс4	Общество с ограниченной ответственностью "Русмаркет"	2264 ДПРУ	20060915	20140915	Действует
4212	Бар	Россия, Москва, Большая Серпуховская улица, 44	Общество с ограниченной ответственностью "Аскорд-М"	914 ДТУ	20111006	20131016	Действует
4213	Кафе	Россия, Москва, Большая Серпуховская улица, 44	Государственное учреждение "Муниципальный досуговый центр "ЗАМОСКВОРЕЧЬЕ"	9361 ДПРУ	20090408	20140408	Действует
4214	Кафе	Россия, Москва, улица Доватора, 13с2	Общество с ограниченной ответственностью "Алиго"	2426 ДТУ	20120926	20150926	Действует
4215	Ресторан	Россия, Москва, Ленинский проспект, 38	Общество с ограниченной ответственностью "ЭльбаГранд"	11421 ДПРУ	20100107	20150107	Действует
4216	Кафе	Россия, Москва, Ленинский проспект, 38	Общество с ограниченной ответственностью "РИДЖЕНСИ"	9407 ДПРУ	20090416	20140416	Действует
4217	Бар	Россия, Москва, Ленинский проспект, 38	Закрытое акционерное общество "Бризоль-М"	10770 ДПРУ	20091105	20141105	Действует
4218	Ресторан	Россия, Москва, Ленинский проспект, 38	Закрытое акционерное общество "Гостинично-офисный комплекс       "CПУТНИК"	920 ПРЗЮЗ	20050815	20130815	Действует
4219	Ресторан	Россия, Москва, 5-я Кожуховская улица, 10к1	Общество с ограниченной ответственностью "СТЭЛЛАЙН"	6636 ДПРУ	20080208	20130208	Действует
4220	Кафе	Россия, Москва, 11-я улица Текстильщиков, 1	Открытое акционерное общество "Гостиница "Москвич"	11837 ДПРУ	20100318	20150318	Действует
4221	Магазин "Продукты"	Россия, Москва, 11-я улица Текстильщиков, 1	Открытое акционерное общество "Гостиница "Москвич"	10611 ДПРУ	20091020	20141020	Действует
4222	Кафе	Россия, Москва, улица Маршала Чуйкова, 2	Общество с ограниченной ответственностью "АТЛАНТ"	11891 ДПРУ	20100325	20140325	Действует
4223	Магазин	Россия, Москва, улица Маршала Чуйкова, 2	Общество с ограниченной ответственностью "ПРЕСТИЖ"	11918 ДПРУ	20100413	20150413	Действует
4224	Ресторан "Ле Буфет"	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "Корстон-Москва"	13300 ДПРУ	20101210	20131210	Действует
4225	Ресторан "Сушико"	Россия, Москва, улица Косыгина, 15	Закрытое акционерное общество "МОЙЧОЙС"	8358 ДПРУ	20081101	20131101	Действует
4226	Бар "Променад"	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "Корстон-Москва"	13316 ДПРУ	20101210	20131210	Действует
4227	Бар "Променад-Грик"	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "Корстон-Москва"	13318 ДПРУ	20101210	20131210	Действует
4228	Кафе "Бонжур"	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "Корстон-Москва"	13317 ДПРУ	20101210	20131210	Действует
4229	Ресторан	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "Корстон-Москва"	1028 ДТУ	20111108	20161108	Действует
4230	Ресторан "Салон Де Пари"	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "Корстон-Москва"	13315 ДПРУ	20101210	20131210	Действует
4231	Бар	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "Голден Рэйн"	647 ДТУ	20110722	20160722	Действует
4232	Бар	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "ПРЕМЬЕР МЕНЕДЖМЕНТ"	12866 ДПРУ	20100909	20130909	Действует
4233	Кафе	Россия, Москва, улица Косыгина, 15	Общество с ограниченной ответственностью "ЮПИТЕР-5000"	7784 ДПРУ	20080808	20130808	Действует
4234	Ресторан	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "БизИнвестПроект"	7038 ДПРУ	20080410	20130410	Действует
4235	Ресторан	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Рест Проджект"	13491 ДПРУ	20101229	20151229	Действует
4236	Ресторан	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Кап-Ферра"	2089 ДТУ	20120727	20170727	Действует
4237	Кафе	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Столичная торговая компания"	6660 ДПРУ	20080211	20130211	Действует
4238	Кафе	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "ДМ Прайд"	7562 ДПРУ	20080703	20130703	Аннулирована
4239	Кафе	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "АЛМ"	12715 ДПРУ	20110624	20130818	Действует
4240	Кафе	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Ресторанный Трест"	7288 ДПРУ	20080523	20130523	Действует
4241	Кафе	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Найс кафе"	985 ДТУ	20111026	20161026	Действует
4242	Ресторан	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Ленуаж"	1697 ДТУ	20120427	20170427	Действует
4243	Ресторан	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Турист"	8472 ДПРУ	20081121	20131121	Действует
4244	Кафе	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "ААА"	8278 ДПРУ	20081023	20131023	Действует
4245	Бар	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Ресторанный Трест"	7817 ДПРУ	20080815	20130815	Действует
4246	Ресторан	Россия, Москва, Кутузовский проспект, 48	Общество с ограниченной ответственностью "Ресторанный Трест"	33 ДТУ	20110318	20140318	Действует
4247	Кафе	Россия, Москва, улица Крымский Вал, 9с2	Закрытое акционерное общество "Чудо-Град"	2948 ДПРУ	20061113	20141113	Действует
4248	Магазин-склад	Россия, Москва, Молодогвардейская улица, 59с4	Общество с ограниченной ответственностью "АгросЭко М"	726 ДТУ	20110815	20140815	Действует
4249	Кафе	Россия, Москва, улица Большая Якиманка, 52	Общество с ограниченной ответственностью "ПАНЧО"	755 ДТУ	20110811	20140811	Действует
4250	Магазин	Россия, Москва, Таганский район, улица Талалихина, 31а/2	Общество с ограниченной ответственностью "Фарм Индекс"	9910 ДПРУ	20090702	20140702	Действует
4251	Кафе	Россия, Москва, Таганский район, улица Талалихина, 31а/2	Общество с ограниченной ответственностью "Фарм Индекс"	11613 ДПРУ	20100126	20150126	Действует
4252	Универсам	Россия, Москва, 3-й Крутицкий переулок, 18	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	43971 ПРИУ	20050722	20150722	Действует
4253	Магазин	Россия, Москва, Восточная улица, 11бсоор1	Общество с ограниченной ответственностью "БИФУД"	12483 ДПРУ	20100625	20140625	Действует
4254	Магазин	Россия, Москва, Святоозерская улица, 8	Общество с ограниченной ответственностью "Витязь"	1356 ДТУ	20120124	20150124	Действует
4255	Кафе	Россия, Москва, Окская улица, 5к1	Общество с ограниченной ответственностью "Восток"	9486 ДПРУ	20090501	20140501	Действует
4256	Кафе	Россия, Москва, Рябиновая улица, 14	Общество с ограниченной ответственностью "Панорама Бар"	11653 ДПРУ	20100209	20150209	Действует
4257	Кафе	Россия, Москва, Ленинский проспект, 31к1с1	Общество с ограниченной ответственностью "Лидер"	352 ДТУ	20110513	20160513	Действует
4258	Ресторан	Россия, Москва, Минская улица, 1гк9	Общество с ограниченной ответственностью "Ресторан-1"	2099 ДТУ	20120727	20130727	Действует
4259	Магазин	Россия, Москва, Святоозерская улица, 14	Общество с ограниченной ответственностью "Нова-Трейд"	1120 ДТУ	20111202	20161202	Действует
4260	Магазин	Россия, Москва, Святоозерская улица, 14	Общество с ограниченной ответственностью "Косино+"	1297 ДТУ	20111230	20161230	Действует
4261	Кафе "Кальвадос"	Россия, Москва, Ленинский проспект, 28	Общество с ограниченной ответственностью "ГАММА"	678 ПРЮВЮ	20050128	20130128	Действует
4262	Ресторан	Россия, Москва, Ленинский проспект, 28	Общество с ограниченной ответственностью "АПОГЕЙ"	11647 ДПРУ	20100209	20150209	Действует
4263	Кафе "Якитория"	Россия, Москва, микрорайон Ленинские Горы, Университетский проспект, 19	Общество с ограниченной ответственностью "ТурПроект"	3200 ДПРУ	20061206	20141206	Действует
4264	Магазин	Россия, Москва, Святоозерская улица, 4	Общество с ограниченной ответственностью "МИСОНТА"	8702 ДПРУ	20081219	20131219	Действует
