№ строки	Название	Адрес	Район	Административный округ
110	Ярмарка выходного дня на Староватутинский пр.4	Староватутинский пр. 4	Бабушкинский	СВАО
111	Ярмарка выходного дня на улице Хачатуряна вл.13 пересечение с улицей Санникова	ул. Хачатуряна 13	Отрадное	СВАО
112	Ярмарка выходного дня ул.Руставели, вл.3	ул. Руставели 3	Бутырский	СВАО
113	Ярмарка выходного дня на ул. Новопеределкинская, вл.14А	Новопеределкинская ул. 14	Ново-Переделкино	ЗАО
114	Ярмарка выходного дня на ул. Красноармейская, д. 36-38	Красноармейская ул. 36	Аэропорт	САО
115	Ярмарка выходного дня на Дмитровском ш. вл. 13, к. 2-5	Дмитровское шоссе 13 к. 3	Тимирязевский	САО
116	Ярмарка Выходного дня на ул. Перерва, 43, стр.1	ул. Перерва 43 к. 1	Марьино	ЮВАО
117	Ярмарка выходного дня на ул. Аэрофлотская, вл.8А	Аэрофлотская ул. 8А с. 1	Внуково	ЗАО
118	Ярмарка выходного дня на Ленинградский пр-т, вл. 33, к. 1	Ленинградский просп. 33 к. 1	Беговой	САО
119	Ярмарка выходного дня на ул. Удальцова, 75А	ул. Удальцова 75А	Проспект Вернадского	ЗАО
120	Ярмарка выходного дня на Лианозовском проезде, вл.1	Лианозовский пр. 1	Лианозово	СВАО
121	Ярмарка выходного дня на ул. 800-летия Москвы, вл. 11, корп. 6	ул. 800-летия Москвы 11 к. 6	Восточное Дегунино	САО
122	3-я Радиаторская	3-я Радиаторская ул. 5 к. 1	Войковский	САО
123	Ярмарка выходного дня на 3-я Радиаторская ул. вл.5	3-я Радиаторская ул. 5 к. 1	Войковский	САО
124	Ярмарка выходного дня на Булатниковском проезде, вл.14	Булатниковский пр. 14 к. 6	Бирюлево Западное	ЮАО
125	Ярмарка выходного дня на ул. Фестивальная д. 21-25	Фестивальная ул. 21	Левобережный	САО
126	Ярмарка выходного дня	1-й пр. Марьиной рощи	Марьина роща	СВАО
127	Ярмарка на Бунинской аллее, д.9	ул. Бунинская Аллея 9	Южное Бутово	ЮЗАО
128	Ярмарка Выходного дня на ул. Старобитцевская, 19 (напротив)	Старобитцевская ул. 19 к. 1	Северное Бутово	ЮЗАО
129	Ярмарка выходного дня на ул. Рокотова, вл. 5	ул. Рокотова 5	Ясенево	ЮЗАО
130	Ярмарка выходного дня на Мичуринский пр-т, Олимпийская деревня, вл.3	ул. Мичуринский Проспект, Олимпийская Деревня 3	Тропарево-Никулино	ЗАО
131	Ярмарка выходного дня на ул. Маршала Катукова, вл. 8	ул. Маршала Катукова 8	Строгино	СЗАО
132	Ярмарка выходного дня на ул. Маршала Тухачевского, вл. 32-34	ул. Маршала Тухачевского 32	Хорошево-Мневники	СЗАО
133	Ярмарка выходного дня на ул. Щукинская, вл. 42	Щукинская ул. 42	Щукино	СЗАО
134	Ярмарка выходного дня на Пятницкое шоссе, вл. 18	Пятницкое шоссе 18	Митино	СЗАО
135	Ярмарка выходного дня на б-ре Яна Райниса, вл.2 (сквер)	бульв. Яна Райниса 2	Северное Тушино	СЗАО
136	Ярмарка выходного дня на ул. Туристская, вл.6	Туристская ул. 6 к. 1	Южное Тушино	СЗАО
137	Ярмарка выходного дня на ул.Тушинская, вл. 15	Тушинская ул. 17	Покровское-Стрешнево	СЗАО
138	Ярмарка выходного дня на площади Юности	Зеленоград, пл. Юности	Матушкино	ЗелАО
139	Ярмарка выходного дня на у Михайловских прудов (15 микрорайон)	Зеленоград  к. 1550	Крюково	ЗелАО
140	Ярмарка выходного дня на ул.Гримау д.12	ул. Гримау 12	Академический	ЮЗАО
141	Ярмарка выходного дня на ул. Новочеремушкинской 53 А	Новочерёмушкинская ул. 53А	Черёмушки	ЮЗАО
142	Ярмарка выходного дня на ул. Цандера, д. 7/2А	ул. Цандера 7 к. 2А	Останкинский	СВАО
143	Ярмарка выходного дня на ул. Наташи Ковшовой вл. 6-8	ул. Наташи Ковшовой 6	Очаково-Матвеевское	ЗАО
144	Ярмарка выходного дня на ул. Западной вл.1	Западная ул. 1	Восточный	ВАО
145	Ярмарка выходного дня на пересечении ул. Толбухина с ул. Барвихинская	ул. Маршала Неделина 4	Можайский	ЗАО
146	Ярмарка выходного дня, Чонгарский б-р, вл.7	Чонгарский бульв. 7/1	Нагорный	ЮАО
147	Лухмановская 6	Лухмановская ул. 5	Косино-Ухтомский	ВАО
148	Ярмарки выходного дня на ул. Нагатинской вл. 35	Нагатинская ул. 35 к. 3	Нагатино-Садовники	ЮАО
149	Ярмарки выходного дня на Нагатинской набережной вл. 20-22	Нагатинская наб. 22	Нагатино-Садовники	ЮАО
150	Ярмарка выходного дня на проспект Вернадского, вл. 7	просп. Вернадского 7	Гагаринский	ЮЗАО
