№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
1584	Ремонт фасадов ЦАО и исторической часть города	Маросейка ул., д.9/2, стр.1	28.06.2012	31.12.2012
1585	Ремонт фасадов ЦАО и исторической часть города	Маросейка ул., д.6/8, стр.1 а-в	28.06.2012	31.12.2012
1586	Ремонт фасадов ЦАО и исторической часть города	Машкова ул., д.10, стр.1	28.06.2012	31.12.2012
1587	Лифты	Кустанайская ул., д.3, к.1	12.04.2012	31.12.2012
1588	Лифты	Лебедянская ул., д.22	12.04.2012	31.12.2012
1589	Лифты	Лебедянская ул., д.28	06.12.2011	31.12.2012
1590	Лифты	Медынская ул., д.11, к.1	12.04.2012	31.12.2012
1591	Лифты	Миклухо-Маклая ул. д.53 к.1	12.04.2012	31.12.2012
1592	Лифты	Украинский б-р, д.3/5, к.2	12.04.2012	31.12.2012
1593	Лифты	Бескудниковский б-р, д.15, к.1	17.07.2012	31.12.2012
1594	Лифты	Бескудниковский б-р, д.15, к.1	12.04.2012	31.12.2012
1595	Лифты	Нижнелихоборский 3-й пр., д.16а, к.1	12.04.2012	31.12.2012
1596	Лифты	Челюскинская ул., д.4, к.2	12.04.2012	31.12.2012
1597	Лифты	Новосущёвская ул., д.14а	12.04.2012	31.12.2012
1598	Лифты	Смоленская ул., д.10, с.1	12.04.2012	31.12.2012
1599	Лифты	Смоленская ул., д.10, с.1	10.04.2012	31.12.2012
1600	Лифты	Тружеников 1-й пер., д.19	12.04.2012	31.12.2012
1601	Лифты	Рогожский Вал ул., д.7/1	11.07.2012	31.12.2012
1602	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.14/16, стр.1	01.06.2012	27.08.2012
1603	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.34, стр.4	01.06.2012	27.08.2012
1604	Ремонт фасадов ЦАО и исторической часть города	Тверская-Ямская 4-я ул., д.2/11, стр.1	01.06.2012	27.08.2012
1605	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.23, стр.1	01.06.2012	27.08.2012
1606	Лифты	Люблинская ул., д.17, стр.3	12.04.2012	31.12.2012
1607	Лифты	Свободный просп., д.37/18, к.2	16.12.2011	31.12.2012
1608	Лифты	Свободный просп., д.37/18, к.2	12.04.2012	31.12.2012
1609	Лифты	Победы пл., д.1а	23.07.2012	31.12.2012
1610	Лифты	Победы пл., д.1а	12.04.2012	31.12.2012
1611	Лифты	Победы пл., д.1а	06.12.2011	31.12.2012
1612	Лифты	Ивана Франко ул., д.38	06.12.2011	31.12.2012
1613	Лифты	Ивана Франко ул., д.40	06.12.2011	31.12.2012
1614	Лифты	Вилиса Лациса ул., д.37, к.1	08.12.2011	31.12.2012
1615	Лифты	Вилиса Лациса ул., д.37, к.1	12.04.2012	31.12.2012
1616	Лифты	Загорьевская ул., д.23, к.2	08.12.2011	31.12.2012
1617	Лифты	Вольская 1-я ул., д.17	06.12.2011	31.12.2012
1618	Лифты	Котельническая наб., д.1/15б	10.04.2012	31.12.2012
1619	Лифты	Котельническая наб., д.1/15в	10.04.2012	31.12.2012
1620	Лифты	Тверская ул., д.4, к.1	10.04.2012	31.12.2012
1621	Лифты	Тверская ул., д.6, к.1	10.04.2012	31.12.2012
1622	Лифты	Тихвинский пер., д.10, к.9	10.04.2012	31.12.2012
1623	Лифты	Комсомольский просп., д.37/14	10.04.2012	31.12.2012
1624	Лифты	Факельный Большой пер., д.2/22	10.04.2012	31.12.2012
1625	Лифты	Фрунзенская наб., д.14	10.04.2012	31.12.2012
1626	Лифты	Чистый пер., д.6	10.04.2012	31.12.2012
1627	Лифты	Автозаводская ул., д.13, к.1	10.04.2012	31.12.2012
1628	Лифты	Варшавское ш., д.62	10.04.2012	31.12.2012
1629	Лифты	Варшавское ш., д.66	10.04.2012	31.12.2012
1630	Лифты	Варшавское ш., д.75	10.04.2012	31.12.2012
1631	Лифты	Речников ул., д.28, к.1	10.04.2012	31.12.2012
1632	Лифты	Добролюбова ул., д.18	10.04.2012	31.12.2012
1633	Лифты	Киевская ул., д.20	12.04.2012	31.12.2012
1634	Лифты	Киевская ул., д.20	10.04.2012	31.12.2012
1635	АУУ / УУТЭ	1905 Года ул., д.5	09.08.2012	31.12.2012
1636	Лифты	Грузинская Малая ул., д.12	11.07.2012	31.12.2012
1637	Лифты	Ленинский просп., д.102	23.07.2012	31.12.2012
1638	Лифты	Ленинский просп., д.102	12.04.2012	31.12.2012
1639	Лифты	Мосфильмовский 2-й пер., д.21	23.07.2012	31.12.2012
1640	Лифты	Ленинский просп. д.90	12.04.2012	31.12.2012
1641	Лифты	Ленинский просп. д.90	12.04.2012	31.12.2012
1642	Лифты	Ленинский просп. д.86	12.04.2012	31.12.2012
1643	Лифты	Ленинский просп. д.86	12.04.2012	31.12.2012
1644	Лифты	Крупской ул. д.8 к.1	12.04.2012	31.12.2012
1645	Лифты	Фруктовая ул., д.3а	10.04.2012	31.12.2012
1646	Лифты	Академика Бакулева ул. д.6, к.1	11.07.2012	31.12.2012
1647	Лифты	Академика Бакулева ул. д.6, к.1	12.04.2012	31.12.2012
1648	Лифты	Маршала Бирюзова ул., д.8	10.04.2012	31.12.2012
1649	Лифты	Маршала Малиновского ул., д.6	10.04.2012	31.12.2012
1650	Лифты	Озёрная ул., д.13	12.04.2012	31.12.2012
1651	Лифты	Мичуринский Проспект, Олимпийская Деревня ул., д.18	23.07.2012	31.12.2012
1652	Лифты	Нежинская ул., д.21	23.07.2012	31.12.2012
1653	Лифты	Нежинская ул., д.21	12.04.2012	31.12.2012
1654	Лифты	Нежинская ул., д.19, к.2	23.07.2012	31.12.2012
1655	Лифты	Нежинская ул., д.19, к.1	23.07.2012	31.12.2012
1656	Лифты	Академика Анохина ул., д.6, к.2	12.04.2012	31.12.2012
1657	Лифты	Веерная ул., д.7, к.2	12.04.2012	31.12.2012
1658	Лифты	Веерная ул., д.7, к.2	23.07.2012	31.12.2012
1659	Лифты	Матвеевская ул., д.6	23.07.2012	31.12.2012
1660	Лифты	Славянский б-р, д.1	12.04.2012	31.12.2012
1661	Подъемные платформы и работы по ММГН	Лобачевского ул., д.100, к.2	09.08.2012	31.12.2012
1662	Лифты	Удальцова ул., д.89, к.2	13.04.2012	31.12.2012
1663	Лифты	Винницкая ул., д.9, к.1	12.04.2012	31.12.2012
1664	Лифты	Вернадского просп., д.93	12.04.2012	31.12.2012
