№ строки	Название объекта	Адрес	Регистрационный знак аттракциона	Допуск к эксплуатации	Вид парка
139	Аттракцион Вертолеты	ГУК Бабушкинский ПКиО	0355-77	допущен	окружные парки
140	Аттракцион Автодром	ГУК Бабушкинский ПКиО	1289-77	допущен	окружные парки
141	Аттракцион Карусель самолеты	ГУК Бабушкинский ПКиО	1450-77	допущен	окружные парки
142	Аттракцион Корабль	ГУК Бабушкинский ПКиО	1451-77	допущен	окружные парки
143	Аттракцион Детское колесо обозрения	ГУК Бабушкинский ПКиО	1452-77	допущен	окружные парки
144	Аттракцион Манеж	ГУК Перовский ПКиО	01286-77	допущен	окружные парки
145	Аттракцион Джипы	ГУК Перовский ПКиО	01423-77	допущен	окружные парки
146	Аттракцион Качалка Вертолет	ГУК Перовский ПКиО	0929-77	допущен	окружные парки
147	Аттракцион Качалка Лошадка	ГУК Перовский ПКиО	0930-77	допущен	окружные парки
148	Аттракцион Сказка	ГУК Перовский ПКиО	0864-77	допущен	окружные парки
149	Аттракцион Детская железная дорога АССОРТИ	ГУК Перовский ПКиО	0577-77	допущен	окружные парки
150	Аттракцион Лодка бамперная Китенок	ГУК Перовский ПКиО	0290-77	допущен	окружные парки
151	Аттракцион Лодка бамперная Китенок	ГУК Перовский ПКиО	0291-77	допущен	окружные парки
152	Аттракцион Мини-карусель Колибри	ГУК Перовский ПКиО	0655-77	допущен	окружные парки
153	Аттракцион Мини-Джет Пират	ПКиО Северное Тушино	01436-77	Допущен	окружные парки
154	Аттракцион Мини-поезд	ПКиО Северное Тушино	0632-77	Допущен	окружные парки
155	Аттракцион Автодром-детский	ПКиО Северное Тушино	0633-77	Допущен	окружные парки
156	Аттракцион Цепочная карусель	ПКиО Северное Тушино	0626-77	Допущен	окружные парки
157	Аттракцион Осьминог	ПКиО Северное Тушино	0628-77	Допущен	окружные парки
158	Аттракцион Пещера ужасов	ПКиО Северное Тушино	0631-77	Допущен	окружные парки
159	Аттракцион Большой автодром	ПКиО Северное Тушино	0298-77	Допущен	окружные парки
160	Аттракцион Качели-Лодочки	ПКиО Северное Тушино	01448-77	Допущен	окружные парки
161	Аттракцион Катальная гора Лохнесское чудовище	ПКиО Северное Тушино	01435-77	Допущен	окружные парки
162	Аттракцион Виртуальная реальность	ПКиО Северное Тушино	0630-77	Допущен	окружные парки
163	Аттракцион Летающий дракон	ПКиО Северное Тушино	0634-77	Допущен	окружные парки
164	Аттракцион Мотолодки	ПКиО Северное Тушино	0629-77	Допущен	окружные парки
165	Аттракцион Каноэ	ПКиО Северное Тушино	01449-77	Допущен	окружные парки
166	Аттракцион Качалка Полицейская машина	ПКиО Северное Тушино	0832-77	Не допущен	окружные парки
167	Аттракцион Орбита-420	КПСК Останкино	0240-77	Допущен	окружные парки
168	Аттракцион Юнга	КПСК Останкино	0239-77	Допущен	окружные парки
169	Аттракцион Лошадки	КПСК Останкино	0236-77	Допущен	окружные парки
170	Аттракцион Вальс	КПСК Останкино	0282-77	Допущен	окружные парки
171	Аттракцион Солнышко	КПСК Останкино	0238-77	Допущен	окружные парки
172	Аттракцион Автодром	КПСК Останкино	0284-77	Допущен	окружные парки
173	Аттракцион Колокольчик	КПСК Останкино	0237-77	Допущен	окружные парки
174	Аттракцион Олени	КПСК Останкино	0235-77	Допущен	окружные парки
175	Аттракцион Полет	КПСК Останкино	0280-77	Допущен	окружные парки
176	Аттракцион Цепочка	КПСК Останкино	0281-77	Допущен	окружные парки
177	Аттракцион Ралли	КПСК Останкино	0286-77	Допущен	окружные парки
178	Аттракцион Лебеди	КПСК Останкино	0690-77	Допущен	окружные парки
179	Аттракцион Карнавал	КПСК Останкино	0285-77	Допущен	окружные парки
180	Аттракцион Джипы	КПСК Останкино	0287-77	Допущен	окружные парки
181	Аттракцион Гусеница	КПСК Останкино	0528-77	Допущен	окружные парки
182	Аттракцион Динозавры	КПСК Останкино	0392-77	Допущен	окружные парки
183	Аттракцион Танец Слонов	КПСК Останкино	0729-77	Допущен	окружные парки
184	Аттракцион Чудо-Яйца	КПСК Останкино	0861-77	Допущен	окружные парки
185	Аттракцион Большая цепная карусель / Карусель «Family Swinger»	ГУК Измайловский ПКиО	1470-77	допущен	городские парки
186	Аттракцион Wonder Flight	ГУК Измайловский ПКиО	1445-77	допущен	городские парки
187	Аттракцион Карусель Сказка	ГУК ПКиО Таганский	1501-77	допущен	окружные парки
188	Аттракцион Поросята	ГУК Лианозовский ПКиО	0497-77	не допущен	окружные парки
189	Аттракцион Качалка утенок Дональд	ГУК Лианозовский ПКиО	01212-77	Допущен	окружные парки
190	Аттракцион Качалка ослик	ГУК Лианозовский ПКиО	01208-77	Допущен	окружные парки
191	Аттракцион Качалка крокодил	ГУК Лианозовский ПКиО	01210-77	Допущен	окружные парки
192	Аттракцион Качалка белочка	ГУК Лианозовский ПКиО	01199-77	Допущен	окружные парки
193	Аттракцион Качалка телефон	ГУК Лианозовский ПКиО	01200-77	Допущен	окружные парки
