№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
2997	77:01:0001065:26	ул Большая Никитская    (г Москва, ул Большая Никитская, вл 44/15, стр 2, 3)	2400.00000000000	эксплуатации зданий историко-культурного назначения
2998	77:08:0009005:1000	ул Академика Бочвара    (г. Москва, улица Академика Бочвара, вл. 4А)	228.22000000000	для эксплуатации производственно-бытового корпуса
2999	77:01:0006026:238	ул Станиславского    (г. Москва, ул. Станиславского, вл. 6, стр. 1)	477.00000000000	эксплуатации здания в административных целях и благоустройства территории
3000	77:10:0002007:34	     (г. Москва, Зеленоград, корпус 803А)	200.00000000000	земельные участки, предназначенные для размещения объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития наземных и подземных зданий, строений, сооружений, устройств энергетики (1.2.13)
3001	77:05:0010003:202	ул Бирюлевская    (г Москва, ул Бирюлевская, вл 30Г)	117.00000000000	эксплуатации газорегуляторного пункта № 375
3002	77:01:0006023:220	ул Воронцовская    (г Москва, ул Воронцовская, вл 14/14, стр 1, 2)	2545.00000000000	эксплуатации зданий поликлиники и благоустройства территории
3003	77:07:0001002:35	ул Крылатские Холмы    (г Москва, улица Крылатские Холмы, вл 30, корпус 2)	4882.00000000000	РАЗМЕЩЕНИЯ И ПОСЛЕДУЮЩЕЙ ЭКСПЛУАТАЦИИ ОНКОЛОГИЧЕСКОГО ОТДЕЛЕНИЯ ПОЛИКЛИНИКИ №195, КОЖНО-ВЕНЕРОЛОГИЧЕСКОГО ДИСПАНСЕРА №7 И ЗДАНИЯ АРХИВА
3004	77:06:0011003:95	ул Знаменские Садки    (г Москва, ул Знаменские Садки, вл 1Г)	7800.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
3005	77:04:0004011:22	ул Краснодонская    (г Москва, ул Краснодонская, вл 37, корпус 4)	8693.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
3006	77:08:0001004:32	ш Куркинское    (г Москва, ш Куркинское, вл 29)	208127.00000000000	эксплуатации больницы
3007	77:07:0007002:18	проезд Резервный    (г Москва, проезд Резервный, вл 10)	3836.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
3008	77:06:0009006:21	ул Рокотова    (г Москва, ул Рокотова, вл 8, корпус 4)	8733.00000000000	эксплуатации имущественного комплекса начальной школы-детского сада без права изменения функционального назначения
3009	77:05:0008004:52	ул Чертановская    (г Москва, ул Чертановская, вл 62, корпус Б)	9327.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
3010	77:04:0004012:20	ул Краснодарская    (г Москва, Краснодарская улица, вл 61, стр 1)	9682.00000000000	эксплуатации здания и прилегающей территории дошкольного учреждения
3011	77:01:0006008:6	пер 1-й Добрынинский    (г Москва, пер 1-й Добрынинский, вл 4/2)	768.00000000000	эксплуатации здания под учебные цели и благоустройство территориии
3012	77:05:0003004:186	ул Болотниковская    (г Москва, ул Болотниковская, вл 2, корпус 2)	8115.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
3013	77:06:0012004:1007	     (г. Москва, ул. Адмирала Лазарева, вл. 13)	4734.00000000000	земельные участки, предназначенные для размещения объектов образования (1.2.7)
3014	77:02:0010003:48	ул Напрудная 2-я    (г Москва, ул Напрудная 2-я, вл 17, стр 1)	17799.00000000000	эксплуатации здания школы
3015	77:02:0008005:87	ул Санникова    (г Москва, ул Санникова, вл 3, корпус 3)	19200.00000000000	ЭКСПЛУАТАЦИИ здания школы
3016	77:06:0008011:46	ул Тарусская    (г Москва, ул Тарусская, вл 6, корпус 2)	8734.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
3017	77:02:0013002:12	ш Ярославское    (г Москва, ш Ярославское, вл 147)	12752.00000000000	эксплуатации здания школы
3018	77:09:0001021:59	ш Ленинградское    (г Москва, ш Ленинградское, вл 30)	8348.00000000000	ОСУЩЕСТВЛЕНИЯ ВОСПИТАТЕЛЬНО-ОБРАЗОВАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
3019	77:08:0008008:11	ул Кулакова    (г Москва, ул Кулакова, вл 23, корпус 1)	2851.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ
3020	77:02:0023003:123	ул Кибальчича    (г Москва, ул Кибальчича, вл 3а)	6518.00000000000	эксплуатации здания дошкольного образовательного учреждения
3021	77:10:0005005:48	проезд 4923-й    (г Москва, г Зеленоград, проезд № 4923, д 4)	9150.00000000000	эксплуатации здания и сооружения с целью размещения медицинского училища
3022	77:06:0005009:46	кв-л Новые Черемушки 32а    (адресные ориентиры: Новые Черемушки 32а квартал , корпус 13)	8995.00000000000	эксплуатации имущественного комплекса школы-детского сада без права изменения функционального назначения
3023	77:01:0001054:33	ул Пречистенка    (г Москва, ул Пречистенка, вл 37, стр 1, 3, 4, 5, 6)	3445.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ И ХОЗЯЙСТВЕННЫХ ПОСТРОЕК ПОД ЛЕЧЕБНОЕ УЧРЕЖДЕНИЕ И БЛАГОУСТРОЙСТВА ТЕРРИТОРИИ
3024	77:09:0002028:88	ул Дубнинская    (г Москва, ул Дубнинская, вл 16)	8893.00000000000	эксплуатации детских сад-начальная школа
3025	77:04:0003001:41	проезд Кожуховский 3-й    (г Москва, проезд 3-й Кожуховский, д 3А, стр 1)	9428.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ШКОЛЫ
3026	77:01:0006026:139	пер Пестовский    (г. Москва, Пестовский пер., вл. 2, стр. 1)	1400.00000000000	для эксплуатации зданий историко-культурного назначения
3027	77:01:0001057:102	пер Денежный    (г Москва, пер Денежный, вл 24, стр 3)	201.00000000000	эксплуатации здания под медицинские цели.
3028	77:09:0003020:1000	ул Приорова    (г. Москва, ул. Приорова, вл. 7)	4652.00000000000	эксплуатация здания в учебно-воспитательных целях (земельные участки, предназначенные для размещения административных и офисных зданий, объектов образования, науки, здравоохранения и социального обеспечения, физической культуры и спорта, культуры, искусс
3029	77:10:0002005:55	     (адресные ориентиры: 9-й микрорайон, корп. 904-А)	8883.00000000000	эксплуатации здания и сооружений с целью организации учебно-воспитательного процесса детей
3030	77:01:0002026:60	ул Верхняя Радищевская    (г Москва, ул Верхняя Радищевская, вл 7, стр 2,3)	835.00000000000	эксплуатации зданий под административные цели с благоустройством прилегающей к зданиям территории
3031	77:01:0004012:35	пер Красина    (г Москва, пер Красина, вл 20, стр 1)	4978.00000000000	эксплуатации общеобразовательной шкoлы
3032	77:01:0002018:95	ул Пятницкая    (г Москва, ул Пятницкая, вл 1/2, стр 1)	1000.00000000000	эксплуатации зданий историко-культурного назначения
3033	77:09:0002022:31	б-р Бескудниковский    (г Москва, б-р Бескудниковский, вл 53)	21167.00000000000	ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
3034	77:04:0002008:9	проезд 4-й Вешняковский    (г Москва, 4-й Вешняковский проезд, дом 3, стр.1)	8896.00000000000	эксплуатации здания детского сада без права капитального строительства в технической зоне
3035	77:06:0003009:16	ул Профсоюзная    (г Москва, ул Профсоюзная, вл 38, корпус 2)	4300.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения.
3036	77:03:0008001:42	ул Главная    (г Москва, ул Главная, вл 9А, стр 1)	17055.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3037	77:10:0002002:23	мкр 4-Й    (г Москва, 4-й микрорайон г Зеленограда, корпус 429А)	18122.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
3038	77:02:0006002:41	ул Полярная    (г Москва, ул Полярная, вл 17, корпус 5)	11183.00000000000	ИСПОЛЬЗОВАНИЯ ТЕРРИТОРИИ И ЭКСПЛУАТАЦИИ здания детского сада
3039	77:08:0002011:68	ул Дубравная    (г Москва, ул Дубравная, вл 35, корпус 2)	8815.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА ДЕЛЬФИНЕНОК
3040	77:07:0013006:65	пр-кт Вернадского    (г Москва, пр-кт Вернадского, вл 30)	6841.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ
3041	77:05:0004003:108	ул Нагатинская    (г Москва, ул Нагатинская, вл 4, корпус 2)	12676.00000000000	эксплуатации здания колледжа
3042	77:01:0001096:64	ул Садовая-Каретная    (г Москва, ул Садовая-Каретная, вл 4-6, стр 7)	3403.00000000000	эксплуатации здания и прилегающей территории под учебные цели
3043	77:06:0007007:7	ул Академика Варги    (г Москва, ул Академика Варги, д 2Б)	5593.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
3044	77:01:0006026:84	пер Дровяной Б.    (г. Москва, Дровяной Б. пер., вл. 13 стр. 1, 3)	1550.00000000000	для эксплуатации зданий историко-культурного назначения
3045	77:03:0009004:104	ул Новокосинская    (г Москва, ул Новокосинская, вл 12Б)	9575.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ДЕТСКАЯ ЛИЧНОСТЬ И БЛАГОУСТРОЙСТВА ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3046	77:07:0004003:86	ул ЯРЦЕВСКАЯ    (г Москва, ул Ярцевская, вл 11, корпус 4)	9879.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
3047	77:07:0015003:1002	ул Авиаторов    (г. Москва, ул. Авиаторов, вл. 8, корп. 1А)	279.00000000000	эксплуатация защитного сооружения типа «А» под спецназначение
3048	77:08:0002005:25	ул Барышиха    (г Москва, ул Барышиха, вл 32)	16775.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
3049	77:02:0006003:149	проезд Дежнева    (г Москва, проезд Дежнева, вл 8, корпус 1)	12560.00000000000	эксплуатации помещений детского сада
3050	77:05:0007002:156	ул Кировоградская    (г Москва, ул Кировоградская, вл 16А)	11743.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
3051	77:01:0004002:193	ул Краснопролетарская    (г Москва, ул Краснопролетарская, вл 6А, стр 1)	4411.00000000000	эксплуатации здания и территории под учебные цели
3052	77:02:0019011:16	ул Ростокинская    (г. Москва, ул. Ростокинская, вл. 7)	7099.00000000000	эксплуатации здания школы
3053	77:06:0004001:112	ул Кедрова    (г Москва, ул Кедрова, вл 13, корпус 1)	1416.00000000000	эксплуатации прогулочной площадки детского сада
3054	77:08:0008008:31	ул Таллинская    (г Москва, ул Таллинская, вл 11, корпус 2)	10848.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА №1886
3055	77:03:0009004:5	ул Новокосинская    (г Москва, ул Новокосинская, вл 42)	6419.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3056	77:05:0004012:54	наб Коломенская    (г Москва, наб Коломенская, вл 8)	18912.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ  ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
3057	77:01:06025:008	Таганская улица, вл. 13,  Стр.3	0.00000000000	ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
3058	77:01:0003010:40	пер Токмаков    (г. Москва, Токмаков пер., вл. 8)	4597.00000000000	эксплуатации музыкальной школы и школы искусств
3059	77:07:0004008:55	ул Ивана Франко    (г Москва, улица Ивана Франко, вл 28, корпус 3)	7266.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
3060	77:05:0011009:92	проезд Гурьевский    (г Москва, проезд Гурьевский, вл 31, корпус 3)	11212.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
3061	77:06:0011005:8	ул Академика Глушко    (г Москва, ул Академика Глушко, вл 16Б)	6533.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО УЧРЕЖДЕНИЯ БЕЗ ИЗМЕНЕНИЯ ФУНКЦИОНАЛЬНОГО НАЗНАЧЕНИЯ
3062	77:04:0004017:1	ул Краснодонская    (г Москва, ул Краснодонская, вл 38)	9390.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ УЧЕБНОГО ЗАВЕДЕНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3063	77:06:0009006:27	проезд Соловьиный    (г Москва, проезд Соловьиный, вл 4, корпус 3)	15965.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения.
3064	77:10:0004003:29	ул 5 микрорайон    (АДРЕСНЫЕ ОРИЕНТИРЫ: 5 МКР., КОРПУС 517-А)	11276.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
3065	77:06:0004010:27	ул Херсонская    (г Москва, ул Херсонская, вл 30, корпус 3)	8000.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
3066	77:06:0008004:67	ул Генерала Антонова    (г Москва, ул Генерала Антонова, вл 4А)	14798.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
3067	77:02:0011003:32	ул Осташковская    (г Москва, ул Осташковская, вл 11, стр 1)	2461.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ИЗОЛЯТОРА ВРЕМЕННОГО СОДЕРЖАНИЯ
3068	77:02:0003005:47	ул Бибиревская    (г Москва, ул Бибиревская, д 5)	17548.00000000000	использования территории и эксплуатации здания школы
3069	77:08:0010004:110	проезд НОВОХОРОШЕВСКИЙ    (г Москва, проезд Новохорошевский, вл 1)	9314.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ КОЛЛЕДЖА
3070	77:05:0010004:173	ул ЛИПЕЦКАЯ    (г Москва, ул Липецкая, вл 38)	9098.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
3071	77:02:0023004:42	ул Космонавтов    (г Москва, ул Космонавтов, вл 14, стр 1)	8381.00000000000	эксплуатации здания дошкольного учреждения
3072	77:01:0003042:142	ул Большая Спасская    (г Москва, ул Большая Спасская, вл 17)	5799.00000000000	эксплуатации здания и территории под учебные цели
3073	77:06:0004005:68	ул Цюрупы    (г Москва, ул Цюрупы, вл 10, стр 3)	4039.00000000000	эксплуатации здания школы без права изменения функционального назначения
3074	77:05:0004007:10	пр-кт Андропова    (г Москва, пр-кт Андропова, д 17, корпус 5)	13542.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ГИМНАЗИИ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
3075	77:04:0003008:52	ул Полбина    (г Москва, ул Полбина, вл 38)	17152.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
3076	77:09:0002017:32	ул Новая    (адресные ориентиры: УЛ. НОВАЯ ВЛ. 12)	4498.00000000000	эксплуатации детских яслей-сада
3077	77:04:0001015:10	ул Нижегородская    (г Москва, ул Нижегородская, вл 67, стр 1)	9417.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
3078	77:10:0005005:20	     (г Москва, г Зеленоград, корпус 711)	13443.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
3079	77:06:0007001:27	пр-кт Ленинский    (г Москва, пр-кт Ленинский, вл 131, корпус 4)	16497.00000000000	эксплуатации здания начальной школы и плоскостных спортивных сооружений
3080	77:06:0004007:15	ул Новочеремушкинская    (г Москва, ул Новочеремушкинская, дом 64, корпус 6)	14811.00000000000	эксплуатации здания детско-юношеской спортивной школы
3081	77:01:0006031:34	ул Рабочая    (г Москва, ул Рабочая, вл 12, стр 1,2)	8527.00000000000	эксплуатации здания под учебно-воспитательную деятельность без права коммерческого использования
3082	77:01:0002025:61	ул Нижняя Радищевская    (г Москва, ул Нижняя Радищевская, вл 12, стр 1,2)	460.00000000000	эксплуатации зданий в административных целях
3083	77:04:0004019:47	б-р Новочеркасский    (г Москва, Новочеркасский бульвар, вл 48)	8643.00000000000	эксплуатации существующих строений поликлиники
3084	77:05:0011002:106	ул Домодедовская    (г Москва, ул Домодедовская, вл 6, корпус 3)	8570.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
3085	77:05:0011010:105	ш КАШИРСКОЕ    (г Москва, ш Каширское, вл 53, корпус 7)	8739.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
3086	77:04:0005001:133	ул Пронская    (г Москва, ул Пронская, д 4, корпус 2)	8887.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
3087	77:09:0003020:47	ул Большая Академическая    (г Москва, ул Большая Академическая, вл 26)	4406.00000000000	эксплуатации детского сада.
3088	77:07:0014004:35	ул Никулинская    (г Москва, ул Никулинская, вл 7)	8180.00000000000	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
3089	77:01:0006025:58	ул Большая Коммунистическая    (г Москва, ул Большая Коммунистическая, вл 4, стр 1, 3)	3200.00000000000	эксплуатации зданий историко-культурного назначения
3090	77:01:0004018:55	пер Большой Кондратьевский    (г Москва, пер Большой Кондратьевский, вл 5, стр 1)	3829.00000000000	эксплуатации здания под учебно-воспитательные цели
3091	77:01:0004008:26	пер Угловой    (г Москва, пер Угловой, вл 6, стр 2)	3493.00000000000	эксплуатации здания и территории под учебно-воспитательную деятельность
3092	77:08:0002007:61	пер Митинский 3-й    (АДРЕСНЫЕ ОРИЕНТИРЫ: МИКР. №6, 3-ИЙ МИТИНСКИЙ ПЕР., Д.12, КОРП.1)	7968.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ №1747
3093	77:04:0004019:36	ул Донецкая    (г Москва, ул Донецкая, вл 21)	8100.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3094	77:09:0005003:25	ул Новопесчаная    (г Москва, ул Новопесчаная, д 23/7, корпус 35)	872.00000000000	осуществления учебно-воспитательной деятельности
3095	77:09:0005003:23	пер Чапаевский    (г Москва, пер Чапаевский, вл 4)	5563.00000000000	эксплуатации здания поликлиники и прилегающей к нему территории в целях здравоохранения
3096	77:08:0006005:1	ул Свободы    (г Москва, ул Свободы, дом 10)	5116.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ТЕАТРА
3097	77:01:0005012:20	ул Усачёва    (г Москва, ул Усачёва, вл 1, стр 1)	97373.00000000000	реставрации и последующей эксплуатации зданий.
3098	77:02:0022006:16	ул Цандера    (г Москва, ул Цандера, вл 9)	2330.00000000000	эксплуатации поликлиники
3099	77:01:0005009:20	ул Савельева    (г Москва, ул Савельева, вл 5)	4542.00000000000	эксплуатации здания в образовательных целях и благоустройство территории.
3100	77:10:0002002:43	мкр 4-Й    (г Москва, 4-й микрорайон г Зеленограда, корпус 448А)	9332.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
3101	77:09:0004011:97	ул Хуторская 1-я    (г Москва, ул Хуторская 1-я, вл 3, стр 1)	5414.00000000000	эксплуатации здания скорой и неотложной помощи
3102	77:07:0007002:95	ул Дунаевского    (г Москва, ул Дунаевского, вл 5, стр 1)	7377.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
3103	77:02:0022013:2	ул Бочкова    (г Москва, ул Бочкова, вл 4а)	5752.00000000000	эксплуатации здания диспансера
3104	77:03:0007005:78	ул КОСИНСКАЯ    (г Москва, ул Косинская, вл 3)	10154.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ КОЖНО-ВЕНЕРОЛОГИЧЕСКОГО ДИСПАНСЕРА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ПОД БЛАГОУСТРОЙСТВО
3105	77:09:0003021:92	проезд Астрадамский    (г Москва, проезд Астрадамский, вл 5)	9142.00000000000	эксплуатации общеобразовательной школы
3106	77:02:0020002:22	ул Яблочкова    (г Москва, ул Яблочкова, вл 27)	4675.00000000000	эксплуатации административного здания
3107	77:05:0012001:92	б-р ОРЕХОВЫЙ    (г Москва, б-р Ореховый, вл 37, корп 4)	17810.00000000000	эксплуатации здания школы с прилегающим земельным участком
3108	77:03:0006011:38	ул 3-я Владимирская    (г Москва, ул 3-я Владимирская, вл 30-а)	15014.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3109	77:02:0012002:12	ул Стартовая    (г Москва, ул Стартовая, вл 4)	65174.00000000000	ЭКСПЛУАТАЦИИ КОМПЛЕКСА ЗДАНИЙ И СООРУЖЕНИЙ ЛЕЧЕБНОГО УЧРЕЖДЕНИЯ И ГОСТЕВОЙ АВТОСТОЯНКИ
3110	77:03:0004005:7	ш Измайловское    (г Москва, Измайловское шоссе, вл 4, стр 1)	2172.00000000000	эксплуатации зданий историко-культурного назначения
3111	77:04:0004008:73	ул Люблинская    (г Москва, ул Люблинская, вл 53)	163480.00000000000	ПОД ИСТОРИЧЕСКУЮ УСАДЬБУ ЛЮБЛИНО (ЗАПАДНАЯ ЧАСТЬ)
3112	77:06:0005002:32	ул Ремизова    (г Москва, ул Ремизова, вл 12)	10206.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
3113	77:04:0002016:16	ул Зеленодольская    (г Москва, ул Зеленодольская, вл 15, корпус 4)	13963.00000000000	ЭКСПЛУАТАЦИИ САНАТОРИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3114	77:10:0006005:25	ул 18 микрорайон    (АДРЕСНЫЕ ОРИЕНТИРЫ: 18-Й МИКРОРАЙОН, КОРПУС №1814)	4707.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
3115	77:09:0004012:47	ул Хуторская 2-я    (г Москва, ул 2-я Хуторская , вл 15/17)	4797.00000000000	ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
3116	77:03:0007006:49	ул Старый Гай    (г Москва, ул Старый Гай, вл 5)	1982.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3117	77:09:0002009:55	ул Софьи Ковалевской    (г Москва, ул Софьи Ковалевской, вл 6А)	10315.00000000000	эксплуатации детских яслей-сада
3118	77:06:0001007:1	ул Кравченко    (г Москва, ул  Кравченко, вл 14 и владение 14, строение 1)	4501.00000000000	эксплуатации имущественного комплекса поликлиники без права изменения функционального назначения
3119	77:05:0008003:16	ул Кировоградская    (г Москва, ул Кировоградская, вл 19, А)	18280.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
3120	77:03:0007006:69	ул Вешняковская    (г Москва, ул Вешняковская, вл 3А)	10313.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3121	77:03:0007006:66	ул Кетчерская    (г. Москва, Кетчерская улица, вл. 8Б)	9041.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3122	77:01:0001058:3	ул Арбат    (г Москва, ул Арбат, вл 53, стр 1/6)	2578.00000000000	эксплуатации земельных участков музеев
3123	77:08:0002023:1	ул Рословка    (г Москва, ул Рословка, вл 8)	9906.00000000000	эксплуатации здания школы № 2004
3124	77:08:0009005:7	ул Академика Бочвара    (г. Москва, ул. Академика Бочвара, вл. 2, корп. 2)	5438.00000000000	для эксплуатации учебно-производственных корпусов без права изменения функционального назначения объекта
3125	77:02:0015001:23	ул Менжинского    (г Москва, ул Менжинского, вл 21)	8481.00000000000	эксплуатации здания детского сада.
3126	77:06:0003009:112	ул Архитектора Власова    (г Москва, ул Архитектора Власова, вл 7, корпус 3)	4634.00000000000	эксплуатации имущественного комплекса центра без права изменения функционального назначения
3127	77:05:0011006:118	ул Генерала Белова    (г Москва, ул Генерала Белова, вл 55, корпус 2)	10740.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
3128	77:09:0001026:10	пер Лихачевский 3-й    (г Москва, 3-й Лихачевский переулок, вл 2Б)	23212.00000000000	эксплуатации лечебного комплекса
3129	77:02:0016005:83	ш Ярославское    (г. Москва, ш. Ярославское, вл. 8, корп. 3)	11369.00000000000	эксплуатации детского сада
3130	77:02:0019001:27	ул Бажова    (г Москва, ул Бажова, вл 11, корп 4)	6572.00000000000	использования территории и эксплуатации здания дома ребенка
3131	77:02:0008008:21	ул Отрадная    (г Москва, ул Отрадная, вл 15а)	9856.00000000000	эксплуатации здания дошкольного образовательного учреждения
