№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
78	77:01:0001071:7	ул Большая Бронная    (г Москва, ул Большая Бронная, вл 3, стр 1)	1757.00000000000	эксплуатации здания в лечебно-профилактических целях и благоустройства прилегающей территории
79	77:05:0004003:95	ш Варшавское    (г Москва, ш Варшавское, вл 49, корпус 2)	5389.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
80	77:10:0004006:7	пл Центральная    (г. Москва, Зеленоград, Центральная площадь, дом 1)	22800.00000000000	земельные участки, предназначенные для размещения объектов культуры (1.2.7)
81	77:06:0003008:39	ул Вавилова    (г Москва, ул Вавилова, вл 71, стр 2)	74.00000000000	эксплуатации здания хранилища рентгеновских пленок
82	77:05:0003001:19	проезд Нагорный    (г Москва, проезд Нагорный, вл 12Г, стр 1, 5, 6, 7, 15)	8181.00000000000	эксплуатации зданий и сооружений существующей дорожно-транспортной базы
83	77:03:0002016:67	ул Новосибирская    (г Москва, ул Новосибирская, вл 8А)	20100.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И БЛАГОУСТРОЙСТВА ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
84	77:02:0022006:71	ул Аргуновская    (г Москва, ул Аргуновская, вл 12, корпус 3)	9269.00000000000	эксплуатации здания детского сада
85	77:07:0004003:66	ул Бобруйская    (г Москва, ул Бобруйская, вл 7, стр 1)	7414.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНЫЕ ЦЕЛИ
86	77:07:0004003:57	ул Партизанская    (г Москва, ул Партизанская, вл 39)	15629.00000000000	ЭКСПЛУАТАЦИИ ШКОЛЫ
87	77:07:0004003:41	ул Партизанская    (г Москва, ул Партизанская, вл 23)	5408.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ДОМА КУЛЬТУРЫ ЗОДЧИЕ
88	77:05:0005008:80	ул Бакинская    (г Москва, ул Бакинская, вл 31, стр 1, 2, 3)	16727.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЙ И СООРУЖЕНИЙ СТАНЦИИ ПЕРЕЛИВАНИЯ КРОВИ
89	77:06:0005017:22	б-р Чонгарский	9710.00000000000	ЭКСПЛУАТАЦИИ УЧИЛИЩА
90	77:04:0004015:3	ул Белореченская    (г Москва, ул Белореченская, вл 11)	23078.00000000000	ЭКСПЛУАТАЦИИ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
91	77:04:0004007:8	ул Юных Ленинцев    (г Москва, улица Юных Ленинцев, дом 26А)	4457.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
92	77:04:0004005:4	ул Чугунные Ворота    (г Москва, ул Чугунные Ворота, д 11)	12176.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
93	77:02:0001007:6	ул Абрамцевская    (г Москва, ул Абрамцевская, вл 15а)	17579.00000000000	эксплуатации здания школы
94	77:01:0005002:8	пер 1-й Неопалимовский    (г Москва, пер Неопалимовский 1-й, вл 10, стр 10)	5030.00000000000	эксплуатации здания в учебно-воспитательных целях
95	77:09:0003023:4	проезд Дмитровский    (г Москва, проезд Дмитровский, вл 1Б)	400.00000000000	эксплуатации диспетчерского пункта конечной станции городского пассажирского транспорта
96	77:09:0003014:44	ул Новопетровская    (г Москва, ул Новопетровская, вл 5Б)	3283.00000000000	осуществления образовательной деятельности
97	77:04:0004011:33	ул Судакова    (г Москва, ул Судакова, д 16/47)	3634.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
98	77:09:0004003:20	проезд Большой Коптевский    (г Москва, проезд Большой Коптевский, вл 5)	9698.00000000000	эксплуатации общеобразовательной специальной школы
99	77:03:0001004:28	ул 1-я Гражданская    (г Москва, ул 1-я Гражданская, вл 105, стр 1)	3269.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
100	77:02:0004008:20	проезд Шокальского    (г Москва, проезд  Шокальского, д 18а)	8553.00000000000	ЭКСПЛУАТАЦИИ здания дошкольного учреждения
101	77:02:0002011:72	ул Коненкова    (г Москва, ул  Коненкова, д 23а)	9454.00000000000	использования территории и ЭКСПЛУАТАЦИИ здания дошкольного учреждения
102	77:06:0007007:13	ул Академика Варги    (г Москва, ул Академика Варги, вл 28А)	5712.00000000000	эксплуатации имущественного комплекса яслей-сада без права изменения функционального назначения
103	77:07:0015008:58	ул Приречная    (г Москва, ул Приречная, вл 7)	9161.00000000000	земельные участки, предназначенные для размещения объектов образования (1.2.7)
104	77:09:0005013:61	проезд Боткинский 2-й    (г Москва, проезд Боткинский 2-й, вл 3)	19990.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ МЕДИЦИНСКОГО УЧРЕЖДЕНИЯ
105	77:09:0005013:89	ул Поликарпова    (г Москва, ул Поликарпова, вл 3а)	8673.00000000000	осуществления учебно-воспитательной деятельности
106	77:05:0012001:86	б-р Ореховый    (г Москва, б-р Ореховый, вл 39, корпус 3)	9239.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
107	77:06:0001002:105	ул Фотиевой    (г Москва, ул Фотиевой, вл 16, корпус 2)	7161.00000000000	эксплуатации имущественного комплекса Дворца творчества (бассейн) без права изменения функционального назначения
108	77:09:0001008:100	ул Клинская    (г Москва, ул Клинская, вл 13)	7606.00000000000	эксплуатации детских яслей-сада
109	77:07:0015005:185	ул Чоботовская    (г Москва, ул Чоботовская, вл 7)	10508.00000000000	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
110	77:07:0015005:170	ул Шолохова    (г Москва, ул Шолохова, вл 9)	26530.00000000000	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
111	77:08:0002011:265	ул Дубравная    (г Москва, ул Дубравная, вл 41, корпус 3)	15771.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 1900
112	77:08:0002011:262	ул Барышиха    (г Москва, ул Барышиха, вл 29, корпус 1)	15547.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 1964
113	77:08:0002011:209	ул Барышиха    (г Москва, ул Барышиха, вл 33, корпус 1, стр 1)	293.00000000000	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 177
114	77:01:0001025:23	пер Большой Трехсвятительский    (г Москва, пер Большой Трехсвятительский, 1-3/12)	2035.00000000000	эксплуатации зданий историко-культурного назначения
115	77:04:04007:018	улица Чистова, вл. 23 А	5962.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
116	77:05:0004006:63	ул САДОВНИКИ    (г Москва, ул Садовники, вл 13, стр 3)	8946.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
117	77:04:0001002:16	ул Сторожевая    (г Москва, ул Сторожевая, вл 38 А)	4963.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
118	77:03:0008001:60	ул Западная    (г. Москва, ул. Западная, вл. 3А, соор. 1)	480.00000000000	ЭКСПЛУАТАЦИИ ГАЗОУБЕЖИЩА
119	77:01:0001049:31	пер Пречистенский    (г Москва, пер Пречистенский, вл 7А)	2195.00000000000	эксплуатации здания под образовательное учреждение и благоустройства территории
120	77:01:0001067:14	пер Вспольный    (г Москва, пер Вспольный, вл 6, стр 3)	1035.00000000000	эксплуатации общеобразовательной школы
121	77:01:0005001:97	б-р Новинский    (г Москва, б-р Новинский, вл 7, стр 3)	1200.00000000000	эксплуатации зданий историко-культурного назначения
122	77:01:0002024:15	пер Ватин Б.    (г Москва, пер Ватин Б., вл 8/3А, стр 1)	450.00000000000	эксплуатации административного здания
123	77:02:0018011:9	пр-кт Мира    (г Москва, пр-кт Мира, вл 123, стр 1)	30387.00000000000	использования территории и эксплуатации здания школы-интерната
124	77:08:0002020:1001	пер Уваровский    (г. Москва, Уваровский пер., вл. 8)	17210.15000000000	земельные участки, предназначенные для размещения объектов образования (1.2.7)
125	77:02:0023012:13	ул Староалексеевская    (г Москва, ул Староалексеевская, вл 11)	10837.00000000000	использования территории и эксплуатации здания школы
126	77:05:0008005:133	ул Газопровод    (г. Москва, ул. Газопровод, вл. 11)	4304.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ПОЛИКЛИНИКИ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
127	77:09:0004005:81	ул Усиевича    (г Москва, ул Усиевича, вл 31А)	8004.00000000000	эксплуатации общеобразовательной школы
128	77:09:0004004:99	пер Балтийский 2-й    (г Москва, 2-й Балтийский переулок, вл 3)	4900.00000000000	осуществления учебно-воспитательной деятельности
129	77:04:0004023:37	б-р Мячковский    (г. Москва, Мячковский бульвар, вл. 10, корп. 3)	8465.00000000000	эксплуатации здания крытого катка с искусственным ледовым покрытием и прилегающей территории
130	77:04:0003001:10	ул Кожуховская 5-я    (г Москва, 5-я  Кожуховская улица, вл 26)	10821.00000000000	эксплуатации существующих зданий
131	77:04:0002010:90	ул Сормовская    (г Москва, ул Сормовская, вл 5)	9254.00000000000	эксплуатации здания детского сада
132	77:04:0004004:41	б-р Есенинский    (г Москва, б-р Есенинский, вл 9, корпус 2)	13000.00000000000	ЭКСПЛУАТАЦИИ ПОМЕЩЕНИЙ В ЗДАНИИ ПОД СПОРТИВНУЮ ШКОЛУ
133	77:04:0003008:57	ул Гурьянова    (г Москва, ул Гурьянова, вл 59)	9395.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ - НАЧАЛЬНОЙ ШКОЛЫ
134	77:09:0003020:49	ул Новая Ипатовка    (г Москва, ул Новая Ипатовка, вл 4)	36824.00000000000	эксплуатации госпиталя.
135	77:05:0005007:81	б-р Кавказский    (г Москва, б-р Кавказский, вл 48)	4853.00000000000	эксплуатации зданий и сооружений отдела внутренних дел
136	77:03:0005002:65	б-р Сиреневый    (г Москва, б-р Сиреневый, вл 9)	8949.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
