№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
18	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 266	127576, г. Москва, улица Череповецкая, дом 10 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 200-70-00	http://www.schz266.svao.mskobr.ru
19	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 464	109316 г.Москва, ул.Талалихина, д.20, стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(095) 670-94-20	http://shkola464.narod.ru/
20	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1013	119633 г. Москва, ул. Приречная, д.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	733-56-73	http://schz1013.mskzapad.ru
21	государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 268	129090 г. Москва, ул. Гиляровского., д.21	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(495) 688-49-98; (495) 688-71-05	http://shkola268.ru
22	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 384 имени Д.К.Корнеева	121353 г.Москва, ул. Беловежская, д. 67 а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(495) 446-01-52; (495) 446-25-90	http://schz384.mskzapad.ru
23	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1061	121351 г.Москва, ул.Молодогвардейская, д. 19, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	417-92-29	http://schz1061.mskzapad.ru
24	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 404	111539, г.Москва, ул. Реутовская, д. 16 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	370-06-51	http://sch404.edusite.ru
25	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1008	119027 г.Москва, ул. Интернациональная, д. 10	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	436-77-07	http://schz1008.mskzapad.ru
26	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 901	117545 Москва, ул. Подольских Курсантов д.18 Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	381-77-13	http://sch901.edusite.ru/
27	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 239	121353, г.Москва, ул.Вяземская, д. 7	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	446-20-68	http://schz239.mskzapad.ru
28	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 659	121552 г.Москва, ул. Ельнинская, д. 24	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 141-75-03; (499) 149-79-47; (499) 140-14-18; (499) 141-02-58	http:// schz659.mskzapad.ru
29	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 812	119602 г.Москва, Мичуринский проспект,Олимпийская деревня д. 24	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	735-66-51	http://schz812.mskzapad.ru
30	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 64	121354 г.Москва, ул.Партизанская, д. 30, корпус 2, стр. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 141-24-07	http://schz64.mskzapad.ru
31	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 712	121374 г.Москва, Кутузовский проспект, д. 80	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	445-43-51	http://schz712.mskzapad.ru
32	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 521	117449, г.Москва, улица Новочерёмушкинская, дом 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	126-04-48	http://ds2017.ru
33	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 539	117246, г.Москва, улица Херсонская, дом 30, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	332-80-01	http://schoolzdorov539.ucoz.ru/
34	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 554	117209, г.Москва, Болотниковская улица, дом 47, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	121-91-19	http://sch554.mosuzedu.ru
35	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 568	117186, город Москва, улица Нагорная, дом 32, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 127-58-98	http://school-568.ru
36	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 2028	109548, г. Москва, ул. Гурьянова д. 2, кор. 6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	354-50-71	http://www.sch2028.ru/
37	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1181	117513, г. Москва, Ленинский проспект, д.117	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	936-93-84	http://www.school1181.ru
38	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1693 имени 1-й дивизии народного ополчения Москвы	117463, г. Москва, улица Паустовского, дом 6, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	423-33-00	http://www.sch1693.ru
39	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 198	119334, г. Москва, Ленинский проспект, д.39А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 135-86-19	http://sch198.narod.ru
40	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 883	125480, г. Москва, ул. Планерная, д.5, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	495-55-45	
41	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 709	127204, г.Москва, ул. 9-я Северная линия, д. 1, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 767-60-11	http://schz709.svao.mskobr.ru/
42	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 606	127566, г.Москва, улица  Бестужевых, дом 25 Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	404-05-04	http://www.schz606.svao.mskobr.ru
43	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 892	111539, город Москва, ул. Реутовская,  д. 2 а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	375-84-86	http://schz892.mskobr.ru
44	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1084	109145, г.Москва ул. Привольная, д. 17, корп.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	705-59-24	http://sch1084.uvuo.ru/
45	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 27	117593, город Москва, Литовский бульвар, дом 17, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	426-71-83	http://sch27.mosuzedu.ru/
46	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 50	119034 г. Москва, Кропоткинский переулок, д.10	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 246-43-13	http://schools.keldysh.ru/sch50/
47	Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 1138	129329, город Москва, Тенистый проезд, д. 8, строение 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 180-23-98	http://schz1138.svao.mskobr.ru
48	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 48	117133, г.Москва, ул. Теплый Стан, д.25-а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	337-83-11	http://podvig.mosuzedu.ru
49	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 306	129226, г. Москва, ул. Сельскохозяйственная, д. 20, кор.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 181-41-14	http://schz306.svao.mskobr.ru
50	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 788	111398, г. Москва, улица Перовская, дом 24, строение 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	306-68-40	http://schzv788.mskobr.ru
51	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" №661	101000 г. Москва, ул. Покровка, д.10, стр.5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	624-77-66	http://1835.jino-net.ru/
52	Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа "Школа здоровья" № 149	125080 г. Москва, ул. Врубеля., д. 6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	158-03-31	http://skola149.narod.ru
53	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 682	125493, г. Москва, ул.Авангардная, д.11А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	452-51-19	http://shooll682z.in-web.ru/
54	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1029	127540 г. Москва, ул. Дубниская, д. 18 б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	481-81-61	http://sch1029.ru
55	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1159	125413, г. Москва, Солнечногорский проезд, д. 7	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	454-62-89	http://schzs1159.mskobr.ru/
56	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 349	105523 г. Москва, ул. 15 Парковая, д. 52-а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(495) 468-82-05	http://www.school349.ru
57	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 939	115563 г. Москва, Ореховый бульвар, д. 21, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(495) 393-14-90	http://www.sch939.edusite.ru/
58	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1321 "Ковчег"	111024, г.Москва Авиамоторная ул., д. 30а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	673-11-44	http://kovcheg1321.com
59	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1849	105568 Челябинская улица, д. 9	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 308-01-27	http://school1849.ru
