№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
3727	Магазин	Россия, Москва, улица Рогожский Вал, 19	Общество с ограниченной ответственностью "Столичный бутик цимлянских вин"	1079 ДТУ	2011-11-22 04:00:00.0	2016-11-22 04:00:00.0	Действует
3728	Магазин	Россия, Москва, Таганская улица, 31/22	Общество с ограниченной ответственностью "Агроаспект"	12005 ДПРУ	2010-04-02 04:00:00.0	2015-04-02 04:00:00.0	Действует
3729	Магазин	Россия, Москва, Новокосинская улица, 35	Общество с ограниченной ответственностью "Отдохни-77"	120 ДТУ	2011-04-07 04:00:00.0	2014-04-07 04:00:00.0	Действует
3730	Кафе	Россия, Москва, Соймоновский проезд, 7с1	Общество с ограниченной ответственностью "Саймон"	7084 ДПРУ	2008-04-18 04:00:00.0	2013-04-18 04:00:00.0	Действует
3731	Ресторан "Нью Васюки"	Россия, Москва, Староконюшенный переулок, 2с2	Общество с ограниченной ответственностью "Инн Джой"	6787 ДПРУ	2008-02-29 04:00:00.0	2013-02-28 04:00:00.0	Действует
3732	Кафе	Россия, Москва, Большой Овчинниковский переулок, 18с2	Общество с ограниченной ответственностью "ВЛАДОКС"	8885 ДПРУ	2009-01-02 04:00:00.0	2015-01-02 04:00:00.0	Действует
3733	Кафе	Россия, Москва, улица Плющиха, 20/2	Общество с ограниченной ответственностью "Инклайв"	784 ДПРУ	2009-04-17 04:00:00.0	2014-05-23 04:00:00.0	Действует
3734	Магазин	Россия, Москва, улица Плющиха, 20/2	Общество с ограниченной ответственностью "МАГНУМ-5"	8034 ДПРУ	2008-10-01 04:00:00.0	2013-10-01 04:00:00.0	Действует
3735	Ресторан	Россия, Москва, Багратионовский проезд, 5	Общество с ограниченной ответственностью "Кватро Камини"	13199 ДПРУ	2010-11-18 04:00:00.0	2015-11-18 04:00:00.0	Действует
3736	Кафе	Россия, Москва, Багратионовский проезд, 5	Общество с ограниченной ответственностью "ФудСмак"	13287 ДПРУ	2010-12-16 04:00:00.0	2013-12-16 04:00:00.0	Действует
3737	Кафе	Россия, Москва, Багратионовский проезд, 5	Общество с ограниченной ответственностью "Райхона"	147 ДТУ	2011-04-20 04:00:00.0	2016-04-20 04:00:00.0	Действует
3738	Кафе	Россия, Москва, Багратионовский проезд, 5	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	12991 ДПРУ	2010-10-07 04:00:00.0	2013-10-07 04:00:00.0	Действует
3739	Кафе	Россия, Москва, Багратионовский проезд, 5	Общество с ограниченной ответственностью "Филион Кафе"	565 ДТУ	2011-06-30 04:00:00.0	2016-06-30 04:00:00.0	Действует
3740	Гипермаркет	Россия, Москва, Багратионовский проезд, 5	Общество с ограниченной ответственностью "АШАН"	12282 ДПРУ	2010-05-21 04:00:00.0	2015-05-21 04:00:00.0	Действует
3741	Универсам	Россия, Москва, Суздальская улица, 30/2	Общество с ограниченной ответственностью "Инвестпроект"	12305 ДПРУ	2010-05-12 04:00:00.0	2014-05-12 04:00:00.0	Действует
3742	Кафе	Россия, Москва, улица Лазо, 3	Общество с ограниченной ответственностью "ПАРТЕР"	1269 ДТУ	2011-12-30 04:00:00.0	2014-12-30 04:00:00.0	Действует
3743	Кафе	Россия, Москва, Пятницкая улица, 10с2	Общество с ограниченной ответственностью "Ландон"	5504 ДПРУ	2007-09-19 04:00:00.0	2013-10-03 04:00:00.0	Действует
3744	Ресторан	Россия, Москва, площадь Европы, 1а	Общество с ограниченной ответственностью "Плов"	13512 ДПРУ	2010-12-29 04:00:00.0	2015-12-29 04:00:00.0	Действует
3745	Кафе	Россия, Москва, площадь Европы, 1а	Общество с ограниченной ответственностью "Фастлэнд"	7206 ДПРУ	2008-05-08 04:00:00.0	2013-05-08 04:00:00.0	Действует
3746	Ресторан	Россия, Москва, Овчинниковская набережная, 20с1	Общество с ограниченной ответственностью "Василек"	12569 ДПРУ	2010-07-29 04:00:00.0	2015-07-29 04:00:00.0	Действует
3747	Универсам	Россия, Москва, Новокосинская улица, 48	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	3277 ДПРУ	2006-12-15 04:00:00.0	2016-12-15 04:00:00.0	Действует
3748	Ресторан	Россия, Москва, Пресненская набережная, 8с1	Общество с ограниченной ответственностью "БИЗНЕС ФУД"	624 ДТУ	2011-07-20 04:00:00.0	2016-07-20 04:00:00.0	Действует
3749	Бар	Россия, Москва, Пресненская набережная, 8с1	Закрытое акционерное общество "Космик"	2140 ДТУ	2012-08-09 04:00:00.0	2017-08-09 04:00:00.0	Действует
3750	Ресторан	Россия, Москва, Пресненская набережная, 8с1	Общество с ограниченной ответственностью "Ориентал"	10674 ДПРУ	2011-12-23 04:00:00.0	2014-10-09 04:00:00.0	Действует
3751	Ресторан	Россия, Москва, Пресненская набережная, 8с1	Общество с ограниченной ответственностью "Эльйон"	2129 ДТУ	2012-08-07 04:00:00.0	2015-08-07 04:00:00.0	Действует
3752	Ресторан	Россия, Москва, Пресненская набережная, 8с1	Общество с ограниченной ответственностью "Высотка"	568 ДТУ	2011-07-05 04:00:00.0	2016-07-05 04:00:00.0	Действует
3753	Ресторан	Россия, Москва, Пресненская набережная, 8с1	Общество с ограниченной ответственностью "ЛБК ретейл"	10692 ДПРУ	2009-10-09 04:00:00.0	2014-10-09 04:00:00.0	Действует
3754	Ресторан	Россия, Москва, Пресненская набережная, 8с1	Общество с ограниченной ответственностью "ПАСТОР"	1946 ДТУ	2012-06-25 04:00:00.0	2017-06-25 04:00:00.0	Действует
3755	Ресторан	Россия, Москва, Пресненская набережная, 8с1	Общество с ограниченной ответственностью "ЛЕОН"	2057 ДТУ	2012-07-19 04:00:00.0	2017-07-19 04:00:00.0	Действует
3756	Ресторан	Россия, Москва, Пресненская набережная, 8с1	Общество с ограниченной ответственностью "СЕГУРА"	2036 ДТУ	2012-07-19 04:00:00.0	2017-07-19 04:00:00.0	Действует
3757	Магазин	Россия, Москва, переулок Сивцев Вражек, 6/2	Общество с ограниченной ответственностью "Арома Маркет"	7765 ДПРУ	2008-08-15 04:00:00.0	2013-08-15 04:00:00.0	Действует
3758	Магазин	Россия, Москва, улица Академика Павлова, 21к1	Общество с ограниченной ответственностью "ПКЦ-ИНКО"	7313 ДПРУ	2008-05-28 04:00:00.0	2013-05-28 04:00:00.0	Действует
3759	Кафе	Россия, Москва, шоссе Энтузиастов, 12к2	Общество с ограниченной ответственностью "Фланч"	12535 ДПРУ	2010-07-15 04:00:00.0	2013-07-15 04:00:00.0	Действует
3760	Кафе	Россия, Москва, шоссе Энтузиастов, 12к2	Общество с ограниченной ответственностью "Айс-крим Синема"	13419 ДПРУ	2010-12-24 04:00:00.0	2015-12-24 04:00:00.0	Действует
3761	Гипермаркет	Россия, Москва, шоссе Энтузиастов, 12к2	Общество с ограниченной ответственностью "АШАН"	11383 ДПРУ	2009-12-23 04:00:00.0	2014-12-23 04:00:00.0	Действует
3762	Ресторан	Россия, Москва, шоссе Энтузиастов, 12к2	Общество с ограниченной ответственностью "ДИАДЕМА 6"	12400 ДПРУ	2010-05-26 04:00:00.0	2013-05-26 04:00:00.0	Действует
3763	Ресторан	Россия, Москва, шоссе Энтузиастов, 12к2	Общество с ограниченной ответственностью "Вертикаль"	11455 ДПРУ	2009-12-29 04:00:00.0	2014-12-29 04:00:00.0	Действует
3764	Кафе "Трактир "Елки-Палки"	Россия, Москва, шоссе Энтузиастов, 12к2	Закрытое акционерное общество "ЛАНЧ"	12772 ДПРУ	2010-09-10 04:00:00.0	2015-09-10 04:00:00.0	Действует
3765	Магазин	Россия, Москва, Большая Филевская улица, 19/18к1	Общество с ограниченной ответственностью "Арома Маркет"	8551 ДПРУ	2008-12-19 04:00:00.0	2013-12-19 04:00:00.0	Действует
3766	Магазин	Россия, Москва, Большая Филевская улица, 19/18к1	Общество с ограниченной ответственностью "ТЕТРА-К.В."	7048 ДПРУ	2008-04-11 04:00:00.0	2013-04-11 04:00:00.0	Действует
3767	Кафе	Россия, Москва, улица Новый Арбат, 36соор4	Общество с ограниченной ответственностью "РАДОСТЬ-М"	7161 ДПРУ	2008-05-02 04:00:00.0	2013-05-02 04:00:00.0	Действует
3768	Ресторан "Экседра"	Россия, Москва, Славянская площадь, 2/5/4с3	Общество с ограниченной ответственностью "Да Винчи"	13403 ДПРУ	2010-12-29 04:00:00.0	2015-12-29 04:00:00.0	Действует
3769	Кафе	Россия, Москва, Славянская площадь, 2/5/4с3	Общество с ограниченной ответственностью "ПРЕСТИЖ МАРКЕТ"	6510 ДПРУ	2008-01-15 04:00:00.0	2013-01-15 04:00:00.0	Действует
3770	Ресторан	Россия, Москва, улица Ильинка, 4	Общество с ограниченной ответственностью "Инвестиционные технологии"	8100 ДПРУ	2008-09-19 04:00:00.0	2013-09-19 04:00:00.0	Аннулирована
3771	Ресторан	Россия, Москва, улица Ильинка, 4	Общество с ограниченной ответственностью "Тондер"	8698 ДПРУ	2008-12-20 04:00:00.0	2013-12-20 04:00:00.0	Действует
3772	Кафе	Россия, Москва, улица Ильинка, 4	Закрытое акционерное общество "Ресторанный Двор"	5868 ДПРУ	2007-10-25 04:00:00.0	2017-10-25 04:00:00.0	Действует
3773	Магазин	Россия, Москва, улица Ильинка, 4	Общество с ограниченной ответственностью "ТРАПЕЗА"	1233 ДТУ	2011-12-26 04:00:00.0	2012-12-26 04:00:00.0	Действует
3774	Ресторан	Россия, Москва, улица Ильинка, 4	Общество с ограниченной ответственностью "МН-Клуб"	9282 ДПРУ	2009-03-19 04:00:00.0	2014-03-19 04:00:00.0	Действует
3775	Ресторан	Россия, Москва, улица Ильинка, 4	Общество с ограниченной ответственностью "Золотая миля"	10271 ДПРУ	2009-09-02 04:00:00.0	2014-09-02 04:00:00.0	Действует
3776	Ресторан	Россия, Москва, улица Ильинка, 4	Общество с ограниченной ответственностью "Новый Атриум"	4864 ДПРУ	2007-06-26 04:00:00.0	2017-07-06 04:00:00.0	Действует
3777	Кафе	Россия, Москва, Свободный проспект, 33	Общество с ограниченной ответственностью "Шоколадная жизнь"	1048 ДТУ	2011-11-18 04:00:00.0	2014-11-18 04:00:00.0	Действует
3778	Универсам	Россия, Москва, Свободный проспект, 33	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	6271 ДПРУ	2007-12-15 04:00:00.0	2012-12-15 04:00:00.0	Действует
3779	Кафе	Россия, Москва, Свободный проспект, 33	Общество с ограниченной ответственностью "Декантер"	1127 ДТУ	2011-12-09 04:00:00.0	2014-12-09 04:00:00.0	Действует
3780	Магазин	Россия, Москва, улица Молостовых, 17к1	Общество с ограниченной ответственностью "Фабрика № 4 по ремонту и пошиву обуви"	253 ДТУ	2011-04-29 04:00:00.0	2013-04-29 04:00:00.0	Действует
3781	Магазин	Россия, Москва, улица Молостовых, 17к1	Общество с ограниченной ответственностью "Олби"	8002 ДПРУ	2008-09-05 04:00:00.0	2013-09-05 04:00:00.0	Действует
3782	Магазин	Россия, Москва, Зеленый проспект, 42	Общество с ограниченной ответственностью "ДейлиФудс"	10269 ДПРУ	2009-09-04 04:00:00.0	2017-09-04 04:00:00.0	Действует
3783	Магазин "Продукты"	Россия, Москва, Зеленый проспект, 42	Общество с ограниченной ответственностью "Агат"	1482 ДПРУ	2006-07-20 04:00:00.0	2014-07-20 04:00:00.0	Действует
3784	Магазин	Россия, Москва, улица Воронцово Поле, 2	Общество с ограниченной ответственностью "Ольф"	6452 ДПРУ	2008-01-03 04:00:00.0	2013-01-03 04:00:00.0	Действует
3785	Кафе	Россия, Москва, улица Новый Арбат, 28	Общество с ограниченной ответственностью "ЧАЙХАНА "КИШМИШ"	7869 ДПРУ	2008-09-04 04:00:00.0	2013-09-04 04:00:00.0	Действует
3786	Ресторан "Хижина"	Россия, Москва, Таганская улица, 31/22	Общество с ограниченной ответственностью "Саренгети"	7505 ДПРУ	2008-06-26 04:00:00.0	2013-06-26 04:00:00.0	Действует
3787	Ресторан	Россия, Москва, Таганская улица, 31/22	Общество с ограниченной ответственностью "ЭМИГРАНТ"	13122 ДПРУ	2010-11-11 04:00:00.0	2012-11-11 04:00:00.0	Аннулирована
3788	Кафе	Россия, Москва, Минская улица, 11	Общество с ограниченной ответственностью "БЕГОНИЯ-Л"	6868 ДПРУ	2008-03-30 04:00:00.0	2013-03-30 04:00:00.0	Действует
3789	Магазин	Россия, Москва, улица Лазо, 18к2	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	43221 ПРИУ	2005-01-28 04:00:00.0	2013-01-28 04:00:00.0	Действует
3790	Столовая	Россия, Москва, Таганская улица, 29с1	Общество с ограниченной ответственностью "КАНТИНА"	1118 ДТУ	2011-12-07 04:00:00.0	2013-12-07 04:00:00.0	Действует
3791	Магазин	Россия, Москва, Таганская улица, 29с1	Общество с ограниченной ответственностью "Арома Маркет"	5387 ДПРУ	2007-09-03 04:00:00.0	2014-09-03 04:00:00.0	Действует
3792	Магазин	Россия, Москва, Кропоткинский переулок, 14	Общество с ограниченной ответственностью "Арома Маркет"	6926 ДПРУ	2008-03-26 04:00:00.0	2013-03-26 04:00:00.0	Действует
3793	Бар в гостинице	Россия, Москва, улица Остоженка, 32с1	Общество с ограниченной ответственностью "Кебур Палас"	2991 ДПРУ	2006-11-17 04:00:00.0	2014-11-17 04:00:00.0	Действует
3794	Кафе	Россия, Москва, Воронцовская улица, 4с3	Общество с ограниченной ответственностью "Стиль плюс"	11926 ДПРУ	2010-03-26 04:00:00.0	2015-03-26 04:00:00.0	Действует
3795	Кафе	Россия, Москва, Воронцовская улица, 4с3	Общество с ограниченной ответственностью "Дорффман Проджект"	8670 ДПРУ	2008-12-18 04:00:00.0	2013-12-18 04:00:00.0	Действует
3796	Кафе	Россия, Москва, 1-й Зачатьевский переулок, 4	Общество с ограниченной ответственностью "ИНФОСПУТНИК"	9461 ДПРУ	2009-04-21 04:00:00.0	2014-04-21 04:00:00.0	Действует
3797	Ресторан	Россия, Москва, Пятницкая улица, 30с4	Общество с ограниченной ответственностью "РУС-ОТЕЛЬ"	9097 ДПРУ	2009-02-12 04:00:00.0	2017-02-12 04:00:00.0	Действует
3798	Кафе	Россия, Москва, Старомонетный переулок, 18	Общество с ограниченной ответственностью "ЭнергоТехПодряд"	8493 ДПРУ	2008-11-21 04:00:00.0	2013-11-21 04:00:00.0	Действует
3799	Ресторан	Россия, Москва, Пречистенская набережная, 17-19	Общество с ограниченной ответственностью "БЕРЕГ"	11360 ДПРУ	2009-12-21 04:00:00.0	2014-12-21 04:00:00.0	Действует
3800	Ресторан	Россия, Москва, Пречистенская набережная, 17-19	Общество с ограниченной ответственностью "НАБЕРЕЖНАЯ 17"	13552 ДПРУ	2010-12-29 04:00:00.0	2015-12-29 04:00:00.0	Действует
3801	Ресторан	Россия, Москва, Смоленский бульвар, 4	Общество с ограниченной ответственностью "Я-Мама Москва"	2061 ДТУ	2012-07-20 04:00:00.0	2013-07-20 04:00:00.0	Действует
3802	Ресторан	Россия, Москва, Воронцовская улица, 6с1	Московский фонд социальной защиты инвалидов военной службы	2011 ДТУ	2012-07-17 04:00:00.0	2017-07-17 04:00:00.0	Действует
3803	Ресторан	Россия, Москва, Якиманская набережная, 4с1	Общество с ограниченной ответственностью "РОМАШКА"	11172 ДПРУ	2009-12-11 04:00:00.0	2014-12-11 04:00:00.0	Действует
3804	Ресторан	Россия, Москва, Якиманская набережная, 4с1	Общество с ограниченной ответственностью "АСН-Старк"	11811 ДПРУ	2010-03-17 04:00:00.0	2015-03-17 04:00:00.0	Действует
3805	Кафе	Россия, Москва, Люблинская улица, 4к1	Общество с ограниченной ответственностью "РИМИНИ"	12134 ДПРУ	2010-04-30 04:00:00.0	2013-04-30 04:00:00.0	Действует
3806	Кафе	Россия, Москва, Люблинская улица, 4к1	Общество с ограниченной ответственностью "ФиБ"	766 ДТУ	2011-08-15 04:00:00.0	2016-08-15 04:00:00.0	Действует
3807	Кафе	Россия, Москва, Волгоградский проспект, 46/15	Общество с ограниченной ответственностью "Комбинат"	3898 ДПРУ	2007-01-26 04:00:00.0	2013-01-26 04:00:00.0	Действует
3808	Магазин	Россия, Москва, Автозаводская улица, 7	Общество с ограниченной ответственностью "АСТРА"	1983 ДТУ	2012-07-06 04:00:00.0	2013-07-06 04:00:00.0	Действует
3809	Кафе	Россия, Москва, улица Мастеркова, 6	Общество с ограниченной ответственностью "Кофе Хаус. Эспрессо и Капучино Бар"	12771 ДПРУ	2010-09-09 04:00:00.0	2015-09-09 04:00:00.0	Действует
3810	Столовая	Россия, Москва, улица Ленинская Слобода, 19	Общество с ограниченной ответственностью "ЭСКА"	672 ДТУ	2011-07-19 04:00:00.0	2014-07-19 04:00:00.0	Действует
3811	Магазин	Россия, Москва, улица Ленинская Слобода, 19	Общество с ограниченной ответственностью "Вино и Компания"	1192 ДТУ	2011-12-16 04:00:00.0	2016-12-16 04:00:00.0	Действует
3812	Магазин	Россия, Москва, Веерная улица, 3к2	Общество с ограниченной ответственностью "Базис"	681 ДПРУ	2009-01-02 04:00:00.0	2014-05-12 04:00:00.0	Действует
3813	Кафе	Россия, Москва, Даниловская набережная, 2к4	Общество с ограниченной ответственностью "Татьяна"	798 ДТУ	2011-09-01 04:00:00.0	2013-09-07 04:00:00.0	Действует
3814	Магазин	Россия, Москва, Даниловская набережная, 2к4	Общество с ограниченной ответственностью "СТЕКЛОКОН"	4923 ДПРУ	2007-07-04 04:00:00.0	2013-07-04 04:00:00.0	Действует
3815	Магазин	Россия, Москва, район Печатники, Шоссейная улица, 1ц	Общество с ограниченной ответственностью "Меркурий"	10111 ДПРУ	2009-07-28 04:00:00.0	2014-07-28 04:00:00.0	Действует
3816	Магазин	Россия, Москва, Даниловская набережная, 6к1а	Общество с ограниченной ответственностью "Вкусный Мир"	11013 ДПРУ	2009-12-01 04:00:00.0	2012-12-01 04:00:00.0	Действует
3817	Магазин	Россия, Москва, улица Федора Полетаева, 21к1	Общество с ограниченной ответственностью "Агроаспект"	5808 ДПРУ	2007-10-18 04:00:00.0	2017-10-18 04:00:00.0	Действует
3818	Магазин	Россия, Москва, Ташкентская улица, 9	Общество с ограниченной ответственностью "Отдохни-77"	10176 ДПРУ	2009-08-27 04:00:00.0	2017-08-27 04:00:00.0	Действует
3819	Магазин	Россия, Москва, Ташкентская улица, 9	Общество с ограниченной ответственностью "Плехановец"	1372 ПРЮВЮ	2005-12-20 04:00:00.0	2016-12-30 04:00:00.0	Действует
3820	Магазин	Россия, Москва, Ташкентская улица, 9	Общество с ограниченной ответственностью "АРИАНА"	12996 ДПРУ	2010-10-15 04:00:00.0	2013-10-15 04:00:00.0	Действует
3821	Магазин	Россия, Москва, Ташкентская улица, 9	Общество с ограниченной ответственностью "Фиаско"	1106 ДТУ	2011-11-29 04:00:00.0	2014-11-29 04:00:00.0	Действует
3822	Магазин	Россия, Москва, Ломоносовский проспект, 34	Общество с ограниченной ответственностью "БЭСТ Ко"	12606 ДПРУ	2010-08-06 04:00:00.0	2013-08-06 04:00:00.0	Действует
3823	Магазин	Россия, Москва, Ломоносовский проспект, 34	Общество с ограниченной ответственностью "ВЕСТ"	8756 ДПРУ	2008-12-28 04:00:00.0	2016-12-28 04:00:00.0	Действует
3824	Магазин	Россия, Москва, 1-й Спасоналивковский переулок, 19с2	Общество с ограниченной ответственностью "СТЭНДИ"	9762 ДПРУ	2009-06-19 04:00:00.0	2014-06-19 04:00:00.0	Действует
3825	Магазин	Россия, Москва, Нижегородская улица, 56а	Общество с ограниченной ответственностью "Панорама М"	12598 ДПРУ	2010-07-27 04:00:00.0	2013-07-27 04:00:00.0	Действует
3826	Магазин	Россия, Москва, Молодогвардейская улица, 25к1	Общество с ограниченной ответственностью "Керченское"	10211 ДПРУ	2009-08-14 04:00:00.0	2014-08-14 04:00:00.0	Действует
3827	Ресторан	Россия, Москва, улица Тимура Фрунзе, 11к2	Общество с ограниченной ответственностью "Ведис"	1112 ДТУ	2011-12-02 04:00:00.0	2016-12-02 04:00:00.0	Действует
3828	Кафе	Россия, Москва, Новокосинская улица, 8к2	Общество с ограниченной ответственностью "Новобоулинг"	7878 ДПРУ	2008-08-22 04:00:00.0	2013-08-22 04:00:00.0	Действует
3829	Кафе	Россия, Москва, улица Зацепский Вал, 2с2	Общество с ограниченной ответственностью "Рестстандарт"	993 ДТУ	2011-11-28 04:00:00.0	2014-11-28 04:00:00.0	Действует
3830	Ресторан "Крымский"	Россия, Москва, Комсомольский проспект, 1	Общество с ограниченной ответственностью "Звезда"	12745 ДПРУ	2010-08-20 04:00:00.0	2015-08-20 04:00:00.0	Действует
3831	Кафе	Россия, Москва, Озерковская набережная, 56	Общество с ограниченной ответственностью "Максима"	13001 ДПРУ	2010-10-21 04:00:00.0	2015-10-21 04:00:00.0	Действует
3832	Кафе	Россия, Москва, Пятницкая улица, 56с1	Общество с ограниченной ответственностью "Тао-Сити"	10512 ДПРУ	2009-09-24 04:00:00.0	2017-09-24 04:00:00.0	Действует
3833	Магазин	Россия, Москва, Татарская улица, 7с1	Общество с ограниченной ответственностью "Ритор"	6187 ДПРУ	2007-12-05 04:00:00.0	2012-12-05 04:00:00.0	Действует
3834	Магазин "Продукты"	Россия, Москва, улица Генерала Ермолова, 2	Общество с ограниченной ответственностью "Дивскан"	1084 ДТУ	2011-11-24 04:00:00.0	2016-11-24 04:00:00.0	Действует
3835	Универсам	Россия, Москва, Марксистская улица, 38	Общество с ограниченной ответственностью "КОМЭК"	12141 ДПРУ	2010-04-20 04:00:00.0	2015-04-20 04:00:00.0	Действует
3836	Бар	Россия, Москва, Марксистская улица, 34к10	Общество с ограниченной ответственностью "Фешен Клаб"	246 ДТУ	2011-05-06 04:00:00.0	2016-05-06 04:00:00.0	Действует
3837	Бар	Россия, Москва, Марксистская улица, 34к10	Общество с ограниченной ответственностью "Продюсерский центр С НАМИ"	10392 ДПРУ	2009-09-10 04:00:00.0	2014-09-10 04:00:00.0	Действует
3838	Ресторан	Россия, Москва, улица Льва Толстого, 16	Общество с ограниченной ответственностью "ВЕХА"	10412 ДПРУ	2009-09-17 04:00:00.0	2014-09-17 04:00:00.0	Действует
3839	Кафе	Россия, Москва, улица Льва Толстого, 16	Общество с ограниченной ответственностью "Конференц-сервис ЭКСТРОПОЛИС"	13530 ДПРУ	2010-12-31 04:00:00.0	2012-12-31 04:00:00.0	Действует
3840	Ресторан	Россия, Москва, Пятницкая улица, 56с4	Общество с ограниченной ответственностью "Нэкст Стэп 1330"	8897 ДПРУ	2009-01-07 04:00:00.0	2013-01-07 04:00:00.0	Аннулирована
3841	Ресторан	Россия, Москва, улица Большая Якиманка, 39	Общество с ограниченной ответственностью "ВЕРИТАС"	879 ДТУ	2011-09-22 04:00:00.0	2017-09-22 04:00:00.0	Действует
3842	Кафе	Россия, Москва, Пятницкая улица, 54с2	Общество с ограниченной ответственностью "НАОМИ"	10683 ДПРУ	2009-10-09 04:00:00.0	2014-10-09 04:00:00.0	Действует
3843	Магазин	Россия, Москва, улица Рудневка, 33	Общество с ограниченной ответственностью "Фармцентр"	9119 ДПРУ	2009-02-27 04:00:00.0	2014-02-27 04:00:00.0	Действует
3844	Магазин	Россия, Москва, Велозаводская улица, 3/2	Общество с ограниченной ответственностью "Экспресс Ритейл"	9564 ДПРУ	2009-05-01 04:00:00.0	2014-05-01 04:00:00.0	Действует
3845	Магазин	Россия, Москва, Велозаводская улица, 3/2	Общество с ограниченной ответственностью "Сеть супермаркетов "Пионер"	1740 ДТУ	2012-05-03 04:00:00.0	2015-05-03 04:00:00.0	Действует
3846	Магазин	Россия, Москва, Велозаводская улица, 3/2	Закрытое акционерное общество "ТАНДЕР"	13029 ДПРУ	2010-10-26 04:00:00.0	2015-10-26 04:00:00.0	Действует
3847	Кафе	Россия, Москва, Ленинский проспект, 25	Общество с ограниченной ответственностью "СИГ"	11494 ДПРУ	2010-01-13 04:00:00.0	2015-01-13 04:00:00.0	Действует
3848	Магазин	Россия, Москва, Аминьевское шоссе, 26	Закрытое акционерное общество  "РЯБИНКА"	8553 ДПРУ	2008-12-11 04:00:00.0	2013-12-11 04:00:00.0	Действует
3849	Магазин	Россия, Москва, 1-й Павловский переулок, 5	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	1423 ДПРУ	2006-07-18 04:00:00.0	2013-07-18 04:00:00.0	Действует
3850	Магазин	Россия, Москва, Мытная улица, 23к1	Общество с ограниченной ответственностью "КЕДР и Ко"	12056 ДПРУ	2010-04-23 04:00:00.0	2013-04-23 04:00:00.0	Действует
3851	Магазин	Россия, Москва, Рязанский проспект, 40/2	Общество с ограниченной ответственностью "ВИ-КУ"	1573 ДТУ	2012-03-30 04:00:00.0	2017-03-30 04:00:00.0	Действует
3852	Магазин	Россия, Москва, 1-й Вязовский проезд, 4	Общество с ограниченной ответственностью "ВИДЖИЛ-ИНВЕСТ"	11586 ДПРУ	2010-01-25 04:00:00.0	2016-01-25 04:00:00.0	Действует
3853	Кафе	Россия, Москва, Велозаводская улица, 2б	Общество с ограниченной ответственностью "РУСЬ"	10436 ДПРУ	2009-09-16 04:00:00.0	2014-09-16 04:00:00.0	Действует
3854	Кафе "Сим-Сим"	Россия, Москва, площадь Рогожская Застава, 1	Общество с ограниченной ответственностью "ИМИТ Престиж"	43739 ПРИУ	2005-07-03 04:00:00.0	2013-07-03 04:00:00.0	Действует
3855	Кафе "Трактир "Елки-Палки"	Россия, Москва, площадь Рогожская Застава, 1	Закрытое акционерное общество "ЛАНЧ"	7599 ДПРУ	2011-07-09 04:00:00.0	2016-07-09 04:00:00.0	Действует
3856	Магазин	Россия, Москва, Свободный проспект, 37к2	Общество с ограниченной ответственностью "ГЛОБАЛ-96"	5057 ДПРУ	2007-07-23 04:00:00.0	2015-07-23 04:00:00.0	Действует
3857	Ресторан	Россия, Москва, Кутузовский проспект, 14	Общество с ограниченной ответственностью "Шекель-Сервис"	2035 ДТУ	2012-07-12 04:00:00.0	2017-07-12 04:00:00.0	Действует
3858	Кафе	Россия, Москва, улица Золоторожский Вал, 40	Общество с ограниченной ответственностью "Партнер"	713 ДТУ	2011-07-29 04:00:00.0	2014-07-29 04:00:00.0	Действует
3859	Кафе	Россия, Москва, улица Золоторожский Вал, 40	Общество с ограниченной ответственностью "Б 52"	6152 ДПРУ	2007-11-29 04:00:00.0	2012-11-29 04:00:00.0	Действует
3860	Кафе	Россия, Москва, улица Золоторожский Вал, 40	Общество с ограниченной ответственностью "КОМПАС"	10202 ДПРУ	2009-08-12 04:00:00.0	2014-08-12 04:00:00.0	Действует
3861	Кафе	Россия, Москва, улица Золоторожский Вал, 40	Общество с ограниченной ответственностью "Ника"	9134 ДПРУ	2009-02-19 04:00:00.0	2014-02-19 04:00:00.0	Действует
3862	Кафе	Россия, Москва, улица Новый Арбат, 28	Общество с ограниченной ответственностью "ИММОБИЛИАРЕ"	10927 ДПРУ	2009-11-11 04:00:00.0	2014-11-11 04:00:00.0	Действует
3863	Ресторан	Россия, Москва, улица Варварка, 14с2	Закрытое акционерное общество "Китай-город"	12173 ДПРУ	2010-05-07 04:00:00.0	2013-05-07 04:00:00.0	Действует
3864	Ресторан "Молли Гвиннз"	Россия, Москва, улица Новый Арбат, 24с2	Общество с ограниченной ответственностью "Каса Ко"	7592 ДПРУ	2008-07-08 04:00:00.0	2013-07-08 04:00:00.0	Действует
3865	Ресторан "Молли Гвиннз"	Россия, Москва, улица Новый Арбат, 24с2	Общество с ограниченной ответственностью "Каса Ко"	7593 ДПРУ	2008-07-08 04:00:00.0	2013-07-08 04:00:00.0	Действует
