№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
1892	Магазин	Россия, Москва, проспект Вернадского, 33	Общество с ограниченной ответственностью "ВОГО - 05"	685 ДТУ	2011-07-29 04:00:00.0	2013-07-29 04:00:00.0	Действует
1893	Кафе	Россия, Москва, улица Марии Ульяновой, 15	Общество с ограниченной ответственностью "Саренгети"	4934 ДПРУ	2007-07-06 04:00:00.0	2017-07-06 04:00:00.0	Действует
1894	Магазин "Продукты"	Россия, Москва, Судостроительная улица, 15с2	Общество с ограниченной ответственностью "ПОЛИСТЕН"	11957 ДПРУ	2010-03-30 04:00:00.0	2015-03-30 04:00:00.0	Действует
1895	Кафе	Россия, Москва, Нахимовский проспект, 67	Общество с ограниченной ответственностью "Кельт"	184 ДТУ	2011-04-20 04:00:00.0	2014-04-20 04:00:00.0	Действует
1896	Магазин	Россия, Москва, Ставропольская улица, 20к2	Общество с ограниченной ответственностью "Отдохни-77"	8554 ДПРУ	2008-12-04 04:00:00.0	2016-12-04 04:00:00.0	Действует
1897	Кафе	Россия, Москва, Профсоюзная улица, 13/12	Общество с ограниченной ответственностью "Да Чикко"	7027 ДПРУ	2008-04-09 04:00:00.0	2013-04-09 04:00:00.0	Действует
1898	Кафе	Россия, Москва, Профсоюзная улица, 13/12	Общество с ограниченной ответственностью "ГЕСТИЯ"	10971 ДПРУ	2009-11-12 04:00:00.0	2014-11-12 04:00:00.0	Действует
1899	Магазин	Россия, Москва, Профсоюзная улица, 13/12	Закрытое акционерное общество "Белая Русь Плюс"	4349 ДПРУ	2007-04-11 04:00:00.0	2017-04-11 04:00:00.0	Действует
1900	Кафе	Россия, Москва, проспект Андропова, 26	Общество с ограниченной ответственностью "ЦЗ КУЛИНАРИЯ"	10291 ДПРУ	2009-09-11 04:00:00.0	2014-09-11 04:00:00.0	Действует
1901	Магазин	Россия, Москва, проспект Андропова, 26	Общество с ограниченной ответственностью "ЦЗ КУЛИНАРИЯ"	10290 ДПРУ	2009-09-11 04:00:00.0	2014-09-11 04:00:00.0	Действует
