№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
22	Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи	101000 город Москва, переулок Огородная слобода, дом 6, стр. 1.	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	(495) 628-08-71; (495) 628-41-51; (495) 621-81-51; (495) 628-11-12; (495) 623-16-86; (495) 624-34-30; (495) 621-60-06; (495) 623-40-96; (495) 623-46-67; (495) 621-33-70	http://dtdim-stopani.ru
23	Государственное бюджетное образовательное учреждение города Москвы дом детского творчества "Исток"	117648 г. Москва, Северное Чертаново, д. 7г	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом детского творчества	310-81-05	http://gouddtistok.narod.ru
24	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2084	125445, г. Москва, Смольная улица, дом 61А	Бюджетное	Дошкольное образовательное учреждение	Детский сад	457-70-31	http://dd26.ruclass.ru
25	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 15	115404 г. Москва, ул.Бирюлевская, д.28	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	326-81-29	http://pk15.mskcollege.ru/
26	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 18 "Митино"	125368, г. Москвы, ул. Митинская, д.45, к.3	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	751-60-49	http://pk18.mskcollege.ru
27	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1544	119607, г.Москва, ул. Раменки, д. 13, корп. 1	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	932-20-80	http://www.crrds1544.mskzapad.ru
28	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Давыдково"	121352 г.Москва, Славянский бульвар, д. 11, корпус 3	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	445-07-49	http://davidkovo.mskzapad.ru
29	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 14	127282, г. Москва, ул. Грекова, д. 3 к. 1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 478-33-75; (499) 478-38-98; (499) 478-33-75; (499) 478-09-22; (499) 478-91-40; (499) 478-21-62; (499) 479-89-33; (499) 478-02-49	http://pk14.mskcollege.ru
30	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 750	117209, г. Москва, Болотниковская ул., дом 52А	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	(499) 121-54-10	http://detsad750.ru
31	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 983	117574, Москва, Новоясеневский проспект, дом 16, корпус 3	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	422-01-88	http://www.sad983.ru
32	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1209	117593, г.Москва, улица Айвазовского, дом 6, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	425-33-33	http://ds1209.ru
33	Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1279	117418, г. Москва, улица Цюрупы, дом 15, корпус 1	Бюджетное	Дошкольное образовательное учреждение	Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей	332-62-83	http://ds1279.ru
34	Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2345	117042, г.Москва, ул. Южнобутовская, дом № 89	Бюджетное	Дошкольное образовательное учреждение	Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей	715-27-36	http://sad2345.ru и сад2345.рф
35	Государственное бюджетное образовательное учреждение города Москвы Центр детского творчества "Дебют"	125480, г. Москва, ул. Вилиса Лациса, д. 11, корп. 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 494-64-76	http://www.choir-debut.ru/
36	Государственное бюджетное образовательное учреждение города Москвы центр детского и юношеского творчества "Бибирево"	127349, г.Москва, улица Лескова, д.7	Бюджетное	Образовательное учреждение дополнительного образования детей	Детско-юношеский центр	(499) 747-89-27; (499) 747-89-25; (499) 747-89-26	http//cdutbibirevo.ru
37	Государственное бюджетное образовательное учреждение города Москвы центр эстетического воспитания детей "Иверия"	129323, г. Москва, ул.Снежная,д.28	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр эстетического воспитания детей	(499) 180-43-16; (499) 180-96-16; (495) 656-55-29	http://iveria-center.ru
38	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы "Синяя птица"	125459, г. Москва, проезд Донелайтиса, д. 20	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр внешкольной работы	(495) 492-01-90	
39	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида №486	109004 г.Москва, Товарищеский пер., д.3-5, стр.1	Казенное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(495) 911-33-59	http://myschool486.narod.ru
40	Государственное бюджетное образовательное учреждение города Москвы центр социально-трудовой адаптации и профориентации "Гагаринский"	119333, город Москва, ул. Фотиевой, дом 14, корп. 2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр социально-трудовой адаптации и профориентации	137-63-12	http://www.psykonvoy.ru/
41	Государственное бюджетное образовательное  учреждение города Москвы детский сад общеразвивающего вида № 1289	107497, г. Москва, ул. Байкальская, д. 46 А	Бюджетное	Дошкольное образовательное учреждение	Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей	(495) 467-99-38; (495) 467-99-38	http://detsad1289.narod2.ru
42	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1744	129281, город Москва, Староватутинский проезд, дом 9	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	(499) 185-77-31; (499) 185-81-46; (499) 185-81-75	http://dskv1744.mskobr.ru
43	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 758	127282, город  Москва, Заревый проезд, дом 8, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	(499) 472-91-64; (499) 472-93-12	http://www.crrds1767.mskobr.ru
44	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Останкино"	129075, г. Москва, ул. Новомосковская, д. 10/16, стр. 1.	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр развития творчества детей и юношества	602-21-58	
45	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 865	107589 город Москва, Хабаровская улица, дом 12	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 467-59-10; (495) 467-12-44	http://ds865.narod.ru
46	Государственное бюджетное образовательное учреждение города Москвы детская школа искусств "Юность"	117420, г. Москва, ул. Новочеремушкинская, д.64, корп.3	Бюджетное	Образовательное учреждение дополнительного образования детей	Школа	331-41-66	http://unost.mosuzedu.ru
47	Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи "Преображенский"	107553,г.Москва, ул.Большая Черкизовская, дом 15	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	(499) 161-15-06; (499) 161-14-56	http://dtdim.ucoz.com/
48	Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи "Восточный"	111123, г.Москва, Владимирская 1-я улица, дом 20	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	(499) 721-69-91	http://www.dtdim-vostok.ru
49	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1671	121609 г. Москва, ул. Крылатские холмы, д.11	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	413-70-35	http://1671.ru
50	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Детский музыкальный театр "Домисолька"	123298, г. Москва, ул. Маршала Бирюзова, д. 5	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 198-09-83; (499) 198-18-82	http://domisolka.ru/
51	Государственное бюджетное образовательное учреждение города Москвы Станция юных техников "Солнцево"	119620, г. Москва, ул. Волынская, д. 8, корп. 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Станция	435-35-33	http://sut-solncevo.mskzapad.ru
52	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Кёкушин Каратэ"	119333, г. Москва, ул. Губкина, д. 6, стр. 1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 134-24-30	http://кекушин.рф
53	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Северный"	127204, г.Москва, 7-я Северная линия, д.13, стр.1, 2, 3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 767-78-63	http://ducsever.ru
54	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1844	119634 г.Москва, ул. Шолохова, д. 9, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	732-30-00	
55	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1678	129090 г. Москва, пер. Васнецова, д.2	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	684-77-17	http://www.crrds1678.mskobr.ru
56	Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей "Детский телевизионный учебный центр"	115569 г. Москва, ул. Маршала Захарова, д. 14, к. 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр дополнительного образование детей	(495) 394-07-73; (495) 390-75-66; (495) 394-00-12	http://dtvcentr.ru
57	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1729	107066 г. Москва, ул. Старая Басманная, д.24, стр.7	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	265-15-40	
58	Государственное бюджетное образовательное учреждение города Москвы дом детского творчества "Кунцево"	121467, г.Москва, ул. Молодогвардейская, д. 2, корп. 3	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом	(499) 149-16-56; (499) 149-16-59; (499) 141-98-26	http://ddt-kuncevo.mskzapad.ru
59	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Аминьево"	121357, г.Москва, ул. Артамонова, д.11	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	443-20-45	http://crtd-aminievo.mskzapad.ru
60	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Рублево"	121500, г.Москва, ул. Василия Ботылева, д. 31	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 727-18-55	http://rublevo.mskzapad.ru
61	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Гермес"	127411, г. Москва,  ул. Учинская, д. 10	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	484-99-33	http://cmt-germes.ru/
62	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Звезда"	125167, г. Москва, улица Пилота Нестерова, дом 9а	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 614-91-07	http://patriot-sever.ru/
63	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1129	115533 г. Москва,Нагатинская наб.,28,к.2	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	(499) 616-43-88; (499) 616-41-44	http://dou1129.ru
64	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Сокол"	125057, г. Москва, ул. Песчаная, д. 5	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 157-08-82; (499) 157-49-88; (499) 157-61-36; (499) 157-18-04; (499) 157-08-33; (499) 157-04-61	http://www.cokol.net
65	Государственное бюджетное образовательное учреждение города Москвы детская художественная школа	127238, г. Москва, Дмитровское шоссе, дом №34, корпус 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Школа	(499) 488-70-21; (499) 488-70-21	http://iso-school.ru
66	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII  вида № 614	125239 г. Москва, ул. Михалковская, д. 15-А	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(499) 154-60-61	http://shc614.koptevo.net
67	Государственное бюджетное образовательное учреждение Московский детский эколого-биологический центр	117303, город Москва, ул. Одесская, д. 12А	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 318-01-05; (495) 316-76-39; (495) 318-00-03	http://mgsun.ru
68	Государственное бюджетное образовательное учреждение города Москвы детская художественная школа "Солнцево"	119618, г.Москва, ул. 50 лет Октября, д. 29Б	Бюджетное	Образовательное учреждение дополнительного образования детей	Школа	(495) 435-39-57; (495) 435-03-82	http://dxsh-solncevo.mskzapad.ru
69	Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи "Хорошево"	123154, г. Москва, улица  Маршала Тухачевского, дом 20, корп. 1	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	(499) 197-51-23	http://dtdmhor.ru
70	Государственное бюджетное образовательное учреждение города Москвы  дворец пионеров и школьников имени А.П.Гайдара	109263 Шкулева улица, д. 2, стр.1	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	(499) 179-65-11	http://sites.google.com/site/dpgaidar/
71	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная)общеобразовательная школа - интернат VIII вида № 29	107076 Потешная улица, 5 а	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	963-12-20	http://schi29.mskobr.ru
72	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Театр на набережной"	119270 Фрунзенская набережная, д. 48	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр детского творчества	(499) 242-56-85	http://nabereg.ru
73	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2422	117042 Адмирала Лазарева улица, 28 к.2	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	716-60-22	http://www.ds2422.ru
74	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества	129344 Коминтерна улица, д.4, корп.1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр развития творчества детей и юношества	(495) 471-22-39	http://www.gboucrtdu.ru
