№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
466	Лифты	Профсоюзная ул. д.132 к.5	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
467	Лифты	Профсоюзная ул. д.130 к.3	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
468	Лифты	Староконюшенный пер., д.43	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
469	Ремонт фасадов ЦАО и исторической часть города	Гоголевский б-р, д.27	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
470	Лифты	Туристская ул., д.2, к.5	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
471	Лифты	Свободы ул., д.51, к.1	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
472	Ремонт фасадов ЦАО и исторической часть города	Трубниковский пер., д.8/15, стр.3	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
473	Лифты	Мусы Джалиля ул., д.26, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
474	Лифты	Мусы Джалиля ул., д.32, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
475	Лифты	Академика Пилюгина ул. д.12 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
476	Лифты	Академика Пилюгина ул. д.8 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
477	Утепление фасадов	Иерусалимская ул., д.2	2012-08-02 04:00:00.0	2012-12-31 04:00:00.0
478	Ремонт фасадов ЦАО и исторической часть города	Кривоколенный пер., д.10, стр.2	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
479	Лифты	Академика Анохина ул., д.34, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
480	Лифты	Лебедянская ул., д.14	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
481	Капитальный ремонт	Бехтерева ул., д.7, к.1	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
482	Ремонт фасадов ЦАО и исторической часть города	Николопесковский Малый пер., д.9/1, стр.1	2012-07-02 04:00:00.0	2012-12-31 04:00:00.0
483	Фасады с облегченной кладкой	Мичуринский просп., д.6, к.1	2012-08-14 04:00:00.0	2012-12-31 04:00:00.0
484	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.18/22, стр.1	2012-06-01 04:00:00.0	2012-08-27 04:00:00.0
485	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.15, стр.1	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
486	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.13, стр.1	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
487	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.15, стр.2	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
488	Ремонт фасадов ЦАО и исторической часть города	Мясницкая ул., д.13, стр.3	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
489	Лифты	Дубосековская ул., д.7	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
490	Капитальный ремонт	Басманный пер., д.4	2012-10-21 04:00:00.0	2012-12-31 04:00:00.0
491	Ремонт фасадов ЦАО и исторической часть города	Чистопрудный б-р, д.15, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
492	Лифты	Профсоюзная ул. д.13/12	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
493	Ремонт фасадов ЦАО и исторической часть города	Харитоньевский Большой пер., д.14	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
494	Лифты	Чичерина ул., д.2/9	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
495	Ремонт фасадов ЦАО и исторической часть города	Покровка ул., д.41, стр.3	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
496	Ремонт фасадов ЦАО и исторической часть города	Подсосенский пер., д.18/5, стр.1	2012-06-22 04:00:00.0	2012-12-31 04:00:00.0
497	Ремонт фасадов ЦАО и исторической часть города	Ордынка Большая ул., д.16	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
498	Лифты	Бакинских Комиссаров 26-ти ул., д.6, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
499	Ремонт фасадов ЦАО и исторической часть города	Озерковский пер., д.7, стр.1	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
500	Ремонт фасадов ЦАО и исторической часть города	Харитоньевский Малый пер., д.7, стр.2	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
501	Ремонт фасадов ЦАО и исторической часть города	Харитоньевский Малый пер., д.7, стр.3	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
502	Ремонт фасадов ЦАО и исторической часть города	Садовая-Самотёчная ул., д.6, стр.1	2012-06-01 04:00:00.0	2012-08-27 04:00:00.0
503	Ремонт фасадов ЦАО и исторической часть города	Петровский б-р, д.23	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
504	Лифты	Грузинская Малая ул., д.29	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
505	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.1/4, стр.2	2012-06-01 04:00:00.0	2012-08-27 04:00:00.0
506	Лифты	Хользунова пер., д.6	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
507	Ремонт фасадов ЦАО и исторической часть города	Ордынка Большая ул., д.31/12, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
508	Фасады с облегченной кладкой	Краснопрудный Малый туп., д.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
509	Лифты	Холмогорская ул., д.2, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
510	Лифты	Филёвская Малая ул., д.50	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
511	Ремонт фасадов ЦАО и исторической часть города	Пятницкая ул., д.43, стр.3	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
512	Лифты	Новый Арбат ул., д.25	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
513	Ремонт фасадов ЦАО и исторической часть города	Новинский б-р, д.12	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
514	Ремонт фасадов ЦАО и исторической часть города	Новинский б-р, д.18б	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
515	Лифты	Перерва ул., д.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
516	Лифты	Перерва ул., д.6	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
517	Лифты	Батайский пр., д.11	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
518	Лифты	Рогова ул., д.20, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
519	Лифты	Рогова ул., д.18, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
520	Лифты	Новокузьминская 1-я ул., д.6	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
521	Ремонт фасадов ЦАО и исторической часть города	Милютинский пер., д.3	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
522	Лифты	Перерва ул., д.14	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
523	Ремонт фасадов ЦАО и исторической часть города	Пятницкая ул., д.47, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
524	Ремонт фасадов ЦАО и исторической часть города	Арбат ул., д.51, стр.1	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
525	Лифты	Арбат ул., д.51, стр.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
526	Ремонт фасадов ЦАО и исторической часть города	Карманицкий пер., д.3а, стр.1	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
527	Ремонт фасадов ЦАО и исторической часть города	Новинский б-р, д.18, стр.1	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
528	Ремонт фасадов ЦАО и исторической часть города	Староконюшенный пер., д.28, стр.1	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
529	Ремонт фасадов ЦАО и исторической часть города	Гоголевский б-р, д.23	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
530	Ремонт фасадов ЦАО и исторической часть города	Гоголевский б-р, д.33/1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
531	Ремонт фасадов ЦАО и исторической часть города	Ордынка Большая ул., д.9/4, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
532	Ремонт фасадов ЦАО и исторической часть города	Покровка ул., д.25, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
533	Ремонт фасадов ЦАО и исторической часть города	Пятницкая ул., д.5, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
534	Ремонт фасадов ЦАО и исторической часть города	Чистопрудный б-р, д.2	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
535	Ремонт фасадов ЦАО и исторической часть города	Арбат ул., д.40, стр.1	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
536	Ремонт фасадов ЦАО и исторической часть города	Ордынка Большая ул., д.7, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
537	Фасады с облегченной кладкой	Войковский 5-й пр., д.8, к.1	2012-08-16 04:00:00.0	2012-12-31 04:00:00.0
538	Лифты	Судостроительная ул., д.8, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
539	Лифты	Маршала Жукова просп., д.22, к.4	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
540	Лифты	Таллинская ул., д.6	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
541	Капитальный ремонт	Никитский б-р, д.12, стр.3	2012-02-09 04:00:00.0	2012-12-31 04:00:00.0
542	Лифты	Зелёный просп., д.66, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
543	Ремонт фасадов ЦАО и исторической часть города	Трёхпрудный пер., д.11/13, стр.2	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
544	Ремонт фасадов ЦАО и исторической часть города	Карманицкий пер., д.2/5	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
545	Лифты	Земляной Вал ул., д.24/32	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
546	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.24/32	2012-06-01 04:00:00.0	2012-08-27 04:00:00.0
547	Подъемные платформы и работы по ММГН	Гиляровского ул., д.59	2012-08-13 04:00:00.0	2012-12-31 04:00:00.0
548	Лифты	Загородное ш., д.7, к.4	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
549	Лифты	Каскадная ул., д.20, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
550	Подъемные платформы и работы по ММГН	Суздальская ул., д.12, к.3	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
551	Капитальный ремонт	Сиреневый б-р, д.1, к.3	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
552	Лифты	Кутузовский просп., д.14	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
553	Лифты	Смоленская наб., д.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
554	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.4	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
555	Лифты	Чертановская ул., д.33, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
556	АУУ / УУТЭ	40 лет Октября  просп., д.20	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
557	Лифты	Окская ул., д.8, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
558	Лифты	Ясеневая ул., д.19, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
559	Лифты	800-летия Москвы ул., д.5, к.3	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
560	Лифты	Санникова ул., д.7	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
561	Ремонт фасадов ЦАО и исторической часть города	Козловский Большой пер., д.11, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
562	Ремонт фасадов ЦАО и исторической часть города	Машкова ул., д.6, стр.2	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
563	Лифты	Ангарская ул., д.45, к.6	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
564	Фасады с облегченной кладкой	Новорязанская ул., д.30а	2012-08-19 04:00:00.0	2012-12-31 04:00:00.0
565	Лифты	Северное Чертаново , д.2, к.206	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
566	Лифты	Северное Чертаново , д.2, к.206	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
567	Лифты	Симферопольский б-р д.4а	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
568	Лифты	Северное Чертаново , д.2, к.201	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
569	Лифты	Северное Чертаново , д.2, к.201	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
570	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.16	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
571	Лифты	Энергетическая ул., д.16, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
572	Лифты	Синичкина 2-я ул., д.19	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
573	Лифты	Восточная ул., д.13	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
574	Лифты	Дубровская 1-я ул., д.5	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
575	Лифты	Дубровская 1-я ул., д.7/10	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
576	Лифты	Судостроительная ул., д.12	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
577	Лифты	Луганская ул., д.3, к.2	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
578	Лифты	Кавказский б-р, д.29, к.2	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
579	Лифты	Домодедовская ул., д.7, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
580	Лифты	Перерва ул., д.20	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
581	Лифты	Лебедянская ул., д.17	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
582	Лифты	Липецкая ул., д.26	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
583	Лифты	Бирюлёвская ул., д.49, к.3	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
584	Лифты	Загорьевская ул., д.5	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
585	Лифты	Загорьевская ул., д.5	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
586	Лифты	Липецкая ул., д.46	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
587	Лифты	Загорьевский пр., д.15	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
588	Лифты	Утренняя ул., д.10, к.2	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
589	Лифты	Артюхиной ул., д.5	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
590	Капитальный ремонт	Мусы Джалиля ул., д.8, к.2	2011-10-17 04:00:00.0	2012-12-31 04:00:00.0
591	Лифты	Мусы Джалиля ул., д.32, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
592	Лифты	Мусы Джалиля ул., д.5, к.5	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
593	Лифты	3-й квартал Капотни, д.15	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
594	Капитальный ремонт	Парковая 16-я ул., д.18	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
595	АУУ / УУТЭ	9 Мая ул., д.14а	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
596	Лифты	Маршала Бирюзова ул., д.43	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
597	Лифты	Маршала Бирюзова ул., д.43	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
598	Лифты	Дубнинская ул., д.16, к.5	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
599	Лифты	Чичерина ул., д.2/9	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
600	Лифты	Профсоюзная ул. д.22/10 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
601	Лифты	Полбина ул., д.64	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
602	Лифты	Дубровская 1-я ул., д.4а	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
603	Лифты	Первомайская Нижняя ул., д.53	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
604	Лифты	Дубровская 1-я ул., д.6а	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
605	Лифты	Профсоюзная ул. д.132 к.6	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
606	Лифты	Островитянова ул. д.16 к.4	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
607	Лифты	Островитянова ул. д.16 к.3	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
608	Лифты	Островитянова ул. д.18 к.3	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
609	Лифты	Профсоюзная ул. д.142 к.4	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
610	Лифты	Береговой пр., д.9, к.5	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
611	Лифты	Микрорайон 12-й , к.1212	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
612	Лифты	Микрорайон 12-й , к.1210	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
613	Лифты	Микрорайон 12-й , к.1211	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
614	Лифты	Мусы Джалиля ул., д.44/45	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
615	Лифты	Тульская Малая ул., д.24	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
616	Подъемные платформы и работы по ММГН	Россошанская ул., д.2, к.5	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
617	Лифты	Алтайская ул., д.31	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
618	Лифты	Филёвская Большая ул., д.57	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
619	Лифты	Краснодарская ул., д.14	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
620	Лифты	Мариупольская ул., д.2/123	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
621	Лифты	Армавирская ул., д.9	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
622	Лифты	Армавирская ул., д.7	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
623	Капитальный ремонт	Академика Павлова ул., д.27, к.4	2011-11-29 04:00:00.0	2012-12-31 04:00:00.0
624	Капитальный ремонт	Академика Павлова ул., д.27, к.3	2011-11-29 04:00:00.0	2012-12-31 04:00:00.0
625	Лифты	Рязанский просп., д.70, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
626	Ремонт фасадов ЦАО и исторической часть города	Цветной б-р, д.28, стр.3	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
627	Лифты	Воронежская ул., д.36, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
628	Лифты	Ореховый б-р, д.22, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
629	Лифты	Мусы Джалиля ул., д.27, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
630	Лифты	Шипиловская ул., д.54, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
631	Подъемные платформы и работы по ММГН	Городецкая ул., д.9, к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
632	Лифты	Профсоюзная ул. д.75 к.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
633	Лифты	Генерала Антонова ул. д.7 к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
634	Лифты	Каргопольская ул., д.2	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
635	Лифты	Лескова ул., д.10в	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
636	Лифты	Дежнёва пр., д.27, к.2	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
637	Лифты	Дежнёва пр., д.25, к.3	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
638	Лифты	Молодцова ул., д.2а	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
639	Лифты	Молодцова ул., д.2а	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
640	Лифты	Молодцова ул., д.1а	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
641	Подъемные платформы и работы по ММГН	Милашенкова ул., д.8	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
642	Лифты	Кибальчича ул., д.2, к.1	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
643	Лифты	Новослободская ул., д.62, к.16	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
644	Ремонт фасадов ЦАО и исторической часть города	Ордынка Большая ул., д.68	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
645	Ремонт фасадов ЦАО и исторической часть города	Огородная Слобода пер., д.12	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
646	Лифты	Садовая-Спасская ул., д.21	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
647	Лифты	Большие Каменщики ул., д.6	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
648	Лифты	Ленинский просп., д.37	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
649	Лифты	Лестева ул., д.19, к.2	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
650	Лифты	Булатниковская ул., д.9, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
651	Лифты	Тайнинская ул., д.16, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
652	АУУ / УУТЭ	Пятницкое ш., д.7	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
653	Лифты	Исаковского ул., д.12, к.1	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
654	Лифты	Богданова ул., д.32	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
655	Лифты	Гамалеи ул., д.23, к.2	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
656	Лифты	Берзарина ул., д.10, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
657	Лифты	Мосфильмовская ул., д.2в	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
658	Ремонт фасадов ЦАО и исторической часть города	Машкова ул., д.26, стр.1	2012-07-02 04:00:00.0	2012-12-31 04:00:00.0
659	Лифты	Кетчерская ул., д.2, к.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
660	Лифты	Вешняковская ул., д.25/2	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
661	Лифты	Вешняковская ул., д.27, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
662	Капитальный ремонт	Федора Полетаева ул., д.38	2012-07-24 04:00:00.0	2012-12-31 04:00:00.0
663	Фасады с облегченной кладкой	Байкальская ул., д.35, к.4	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
664	Лифты	Химкинский б-р, д.15, к.1	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
665	Подъемные платформы и работы по ММГН	Волочаевская ул., д.20, к.3	2012-07-20 04:00:00.0	2012-07-27 04:00:00.0
666	Лифты	Самокатная ул., д.6, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
667	Лифты	Самокатная ул., д.6, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
668	Лифты	Фомичёвой ул., д.8	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
669	Лифты	Дербеневская ул., д.11а	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
670	Ремонт фасадов ЦАО и исторической часть города	Трубная ул., д.25, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
671	Лифты	Кутузовский просп., д.4/2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
672	Лифты	Ляпидевского ул., д.8, к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
673	Фасады с облегченной кладкой	Лавочкина ул., д.40/49	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
674	Лифты	Вешняковская ул., д.5, к.2	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
675	Лифты	Вешняковская ул., д.5, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
676	Лифты	Академика Волгина ул. д.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
677	Лифты	Шарикоподшипниковская ул., д.32	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
678	Лифты	Боткинский 1-й пр., д.2/6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
679	Лифты	Красноармейская ул., д.24	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
680	Лифты	Милашенкова ул., д.12в	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
681	Фасады с облегченной кладкой	Новомихалковский 1-й пр., д.2, к.1	2012-07-16 04:00:00.0	2012-12-31 04:00:00.0
682	АУУ / УУТЭ	Чапаевский пер., д.18/1	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
683	Лифты	Академика Пилюгина ул. д.12 к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
684	Лифты	Елецкая ул., д.35, к.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
685	Лифты	Матвеевская ул., д.10, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
686	Лифты	Власьевский Большой пер., д.12	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
687	Ремонт фасадов ЦАО и исторической часть города	Фрунзенская наб., д.4	2012-06-01 04:00:00.0	2012-08-27 04:00:00.0
688	Лифты	Матвеевская ул., д.42, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
689	Лифты	Халтуринская ул., д.4, к.1	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
690	Утепление фасадов	Измайловское ш., д.33	2012-05-18 04:00:00.0	2012-12-31 04:00:00.0
691	Лифты	Кленовый б-р, д.24	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
692	Лифты	Шоссейная ул. (рн. Печатники), д.29, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
693	Лифты	Полбина ул., д.40	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
694	Лифты	Луганская ул., д.3, к.1	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
695	Лифты	Маршала Захарова ул., д.12, к.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
696	Лифты	Новочеркасский б-р, д.10	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
697	Лифты	Новочеркасский б-р, д.10	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
698	Лифты	Новочеркасский б-р, д.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
699	Лифты	Бирюлёвская ул., д.3, к.2	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
700	Лифты	Каширское ш., д.136	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
701	Лифты	Открытое ш., д.24, к.14	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
702	Лифты	Парковая 10-я ул., д.17	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
703	Лифты	Парковая 10-я ул., д.15	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
704	Лифты	Перовская ул., д.75	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
705	Лифты	Красный Казанец ул., д.5	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
706	Лифты	Кустанайская ул., д.8, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
707	Подъемные платформы и работы по ММГН	Вешняковская ул., д.6, к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
