№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
1579	Подъемные платформы и работы по ММГН	Твардовского ул., д.9, к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1580	Подъемные платформы и работы по ММГН	Кулакова ул., д.10	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1581	Лифты	Кулакова ул., д.10	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1582	Лифты	Таллинская ул., д.12	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1583	Подъемные платформы и работы по ММГН	Таллинская ул., д.12	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1584	Лифты	Менжинского ул., д.38, к.3	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
1585	Лифты	Менжинского ул., д.38, к.2	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
1586	Лифты	Вилиса Лациса ул., д.37, к.1	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
1587	Лифты	Вилиса Лациса ул., д.37, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1588	Лифты	Загорьевская ул., д.23, к.2	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
1589	Лифты	Вольская 1-я ул., д.17	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
1590	Лифты	Котельническая наб., д.1/15б	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1591	Лифты	Котельническая наб., д.1/15в	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1592	Лифты	Тверская ул., д.4, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1593	Лифты	Тверская ул., д.6, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1594	Лифты	Тихвинский пер., д.10, к.9	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1595	Лифты	Комсомольский просп., д.37/14	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1596	Лифты	Факельный Большой пер., д.2/22	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1597	Лифты	Фрунзенская наб., д.14	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1598	Лифты	Чистый пер., д.6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1599	Лифты	Автозаводская ул., д.13, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1600	Лифты	Варшавское ш., д.62	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1601	Лифты	Варшавское ш., д.66	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1602	Лифты	Варшавское ш., д.75	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1603	Лифты	Речников ул., д.28, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1604	Лифты	Добролюбова ул., д.18	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1605	Лифты	Киевская ул., д.20	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1606	Лифты	Киевская ул., д.20	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1607	АУУ / УУТЭ	1905 Года ул., д.5	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
1608	Лифты	Грузинская Малая ул., д.12	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1609	Лифты	Ленинский просп., д.102	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
