№ строки	Название	Адрес	Телефон	Режим работы
46	ГКУ ИС Хорошевского района	г.Москва, Хорошевское ш., д.68, корп.1	(495) 940-08-93; (495) 940-58-62	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
47	ГУ ИС района Западное Дегунино	г.Москва, ул.Весенняя, д.10	(499) 905-25-63	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
48	ГКУ ИС района Аэропорт	г.Москва, ул.Часовая, д.8	(499) 152-00-03; (499) 152-74-53	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
49	ГКУ ИС района Беговой	г.Москва, ул.Расковой, д.16/26, стр.1	(495) 613-40-07	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
50	ГКУ ИС Бескудниковского района	г.Москва, ул.Дубнинская, д.3	(499) 480-23-66	пн.-пт. 08.00-20.00 (без перерыва) , сб. 08.00-15.45, вс.-выходной
51	ГКУ ИС Дмитровского района	г.Москва, ул.Клязьминская, д.11, корп.3	(495) 486-71-00; (495) 486-73-59	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
52	ГКУ ИС Головинского района	г.Москва, 3-ий Лихачевский пер., д.7, к.4	(495) 454-35-59; (495) 456-57-80	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
53	ГКУ ИС района Восточное Дегунино	г.Москва, ул.Дубнинская, д.40А, к.1	(495) 531-30-20	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
54	ГКУ ИС Войковского района	г.Москва, 4-й Войковский пр., д.9	(499) 150-85-52; (495) 708-20-13	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
55	ГКУ ИС района Алтуфьевский	г.Москва, Алтуфьевское ш., д.56А	(499) 902-00-06; (499) 902-13-47	вт.-пт. 09.00-20.00 (без перерыва) сб. 09.00-15.45, вс. - выходной
56	ГКУ ИС Алексеевского района	г.Москва, ул.Новоалексеевская, д.9А	(495) 411-56-38	вт.-пт. 09.00-20.00 (без перерыва) сб. 09.00-15.45, вс. - выходной
57	ГКУ ИС Бабушкинского района	г.Москва, ул.Печорская, д.11	(495) 411-67-40	пн.-пт. 09.00-20.00 (без перерыва), сб. 08.00-15.00, вс. - выходной
58	ГКУ ИС района Ярославский	г.Москва, Ярославское ш., д.116, корп.1	(495) 411-67-45	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
59	ГКУ ИС района Южное Медведково	г.Москва, пр.Ясный, д.10	(495) 411-67-38	пн.-сб. 09.00-20.00 (без перерыва), вс. - выходной
60	ГКУ ИС района Бибирево	г.Москва, ул.Пришвина, д.3а	(495) 411-67-42	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
61	ГКУ ИС района Северный	г.Москва, 9-я Северная линия, д.1, корп.1	(495) 411-67-27	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
62	ГКУ ИС Лосиноостровского района	г.Москва, ул.Изумрудная, д.63/1	(495) 411-67-47	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
63	ГКУ ИС района Лианозово	г.Москва, ул.Новгородская, д.32	(495) 411-56-54; (499) 908-85-07; (499) 908-84-57	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
64	ГКУ ИС Бутырского района	г.Москва, Огородный пр-д, д.23	(495) 619-45-08	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
65	ГКУ ИС района Марфино	г.Москва, ул.Большая Марфинская, д.4	(495) 411-67-28	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
66	ГКУ ИС района Марьина Роща	г.Москва, ул.Шереметьевская, д.9, корп.1	(495) 411-67-37	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
67	ГКУ ИС района Ростокино	г.Москва, пр-т Мира, д.183	(495) 411-67-33	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
68	ГКУ ИС района Отрадное	г.Москва, Ул.Мусоргского, д.7	(495) 411-67-48	пн.-пт. 09.00-20.00 (без перерыва), сб., вс. - выходной
69	ГКУ ИС района Северное Медведково	г.Москва, ул.Широкая, д.6, корп.2	(495) 411-67-24	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45,  вс., пн. - выходной
70	ГКУ ИС района Останкинский	г.Москва, ул.Академика Королёва, д.9, корп.1	(495) 411-56-58	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45,  вс., пн. - выходной
71	ГКУ ИС района Раменки	г.Москва, Мичуринский пр-т, д.21, корп.1	(495) 932-47-93;  (495) 932-47-94;  (495) 932-47-95;  (495) 932-47-96;  (495) 932-47-97	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
72	ГКУ ИС района Проспект Вернадского	г.Москва, ул.Удальцова, д.31а	(499) 431-90-57;  (499) 431-90-61; (499) 431-96-03;	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
73	ГКУ ИС района Фили-Давыдково	г.Москва, Славянский бульвар, д.7, корп.2	(499) 445-08-92;  (495) 735-20-51	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
74	ГКУ ИС района Зюзино	г.Москва, ул.Фруктовая, д.18	(499) 613-84-36	пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
75	ГКУ ИС Гагаринкого района	г.Москва, Ленинский просп., д.60/2	(495) 651-21-37;  (495) 651-21-38;  (499) 727-03-83;  (495) 651-21-33;  (495) 651-21-34;  (495) 651-21-31;  (495) 651-21-30; (499) 137-07-93;  (499) 137-40-63;  (499) 137-39-19;  (499) 727-03-86;	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
76	ГКУ ИС района Коньково	г.Москва, ул.Профсоюзная, д.98, корп.1	(495) 779-31-77	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
77	ГКУ ИС района Котловка	г.Москва, ул.Нагорная, д.31, корп.1	(499) 123-90-80;  (499) 123-96-06;  (499) 123-92-62;  (499) 123-97-27;  (499) 123-04-67;  (499) 127-04-61	пн.-технический день, вт.-сб. 09.00-19.00, без перерыва, вс. - выходной
78	ГКУ ИС Ломоносовского района	г.Москва, ул.Ак.Пилюгина, д.16, корп.1	(499) 132-04-44; (499) 132-52-47; (499) 132-47-98; (499) 132-49-54; (499) 132-49-53; (499) 132-04-01; (499) 132-52-01; (499) 783-50-41	пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной
79	ГКУ ИС Академического района	г.Москва, ул.Новочеремушкинская, д.23, корп.5	(499) 789-65-10; (499) 129-58-66;	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
80	ГКУ ИС Обручевского района	г.Москва, ул.Ак.Челомея, д.8А	(495) 935-14-79;  (495) 936-62-21;  (495) 935-14-78;  (495) 935-00-97;  (495) 935-00-98;  (499) 739-50-93;  (499) 739-51-48.	пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной
81	ГКУ  ИС района Северное Бутово	г.Москва, ул.Старокачаловская, д.3а	(495) 713-58-80  (495) 713-00-19  (495) 713-62-72  (495) 714-81-64	пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной
82	ГКУ ИС района Теплый Стан	г.Москва, ул.Профсоюзная, д.130, к.4	(495) 338-50-30	пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
83	ГКУ ИС района Черемушки	г.Москва, ул.Новочеремушкинская, д.61А	(499) 120-70-70;  (499) 723-06-14;  (495) 779-47-25;  (499) 128-77-78;  (499) 120-13-66;  (499) 120-42-44;  (499) 120-73-11;  (499) 128-76-91;  (499) 723-08-14;  (499) 120-81-81;  (495) 779-43-62;  (495) 779-42-09;  (499) 120-02-66;  (499) 723-07-14	пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
84	ГКУ ИС района Южное Бутово	г.Москва, бул.Адмирала Ушакова, д.9	(495) 717-56-54	пн.-технический день, вт.-пт. 08.00-20.00, сб. 08.00-15.45, без перерыва, вс. - выходной
85	ГКУ ИС района Ясенево	г.Москва, ул.Айвазовского, д.8, корп.2	(495) 427-95-22;  (495) 427-94-88;  (495) 427-89-11;  (495) 427-94-55;  (495) 427-98-21	пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной
86	ГКУ ИС района Орехово-Борисово Южное	г.Москва, ул.Елецкая, д.16, корп.1	(495) 399-40-80	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
87	ГКУ ИС района Царицыно	г.Москва, Пролетарский пр-т, д.33, корп.3	(499) 782-84-41	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
88	ГКУ  ИС района Чертаново Северное	г.Москва, ул.Чертановская, д.9, корп.4, стр. 2	(495) 315-50-09	пн.-чт. 08.00-17.00 (перерыв 12.00-12.45) , пт. 8.00-15.45 (перерыв 12.00-12.45) , сб., вс. - выходной
89	ГКУ ИС района Чертаново Центральное	г.Москва, ул.Чертановская, д.42, корп.3	(495) 313-29-59	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
90	ГКУ ИС района Орехово-Борисово Северное	г.Москва, Борисовский пр., д.11, корп.3	(495) 393-07-77	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
91	ГКУ ИС района Чертаново Южное	г.Москва, ул.Газопровод, д.5А	(495) 389-20-00	пн.-пт. 09.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
92	ГКУ ИС Нагорного района	г.Москва, Варшавское ш., д.76, корп.2	(499) 619-39-03;  (499) 619-08-74;  (499) 619-67-21; (499) 610-99-64;  (499) 619-84-21	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
93	ГКУ ИС района Зябликово	г.Москва, Ореховый пр., д.35, корп.2	(495) 394-58-72; (495) 394-96-81; (495) 394-93-54	пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
94	ГКУ ИС Донского района	г.Москва, Загородное ш., д.8, корп.8	(495) 958-58-24; (495) 958-20-94	пн.-пт. 09.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной
