№ строки	Название	Адрес	Число парковочных мест	Время работы	Иное
63	Мастеркова ул., д.6	Мастеркова ул., д.6	5.00000000000	круглосуточно	напротив д. 6
64	Котельническая наб., 1/15	Котельническая наб., 1/15	4.00000000000	Круглосуточно	введена в эксплуатацию
65	Болотная пл.,	Болотная пл.,	4.00000000000	Круглосуточно	введена в эксплуатацию
66	Домодедовская, 28	Домодедовская, 28	4.00000000000	круглосуточно	в заездном кармане
67	Тюрина, д.4	Тюрина, д.4	4.00000000000	круглосуточно	заездной карман перед КПП 13
68	Кировоградская д.9, к.4	Кировоградская д.9, к.4	4.00000000000	круглосуточно	У ТЦ Южный
69	Улица Шолохова, д.15а	Улица Шолохова, д.15а	3.00000000000	Круглосуточно	перед перекрестком с ул. Мухиной
70	Улица Арбат, 1	Улица Арбат, 1	3.00000000000	Круглосуточно	НЕвведена в эксплуатацию
71	Цветной б-р, 15	Цветной б-р, 15	4.00000000000	Круглосуточно	введена в эксплуатацию
72	Пр-кт Адропова 39	Пр-кт Адропова 39	4.00000000000	10.00-18.00	у входа в музей-заповедник
73	Пл. Тверская Застава	Пл. Тверская Застава	10.00000000000	Круглосуточно	НЕвведена в эксплуатацию
74	Улица Серафимовича, 2 корп. 10	Улица Серафимовича, 2 корп. 10	2.00000000000	Круглосуточно	введена в эксплуатацию
75	Свободы ул., д.71	Свободы ул., д.71	3.00000000000	Круглосуточно	у входа в парк Сев. Тушино
76	Митинская ул., д.36, корп.1	Митинская ул., д.36, корп.1	4.00000000000	Круглосуточно	перед ост. метро Митино ТЦ Ковчег
77	Дубравная ул., 34/29	Дубравная ул., 34/29	4.00000000000	Круглосуточно	перед ост. метро Митино ТЦ Ладья
78	Строгинский бул., д.9	Строгинский бул., д.9	4.00000000000	Круглосуточно	выход из метро, западный вестибюль
79	Родионовская ул., д.3	Родионовская ул., д.3	3.00000000000	Круглосуточно	в заездном кармане напротив д.10
80	Тихорецкий б-р, д. 1	Тихорецкий б-р, д. 1	40.00000000000	5.00-20.00	ТЦ Москва, со стор. Тихорецкого б-ра
81	Ореховый бул,24, к.1	Ореховый бул,24, к.1	4.00000000000	круглосуточно	На территории перехват. парковки
82	Сколковское шоссе, д.31	Сколковское шоссе, д.31	2.00000000000	Круглосуточно	Напротив ТЦ Спортхит
83	Энтузиастов ш., 7А	Энтузиастов ш., 7А	4.00000000000	Круглосуточно	введена в эксплуатацию
84	Мясницкий пр-д., 4/2	Мясницкий пр-д., 4/2	5.00000000000	Круглосуточно	введена в эксплуатацию
85	Б. Сухаревская пл., 2	Б. Сухаревская пл., 2	4.00000000000	Круглосуточно	введена в эксплуатацию
86	Пречистенские Ворота пл., вл. 1 стр.6	Пречистенские Ворота пл., вл. 1 стр.6	3.00000000000	Круглосуточно	введена в эксплуатацию
87	Улица Крымский Вал, 9	Улица Крымский Вал, 9	6.00000000000	Круглосуточно	введена в эксплуатацию
88	3888 проектируемый пр.	3888 проектируемый пр.	4.00000000000	круглосуточно	напротив рынка
89	Волоколамское ш., д.90	Волоколамское ш., д.90	7.00000000000	Круглосуточно	в составе ТПУ Тушинская
90	Пл. Рогожская Застава, 2	Пл. Рогожская Застава, 2	2.00000000000	Круглосуточно	введена в эксплуатацию
91	Улица Никольская, 25	Улица Никольская, 25	2.00000000000	Круглосуточно	введена в эксплуатацию
92	Митинская ул., д.27	Митинская ул., д.27	2.00000000000	Круглосуточно	выход из метро Митино у лифта
93	Краснодонская	Краснодонская	4.00000000000	Круглосуточно	Краснодонская ул, м. Волжская
94	Линии Окт. Железной Дороги, 1 с б	Линии Окт. Железной Дороги, 1 с б	5.00000000000	Круглосуточно	в кармане возле вх на пл.
95	Профсоюзная ул., д. 91	Профсоюзная ул., д. 91	4.00000000000	Круглосуточно	За остановкой на дублёре
96	Новоясеневский пр-т, д. 1	Новоясеневский пр-т, д. 1	4.00000000000	Круглосуточно	У ТРЦ Принц Плаза
97	Новоясеневский пр-т, д. 3А	Новоясеневский пр-т, д. 3А	4.00000000000	Круглосуточно	Возле Дом Авто
98	Вавилова ул., д. 8	Вавилова ул., д. 8	4.00000000000	Круглосуточно	Возле м. Ленинский пр-т
99	Каховка ул., д. 29А	Каховка ул., д. 29А	3.00000000000	Круглосуточно	Возле ТЦ Принц
100	Шоссе Энтузиастов, д.26	Шоссе Энтузиастов, д.26	3.00000000000	Круглосуточно	введена в эксплуатацию
101	Ломоносовский пр-т, МГУ	Ломоносовский пр-т, МГУ	4.00000000000	Круглосуточно	Возле МГУ
102	Булатниковский проезд,14	Булатниковский проезд,14	4.00000000000	круглосуточно	на терр. парковки магазина
103	Варшавское ш.,д.158 к.2	Варшавское ш.,д.158 к.2	4.00000000000	круглосуточно	между дублером и Варшавским ш.
104	Полоцкая, вл. 7	Полоцкая, вл. 7	2.00000000000	Круглосуточно	Рядом с магазином Пятерочка
105	Варшавское ш.,26	Варшавское ш.,26	50.00000000000	круглосуточно	парковка перед кафе, у метро
106	Улица Нижегородская, 17	Улица Нижегородская, 17	4.00000000000	Круглосуточно	введена в эксплуатацию
107	Пр-кт Адропова 36	Пр-кт Адропова 36	4.00000000000	круглосуточно	у ТЦ
108	Тверская Застава пл., 1	Тверская Застава пл., 1	2.00000000000	Круглосуточно	введена в эксплуатацию
109	Площадь Киевского вокзала, д.1	Площадь Киевского вокзала, д.1	11.00000000000	Круглосуточно	Возле ц.вх. в зд.Киевского вокзала
110	Зеленоградская улица, д.15	Зеленоградская улица, д.15	3.00000000000	Круглосуточно	"
111	Ленинградское шоссе, д.25	Ленинградское шоссе, д.25	3.00000000000	Круглосуточно	"
112	ул. 1 я Машиностроения	ул. 1 я Машиностроения	3.00000000000	Круглосуточно	"
113	Зеленый проспект, д. 54-56	Зеленый проспект, д. 54-56	4.00000000000	Круглосуточно	"
114	Сокольническая пл., 9А	Сокольническая пл., 9А	10.00000000000	Круглосуточно	"
115	Б. Купавенский пр-д., д. 6, к.1	Б. Купавенский пр-д., д. 6, к.1	3.00000000000	Круглосуточно	"
116	Хачатуряна ул.,8	Хачатуряна ул.,8	4.00000000000	Круглосуточно	"
117	Мичуринский проспект, д.36	Мичуринский проспект, д.36	3.00000000000	Круглосуточно	"
118	Мичуринский проспект., д.3, к.1	Мичуринский проспект., д.3, к.1	5.00000000000	Круглосуточно	"
119	Планерная ул., д.12, корп.1	Планерная ул., д.12, корп.1	3.00000000000	Круглосуточно	"
120	Красный Казанец	Красный Казанец	2.00000000000	Круглосуточно	"
121	Щукинская ул. д.42	Щукинская ул. д.42	3.00000000000	Круглосуточно	"
122	Череповецкая ул.,17	Череповецкая ул.,17	3.00000000000	Круглосуточно	"
123	Зеленый проспект, д. 24-26	Зеленый проспект, д. 24-26	4.00000000000	Круглосуточно	"
124	Измайловский Вал, д. 30, стр. 2	Измайловский Вал, д. 30, стр. 2	3.00000000000	Круглосуточно	"
125	Зеленый проспект, д. 81	Зеленый проспект, д. 81	4.00000000000	Круглосуточно	"
126	Бутырская улица. д.9	Бутырская улица. д.9	3.00000000000	Круглосуточно	"
127	Зеленый проспект, д. 79А	Зеленый проспект, д. 79А	4.00000000000	Круглосуточно	"
