№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
78	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш. д.13	20120502	20121231
79	Места стоянки легковых такси (1 и 2 этап)	УДС Ботаническая ул. д.29 к.1	20120502	20121231
80	Места стоянки легковых такси (1 и 2 этап)	УДС Плещеева ул. д.4	20120502	20121231
81	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.81	20120502	20121231
82	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.54-56	20120502	20121231
83	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.79а	20120502	20121231
84	Места стоянки легковых такси (1 и 2 этап)	УДС Свободный просп. д.19	20120502	20121231
85	Места стоянки легковых такси (1 и 2 этап)	УДС Свободный просп. д.33а	20120502	20121231
86	Места стоянки легковых такси (1 и 2 этап)	УДС Ул. 9-я Парковая (выход из ст. метро Первомайская)	20120502	20121231
87	Места стоянки легковых такси (1 и 2 этап)	УДС Семеновская Б. ул. д.26 с.2	20120502	20121231
88	Места стоянки легковых такси (1 и 2 этап)	УДС Черкизовская Б. ул. д.3 к.1	20120502	20121231
89	Места стоянки легковых такси (1 и 2 этап)	УДС Первомайская ул. д.93/20	20120502	20121231
90	Места стоянки легковых такси (1 и 2 этап)	УДС Буденного просп. д.18б	20120502	20121231
91	Места стоянки легковых такси (1 и 2 этап)	УДС Буденного просп. д.39 к.1	20120502	20121231
92	Места стоянки легковых такси (1 и 2 этап)	УДС Семеновская пл. д.1	20120502	20121231
93	Места стоянки легковых такси (1 и 2 этап)	УДС Центральный вход в парк Сокольники	20120502	20121231
94	Места стоянки легковых такси (1 и 2 этап)	УДС Щербаковская ул. д.53	20120502	20121231
95	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградский просп. д.62а	20120502	20121231
96	Места стоянки легковых такси (1 и 2 этап)	УДС Ганецкого пл. д.1а	20120502	20121231
97	Места стоянки легковых такси (1 и 2 этап)	УДС Вешняковская ул. д.18/1	20120502	20121231
98	Места стоянки легковых такси (1 и 2 этап)	УДС Купавенский Б. пр. д.6 с.1	20120502	20121231
99	Места стоянки легковых такси (1 и 2 этап)	УДС Улица Красный Казанец перед остановкой №9м	20120502	20121231
100	Места стоянки легковых такси (1 и 2 этап)	УДС Кусковская ул. д.2а	20120502	20121231
101	Места стоянки легковых такси (1 и 2 этап)	УДС Улица Реутовская, возле Гор. Больницы	20120502	20121231
102	Комплексное обустройство 43 улиц	УДС Черёмушкинская Большая ул.	20120809	20121231
103	Комплексное обустройство 43 улиц	УДС Шипиловская ул.	20120808	20121231
104	Комплексное обустройство 43 улиц	УДС Гарибальди ул.	20120926	20121231
105	Комплексное обустройство 43 улиц	УДС Голубинская ул.	20120803	20121231
106	Комплексное обустройство 43 улиц	УДС Голубинская ул.	20120803	20121231
107	Комплексное обустройство 43 улиц	УДС Голубинская ул.	20120727	20121231
108	Комплексное обустройство 43 улиц	УДС Голубинская ул.	20120803	20121231
109	Комплексное обустройство 43 улиц	УДС Миклухо-Маклая ул.	20120802	20121231
110	Комплексное обустройство 43 улиц	УДС Миклухо-Маклая ул.	20120802	20121231
111	Комплексное обустройство 43 улиц	УДС Миклухо-Маклая ул.	20120802	20121231
112	Комплексное обустройство 43 улиц	УДС Нахимовский просп.	20120808	20121231
113	Комплексное обустройство 43 улиц	УДС Нахимовский просп.	20120808	20121231
114	Комплексное обустройство 43 улиц	УДС Нахимовский просп.	20120808	20121231
115	Комплексное обустройство 43 улиц	УДС Нахимовский просп.	20120809	20121231
116	Комплексное обустройство 43 улиц	УДС Новоясеневский просп.	20120809	20121231
117	Комплексное обустройство 43 улиц	УДС Новоясеневский просп.	20120809	20121231
118	Комплексное обустройство 43 улиц	УДС Новоясеневский просп.	20120808	20121231
119	Комплексное обустройство 43 улиц	УДС Новоясеневский просп.	20120808	20121231
120	Комплексное обустройство 43 улиц	УДС Одесская ул.	20120806	20121231
121	Комплексное обустройство 43 улиц	УДС Симферопольский б-р	20120808	20121231
122	Комплексное обустройство 43 улиц	УДС Симферопольский б-р	20120808	20121231
123	Комплексное обустройство 43 улиц	УДС Тёплый Стан ул.	20120803	20121231
124	Комплексное обустройство 43 улиц	УДС Тёплый Стан ул.	20120727	20121231
125	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Скульптора Мухиной ул.,  - Чоботовская ул. (уширение проезжей части)	20120613	20121231
126	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Славянский б-р,  - Давыдковская ул. ООТ Детский сад	20120609	20121231
127	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Славянский б-р, - Кременчугская ул. ООТ Алексея Свиридова	20120609	20121231
128	Заездные карманы на вылетных магистралях	УДС Новопеределкино (11-й мкр.) -Боровское ш.-Мичуринский просп.-Киевский вокзал	20120628	20121231
129	Заездные карманы на вылетных магистралях	УДС Новопеределкино (11-й мкр.) -Боровское ш.-Мичуринский просп.-Киевский вокзал	20120628	20121231
130	Заездные карманы на вылетных магистралях	УДС Румянцево-Ленинский проспект-кинотеатр Ударник	20120608	20121231
131	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Молодогвардейская д. 46, ООТ Молодогвардейская	20120613	20121231
132	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Кременчугская ул. на пересечении с ул. Давыдковская	20120609	20121231
133	Заездные карманы на вылетных магистралях	УДС Андропова пр-т.-Бакинская ул.-Липецкая ул	20120709	20121231
134	Заездные карманы на вылетных магистралях	УДС Андропова пр-т.-Бакинская ул.-Липецкая ул	20120709	20121231
135	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Андреевка ул.	20120712	20121231
136	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Андреевка ул.	20120712	20121231
137	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Железнодорожная ул.	20120706	20121231
138	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Каштановая аллея	20120816	20121231
139	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Крюковская площадь	20120706	20121231
140	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Михайловка ул.	20120706	20121231
141	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Пересечение Центрального проспекта - Панфиловский проспект	20120706	20121231
142	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Проезд 4914	20120706	20121231
143	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Логвиненко ул. (дорожное барьерное ограждение)	20120706	20121231
144	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Проезд 4900	20120706	20121231
145	Выполнение локальных мероприятий ЦАО	УДС Крутицкий 3-й пер.	20120706	20121231
146	Парковочное пространство на УДС	УДС Знаменский Большой пер......Староваганьковский пер. пр1 титул 2012г.	20120613	20121231
147	Парковочное пространство на УДС	УДС Гнездниковский Большой пер......... Кисловский Ср. пер пр1 титул 2012г.	20120613	20121231
148	Парковочное пространство на УДС	УДС Георгиевский пер. ... Покровка ул. пр1 титул 2012г.	20120613	20121231
149	Парковочное пространство на УДС	УДС Биржевая пл. ... Яузский б-р пр1 титул 2012г.	20120613	20121231
150	Устройство ОРП и ПП (ед)	ПП Липецкая ул.	20120516	20121231
151	Устройство ОРП и ПП (ед)	ПП Липецкая ул.	20120912	20121231
152	Устройство ОРП и ПП (ед)	ПП Пятницкое ш.	20120521	20121231
153	Устройство ОРП и ПП (ед)	ОРП Ярославское ш.	20120806	20121231
154	Устройство ОРП и ПП (ед)	ОРП Ярославское ш.	20121119	20121231
155	Устройство ОРП и ПП (ед)	ОРП Энтузиастов ш.	20120727	20121231
156	Устройство ОРП и ПП (ед)	ОРП Энтузиастов ш.	20121112	20121231
157	Устройство ОРП и ПП (ед)	ОРП Энтузиастов ш.	20120727	20121231
158	Устройство ОРП и ПП (ед)	ОРП Братеевская ул. (3 мкр Братеево)	20120908	20121231
159	Устройство ОРП и ПП (ед)	ОРП Братеевская ул. (3 мкр Братеево)	20120730	20121231
160	Устройство ОРП и ПП (ед)	ОРП Привольная ул. вл.71 (6 мкр Жулебино)	20120914	20121231
161	Устройство ОРП и ПП (ед)	ОРП Профсоюзная ул. (Генерала Тюленева)	20120730	20121231
162	Устройство ОРП и ПП (ед)	ОРП Профсоюзная ул. (Генерала Тюленева)	20120730	20121231
163	Устройство ОРП и ПП (ед)	ОРП Ленинградское ш.	20120817	20121231
164	Устройство ОРП и ПП (ед)	ОРП Ленинградское ш.	20120419	20121231
165	Места стоянки легковых такси (1 и 2 этап)	УДС Машиностроения 1-я ул., д.7	20120502	20121231
166	Места стоянки легковых такси (1 и 2 этап)	УДС Гурьянова ул., д.2 к.1 м. Печатники	20120502	20121231
167	Места стоянки легковых такси (1 и 2 этап)	УДС Шарикоподшипниковская ул., д.13/2	20120502	20121231
168	Места стоянки легковых такси (1 и 2 этап)	УДС Краснодарская ул. ТЦ Москва	20120502	20121231
169	Места стоянки легковых такси (1 и 2 этап)	УДС Краснодонская ул. м. Волжская	20120502	20121231
170	Места стоянки легковых такси (1 и 2 этап)	УДС Хлобыстова ул., д.2	20120502	20121231
171	Места стоянки легковых такси (1 и 2 этап)	УДС Хвалынский б-р, д.5	20120502	20121231
172	Места стоянки легковых такси (1 и 2 этап)	УДС Генерала Кузнецова ул., д.16	20120502	20121231
173	Места стоянки легковых такси (1 и 2 этап)	УДС Привольная ул., д.71	20120502	20121231
174	Места стоянки легковых такси (1 и 2 этап)	УДС Рязанский просп., д.2 ТЦ Город	20120502	20121231
175	Места стоянки легковых такси (1 и 2 этап)	УДС Волгоградский просп., д.119а м. Кузьминки	20120502	20121231
176	Места стоянки легковых такси (1 и 2 этап)	УДС Трофимова ул., д.35/20 м.Кожуховская	20120502	20121231
177	Места стоянки легковых такси (1 и 2 этап)	УДС Мельникова ул. д.7	20120502	20121231
178	Места стоянки легковых такси (1 и 2 этап)	УДС Энтузиастов ш., д.7а ТЦ Рогожская застава	20120502	20121231
179	Места стоянки легковых такси (1 и 2 этап)	УДС Карачаровское ш., д.15	20120502	20121231
180	Места стоянки легковых такси (1 и 2 этап)	УДС Энтузиастов ш., д.26 пл. Новая	20120502	20121231
181	Места стоянки легковых такси (1 и 2 этап)	УДС Госпитальная ул., д.14/1	20120502	20121231
182	Места стоянки легковых такси (1 и 2 этап)	УДС Ладожская ул., д.2/37, стр.4	20120502	20121231
183	Места стоянки легковых такси (1 и 2 этап)	УДС Мясницкий пр., д.4/2 м. Красные ворота	20120502	20121231
184	Места стоянки легковых такси (1 и 2 этап)	УДС Арбат ул., д.1	20120502	20121231
185	Места стоянки легковых такси (1 и 2 этап)	УДС м. Сухаревская	20120502	20121231
186	Места стоянки легковых такси (1 и 2 этап)	УДС Цветной б-р, д.15 м. Цветной бульвар	20120502	20121231
187	Места стоянки легковых такси (1 и 2 этап)	УДС Петровка ул., д.10	20120502	20121231
188	Места стоянки легковых такси (1 и 2 этап)	УДС Пречистенских Ворот пл. вл. 1 стр.6 м. Кропоткинская	20120502	20121231
189	Места стоянки легковых такси (1 и 2 этап)	УДС Театральный пр., д.1/6	20120502	20121231
190	Места стоянки легковых такси (1 и 2 этап)	УДС Театральный пр., д.2	20120502	20121231
191	Места стоянки легковых такси (1 и 2 этап)	УДС Славянская пл., м. Китай-город	20120502	20121231
192	Места стоянки легковых такси (1 и 2 этап)	УДС Котельническая наб., д.1/15	20120502	20121231
193	Места стоянки легковых такси (1 и 2 этап)	УДС Крымский Вал ул., парк им. Горького	20120502	20121231
194	Места стоянки легковых такси (1 и 2 этап)	УДС Болотная пл.	20120502	20121231
195	Места стоянки легковых такси (1 и 2 этап)	УДС Серафимовича ул., д.2 к.10	20120502	20121231
196	Места стоянки легковых такси (1 и 2 этап)	УДС Волхонка ул., д.13	20120502	20121231
197	Места стоянки легковых такси (1 и 2 этап)	УДС Красная Пресня ул., д.4	20120502	20121231
198	Места стоянки легковых такси (1 и 2 этап)	УДС Дубининская ул., д.7/4, Павелецкий вокзал	20120502	20121231
199	Места стоянки легковых такси (1 и 2 этап)	УДС Комсомольская пл., д.2 Казанский вокзал	20120502	20121231
200	Места стоянки легковых такси (1 и 2 этап)	УДС Новорязанская ул., д.10 Казанский вокзал	20120502	20121231
201	Места стоянки легковых такси (1 и 2 этап)	УДС Рязанский проезд Казанский вокзал	20120502	20121231
202	Места стоянки легковых такси (1 и 2 этап)	УДС Комсомольская пл., д.5	20120502	20121231
203	Места стоянки легковых такси (1 и 2 этап)	УДС Краснопрудная ул., Ленинградский вокзал	20120502	20121231
204	Места стоянки легковых такси (1 и 2 этап)	УДС Курского вокзала пл.	20120502	20121231
205	Места стоянки легковых такси (1 и 2 этап)	УДС Белорусский вокзал	20120502	20121231
206	Места стоянки легковых такси (1 и 2 этап)	УДС Тверская Застава пл., д.1 м. Белорусская	20120502	20121231
207	Места стоянки легковых такси (1 и 2 этап)	УДС Нижегородская ул., д.1 ТЦ Нижегородский пассаж	20120502	20121231
208	Места стоянки легковых такси (1 и 2 этап)	УДС Абельмановская ул., д.17	20120502	20121231
209	Места стоянки легковых такси (1 и 2 этап)	УДС Никольская ул., д.25	20120502	20121231
210	Места стоянки легковых такси (1 и 2 этап)	УДС Рогожская Застава пл., д.2 м. Площадь Ильича	20120502	20121231
211	Места стоянки легковых такси (1 и 2 этап)	УДС Рогожская Застава пл., д.2 ТЦ Обувь Сити	20120502	20121231
212	Места стоянки легковых такси (1 и 2 этап)	УДС Ореховый б-р, д.24, к.1 м. Красногвардейская	20120502	20121231
213	Места стоянки легковых такси (1 и 2 этап)	УДС Ореховый б-р, д.22, м. Красногвардейская	20120502	20121231
214	Места стоянки легковых такси (1 и 2 этап)	УДС Домодедовская ул., д.28	20120502	20121231
215	Места стоянки легковых такси (1 и 2 этап)	УДС Каширское ш., д.80	20120502	20121231
216	Места стоянки легковых такси (1 и 2 этап)	УДС Домодедовская ул., д.12	20120502	20121231
217	Места стоянки легковых такси (1 и 2 этап)	УДС Тюрина ул., д.4 КПП 13 музей-заповедник Царицино	20120502	20121231
218	Места стоянки легковых такси (1 и 2 этап)	УДС Булатниковский пр., вл.14 пл. Бирюлево-Пасажирская	20120502	20121231
219	Места стоянки легковых такси (1 и 2 этап)	УДС Варшавское ш., д.158, к.2 м. Анино	20120502	20121231
220	Места стоянки легковых такси (1 и 2 этап)	УДС Кировоградская ул., д.9, к.4 ТЦ Южный	20120502	20121231
221	Места стоянки легковых такси (1 и 2 этап)	УДС Варшавское ш., д.80	20120502	20121231
222	Места стоянки легковых такси (1 и 2 этап)	УДС Варшавское ш., д.5	20120502	20121231
223	Места стоянки легковых такси (1 и 2 этап)	УДС Варшавское ш., д.26 м.Нагатинская	20120502	20121231
224	Места стоянки легковых такси (1 и 2 этап)	УДС Загородное ш., д.1	20120502	20121231
225	Места стоянки легковых такси (1 и 2 этап)	УДС Мастеркова ул., д.6	20120502	20121231
226	Места стоянки легковых такси (1 и 2 этап)	УДС Андропова просп., д.8	20120502	20121231
227	Места стоянки легковых такси (1 и 2 этап)	УДС Андропова просп., д.36	20120502	20121231
228	Места стоянки легковых такси (1 и 2 этап)	УДС Андропова просп., музей-заповедник Коломенское	20120502	20121231
229	Места стоянки легковых такси (1 и 2 этап)	УДС Каширское ш., д.26 м. Каширская	20120502	20121231
230	Места стоянки легковых такси (1 и 2 этап)	УДС Каширское ш., д.25 м. каширская	20120502	20121231
231	Места стоянки легковых такси (1 и 2 этап)	УДС Каширское ш., д.42/1	20120502	20121231
232	Места стоянки легковых такси (1 и 2 этап)	УДС Хордовый проезд, Братеевская ул., д.21, Борисовские пруды д.16 корп. 5	20120502	20121231
233	Места стоянки легковых такси (1 и 2 этап)	УДС Проектируемый проезд 5396, вл. 15	20120502	20121231
234	Места стоянки легковых такси (1 и 2 этап)	УДС Мусы Джалиля ул., д.2/3	20120502	20121231
235	Места стоянки легковых такси (1 и 2 этап)	УДС Привольная ул., д.29	20120502	20121231
236	Места стоянки легковых такси (1 и 2 этап)	УДС Рязанский просп., д.1	20120502	20121231
237	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20120906	20121231
238	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20121017	20131231
239	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20120912	20121231
240	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20120823	20121231
241	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20120912	20121231
242	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20121017	20131231
243	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20120806	20121231
244	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20120912	20121231
245	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20120806	20121231
246	Комплексное обустройство 43 улиц	УДС Коровинское ш.	20120806	20121231
247	Комплексное обустройство 43 улиц	УДС Академика Скрябина ул.	20120808	20121231
248	Комплексное обустройство 43 улиц	УДС Академика Скрябина ул.	20120808	20121231
249	Комплексное обустройство 43 улиц	УДС Люблинская ул.	20120808	20121231
250	Комплексное обустройство 43 улиц	УДС Люблинская ул.	20120808	20121231
251	Комплексное обустройство 43 улиц	УДС Люблинская ул.	20120808	20121231
252	Комплексное обустройство 43 улиц	УДС Люблинская ул.	20120808	20121231
253	Комплексное обустройство 43 улиц	УДС Люблинская ул.	20120808	20121231
254	Комплексное обустройство 43 улиц	УДС Привольная ул.	20120808	20121231
255	Комплексное обустройство 43 улиц	УДС Привольная ул.	20120906	20121231
256	Комплексное обустройство 43 улиц	УДС Ташкентская ул.	20120802	20121231
257	Комплексное обустройство 43 улиц	УДС Ферганская ул.	20120803	20121231
258	Комплексное обустройство 43 улиц	УДС Ферганская ул.	20120803	20121231
259	Комплексное обустройство 43 улиц	УДС Ореховый б-р	20120810	20121231
260	Комплексное обустройство 43 улиц	УДС Ореховый б-р	20120810	20121231
261	Комплексное обустройство 43 улиц	УДС Ореховый б-р	20120806	20121231
262	Комплексное обустройство 43 улиц	УДС Ореховый б-р	20120806	20121231
263	Комплексное обустройство 43 улиц	УДС Шипиловская ул.	20120808	20121231
264	Комплексное обустройство 43 улиц	УДС Шипиловская ул.	20120808	20121231
265	Комплексное обустройство 43 улиц	УДС Академика Волгина ул.	20120723	20121231
266	Комплексное обустройство 43 улиц	УДС Академика Волгина ул.	20120723	20121231
267	Комплексное обустройство 43 улиц	УДС Архитектора Власова ул.	20120809	20121231
268	Мероприятия центра борьбы с пробками 1-й этап	УДС Вишневая ул. - Малая наб.Маршала Жукова просп. - МКАД (внутр. сторона) Свободы ул.	20120711	20121231
269	Мероприятия центра борьбы с пробками 1-й этап	УДС 15-я Парковая ул. Амурская ул.	20120712	20121231
270	Обустройство полос для пассажир. тр-а с делиниатором	УДС Мичуринский пр-т (от ул. Никулинской до Проектируемого пр-да № 5231 при следовании из центра)	20120816	20121231
271	Мероприятия центра борьбы с пробками 1-й этап	УДС 5-я Магистральная ул. Софьи Ковалевской ул. Фонвизина ул.	20120712	20121231
272	Мероприятия центра борьбы с пробками 1-й этап	УДС Бутлерова ул. Варшавское ш. - Новобутовская ул. Грина ул. Азовская ул.	20120706	20121231
273	Мероприятия центра борьбы с пробками 1-й этап	УДС Подольских Курсантов ул. д.3 стр.25 Подольских Курсантов ул. Харьковская ул.	20120712	20121231
274	Мероприятия центра борьбы с пробками 1-й этап	УДС Береговой пр. - Пр.пр. № 153 Кастанаевская ул......Университетский просп. - Ленинский просп.	20120712	20121231
275	Мероприятия центра борьбы с пробками 1-й этап	УДС Подольских Курсантов ул. - Дорожная ул. Подольских Курсантов ул. - Ступинский пр. Подольских Курсантов ул. д.26	20120712	20121231
276	Мероприятия центра борьбы с пробками 1-й этап	УДС Академика Варги ул. Теплый Стан ул.	20120712	20121231
