name	url	id	source	theme
Детские школы искусств	http://data.mos.ru/datasets/534	534	Департамент культуры города Москвы	Образование
Детский сад комбинированного вида	http://data.mos.ru/datasets/541	541	Департамент образования города Москвы	Образование
Детский сад компенсирующего вида	http://data.mos.ru/datasets/542	542	Департамент образования города Москвы	Образование
Диспансеры	http://data.mos.ru/datasets/507	507	Департамент здравоохранения города Москвы	Здравоохранение
Дома культуры и клубы	http://data.mos.ru/datasets/493	493	Департамент культуры города Москвы	Культура
Дома ребенка, в том числе специализированные	http://data.mos.ru/datasets/508	508	Департамент здравоохранения города Москвы	Здравоохранение
Дорожки беговые-прогулочные	http://data.mos.ru/datasets/899	899	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Дорожки велосипедные	http://data.mos.ru/datasets/897	897	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Физическая культура и спорт
Естественнонаучное направление	http://data.mos.ru/datasets/543	543	Департамент образования города Москвы	Образование
Женские консультации	http://data.mos.ru/datasets/509	509	Департамент здравоохранения города Москвы	Здравоохранение
Здравоохранение. Санатории	http://data.mos.ru/datasets/510	510	Департамент здравоохранения города Москвы	Здравоохранение
Земельные участки, находящиеся в собственности г. Москвы	http://data.mos.ru/datasets/521	521	Департамент городского имущества города Москвы	Земля и имущество
Зоны отдыха у воды	http://data.mos.ru/datasets/919	919	Департамент физической культуры и спорта города Москвы	Отдых
Инфраструктура поддержки малого и среднего предпринимательства	http://data.mos.ru/datasets/652	652	Департамент науки, промышленной политики и предпринимательства города Москвы	Предпринимательство
Кадетские школы	http://data.mos.ru/datasets/544	544	Департамент образования города Москвы	Образование
Кадетские школы-интернаты	http://data.mos.ru/datasets/545	545	Департамент образования города Москвы	Образование
Кинотеатры	http://data.mos.ru/datasets/495	495	Департамент культуры города Москвы	Отдых
Колледжи	http://data.mos.ru/datasets/546	546	Департамент образования города Москвы	Образование
Консультативно диагностические центры	http://data.mos.ru/datasets/511	511	Департамент здравоохранения города Москвы	Здравоохранение
Концертные организации	http://data.mos.ru/datasets/528	528	Департамент культуры города Москвы	Культура
Коррекционная начальная школа-детский сад	http://data.mos.ru/datasets/547	547	Департамент образования города Москвы	Образование
Коррекционная общеобразовательная школа	http://data.mos.ru/datasets/548	548	Департамент образования города Москвы	Образование
Коррекционная общеобразовательная школа-интернат	http://data.mos.ru/datasets/549	549	Департамент образования города Москвы	Образование
Культурологическое направление	http://data.mos.ru/datasets/551	551	Департамент образования города Москвы	Образование
Летние эстрады, сцены	http://data.mos.ru/datasets/906	906	Департамент физической культуры и спорта города Москвы	Отдых
Лицей	http://data.mos.ru/datasets/552	552	Департамент образования города Москвы	Образование
Лодочные станции	http://data.mos.ru/datasets/907	907	Департамент физической культуры и спорта города Москвы	Отдых
Маршруты мобильных комплексов фиксации нарушений	http://data.mos.ru/datasets/751	751	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Межрегиональные маршруты пассажирских перевозок	http://data.mos.ru/datasets/758	758	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Места для летнего купания	http://data.mos.ru/datasets/909	909	Департамент физической культуры и спорта города Москвы	Отдых
Мини-зоопарки	http://data.mos.ru/datasets/910	910	Департамент физической культуры и спорта города Москвы	Отдых
Многофункциональные центры	http://data.mos.ru/datasets/611	611	Комитет государственных услуг города Москвы	Государственные услуги
Молодежные центры	http://data.mos.ru/datasets/496	496	Департамент культуры города Москвы	Культура
Молочные кухни	http://data.mos.ru/datasets/512	512	Департамент здравоохранения города Москвы	Здравоохранение
Музеи	http://data.mos.ru/datasets/529	529	Департамент культуры города Москвы	Культура
Нарушения ПДД выявляемые с использованием автоматической системы фотовидеофиксации нарушений ПДД	http://data.mos.ru/datasets/759	759	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
