dtfrom	dtto	zones	ind_id	ind_name	code	regname	value
19.08.2013	25.08.2013	1|3	1053	Общее микробное число (ОМЧ)	3	Тверской район 	отс.
19.08.2013	25.08.2013	1|3	1121	Остаточный хлор	3	Тверской район 	0.35
19.08.2013	25.08.2013	1|3	1200	Запах при 60C	3	Тверской район 	1-2
19.08.2013	25.08.2013	1|3	5147	Неизвестно (5147)	3	Тверской район 	1
19.08.2013	25.08.2013	1|3	5148	Неизвестно (5148)	3	Тверской район 	Тинистый
19.08.2013	25.08.2013	1|3	5501	Общие колиформные бактерии (ОКБ)	3	Тверской район 	отс.
19.08.2013	25.08.2013	1	1000	Неизвестно (1000)	1	Район Хамовники 	Тинистый
19.08.2013	25.08.2013	1	1001	Неизвестно (1001)	1	Район Хамовники 	Тинистый
19.08.2013	25.08.2013	1	1002	Запах при 20C	1	Район Хамовники 	1
19.08.2013	25.08.2013	1	1003	Неизвестно (1003)	1	Район Хамовники 	20.4
19.08.2013	25.08.2013	1	1004	Цветность	1	Район Хамовники 	6
19.08.2013	25.08.2013	1	1005	Мутность	1	Район Хамовники 	<0.30
19.08.2013	25.08.2013	1	1006	Водородный показатель (pH)	1	Район Хамовники 	7.4
19.08.2013	25.08.2013	1	1013	Железо общее	1	Район Хамовники 	<0.05
19.08.2013	25.08.2013	1	1050	Термотолерантные колиформные бактерии (ТКБ)	1	Район Хамовники 	отс.
19.08.2013	25.08.2013	1	1053	Общее микробное число (ОМЧ)	1	Район Хамовники 	отс.
19.08.2013	25.08.2013	1	1121	Остаточный хлор	1	Район Хамовники 	0.12
19.08.2013	25.08.2013	1	1200	Запах при 60C	1	Район Хамовники 	1-2
19.08.2013	25.08.2013	1	5147	Неизвестно (5147)	1	Район Хамовники 	1
19.08.2013	25.08.2013	1	5148	Неизвестно (5148)	1	Район Хамовники 	Тинистый
19.08.2013	25.08.2013	1	5501	Общие колиформные бактерии (ОКБ)	1	Район Хамовники 	отс.
19.08.2013	25.08.2013	1	1000	Неизвестно (1000)	10	Район Якиманка 	Тинистый
19.08.2013	25.08.2013	1	1001	Неизвестно (1001)	10	Район Якиманка 	Тинистый
19.08.2013	25.08.2013	1	1002	Запах при 20C	10	Район Якиманка 	1
19.08.2013	25.08.2013	1	1003	Неизвестно (1003)	10	Район Якиманка 	21.4
19.08.2013	25.08.2013	1	1004	Цветность	10	Район Якиманка 	<5
19.08.2013	25.08.2013	1	1005	Мутность	10	Район Якиманка 	0.63
19.08.2013	25.08.2013	1	1006	Водородный показатель (pH)	10	Район Якиманка 	7.2
19.08.2013	25.08.2013	1	1013	Железо общее	10	Район Якиманка 	<0.05
19.08.2013	25.08.2013	1	1050	Термотолерантные колиформные бактерии (ТКБ)	10	Район Якиманка 	отс.
19.08.2013	25.08.2013	1	1053	Общее микробное число (ОМЧ)	10	Район Якиманка 	отс.
19.08.2013	25.08.2013	1	1121	Остаточный хлор	10	Район Якиманка 	0.15
19.08.2013	25.08.2013	1	1200	Запах при 60C	10	Район Якиманка 	1
19.08.2013	25.08.2013	1	5147	Неизвестно (5147)	10	Район Якиманка 	1
19.08.2013	25.08.2013	1	5148	Неизвестно (5148)	10	Район Якиманка 	Тинистый
19.08.2013	25.08.2013	1	5501	Общие колиформные бактерии (ОКБ)	10	Район Якиманка 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	22	Район Аэропорт 	Тинистый
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	22	Район Аэропорт 	Тинистый
19.08.2013	25.08.2013	3	1002	Запах при 20C	22	Район Аэропорт 	1
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	22	Район Аэропорт 	21.1
19.08.2013	25.08.2013	3	1004	Цветность	22	Район Аэропорт 	10
19.08.2013	25.08.2013	3	1005	Мутность	22	Район Аэропорт 	<0.30
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	22	Район Аэропорт 	7.2
19.08.2013	25.08.2013	3	1013	Железо общее	22	Район Аэропорт 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	22	Район Аэропорт 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	22	Район Аэропорт 	отс.
