0_uidnftn;1_Название;0_label;0_address;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Линия;1_Статус;Вестибюль;1_Время отправления первого и последнего поездов по четным дням;1_Время отправления первого и последнего поездов в нечетные дни;1_Количество БПА (Билетопечатающих автоматов);1_Эскалаторы. Плановая дата замены/ремонта;1_Эскалаторы. Тип до и после ремонта;1_Эскалаторы. Высота подъема. (м);1_Эскалаторы. Количество до и после замены;0_moddate;0_moduser;1_Тип БПА (Билетопечатающего автомата)
1633;Киевская;Киевская;                                                                                                                                                                                                                                                              ;37,56711806;55,74420545;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Арбатско-Покровская                               ;Действующая         ;Киевская;в четные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                  ;"1й поезд по 1му пути: 5-42-30. по второму пути: 5-48-00; последний поезд по первому пути: 1-09-00. по второму пути: 1-24-00                                                                                                                                   ";9;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 9 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1634;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63001847;55,75623265;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                             ;"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                     ";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                   ";4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1635;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63054;55,756976;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                             ;"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                     ";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                   ";4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1636;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,6306633;55,7567514;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                             ;"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                     ";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                   ";4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1637;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63176808;55,75735839;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                             ;"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                     ";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                   ";4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1638;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63124653;55,75687174;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                             ;"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                     ";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                   ";4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1639;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63177758;55,75715518;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                             ;"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                     ";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                   ";4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1640;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63294431;55,7531549;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                             ;"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-45-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                     ";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-44-00. по второму пути: 5-49-00; последний поезд по первому пути: 1-35-00. по второму пути: 1-27-00                                                   ";4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1641;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63357971;55,75297039;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                                 ;в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                  ;в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                ;4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1642;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63409557;55,75418955;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                                 ;в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                  ;в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                ;4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1643;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,63494999;55,75411895;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                                 ;в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                  ;в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                ;4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1644;Китай-город                                                                                                                                                                                                                                                   ;Китай-город                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;37,62951582;55,75661768;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калужско-Рижская;Действующая         ;Китай-город                                 ;в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                  ;в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                ;4;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
