0_Код;1_Название;1_Адрес;1_Регистрационный знак;1_Допуск;1_Вид парка;1_Период действия талона-допуска на эксплуатацию
43;Аттракцион Американская горка Гусеница;ГУК Перовский ПКиО;01426-77;Приостановлен, эксплуатация аттракциона запрещена;окружные парки;04.2013 - 04.2014
45;Аттракцион Автодром;ГУК Перовский ПКиО;0756-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
46;Аттракцион Ракушки;ГУК Перовский ПКиО;01427-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
48;Аттракцион Полет;ГУК Перовский ПКиО;0654-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
49;Аттракцион Цепочная карусель Космос;ГУК Перовский ПКиО;0653-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
51;Аттракцион Merry go round;ЦПКиО им. Горького;0624-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
52;Аттракцион Мини-поезд;ЦПКиО им. Горького;0885-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
53;Аттракцион Цепочная карусель;ЦПКиО им. Горького;0759-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
54;Аттракцион Калейдоскоп;ЦПКиО им. Горького;0662-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
55;Аттракцион Мини-джет 5В;ЦПКиО им. Горького;01005-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
56;Аттракцион Мини-конвой;ЦПКиО им. Горького;01255-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
2896;"Детская лодка с электродвигателем ""Крокодил""";Улица Хачатуряна д.13;1540-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
3535;Крутой вираж;ПКиО Северное Тушино;0823-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 05.2014
72;Аттракцион Диско;ГУК ПКиО Сокольники;0731-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
76;Аттракцион Симулятор;ГУК Измайловский ПКиО;0143-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
77;Аттракцион Свадебная карусель;ГУК Измайловский ПКиО;01219-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
