"0_ID";"1_Адрес";"1_Режим работы";"1_Доступность"
"88";"Восточная ул., д. 11Б, соор. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"89";"Генерала Белова ул., д. 27, соор. 2";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"90";"Андропова пр-т., д. 27, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"91";"Бирюлевская ул., д. 9А";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"92";"Мусы Джалиля ул., д. 22";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"93";"Домодедовская ул., д. 23А";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"94";"Нагатинская ул., д. 2, соор.1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"95";"Нагатинская ул., д. 25, стр. 2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"96";"Андропова пр-т, д. 30, корп. 2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"97";"1-й Донской пр-д, д.4";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"98";"Днепропетровская ул., д.6, соор.2";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"99";"Ярославское шоссе, д. 50";"С 8-00 до 17-00";"Не приспособлен, бесплатный"
"100";"1-й пр-д Марьиной Рощи, д. 16";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"101";"Полярная ул., д. 10, стр. 3";"С 9-00 до 17-00";"Не приспособлен, бесплатный"
"102";"Полярная ул., д. 34А";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"103";"Снежная ул., д. 13, корп. 3";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"104";"Анадырский пр-д, д. 64";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"105";"Анадырский пр-д, д. 8, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"106";"Летчика Бабушкина ул., д. 30А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"107";"Рижский пр., д. 6, корп. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"108";"Мира пр-т, д. 81";"С 9-00 до 17-00";"Не приспособлен, бесплатный"
"109";"1-я Останкинская ул., д. 7А, стр. 31";"С 8-00 до 19-00";"Не приспособлен, бесплатный"
"110";"Инженерная ул., д.1Б";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"111";"Ботаническая ул., д.39 , стр.1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"112";"Мира пр-т.,  д.109,стр.1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"113";"Широкая ул., д. 14 А";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"114";"Мира пр-т, д. 123Д";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"115";"Бутырская ул., д. 82А";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"116";"Мира пр-т, д. 93";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"117";"1-я Останкинская ул., д. 1Б";"С 8-00 до 18-00";"Приспособлен, бесплатный"
"118";"1-я Останкинская ул., д. 7А, стр. 3";"С 9-00 до 19-00";"Приспособлен, бесплатный"
"119";"1-я Останкинская ул., д. 55Д";"С 8-00 до 22-00";"Приспособлен, бесплатный"
"120";"Мира пр-т, д. 119, стр. 609";"С 8-00 до 20-00";"Приспособлен, бесплатный"
"121";"Академика Курчатова ул., д. 2";"С 9-00 до 17-00";"Не приспособлен, бесплатный"
"122";"Щукинская ул., д. 5А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"123";"Долгова ул., д. 1, стр. 5";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"124";"Карамышевская наб., д. 3";"С 9-00 до 17-00";"Не приспособлен, бесплатный"
"125";"Химкинский бульвар, д. 16, стр. 6";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"126";"Народного Ополчения ул., д. 20А";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"127";"Генерала Карбышева бульвар, д. 15А";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"128";"ул. Маршала Бирюзова, д. 12";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"129";"Туристская ул, д. 8 стр 1";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"130";"Шверника ул., д. 13, корп. 1, стр. 1";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"131";"Гримау ул., д. 12А";"С 9-00 до 21-00";"Приспособлен, бесплатный"
"132";"Ленинский просп., д. 39Б";"С 8-00 до 22-00";"Не приспособлен, бесплатный"
"133";"Ленинский просп., д. 88, стр. 2";"С 9-00 до 21-00";"Приспособлен, бесплатный"
"134";"Профсоюзная ул., д. 19";"С 8-00 до 22-00";"Не приспособлен, бесплатный"
"135";"Кржижановского ул., д. 27";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"136";"Нагорный бульвар, д. 7";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"137";"Гарибальди ул., д. 3, соор. 1";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"138";"Адмирала Лазарева ул., вл. 17, стр. 2";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"139";"Паустовского ул., д. 8, к.1";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"140";"Ленинский просп., д. 64/2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"141";"Ленинский просп., д. 75/9";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"142";"Ленинский просп., д. 43";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
