0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_num_zone;0_shape_leng;0_shape_area
192;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;239;0,104066714;0,000260817
190;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;237;0,026003856;1,99756E-05
189;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;236;0,016035866;1,23265E-05
188;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;235;0,008250071;3,01659E-06
187;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;234;0,013897728;8,66463E-06
186;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;233;0,003710612;7,1622E-07
185;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;232;0,032142537;1,94767E-05
184;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;231;0,017901178;6,32271E-06
181;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;228;0,026641913;2,67228E-05
180;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;227;0,017787134;1,66902E-05
179;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;226;0,02256524;2,42394E-05
178;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;225;0,004693898;1,1795E-06
177;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;224;0,015702762;8,94172E-06
176;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;223;0,006208234;2,29147E-06
174;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;216;0,016747982;1,38644E-05
172;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;214;0,034962924;1,95772E-05
171;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;213;0,006033327;1,54069E-06
170;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;212;0,021448812;2,56174E-05
167;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;209;0,041239662;4,32984E-05
166;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;208;0,029461326;1,18528E-05
165;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;207;0,018521985;9,78306E-06
164;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;206;0,035210055;2,35189E-05
163;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;205;0,057406224;7,1096E-05
162;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;204;0,005098938;1,26016E-06
