№ строки	Вид ППТ	Вид распорядительного документа	Номер распорядительного документа	Дата распорядительного документа
140	Проекты планировки жилых территорий	Постановление Правительства Москвы	332	2006-05-23 04:00:00.0
141	Проекты планировки жилых территорий	Постановление Правительства Москвы	267	2006-04-18 04:00:00.0
142	Проекты планировки жилых территорий	Постановление Правительства Москвы	453	2006-06-27 04:00:00.0
143	Проекты планировки жилых территорий	Постановление Правительства Москвы	477	2006-07-04 04:00:00.0
144	Проекты планировки жилых территорий	Постановление Правительства Москвы	363	2008-05-06 04:00:00.0
145	Проекты планировки жилых территорий	Постановление Правительства Москвы	446	2008-05-27 04:00:00.0
146	Проекты планировки жилых территорий	Постановление Правительства Москвы	841	2008-09-16 04:00:00.0
147	Проекты планировки жилых территорий	Постановление Правительства Москвы	63	2008-01-22 04:00:00.0
148	Проекты планировки жилых территорий	Постановление Правительства Москвы	835	2006-10-24 04:00:00.0
149	Проекты планировки жилых территорий	Постановление Правительства Москвы	62	2008-01-22 04:00:00.0
150	Проекты планировки жилых территорий	Постановление Правительства Москвы	1197	2007-12-25 04:00:00.0
151	Проекты планировки жилых территорий	Постановление Правительства Москвы	705	2007-08-14 04:00:00.0
152	Проекты планировки жилых территорий	Постановление Правительства Москвы	527	2007-06-26 04:00:00.0
153	Проекты планировки жилых территорий	Постановление Правительства Москвы	1188	2007-12-25 04:00:00.0
154	Проекты планировки жилых территорий	Постановление Правительства Москвы	1106	2007-12-18 04:00:00.0
155	Проекты планировки жилых территорий	Постановление Правительства Москвы	882	2007-10-09 04:00:00.0
156	Проекты планировки жилых территорий	Постановление Правительства Москвы	895	2007-10-16 04:00:00.0
157	Проекты планировки жилых территорий	Постановление Правительства Москвы	1177	2007-12-25 04:00:00.0
158	Проекты планировки жилых территорий	Постановление Правительства Москвы	95	2008-02-12 04:00:00.0
159	Проекты планировки жилых территорий	Постановление Правительства Москвы	1072	2006-12-27 04:00:00.0
160	Проекты планировки жилых территорий	Постановление Правительства Москвы	1119	2007-12-25 04:00:00.0
161	Проекты планировки жилых территорий	Постановление Правительства Москвы	1195	2007-12-25 04:00:00.0
162	Проекты планировки жилых территорий	Постановление Правительства Москвы	447	2003-06-17 04:00:00.0
163	Проекты планировки жилых территорий	Постановление Правительства Москвы	1192	2007-12-25 04:00:00.0
164	Проекты планировки жилых территорий	Постановление Правительства Москвы	1194	2007-12-25 04:00:00.0
165	Проекты планировки жилых территорий	Постановление Правительства Москвы	794	2008-09-02 04:00:00.0
166	Проекты планировки жилых территорий	Постановление Правительства Москвы	355	2008-04-29 04:00:00.0
167	Проекты планировки жилых территорий	Постановление Правительства Москвы	325	2008-04-22 04:00:00.0
168	Проекты планировки жилых территорий	Постановление Правительства Москвы	193	2008-03-18 04:00:00.0
169	Проекты планировки жилых территорий	Постановление Правительства Москвы	263	2006-04-18 04:00:00.0
170	Проекты планировки жилых территорий	Постановление Правительства Москвы	116	2008-02-19 04:00:00.0
171	Проекты планировки жилых территорий	Постановление Правительства Москвы	70	2009-02-03 04:00:00.0
172	Проекты планировки жилых территорий	Постановление Правительства Москвы	1189	2007-12-25 04:00:00.0
173	Проекты планировки жилых территорий	Постановление Правительства Москвы	192	2009-03-17 04:00:00.0
174	Проекты планировки жилых территорий	Постановление Правительства Москвы	846	2008-09-16 04:00:00.0
175	Проекты планировки жилых территорий	Постановление Правительства Москвы	362	2009-04-28 04:00:00.0
176	Проекты планировки жилых территорий	Постановление Правительства Москвы	665	2008-07-29 04:00:00.0
177	Проекты планировки жилых территорий	Постановление Правительства Москвы	548	2011-11-17 04:00:00.0
178	Проекты планировки жилых территорий	Постановление Правительства Москвы	549	2011-11-17 04:00:00.0
179	Проекты планировки жилых территорий	Постановление Правительства Москвы	637	2011-12-28 04:00:00.0
180	Проекты планировки жилых территорий	Постановление Правительства Москвы	651	2011-12-28 04:00:00.0
181	Проекты планировки жилых территорий	Постановление Правительства Москвы	360	2008-05-06 04:00:00.0
182	Проекты планировки жилых территорий	Постановление Правительства Москвы	80	2009-02-10 04:00:00.0
183	Проекты планировки жилых территорий	Постановление Правительства Москвы	29	2009-01-20 04:00:00.0
184	Проекты планировки жилых территорий	Постановление Правительства Москвы	434	2009-05-12 04:00:00.0
185	Проекты планировки жилых территорий	Постановление Правительства Москвы	419	2008-05-20 04:00:00.0
186	Проекты планировки жилых территорий	Постановление Правительства Москвы	122	2009-02-17 04:00:00.0
187	Проекты планировки жилых территорий	Постановление Правительства Москвы	389	2009-05-05 04:00:00.0
188	Проекты планировки жилых территорий	Постановление Правительства Москвы	1101	2009-10-13 04:00:00.0
189	Проекты планировки жилых территорий	Постановление Правительства Москвы	976	2008-10-21 04:00:00.0
190	Проекты планировки жилых территорий	Постановление Правительства Москвы	12	2010-01-12 04:00:00.0
191	Проекты планировки жилых территорий	Постановление Правительства Москвы	180	2010-03-02 04:00:00.0
