0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Дата начала мероприятия;1_Окончание мероприятия;0_moddate;0_moduser
46;Ярмарка производителей из города Минск                                                                                                                                                                                                                        ;Ярмарка производителей из города Минск                                                                                                                                                                                                                        ;ул. Ереванская, вл. 17                                                                                                                                                                                                                                        ;37,674625;55,630757;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;08.04.2013;14.04.2013;12:00:00 AM;                                                                                                    
47;Ярмарка производителей из города Вологда (Фермеры Черноземья)                                                                                                                                                                                                 ;Ярмарка производителей из города Вологда (Фермеры Черноземья)                                                                                                                                                                                                 ;ул. Ереванская, вл. 17                                                                                                                                                                                                                                        ;37,674625;55,630757;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;22.04.2013;28.04.2013;12:00:00 AM;                                                                                                    
49;Ярмарка производителей из города Смоленск (Ветераны ВКР)                                                                                                                                                                                                      ;Ярмарка производителей из города Смоленск (Ветераны ВКР)                                                                                                                                                                                                      ;ул. Профсоюзная, вл. 41                                                                                                                                                                                                                                       ;37,556026;55,670022;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;03.04.2013;07.04.2013;12:00:00 AM;                                                                                                    
50;Ярмарка производителей из города Вологда (Фермеры Черноземья)                                                                                                                                                                                                 ;Ярмарка производителей из города Вологда (Фермеры Черноземья)                                                                                                                                                                                                 ;ул. Профсоюзная, вл. 41                                                                                                                                                                                                                                       ;37,556026;55,670022;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;11.04.2013;17.04.2013;12:00:00 AM;                                                                                                    
51;Ярмарка производителей из города Гомель                                                                                                                                                                                                                       ;Ярмарка производителей из города Гомель                                                                                                                                                                                                                       ;ул. Профсоюзная, вл. 41                                                                                                                                                                                                                                       ;37,556026;55,670022;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;20.04.2013;26.04.2013;12:00:00 AM;                                                                                                    
55;Ярмарка производителей из города Курск (Курская коренская ярмарка)                                                                                                                                                                                            ;Ярмарка производителей из города Курск (Курская коренская ярмарка)                                                                                                                                                                                            ;Можайское шоссе, вл. 54                                                                                                                                                                                                                                       ;37,400791;55,71653;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;07.04.2013;10.04.2013;12:00:00 AM;                                                                                                    
56;Ярмарка производителей из города Брест                                                                                                                                                                                                                        ;Ярмарка производителей из города Брест                                                                                                                                                                                                                        ;Можайское шоссе, вл. 54                                                                                                                                                                                                                                       ;37,400791;55,71653;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;22.04.2013;28.04.2013;12:00:00 AM;                                                                                                    
58;Ярмарка производителей из города Витебск                                                                                                                                                                                                                      ;Ярмарка производителей из города Витебск                                                                                                                                                                                                                      ;ул. Саляма Адиля, вл. 4                                                                                                                                                                                                                                       ;37,467427;55,774576;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;01.04.2013;07.04.2013;12:00:00 AM;                                                                                                    
59;Ярмарка производителей из города Курск (Курская коренская ярмарка)                                                                                                                                                                                            ;Ярмарка производителей из города Курск (Курская коренская ярмарка)                                                                                                                                                                                            ;ул. Саляма Адиля, вл. 4                                                                                                                                                                                                                                       ;37,467427;55,774576;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;13.04.2013;16.04.2013;12:00:00 AM;                                                                                                    
60;Ярмарка производителей из города Гродно                                                                                                                                                                                                                       ;Ярмарка производителей из города Гродно                                                                                                                                                                                                                       ;ул. Саляма Адиля, вл. 4                                                                                                                                                                                                                                       ;37,467427;55,774576;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;23.04.2013;29.04.2013;12:00:00 AM;                                                                                                    
63;Ярмарка производителей из города Могилев                                                                                                                                                                                                                      ;Ярмарка производителей из города Могилев                                                                                                                                                                                                                      ;Грузинский вал, вл. 11, стр.4                                                                                                                                                                                                                                 ;37,577754;55,773979;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;01.04.2013;07.04.2013;12:00:00 AM;                                                                                                    
