0_uidnftn;1_Название;0_label;0_address;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_nrayon;0_nokrug;1_Административный округ;0_moddate;0_moduser;0_shape_leng;0_shape_area
526;Орехово-Борисово Южное                                                                                                                                                                                                                                        ;Орехово-Борисово Южное                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;17;6;ЮАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,22262224;0,001005568
527;Бирюлево Восточное                                                                                                                                                                                                                                            ;Бирюлево Восточное                                                                                                                                                                                                                                            ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;6;6;ЮАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,222385255;0,002064905
506;Чертаново Северное                                                                                                                                                                                                                                            ;Чертаново Северное                                                                                                                                                                                                                                            ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;19;6;ЮАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,162788128;0,000908504
507;Коньково                                                                                                                                                                                                                                                      ;Коньково                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;4;7;ЮЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,172895421;0,001009475
508;Красносельский                                                                                                                                                                                                                                                ;Красносельский                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;4;1;ЦАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,168710739;0,00071217
509;Бутырский                                                                                                                                                                                                                                                     ;Бутырский                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;3;СВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,13798357;0,000726213
510;Тверской                                                                                                                                                                                                                                                      ;Тверской                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8;1;ЦАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,19809232;0,00104779
511;Останкинский                                                                                                                                                                                                                                                  ;Останкинский                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;10;3;СВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,244985879;0,001790092
512;Силино                                                                                                                                                                                                                                                        ;Силино                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;11;10;ЗелАО                                                                                                                                                                                                                                                         ;0;                                                                                                    ;0,260116759;0,001357762
513;Крюково                                                                                                                                                                                                                                                       ;Крюково                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;10;ЗелАО                                                                                                                                                                                                                                                         ;0;                                                                                                    ;0,276884734;0,001531026
514;Алтуфьевский                                                                                                                                                                                                                                                  ;Алтуфьевский                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;2;3;СВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,104360773;0,000479567
515;Савелки                                                                                                                                                                                                                                                       ;Савелки                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;10;10;ЗелАО                                                                                                                                                                                                                                                         ;0;                                                                                                    ;0,231519652;0,001089093
516;Восточный                                                                                                                                                                                                                                                     ;Восточный                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;14;4;ВАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,009025319;2,88671E-06
517;Тимирязевский                                                                                                                                                                                                                                                 ;Тимирязевский                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;15;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,175746069;0,001492342
518;Алексеевский                                                                                                                                                                                                                                                  ;Алексеевский                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;1;3;СВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,13493281;0,000756882
544;Ивановское                                                                                                                                                                                                                                                    ;Ивановское                                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;7;4;ВАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,190320078;0,001453062
545;Восточное Измайлово                                                                                                                                                                                                                                           ;Восточное Измайлово                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;4;ВАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,116061781;0,000552216
546;Гольяново                                                                                                                                                                                                                                                     ;Гольяново                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;6;4;ВАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,271009;0,002061629
547;Лосиноостровский                                                                                                                                                                                                                                              ;Лосиноостровский                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;7;3;СВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,134202934;0,000797191
548;Северное Измайлово                                                                                                                                                                                                                                            ;Северное Измайлово                                                                                                                                                                                                                                            ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;16;4;ВАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,196746693;0,000598281
549;Ярославский                                                                                                                                                                                                                                                   ;Ярославский                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;17;3;СВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,246531353;0,001159842
