1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
88м;"ст.м. """"Отрадное"""" - платф.Лосиноостров-ская";"ст.м. """"Отрадное"""" - Северный бульвар - Дежнева проезд - ст.м.""""Бабушкинская"""" - Менжинского улица - Анадырский проезд - платф.Лосиноостровская";12;5;15;11,2;М2 класс В;7.30 / 7.30;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
89м;"ст.м.""""Речной вокзал"""" - Ховрино";"ст.м.""""Речной вокзал"""" - Фестивальная улица - Зеленоградская улица - платф.Ховрино - Зеленоградская улица - Ховрино";11;3;10;9,6;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ОАО """"Группа  Автолайн""""";;
90м;"ст.м.""""Войковская"""" - ст.м.""""Речной вокзал""""";"ст.м.""""Войковская"""" - Старопетровский проезд - Клары Цеткин улица - Нарвская улица - Михалковская улица - Онежская улица - Петрозаводская улица - Беломорская улица - Смольная улица - Фестивальная улица - ст.м.""""Речной вокзал""""";11;5;10;21,1;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
91м;Киевский вокзал - 4-й Сетуньский пр.;Киевский вкз. - Бережковская наб. - 1-й Сетуньский пр. - 4-й Сетуньский пр. (обратно: 3-й Сетуньский пр. - 2-й Сетуньский пр.);2;7;10;9;М2 класс В;6.45 / 6.45;22.45 / 22.45;"ОАО """"Группа  Автолайн""""";;
92м;"ст.м.""""Молодежная"""" - завод """"КИМ""""";"ст.м.""""Молодежная"""" - Ярцевская улица - Боженко улица - Кубинка улица - Можайское шоссе - Рябиновая улица - з-д """"КИМ""""";4;7;15;9,4;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
93м;"Ст.м.""""ВДНХ"""" - ст.м.""""Медведково""""";"Ст.м.""""ВДНХ"""" - Мира проспект - Лётчика Бабушкина улица - Осташковская улица - Енисейская улица - Северодвинская улица - Студёный проезд - Грекова улица (обратно: Шокальский проезд) - ст.м.""""Медведково""""";10;5;25;21,6;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ООО """"ГЕПАРТ""""";;
94м;Ул.Ташкентская - ул.Васильцовский стан;Ташкентская улица - Ферганская улица - 1-я Новокузьминская улица - Зеленодольская улица - Жигулёвская улица - Окская улица - Волжский бульвар - Васильцовский переулок (обратно: Васильцовский стан улица) - Васильцовский стан улица;8;3;10;12,9;М2 класс В;7.00 / 8.00;21.00 / 21.00;"ООО """"ТК ГАВАНЬ""""";;
95м;"Ст.м.""""Калужская"""" - ул.Акад.Бакулева";"Ст.м.""""Калужская"""" - Профсоюзная улица - Бутлерова улица - Академика Волгина улица - Островитянова улица - Академика Бакулева улица (д.№ 14, 9-й мкр.Теплого Стана)";6;5;15;10,5;М2 класс В;8.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
96м;"Ст.м.""""ВДНХ"""" - городок Моссовета";"Прямой маршрут: Ст.м.""""ВДНХ"""" - Мира проспект - Ростокинская улица - Будайская улица - Будайский проезд - Городок Моссовета (Управа района Ростокино)                                                                                   Обратный маршрут: Городок Моссовета (Управа района Ростокино)  - Будайский проезд - Бажова улица - Малахитовая улица - Мира проспект - ст.м.""""ВДНХ""""";3;5;15;7,3;М2 класс В;6.30 / 6.30;22.30 / 22.30;"ОАО """"Группа  Автолайн""""";;
97м;платф.Лось - ул.Северодвинская;платф.Лось - Анадырский проезд - Малыгина улица - Широкая улица - Осташковская улица (обратно: Северодвинская улица) - Северодвинская улица;6;4;8;7,5;М2 класс В;7.30 / 7.30;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
98м;"Ст.м.""""Алексеевская"""" - пл.Акад.Люльки";"Ст.м.""""Алексеевская"""" – Староалексеевская улица (обратно: Мира проспект - Новоалексеевская улица) - Новоалексеевская улица - Павла Корчагина улица - Академика Люльки площадь";5;3;7;5,4;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
99м;"ст.м.""""Сокол"""" - Крылатское";"Ст.м.""""Сокол"""" - Песчаная улица - Алабяна улица - Народного Ополчения улица - ст.м.""""Октябрьское поле"""" - Народного Ополчения улица - Нижние Мневники улица - Крылатская улица - Рублевское шоссе (дублер) - Осенний бульвар - ст.м.""""Крылатское"""" - мкр.Крылатское";10;7;12;23,1;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
100м;"ст.м.""""Сокол"""" - ул.Авиационная";"ст.м.""""Сокол"""" - ул.Песчаная - ул.Алабяна - ул.Народного ополчения - ст.м.""""Октябрьское поле"""" - ул.Марш.Бирюзова - пл.Акад.Курчатова - ул.Максимова - ул.Гамалеи - ул.Акад.Бочвара - ст.м.""""Щукинская"""" - ул. Авиационная";7;10;12;14,2;М2 класс В;6.45 / 6.45;22.45 / 22.45;"ОАО """"Группа  Автолайн""""";;
101м;"Ст.м.""""Партизанская"""" - ст.м.""""Партизанская""""";"Ст.м.""""Партизанская"""" - Измайловское шоссе - Местный проезд - ст.м.""""Партизанская""""";10;3;15;2,9;М2 класс В;6.00 / 6.00;19.00 / 19.00;"ОАО """"Группа  Автолайн""""";;
102м;"ст.м.""""Щелковская"""" - Новокосино";"ст.м.""""Щелковская"""" - Щелковское ш. - МКАД - Носовихинское ш. - ул.Городецкая  - Новокосино";9;8;20;30;М2 класс В;6.30 / 6.30;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
103м;"Ст.м.""""Волгоградский проспект"""" - ул.Скотопрогонная";"Ст.м.""""Волгоградский проспект"""" - Волгоградский проспект - Талалихина улица - Сибирский проезд - Малая Калитниковская улица - Скотопрогонная улица";5;3;20;4,6;М2 класс В;7.00 / 8.00;21.00 / 20.00;"ООО """"ТРАНССТРИМ""""";;
104м;Ул.Николая Старостина - Зеленый проспект;Николая Старостина улица - Новокосинская улица - Городецкая улица - Носовихинское шоссе - Старый Гай улица - Фрязевская улица - Мартеновская улица - Зеленый проспект;8;5;15;21,3;М2 класс В;6.30 / 6.30;22.00 / 22.00;"ООО """"Трансроуд+""""";;
105м;"ст.м.""""Динамо"""" - ст.м.""""Щукинская""""";"Прямой маршрут: ст.м.""""Динамо"""" - Трудовая аллея - Правая дворцовая аллея - Нарышкинская аллея - Планетная улица - Часовая улица - Балтийская улица - Ленинградское шоссе - Волоколамское шоссе - Алабяна улица - ст.м.""""Октябрьское поле"""" - Маршала Бирюзова улица - пл.Академика Курчатова - Маршала Василевского улица - ст.м.""""Щукинская""""                                                          Обратный маршрут: ст.м.""""Щукинская"""" - Маршала Василевского улица - пл.Академика Курчатова - Маршала Бирюзова улица - ст.м.""""Октябрьское поле"""" - Нородного Ополчения улица -  ст.м.""""Октябрьское поле"""" - Алабяна улица - Ленинградский проспект - Балтийская улица - Усиевича улица - Черняховского улица - Планетная улица - Петровско-Разумовская аллея - Театральная аллея - ст.м.""""Динамо""""";7;13;18;27,4;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
106м;ул.Окская – Новочеркасский бульвар;ул.Окская - Волжский бульвар - Волгоградский просп. - ул.Люблинская - ул.Юных Ленинцев - ул.Краснодонская - ул.Перерва - ул.Мячковский бульвар - ул.Поречная - ул.Люблинская - Новочеркасский бульвар;14;4;6;12,4;М2 класс В;6.30 / 6.30;21.30 / 21.30;"ООО """"Трансроуд+""""";;
107м;"ст.м.""""Коломенская"""" - Судостроительная улица";"ст.м.""""Коломенская"""" - Судостроительная улица";6;3;10;4;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
108м;Ул.Красный Казанец,д.17 - ул.Мартеновская;"Ст.м.""""Выхино"""" - Красный Казанец улица - Юности улица (обратно: Молдагуловой улица - Снайперская улица) - Фрязевская улица - Мартеновская улица - Полимерная улица - Перовская улица - 2-я Владимирская улица - Металлургов улица - Новогиреевская улица - Федеративный проспект - 11-ый Проспект - Металлургов улица (до пересечения с Мартеновской улицей)";8;8;20;21,2;М2 класс В;7.00 / 8.00;21.00 / 21.00;"ООО """"ТРАНС-ПРОФИ ЛГС""""";;
111м;"ст.м.""""Кантемировская"""" - Загорье";"ст.м.""""Кантемировская"""" - Пролетарский проспект - Кавказский бульвар - Бакинская улица - Липецкая улица - Загорьевский проезд - Лебедянская улица - Загорье";12;5;12;17,7;М2 класс В;7.00 / 7.00;22.30 / 22.30;"ОАО """"Группа  Автолайн""""";;
112м;"ст.м.""""Тимирязевская"""" - ст.м.""""Белорусская""""";"Прямой маршрут: ст.м.""""Тимирязевская"""" - Яблочкова улица - Гончарова улица - Добролюбова улица - Руставели улица - Огородный проезд - 17-й проезд Марьиной Рощи - 14-й проезд Марьиной Рощи - Шереметьевская улица - 5-й проезд Марьиной Рощи - Полковая улица - Двинцев улица - Сущевский вал улица - ст.м.""""Савеловская"""" - Бутырский вал улица - Новолесная улица - Лесная улица - ст.м.""""Белорусская"""" Обратный маршрут: ст.м.""""Белорусская"""" - Бутырский вал улица - ст.м.""""Савеловская"""" - Сущевский вал улица (до Советской Армии улицы) - разворот - Сущевский вал улица - Двинцев улица - Стрелецкая улица - 3-й проезд Марьиной Рощи - Шереметьевская улица - 14-й проезд Марьиной Рощи - 17-й проезд Марьиной Рощи - Огородный проезд - Руставели улица - Добролюбова улица - Гончарова улица - Яблочкова улица - ст.м.""""Тимирязевская""""";9;6;12;18,8;М2 класс В;6.40 / 6.40;21.40 / 21.40;"ОАО """"Группа  Автолайн""""";;
113м;Ул.Маршала Захарова, д.80  - Шипиловский проезд;Маршала Захарова улица, д.80 - Маршала Захарова улица - Шипиловский проезд;6;3;10;9,8;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
114м;"Ст.м.""""Выхино"""" -  платформа Перово";"Ст.м.""""Выхино"""" - Красный Казанец улица - Снайперская улица (обратно: Вешняковская улица) - Молдагуловой улица - Вешняковская улица - Свободный проспект - ст.м.""""Новогиреево"""" - Федеративный проспект - Новогиреевская улица - Зеленый проспект - ст.м.""""Перово"""" - 2-я Владимирская улица - Кусковская улица - платф.Перово";14;5;12;21,7;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Трансроуд""""";;
115м;"138-й кв. Выхино - ст.м.""""Кузьминки""""";"138-й квл.Выхино - Ферганский проезд - Ферганская улица - Академика Скрябина улица - Федора Полетаева улица - Есенинский бульвар - Волгоградский проспект (обратно Зеленодольская улица) - ст.м. """"Кузьминки""""";8;5;10;12,5;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"МЕНТОР-1""""";;
116м;"мкр.Никулино-2 - ст.м.""""Юго-Западная""""";"мкр.Никулино-2 - Акад.Анохина улица - Покрышкина улица - Вернадского проспект - ст.м.""""Юго-Западная""""";4;4;10;5,6;М2 класс В;7.30 / 7.30;20.00 / 20.00;"ОАО """"Группа  Автолайн""""";;
117м;"ст.м.""""Тушинская"""" - рынок Рождествено";"ст.м.""""Тушинская"""" - Волоколамское шоссе - Пятницкое шоссе - 1-й Митинский переулок - Митинская улица - Дубравная улица - Барышиха улица - рынок Рождествено";5;5;15;18,8;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ОАО """"Группа  Автолайн""""";;
118м;"ст.м.""""Люблино"""" - ул.Марьинский парк,43";"Ст.м.""""Люблино"""" - Краснодарская улица - Белореченская улица - Верхние Поля улица (обратно Белореченская улица) - Марьинский Парк улица - Марьинский Парк улица, д.43";8;4;10;8,5;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
119м;"ст.м.""""Белорусская"""" - ул.Сущевская";"ст.м.""""Белорусская"""" - ул.Лесная - ул.Палиха - ул.Сущевская";3;7;15;7;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
120м;"ст.м.""""Каширская"""" - 7-я горбольница";"ст.м.""""Каширская"""" - Каширское шоссе - Акад.Миллионщикова улица - Коломенский проезд - Горбольница № 7.                                                                      Обратно: Коломенский проезд - Андропова проспект - пр.проезд 3888 - ст.м.""""Каширская""""";5;4;10;6,9;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ОАО """"Группа  Автолайн""""";;
121м;"ст.м.""""Новые Черемушки"""" - Воронцовские пруды";"ст.м.""""Новые Черемушки"""" - Гарибальди улица - Академика Пилюгина улица - Архит.Власова улица - Акад.Челомея улица - Новаторов улица - Воронцовские пруды улица";3;7;15;7,2;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ОАО """"Группа  Автолайн""""";;
122м;"ст.м.""""Автозаводская"""" - 2-й Кожуховский пр.";"ст.м.""""Автозаводская"""" - Автозаводская улица - Велозаводская улица - Сайкина улица - Трофимова улица - 2-й Кожуховский проезд";4;4;10;5,8;М2 класс В;7.00 / 8.00;21.00 / 21.00;"ООО """"ТРАНС-ПРОФИ ЛГС""""";;
123м;"ст.м.""""П.-Разумовская"""" - ст.м.""""Водный стадион""""";"ст.м.""""Петровско-Разумовская"""" - Линии Октябрьской железной дороги улица - Большая Академическая улица - 4-й Новомихалковский проезд - НАМИ - Автомоторная улица - 4-й Лихачевский переулок - 3-й Лихачевский переулок - Онежская улица - Михалковская улица - Нарвская улица - Кронштадтский бульвар - ст.м.""""Водный стадион""""";11;5;10;18,2;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
124м;"ст.м.""""Коломенская"""" - Судостроительная улица";"Прямой маршрут: ст.м.""""Коломенская"""" - Андропова проспект - Нагатинская набережная - Судостроительная улица                                                     Обратный маршрут: Судостроительная улица - Нагатинская набережная - Кленовый бульвар - Судостроительная улица -ст.м.""""Коломенская""""";3;6;15;7,2;М2 класс В;7.00 / 7.00;22.00 / 21.00;"ОАО """"Группа  Автолайн""""";;
125м;Ул.Ольховская, д.35 - платф.Серп и Молот;"Ольховская улица, д.35 - Нижняя Красносельская улица - Спартаковская улица (обратно Бауманская улица) - Бауманская улица - ст.м. """"Бауманская"""" - Бауманская улица - Радио улица - Лефортовский мост - Красноказарменная улица - Волочаевская улица - Таможенный проезд - Золоторожский Вал улица (обратно: Средний Золоторожский переулок - Волочаевская улица) - платформа Серп и Молот";7;3;12;9;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ООО """"ГЕПАРТ""""";;
126м;"ст.м.""""Текстильщики"""" - Шлюз";"ст.м.""""Текстильщики"""" - ул.Шоссейная - ст.м.""""Печатники"""" - ул.Гурьянова - Шлюз (ул.Гурьянова д.61)";6;5;15;8,8;М2 класс В;7.00 / 8.00;21.00 / 21.00;"ООО """"ТРАНС-ПРОФИ ЛГС""""";;
127м;"ст.м.""""Молодежная"""" - ул. Полоцкая";"ст.м.""""Молодежная"""" - Ярцевская улица - Партизанская улица - Ивана Франко улица - платф.Рабочий поселок - Ивана Франко улица - Полоцкая улица";3;5;10;5,5;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
129м;"ст.м.""""Профсоюзная"""" - ст.м.""""Профсоюзная""""";"ст.м.""""Профсоюзная"""" - Профсоюзная улица - Кржижановского улица - Новочеремушкинская улица - Нахимовский проспект - ст.м.""""Профсоюзная""""";3;5;10;13;М2 класс В;7.00 / 8.00;21.00 / 21.00;"ООО """"ТК Гавань""""";;
130м;"ст.м.""""Филевский парк"""" - ст.м.""""Профсоюзная""""";"ст.м.""""Филевский парк """" - Минская улица - Ломоносовский проспект - ст.м.""""Университет"""" - Нахимовский проспект - ст.м.""""Профсоюзная""""";12;4;10;17;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
131м;"ст.м.""""Партизанская"""" - платф.Перово";"ст.м.""""Партизанская"""" - Измайловское шоссе - Главная аллея - Энтузиастов шоссе - Владимирская 1-я улица - Зеленый проспект - Плеханова улица - Кусковская улица - платф.Перово";8;5;10;15,8;М2 класс В;7.00 / 7.00;20.00 / 20.00;"ОАО """"Группа  Автолайн""""";;
392м;"ст.м.""""Бибирево"""" - платф.Ховрино";"ст.м.""""Бибирево"""" - Бибиревская улица - Пришвина улица - Коненкова улица - Лескова улица - ст.м.""""Алтуфьево"""" - Череповецкая улица - Лианозовский проезд - Дмитровское шоссе - Лобненская улица - Ковалевской Софьи улица - 800-летия Москвы улица - Талдомская улица - Весенняя улица - Ангарская улица - Путейская улица - платф.Ховрино";15;5;15;23,8;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
376м;"ст.м.""""Крылатское"""" - ТЦ """"Европарк""""";"Ст.м. """"Крылатское"""" - Осенний бульвар - Академика Павлова улица (обратный маршрут) - Маршала Тимошенко улица (обратный маршрут) - Рублевское шоссе - ТЦ """"Европарк""""";5;5;10;8,4;М2 класс В;6.00 / 6.30;22.30 / 22.30;"ООО """"ШАДИС АВТО""""";;
378м;"ст.м.""""Белорусская"""" - ул.Вагоноремонтная";"ст.м.""""Белорусская"""" - ул.Бутырский вал - ст.м.""""Савеловская"""" - ул.Бутырская - ст.м.""""Тимирязевская"""" - Дмитровское ш. - ул.Вагоноремонтная";10;5;15;30,5;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
379м;Гост.Останкино - Грохольский пер.;"Гостиница """"Останкино"""" - Малая Ботаническая улица (обратно: Академика Комарова улица) - Ботаническая улица - Академика Королева улица - Останкинский проезд - Мира проспект - Грохольский переулок";17;3;10;18,4;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ООО """"ГЕПАРТ""""";;
382м;"ул.Корнейчука - ст.м.""""Войковская""""";"ул.Корнейчука - Мелиховская улица - Белозерская улица - Лескова улица - Мурановская улица - Пришвина улица - ст.м.""""Бибирево"""" - Бибиревская улица - Алтуфьевское шоссе - Сигнальный проезд - Станционная улица - Локомотивный проезд - ст.м.""""Петровско-Разумовская"""" - Линии Октябрьской ж/д улица - Академическая Большая улица - Зои и Александра Космодемьянских улица - (обратно: боковой проезд Ленинградского шоссе - Старопетровский проезд - 4-й Новоподмосковный проезд) - ст.м.""""Войковская""""";20;5;10;34,7;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
383м;"ст.м.""""Тимирязевская"""" - ул.Вучетича";"ст.м.""""Тимирязевская"""" - Дмитровское шоссе - Местный проезд - Костякова улица - Вс.Вишневского улица - Соломенной Сторожки проезд - Вучетича улица - (обратно: Вучетича улица - Тимирязевская улица - Красностуденческий проезд - Дмитровское шоссе) - ст.м.""""Тимирязевская""""";3;5;12;6,2;М2 класс В;7.30 / 9.00;21.30 / 19.30;"ООО """"Каравелла""""";;
384м;"ст.м.""""Динамо"""" - Савеловский вокзал";"Ст.м.""""Динамо"""" - Московская аллея - Театральная аллея - Петровско-Разумовская аллея - Старый Петровско-Разумовский проезд - Петровско-Разумовский проезд - 4-й Вятский переулок - Башиловская улица - Нижняя Масловка улица - Савеловский вокзал";7;5;12;10,1;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
385м;"ст.м.""""Кузьминки"""" - 5-й квартал Капотни";"ст.м.""""Кузьминки"""" - Волгоградский проспект - МКАД - Люберецкое шоссе - 1-й Капотнинский проезд - 5-й квартал Капотни";12;8;15;29,3;М2 класс А;6.00 / 7.00;22.30 / 21.30;"ООО """"СТАФФТРАНС 1""""";;
386м;"Ст.м.""""Полежаевская"""" -  Горбольница №67";"Ст.м.""""Полежаевская"""" - Хорошевское шоссе - Мневники улица - 2-й Силикатный проезд - 3-й Силикатный проезд - Карамышевская набережная - Саляма Адиля улица - Горбольница №67";8;7;12;8,2;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа Автолайн"""" / ООО """"ПОПУТЧИК""""";;
387м;"Ст.м.""""Рижская"""" - Рубцовская набережная";"Ст.м.""""Рижская"""" - Мира проспект - Гиляровского улица - Трифоновская улица - 2-й Крестовский переулок - Рижский путепровод (обратно: Мира проспект) - Гаврикова улица - Лобачика улица - Верхняя Красносельская улица - Нижняя Красносельская улица - Спартаковская улица (обратно: Гаврикова улица) - Гаврикова улица - Фридриха Энгельса улица - Бауманская улица - Бригадирский переулок - 2-я Бауманская улица - Малая Почтовая улица - Большая Почтовая улица (обратно: Рубцов переулок) - Рубцовская набережная";2;20;50;17;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
388м;"ст.м.""""Теплый Стан"""" - ул.Акад.Виноградова";"Ст.м.""""Теплый Стан"""" - Теплый Стан улица - Академика Виноградова улица";5;4;9;5,1;М2 класс В;6.30 / 7.00;23.00 / 22.30;"ООО """"БЕТТА-АВТОТРАНС""""";;
391м;"ст.м.""""Молодежная"""" - ст.м.""""Полежаевская""""";"Ст.м.""""Молодежная"""" - Ярцевская улица - Крылатская улица - Крылатский мост - Нижние Мневники улица - Народного ополчения улица - ст.м.""""Октябрьское поле"""" - Народного ополчения улица - Мневники улица - Хорошевское шоссе - ст.м.""""Полежаевская""""";8;7;12;18,1;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
394м;Киевский вокзал - ул.Мосфильмовская,51;Киевский вкз. - Бережковская наб. - Воробьевское ш. - ул.Мосфильмовская, 51;5;5;7;7;М2 класс В;6.30 /  7.00;23.00 /  22.30;"ООО """"БЕТТА-АВТОТРАНС""""";;
396м;"ст.м.""""Академическая"""" - Нагорный бульвар";"Ст.м.""""Академическая"""" - Дм.Ульянова улица - Ремизова улица - Нагорная улица - Нагорный бульвар";5;6;12;5,3;М2 класс В;7.00 / 7.30;22.00 / 21.30;"ООО """"БЕТТА-АВТОТРАНС""""";;
397м;платф.Останкино-платф.Каланчевская;Платф.Останкино - Дубовой рощи улица - Акад.Королева улица - Останкинская улица - Мира проспект - Орлово-Давыдковский переулок (обратно: Банный переулок) - Бол.Переяславская улица - Каланчевская улица - Комсомольская пл. - ул.Каланчевская - платф.Каланчевская;10;3;15;15,6;М2 класс В;6.30 / 6.30;23.00 /  23.00;"ООО """"ГЕПАРТ""""";;
398м;"ст.м.""""Отрадное"""" - Гипермаркет """"Мосмарт""""";"ст.м.""""Отрадное"""" - ул.Санникова - ул.Хачатуряна - Алтуфьевское ш. - ул.Череповецкая - платф.Лианозово - далее Лианозовский пр. - Гипермаркет """"Мосмарт""""";8;8;10;10;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
399м;"ст.м.""""Автозаводская"""" - ул.Ташкентская";"Ст.м.""""Автозаводская"""" - Автозаводская улица - Мастеркова улица (прямой маршрут) - Ленинская слобода улица (прямой маршрут) - Велозаводская улица (обратный маршрут) - 1-я Машиностроения улица - Шарикоподшипниковская улица - 2-я Машиностроения улица - Волгоградский проспект - ст.м.""""Текстильщики"""" - ст.м.""""Кузьминки"""" - Волгоградский проспект - Ташкентская улица - Чугунные ворота улица (обратный маршрут) - Академика Скрябина улица (обратный маршрут)";14;5;10;22,8;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Трансроуд""""";;
400м;"ст.м.""""Октябрьская"""" - ДК МГУ";"Ст.м.""""Октябрьская"""" радиальная (Большая Якиманка улица) - Ленинский проспект - Ломоносовский проспект - Лебедева улица - Академика Хохлова улица - ДК МГУ";10;5;10;16,9;М2 класс В;6.30 / 7.30;22.30 / 22.00;"ООО """"БЕТТА-АВТОТРАНС""""";;
401м;"ст.м.""""Кожуховская"""" - ст.м.""""Автозаводская""""";"ст.м.""""Кожуховская"""" - Южнопортовая улица - Трофимова улица - Сайкина улица - Велозаводская улица - Автозаводская улица - ст.м.""""Автозаводская""""";3;6;10;6,8;М2 класс В;8.00 / 8.00;17.30 / 17.30;"ООО """"Орбита XXI век""""";;
402м;"ст.м.""""Ясенево"""" - 6-й мкр.Южн.Бутово";"ст.м.""""Ясенево"""" - Тарусская улица (обратно - Ясногорская улица) - Голубинская улица - Карамзина проезд - МКАД - Поляны улица - Куликовская улица - Поляны улица - Скобелевская улица - ст.м.""""Скобелевская"""" - Адмирала Ушакова бульвар - ст.м.""""Бульвар Адмирала Ушакова"""" - Южнобутовская улица - Остафьевская улица - Чечерский проезд - 6-й мкр.Южн.Бутово";7;5;10;13,4;М2 класс В;6.30 / 7.00;22.00 / 21.30;"ОАО """"Группа Автолайн""""";;
403м;"ст.м.""""Академическая"""" - ст.м.""""Ленинский проспект""""";"ст.м.""""Академическая"""" - просп.60-летия Октября - (обратно: ул.Гримау - ул.Дм.Ульянова) - ул.Шверника - ул.Бол.Черемушкинская - Загородное ш. - 4-й Загородный пр. - Канатчиковский пр. - 5-й Донской пр. - ст.м.""""Ленинский просп.""""";10;6;12;5,5;М2 класс В;7.15 /  8.15;21.30 / 21.00;ИП Зеленский Виктор Викторович;;
406м;"Ст.м.""""Савеловская"""" - ул.Лобненская";"Ст.м.""""Савеловская"""" - Бутырская улица - Дмитровское шоссе - Бескудниковский бульвар - Софьи Ковалевской улица - Лобненская улица";28;3;10;28,5;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ООО """"ГЕПАРТ""""";;
408м;платф.Крюково - платф.Крюково (кольцо А);платф.Крюково - Панфиловский проспект - Центральный проспект - Солнечная аллея (кольцо А) - платф.Крюково;5;5;15;9,2;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ОАО """"Группа Автолайн""""";;
409м;платф.Крюково - платф.Крюково (кольцо Б);платф.Крюково - Панфиловский проспект - Солнечная аллея - Центральный проспект - Панфиловский проспект (кольцо Б) - платф.Крюково;5;5;15;9,1;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ОАО """"Группа Автолайн""""";;
410м;"ул.Борисовские пру-ды, д.48/1 - Верхние Поля улица (рынок """"Садовод"""")";"ул.Борисовские пруды, д.48/1 - ул.Борисовские пруды - ул.Алма-Атинская - ул.Братеевская - ул.Ключевая - ул.Борисовские пруды - Хордовый проезд - ул.Люблинская - ст.м.""""Марьино"""" - ул.Новомарьинская - (обратно: дублер ул.Люблинской - ст.м.""""Марьино"""" - Луговой проезд - Мячковский бульвар - ул.Перерва - ст.м.""""Братиславская"""" - ул.Перерва - ул.Белоречен-ская - ул.Верхние Поля улица (рынок """"Садовод"""")";12;6;15;13,6;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Трансроуд""""";;
412м;"Ст.м.""""Братиславская"""" - 5 мкрн.Капотни";"Ст.м.""""Братиславская"""" - Перерва ул. - Белореченская ул. - Проектируемый пр.№ 5467 - 1-й Капотненский пр. - Проектируемый пр.№ 4311 - 5 мкрн.Капотни (5-й квартал)";14;4;15;15,8;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Трансроуд""""";;
433м;платф.Чухлинка - Тихорецкий бульв. (Строительный рынок);"платф.Чухлинка - ул.Коновалова - 2-й Грайвороновский пр. - ул.Грайвороновская - ул.Волжский бульв. - ул.Окская - ул.Жигулевская - ул.Марш.Чуйкова - ул.Юных Ленинцев (обратно: ул.Юных Ленинцев - дублер Волжского бульв. - дублер Волгоградского просп. - ул.Зеленодольская) - Волжский бульв. - ст.м.""""Волжская"""" - ул.Краснодонская - Спортивный пр. - ул.Таганрогская - ул.Краснодарская - ст.м.""""Люблино""""- Тихорецкий бульв. (Строительный рынок)";10;7;10;12,8;М2 класс В;6.30 / 7.00;22.00 / 21.30;"ООО """"Автократ""""";;
