1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
690м;"ст.м.""""Кантемировская"""" - платф.Бирюлево";"ст.м.""""Кантемировская"""" - Пролетарский проспект - Кавказский бульвар - Бакинская улица - Липецкая улица - Загорьевская улица - Михневская улица - Михневский проезд - Загорьевский проезд - Михневская улица - платф.Бирюлево";10;6;12;20,3;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ОАО """"Группа Автолайн""""";;
691м;"ст.м.""""Молодежная"""" - ст.м.""""Сокол""""";"Ст.м.""""Молодежная"""" - Ярцевская улица - Крылатская улица - Нижние Мневники улица - Народного ополчения улица - ст.м.""""Октябрьское поле"""" - Народного ополчения улица - Алабяна улица - Песчаная улица - ст.м.""""Сокол""""";7;9;25;20,9;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
694м;"ст.м.""""Орехово"""" - ст.м.""""Нагатинская""""";"ст.м.""""Орехово"""" - Шипиловский проезд - Ореховый бульвар - ст.м.""""Домодедовская"""" - Ореховый бульвар - Борисовский проезд - Каширское шоссе - ст.м.""""Каширская"""" - Каширское шоссе - Варшавское шоссе - ст.м.""""Нагатинская""""";4;20;30;39,3;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"ТК Стройтехника""""";;
695м;"ст.м.""""Кузьминки"""" - ул.Головачева";"ст.м.""""Кузьминки"""" - Маршала Чуйкова улица - Юных Ленинцев улица - Волжский бульвар (обратно проезд вдоль Волжского бульвара - Волгоградский проспект) - ст.м.""""Волжская"""" - Краснодонская улица - Ставропольская улица - Головачева улица";8;5;10;16,9;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ООО """"ГЕПАРТ""""";;
696м;"пос.Рублево - ст.м.""""Щукинская""""";"Прямой маршрут: пос.Рублево - Обводное шоссе - Вас.Ботылева улица - Мякининское шоссе - 2-я Мякининская улица - 4-я Мякининская улица - Кулакова улица - Строгинский бульвар - Таллинская улица - Строгинское шоссе - Новощукинская улица - Маршала Василевского улица - ст.м.""""Щукинская""""                                                              Обратный маршрут: ст.м.""""Щукинская"""" - Новощукинская улица - Строгинское шоссе - Маршала Катукова улица - Кулакова улица - 4-я Мякининская улица - 2-я Мякининская улица - Мякининское шоссе - Вас.Ботылева улица - Обводное шоссе - пос.Рублево";5;10;20;20,6;М2 класс В;6.00 / 6.30;22.30 / 22.30;"ООО """"Шадис-Авто""""";;
698м;"ст.м.""""Кожуховская"""" - ст.м.""""Профсоюзная""""";"ст.м.""""Кожуховская"""" - Трофимова улица - Велозаводская улица - Автозаводская улица - Варшавское шоссе - Нагорный проезд - Нагорная улица - Нахимовский проспект - ст.м.""""Профсоюзная""""";6;5;15;24,1;М2 класс В;7.00 / 8.00;22.00 /              21.00;"ООО """"Гудвиль""""";;
699м;"ст.м.""""Университет"""" - мкр.Раменки";"ст.м.""""Университет"""" - Вернадского проспект - Ломоносовский проспект - Мичуринский проспект - Раменки улица - мкр.Раменки";8;4;10;8,4;М2 класс В;7.00 / 8.00;22.00 /              21.00;"ООО """"АВ-ТРАНС""""";;
700м;"ст.м.""""Выхино"""" - 6-й мкр.Жулебино";"ст.м.""""Выхино"""" - Хлобыстова улица - Рязанский проспект - Лермонтовский проспект - Привольная улица - 6-й мкр.Жулебино)";6;5;10;12,2;М2 класс В;6.30 / 6.30;22.30 / 22.30;"ОАО """"Группа Автолайн""""";;
701м;"ст.м.""""Речной вокзал"""" - платф.Ховрино";"ст.м.""""Речной вокзал"""" - Фестивальная улица - Лавочкина улица - Дыбенко улица - Библиотечный проезд - Маршала Федоренко улица - Краснополянская улица - Бусиновская горка улица - Ижорская улица - Коровинское шоссе - Ангарская улица - Деповская улица - платф.Ховрино";10;5;10;18,9;М2 класс В;6.30 / 6.30;21.30 / 21.30;"ООО """"Тариконс""""";;
702м;"ст.м.""""Планерная"""" - 8 мкр.Митино";"ст.м.""""Планерная"""" - ул.Планерная - ул.Героев Панфиловцев - бульвар Яна Райниса - Путилковское шоссе - Пятницкое шоссе - ул.Дубравная - ул.Ген.Белобородова - 8 мкр.Митино (2-й Пенягинский пр.)";10;5;10;9;М2 класс В;7.00 / 8.00;23.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
