"0_ID";"1_Наименование";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Округ";"1_Район";"0_UNOM";"0_Площадь";"0_Собственник_СО";"1_Собственник"
"000007819";"Общественное питание на Самаркандский бульвар, вл.8";"Самаркандский бульв. 9 к. 1";"Самаркандский бульв. 9 к. 1";"37,827861";"55,705852";;;;;;"ЮВАО";"Выхино-Жулебино";"22 606";"50";"Сезонное кафе, ул. Самаркандский бульвар, д. 8";"Автостринк"
"000007820";"Общественное питание на Рязанский пр-т, д.97, к.1";"Рязанский просп. 97";"Рязанский просп. 97";"37,808853";"55,714679";;;;;;"ЮВАО";"Выхино-Жулебино";"22 430";"50";"Сезонное кафе, ул. Рязанский проспект, д. 97, кор. 1";"ЖАСМИН"
"000007821";"Общественное питание на Верхние поля ул., д.48, стр.4";"ул. Верхние Поля 48 с. 4";"ул. Верхние Поля 48 с. 4";"37,819982";"55,65689";;;;;;"ЮВАО";"Капотня";"2 129 091";"78";"""Альянс Престиж""";"Альянс Престиж"
"000007823";"Общественное питание на Капотня 2-й квартал, д.22, к.1";"Капотня, 2-й квартал 22 к. 1";"Капотня, 2-й квартал 22 к. 1";"37,8014";"55,637996";;;;;;"ЮВАО";"Капотня";"2 129 332";"62";"КВАРТАЛ +""";"КВАРТАЛ +"
"000007824";"Общественное питание на Волгоградский проспект, 125";"Волгоградский просп.";"Волгоградский просп.";"37,7682689999999";"55,705582";;;;;;"ЮВАО";"Кузьминки";;"20";"кафе""ВИТАЛИТА""";"ТАЙМ"
"000007825";"Траттория ""Скузи""";"Волгоградский просп. 145 к. 2";"Волгоградский просп. 145 к. 2";"37,777536";"55,7042989999999";;;;;;"ЮВАО";"Кузьминки";"270 011";"25";"Тратория ""Скузи""";"ЮССА"
"000007826";"Общественное питание на Волжский бульвар, 114а, корпус 1";"Волжский бульвар, кварт. 114А  к. 1";"Волжский бульвар, кварт. 114А  к. 1";"37,7478789999999";"55,707122";;;;;;"ЮВАО";"Кузьминки";"2 704 239";"21";"""Хоум Бар""";"Профи-Сервис"
"000007827";"Общественное питание на Волгоградский проспект, 111";"Волгоградский просп. 111";"Волгоградский просп. 111";"37,759772";"55,706672";;;;;;"ЮВАО";"Кузьминки";"2 128 899";"21";"Ресторан ""Венге""";"КОФЕ-БРИЗ"
"000007828";"Общественное питание на ул. Юных Ленинцев, 52";"ул. Юных Ленинцев 52";"ул. Юных Ленинцев 52";"37,765012";"55,699788";;;;;;"ЮВАО";"Кузьминки";"2 128 983";"20";"ВЫСОТА";"ВЫСОТА"
"000007829";"Общественное питание на Волжский бульвар, 114а, корпус 9";"Волжский бульвар, кварт. 114А  к. 9";"Волжский бульвар, кварт. 114А  к. 9";"37,75132";"55,701224999";;;;;;"ЮВАО";"Кузьминки";"2 131 750";"18";"Кафе-бар";"Конвивиум"
"000007831";"Общественное питание на Волгоградский проспект, 152";"Волгоградский просп. 152 с. 1";"Волгоградский просп. 152 с. 1";"37,790784";"55,701488";;;;;;"ЮВАО";"Кузьминки";"2 128 764";"12";"кафе ""Маленький мук""";"ТЕНАНС"
"000007832";"Общественное питание на ул. Юных Ленинцев, 28, корпус 2";"ул. Юных Ленинцев 28 к. 2";"ул. Юных Ленинцев 28 к. 2";"37,751956";"55,700451";;;;;;"ЮВАО";"Кузьминки";"2 708 468";"18";"Кафе ""Тест-Драйв""";"ТРУД"
"000007833";"Общественное питание на Волгоградский проспект, д.98, к.1";"Волгоградский просп. 98 к. 1";"Волгоградский просп. 98 к. 1";"37,7724729999999";"55,704006";;;;;;"ЮВАО";"Кузьминки";"2 128 898";"20";"ТАНУКИ";"АСТОРИЯ"
"000007834";"Общественное питание на Зеленодольская ул., д.30";"Зеленодольская ул. 30 к. 3";"Зеленодольская ул. 30 к. 3";"37,77067";"55,71073";;;;;;"ЮВАО";"Кузьминки";"2 708 705";"28";"ФАРАОН";"ИРАДА"
"000007845";"Общественное питание на Краснодарская, 66";"Краснодарская ул. 66";"Краснодарская ул. 66";"37,773688";"55,674028";;;;;;"ЮВАО";"Люблино";"2 707 840";"50";"Ресторан Хаят";"Стоик"
"000007846";"Общественное питание на Совхозная ул., д.41";"Совхозная ул. 41";"Совхозная ул. 41";"37,760148";"55,6740849999999";;;;;;"ЮВАО";"Люблино";"270 120";"50";"Фудеко";"ФУДЕКО"
"000007848";"Общественное питание на Совхозная ул., д.55";"Совхозная ул. 55";"Совхозная ул. 55";"37,76357";"55,680782";;;;;;"ЮВАО";"Люблино";"2 129 571";"50";"КОЛЯДА";"КОЛЯДА"
