"0_Код объекта";"1_Наименование объекта";"1_Адрес объекта";"0_Координата X";"0_Координата Y";"1_Округ";"1_Район";"1_Вид объекта";"1_Период размещения";"1_Дата начала срока размещения";"1_Дата окончания срока размещения";"1_Номер свидетельства";"1_Дата выдачи свидетельства";"1_Специализация"
"000003912";"Печать на Пятницкое ш., вл. 7";"Пятницкое шоссе 7";"37,38721";"55,837955";"СЗАО";"Митино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";;;"Печать"
"000003913";"Печать на ул. Генерала Белобородова, вл. 16";"ул. Генерала Белобородова 16";"37,356147";"55,835671";"СЗАО";"Митино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002434";"28.02.2012";"Печать"
"000003914";"Печать на Пятницкое ш., вл. 35";"Пятницкое шоссе 35";"37,360026";"55,85374";"СЗАО";"Митино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002425";"28.02.2012";"Печать"
"000003915";"Печать на ул. Митинская, вл. 49";"Митинская ул. 49";"37,353428";"55,852427";"СЗАО";"Митино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002428";"28.02.2012";"Печать"
"000003916";"Печать на ул. Митинская, вл. 35";"Митинская ул. 35";"37,355144999";"55,848651";"СЗАО";"Митино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002435";"22.02.2012";"Печать"
"000003917";"Продукты на ул. Народного Ополчения, вл. 45";"ул. Народного Ополчения 45";"37,491598";"55,792543";"СЗАО";"Щукино";"Павильон";"с 1 января по 31 декабря";"22.03.2012";"22.03.2015";"900-002472";"26.03.2012";"Продовольственные товары"
"000003918";"Печать на Волоколамское ш., вл. 92, корп. 3";"Волоколамское шоссе, вл.92,корп.3";"37,435654";"55,825697";"СЗАО";"Покровское-Стрешнево";"Павильон";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002466";"16.03.2012";"Печать"
"000003919";"Печать на б-р Яна Райниса, вл. 23-25";"бульв. Яна Райниса 23";"37,425869";"55,849061";"СЗАО";"Южное Тушино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2014";"900-002438";"29.02.2012";"Печать"
"000003920";"Продукты на ул. Исаковского, вл. 16";"ул. Исаковского 16 к. 1";"37,409779";"55,812822";"СЗАО";"Строгино";"Павильон";"с 1 января по 31 декабря";"05.04.2011";"05.04.2015";"900-002484";"05.04.2012";"Продовольственные товары"
"000003921";"Цветы на ул. Воротынская, вл. 8";"Воротынская ул. 8/1";"37,398586";"55,888382";"СЗАО";"Куркино";"Павильон";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002412";"02.02.2012";"Цветы"
"000003922";"Печать на ул. Гамаели, вл. 13";"ул. Гамалеи 13";"37,458646";"55,799794";"СЗАО";"Щукино";"Модульный объект";"с 1 января по 31 декабря";"22.02.2012";"22.02.2015";"900-002422";"04.05.2012";"Печать"
"000003923";"Печать на ул. Народного Ополчения, вл. 34";"ул. Народного Ополчения, вл. 34";"37,482818";"55,78579";"СЗАО";"Хорошево-Мневники";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002423";"28.02.2012";"Печать"
"000003924";"Овощи, фрукты на Кутузовский пр-т., вл.26";"Кутузовский просп. 26 к. 1";"37,540468";"55,743181";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"03.10.2011";"31.12.2014";"805-000450";"07.10.2011";"Овощи и фрукты"
