0_OBJECTID;0_UIDNFTN;1_Наименование объекта;0_Географические координаты Х;0_Географические координаты Y;1_Описание местоположения;1_Количество мест;1_Ведомственная принадлежность;1_Наименование эксплуатирующей организации;1_Телефон эксплуатирующей организации
74;50;"Велосипедная парковка №21090 ""Садово-самотечная, 10с1""";7346,9443;11816,2098;Садово-самотечная, 10с1. Минрегионразвития;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
75;51;"Велосипедная парковка №21092 ""Тверской бульвар, 22""";6620,8576;10534,6931;Тверской бульвар, 22. МХАТ им. Горького;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
76;52;"Велосипедная парковка №21095 ""Мясницкая улица, 39с1""";8961,027;11217,9527;Мясницкая улица, 39с1. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
77;53;"Велосипедная парковка №21099 ""Трубная площадь, 2""";7793,7916;11093,2779;пл. Трубная, 2.Неглинная Плаза;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
78;54;"Велосипедная парковка №21101 ""Неглинная, 8/10""";7694,3842;10503,0174;Неглинная улица, 8/10. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
79;55;"Велосипедная парковка №21102 ""Большая Никитская, 12""";6427,2295;9855,254;Пересечение Большой Никитской улицы и Никитского бульвара. Общественно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
80;56;"Велосипедная парковка №21103 ""Никитский бульвар, 7а""";6377,2075;9710,4442;Никитский бульвар 7а. Вблизи музей Гоголя;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
81;57;"Велосипедная парковка №21104 ""Никольская, 25""";7952,2059;10258,5294;Вблизи д. 25 по ул.Никольская.  Парковка около метро Лубянка;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
82;59;"Велосипедная парковка №21107 ""Новый Арбат, 11с1""";6120,1124;9465,1435;Ул. Новый Арбат 11с1. Рядом Торгово-офисный центр Мидлент-Плаза;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
83;60;"Велосипедная парковка №21113 ""Крымский Вал, 9с2""";6562,9072;7250,1704;Вблизи д. 9с2 по ул. Крымский Вал. Парковка при въезде в Парк Горького;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
84;61;"Велосипедная парковка №21114 ""Парк Музеон""";6375,3261;6626,4144;Вблизи входа в парк Музеон;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
85;62;"Велосипедная парковка №21115 ""Патриаршие пруды""";5911,1509;10789,7732;Патриаршие пруды;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
86;63;"Велосипедная парковка №21116 ""Певческий переулок, 1/2с1""";9039,9337;9458,9844;Певческий переулок, 1/2с1. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
87;64;"Велосипедная парковка №21118 ""Петровка, 38""";7178,0018;11504,1895;Петровка, 38 ГУ МВД;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
88;65;"Велосипедная парковка №21119 ""Петровка, 7""";7461,9247;10613,9585;Вблизи д. 7 по ул.Петровка. Парковка расположена в офисно-деловом и туристическом районе;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
89;66;"Велосипедная парковка №21121 ""Площадь Красные ворота""";9481,8189;11296,9732;Пл. Красные ворота. Рядом метро Красные ворота;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
90;67;"Велосипедная парковка №21122 ""Площадь Покровские ворота, 17""";9257,7961;10372,3991;Между д. 17 Площадь Покровские ворота и Чистыми прудами;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
91;68;"Велосипедная парковка №21123 ""Площадь Пречистенские ворота""";6504,3235;8652,927;Площадь Пречистенские ворота. Напротив выходы из метро Кропоткинская;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
