0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Управа;0_moddate;0_moduser;0_dokumenti;0_ploshad;0_kol_prikre
126;ООО «Экспресс Ритейл»                                                                                                                                                                                                                                         ;ООО «Экспресс Ритейл»                                                                                                                                                                                                                                         ;ул. Тверская, д. 4                                                                                                                                                                                                                                            ;7201,5583;10217,8212;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Тверской                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;125,5;25
127;ООО «Семейное предприятие Фирма «Антонина»                                                                                                                                                                                                                    ;ООО «Семейное предприятие Фирма «Антонина»                                                                                                                                                                                                                    ;Цветной бульвар, д. 25, стр.1                                                                                                                                                                                                                                 ;7685,0747;11784,4935;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Тверской                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;220;150
128;ЗАО «ТиК Продукты»                                                                                                                                                                                                                                            ;ЗАО «ТиК Продукты»                                                                                                                                                                                                                                            ;ул. Селезневская, д.30                                                                                                                                                                                                                                        ;6991,1486;12657,8502;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Тверской                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;300;100
129;ООО «Босфор-В»                                                                                                                                                                                                                                                ;ООО «Босфор-В»                                                                                                                                                                                                                                                ;1-й Самотечный пер., д.16/2, стр.1                                                                                                                                                                                                                            ;7216,2531;12298,9777;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Тверской                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;120;50
130;ООО «Торговая фирма ПродСервис-Содействие»                                                                                                                                                                                                                    ;ООО «Торговая фирма ПродСервис-Содействие»                                                                                                                                                                                                                    ;Хамовнический вал,  д. 32                                                                                                                                                                                                                                     ;4160,0679;6051,9959;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;35;990
131;ОАО «Магазин № 3»                                                                                                                                                                                                                                             ;ОАО «Магазин № 3»                                                                                                                                                                                                                                             ;пр-д Девичьего Поля, д. 2                                                                                                                                                                                                                                     ;5202,8741;7881,5313;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;156;745
132;ООО «Полли-М»                                                                                                                                                                                                                                                 ;ООО «Полли-М»                                                                                                                                                                                                                                                 ;Гагаринский пер., д.24/7 стр.1                                                                                                                                                                                                                                ;5803,3763;8701,7302;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;60;150
133;ООО «Столичная финансово-инвестиционная компания» м-н «Продукты»                                                                                                                                                                                              ;ООО «Столичная финансово-инвестиционная компания» м-н «Продукты»                                                                                                                                                                                              ;Саввинская наб., д.19 стр.1Б                                                                                                                                                                                                                                  ;4208,8158;7511,2562;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;106;370
134;ЗАО «Нива»                                                                                                                                                                                                                                                    ;ЗАО «Нива»                                                                                                                                                                                                                                                    ;Комсомольский пр-т, д.25                                                                                                                                                                                                                                      ;5271,1681;6629,5449;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;191,2;1930
135;ООО «Совтехконсалтсервис»                                                                                                                                                                                                                                     ;ООО «Совтехконсалтсервис»                                                                                                                                                                                                                                     ;Пречистенский пер., д.22/4                                                                                                                                                                                                                                    ;5804,0683;8585,4335;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;80;1100
136;ООО «Микайлов»                                                                                                                                                                                                                                                ;ООО «Микайлов»                                                                                                                                                                                                                                                ;Комсомольский  пр-т, д.27А                                                                                                                                                                                                                                    ;5255,1674;6503,4933;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;70;421
137;ООО «Аванта»                                                                                                                                                                                                                                                  ;ООО «Аванта»                                                                                                                                                                                                                                                  ;ул. Доватора, д. 14                                                                                                                                                                                                                                           ;4161,1958;6158,3877;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;65;350
138;ООО «Денежкова»                                                                                                                                                                                                                                               ;ООО «Денежкова»                                                                                                                                                                                                                                               ;ул. Хамовнический вал, д. 14                                                                                                                                                                                                                                  ;4725,9582;5657,8611;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;130;2300
139;ООО «Социал-М»                                                                                                                                                                                                                                                ;ООО «Социал-М»                                                                                                                                                                                                                                                ;Зубовский б-р, д.16-20, стр. 2                                                                                                                                                                                                                                ;5661,0508;7967,3939;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;60;500
140;ООО «Интэка»                                                                                                                                                                                                                                                  ;ООО «Интэка»                                                                                                                                                                                                                                                  ;ул. Погодинская, д. 20, стр. 5                                                                                                                                                                                                                                ;3918,231;7030,2046;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;60;450
141;ООО «АЗЕРБАЙДЖАН+»                                                                                                                                                                                                                                            ;ООО «АЗЕРБАЙДЖАН+»                                                                                                                                                                                                                                            ;Комсомольский пр-т, д. 40                                                                                                                                                                                                                                     ;4776,0833;6135,1873;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;170;740
142;ЗАО «ТиК Продукты»                                                                                                                                                                                                                                            ;ЗАО «ТиК Продукты»                                                                                                                                                                                                                                            ;ул. Плющиха, д. 26/2                                                                                                                                                                                                                                          ;4966,4659;8405,3657;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Хамовники                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;150;300
143;ЗАО «Т и К Продукты»                                                                                                                                                                                                                                          ;ЗАО «Т и К Продукты»                                                                                                                                                                                                                                          ;ул. Б. Полянка, д.7/10, стр.1                                                                                                                                                                                                                                 ;7469,68;8199,1835;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Якиманка                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;84,3;600
