0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Тип;1_Административный округ;0_moddate;0_moduser
10367;пл. Москворечье из центра (на мосту);пл. Москворечье из центра (на мосту);Каширское шоссе (напротив вл. 49);37,68589886;55,64012744;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10369;м. Пролетарская;м. Пролетарская;м. Пролетарская (3-й Крутицкий вал, д.18);37,66341798;55,73119665;0;;;;;автоматизированный;ЦАО;12:00:00 AM; 
10371;м. Пражская в центр;м. Пражская в центр;ул. Красного Маяка, (вл. 2);37,60303965;55,61023551;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10374;м. Тульская сев. вых.;м. Тульская сев. вых.;ул. Б. Тульская, вл. 2 (м-н 12 месяцев);37,62201079;55,71035788;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10375;м. Тульская сев. вых.;м. Тульская сев. вых.;ул. Б. Тульская, вл. 9;37,62157542;55,71020223;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10376;м. Ясенево, конечная Бутовских авт.;м. Ясенево, конечная Бутовских авт.;между ул.Тарусской и ул. Ясногорской;37,53524165;55,60660012;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10379;м. Южная, сев.-вост. вых.;м. Южная, сев.-вост. вых.;ул. Кировоградская (д. 9, стр. 2);37,60814346;55,62090041;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10382;м. Коломенская;м. Коломенская;Пр-т Андропова, вл. 30;37,66388541;55,68004791;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10248;ул. Изваринская;ул. Изваринская;Боровское ш., Изварино;37,25857364;55,61161247;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10249;м. Юго-Западная;м. Юго-Западная;Пр-т Вернадского, вл. 84 (южн. вых.);37,48136165;55,66307755;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10250;м. Юго-Западная сев. вых. ;м. Юго-Западная сев. вых. ;Пр-т Вернадского, вл. 105, к. 3;37,48385892;55,66412633;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10251;м. Юго-Западная площадь ;м. Юго-Западная площадь ;Пр-т Вернадского (вл. 109);37,48206498;55,66212417;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10252;м. Юго-Западная;м. Юго-Западная;Пр-т Вернадского вл. 86 Б;37,48418311;55,6646579;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10253;ул. Пржевальского;ул. Пржевальского;ул. Пржевальского, д. 10;37,4548535;55,68092346;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10254;Гостиница;Гостиница;ул. Центральная, д. 13;37,29351657;55,60784783;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10255;ул. Матвеевская из центра ;ул. Матвеевская из центра ;Аминьевское ш., вл. 13;37,45620182;55,70546079;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10256;ул. Матвеевская;ул. Матвеевская;Аминьевское ш., (напротив вл. 15);37,45602877;55,70642658;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10257;пл. Победы;пл. Победы;пл. Победы, д. 1 (Кутузовский пр-т);37,49422769;55,732104;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10258;пл. Победы, из центра;пл. Победы, из центра;пл. Победы, д. 2;37,49466403;55,73237148;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10259;м-н МЕГА Киностар ;м-н МЕГА Киностар ;г. Химки, м-он № 8, стр. 1, Киностар;37,39769307;55,91159951;0;;;;;неавтоматизированный;Моск. Обл.;12:00:00 AM; 
10260;ул. Герасима Курина автобусный круг;ул. Герасима Курина автобусный круг;ул. Герасима Курина, вл. 44, к.2;37,46037716;55,73081196;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10261;м. Кутузовская;м. Кутузовская;Кутузовский пр-т, вл. 30/32;37,53749867;55,74114674;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10262;м. Молодежная;м. Молодежная;ул. Ельнинская, д. 23;37,41847758;55,74039171;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
