0_OBJECTID;0_UIDNFTN;0_NAME;1_Адрес;0_X;0_Y;1_Число парковочных мест;1_Время работы;1_Иное
37;200;Стоянка легкового такси;ул. Гурьянова, д.2 стр.1;37,72883317;55,69245614;4;Круглосуточно;выход из ст. м. Печатники
38;204;Стоянка легкового такси;Ленинский пр-т, д. 41;37,57929217;55,70653595;3;Круглосуточно;Возле Дома ткани
39;206;Стоянка легкового такси;Дмитрия Донского б-р, д. 5;37,57673041;55,56979378;4;Круглосуточно;Выход в сторону центра
40;211;Стоянка легкового такси;Профсоюзная ул., д. 102;37,52612679;55,64427647;4;Круглосуточно;В заездном кармане
41;226;Стоянка легкового такси;Профсоюзная ул., д. 56;37,554105;55,67103518;4;Круглосуточно;возле ТЦ Панорама
42;228;Стоянка легкового такси;Новоясеневский пр-т, д. 11;37,53514508;55,60636784;3;Круглосуточно;Возле ТЦ Золотой Вавилон
43;229;Стоянка легкового такси;Новоясеневский пр-т, д. 24;37,53042077;55,60654902;4;Круглосуточно;Западный выход ст. метро
44;230;Стоянка легкового такси;Литовский б-р, д. 22;37,53780733;55,61232008;3;Круглосуточно;Возле ТЦ Ясенево
45;232;Стоянка легкового такси;Вавилова ул., д. 8;37,58583375;55,70564219;4;Круглосуточно;Возле м. Ленинский пр-т
46;49;Стоянка легкового такси;Госпитальная ул., д.14/1;37,69626183;55,76715917;4;Круглосуточно;введена в эксплуатацию
47;10;Стоянка легкового такси;Улица Матвеевская, д.2;37,480254;55,705091;4;Круглосуточно;"ТЦ Тук-Тук; около рынка"
48;85;Стоянка легкового такси;Севастопольский пр-т, д. 24Б;37,58604744;55,6708719;4;Круглосуточно;Возле ТЦ Экспострой
49;39;Стоянка у кинотеатра Мечта;Каширское шоссе, 42/1;37,661732;55,647882;4;круглосуточно;Стоянка у конотеатра Мечта
50;42;парковка на терр. м-н Авоська;Мусы Джалиля 2 к.3;37,740895;55,629955;4;9.00-23.00;парковка на терр. м-н Авоська
51;44;Стоянка легкового такси;Интернациональная улица, д.2;37,259143;55,611378;2;Круглосуточно;Боровское ш.(дублер) после пересеч.
52;131;Стоянка легкового такси;Маршала Жукова проспект, 18;37,48773704;55,77574893;3;Круглосуточно;В кармане у магазина Пятерочка
53;142;Стоянка легкового такси;Сходненская ул., д.37;37,43938308;55,8493706;4;Круглосуточно;после ост. ГУП Мосгортранс
54;45;Стоянка легкового такси;ул. Краснодарская, ТЦ Москва;37,77676215;55,67315411;5;Круглосуточно;ТЦ Москва, с ул. Краснодарская
55;238;Стоянка легкового такси;Карачаровское ш., д.15;37,76220465;55,73616902;4;Круглосуточно;введена в эксплуатацию
56;240;Стоянка легкового такси;Госпитальная ул., д.14/1;37,69626183;55,76715917;4;Круглосуточно;введена в эксплуатацию
57;239;Стоянка легкового такси;Энтузиастов ш., д.26;37,71946887;55,75146735;3;Круглосуточно;введена в эксплуатацию
58;25;Стоянка у Каширское ш, 80;Каширское шоссе, 80;37,708993;55,624216;3;круглосуточно;
59;4;Стоянка легкового такси;Молодогвардейская;37,419015;55,733635;3;Круглосуточно;
60;8;Стоянка легкового такси;Наро Фоминская 17;37,384205;55,656521;2;Круглосуточно;
61;12;Стоянка легкового такси;1 я Чоботовская аллея, д.14 А;37,352683;55,655791;5;Круглосуточно;
62;143;Стоянка легкового такси;Маршала Катукова ул., д.25;37,4149007;55,80522201;3;Круглосуточно;
63;54;Стоянка легкового такси;Большая Черкизовская ул., д. 125;37,7430002;55,80131025;6;Круглосуточно;
64;164;Стоянка легкового такси;ул. Трофимова, д.35/20;37,68576237;55,70494609;5;Круглосуточно;
65;168;Стоянка легкового такси;Масловка Нижняя ул., д10;37,578796;55,792234;3;Круглосуточно;
66;14;Стоянка легкового такси;Осенний бульвар;37,408415;55,758533;3;Круглосуточно;
67;16;Стоянка легкового такси;проспект Вернадского, д.14а;37,504789;55,676919;2;Круглосуточно;
68;43;Стоянка у Загородного ш.,1;Загородное ш.,д 1;37,615544;55,699943;4;круглосуточно;СИБИНТЕК
69;180;Стоянка легкового такси;ул. Шарикоподшипниковская,д 13/2;37,67703302;55,7173029;5;Круглосуточно;н-в ул. Шарикоподшипниковская д. 13/2
70;185;Стоянка легкового такси;напр.Ленинградское шоссе, д.36 стр.39;37,558562;55,789979;4;Круглосуточно;вых. из метро, возле Моск. аллеи
71;188;Стоянка легкового такси;Фестивальная. д.2б;37,475951;55,854715;4;Круглосуточно;у ТЦ в составе ТПУ Речной вокзал
72;192;Стоянка легкового такси;Локомотивный пр., 2 стр.б;37,568939;55,839952;5;Круглосуточно;возле вх в метро
73;195;Стоянка легкового такси;Ленинградское шоссе, д.11;37,498192;55,819096;4;Круглосуточно;(дублер)
74;196;Стоянка легкового такси;Площадь Ганецкого, д. 1а;37,497622;55,81997;4;Круглосуточно;выход из ст. метро
75;202;Стоянка легкового такси;Ленинский пр-т, д. 38;37,57330252;55,70452577;3;Круглосуточно;Возле гостиницы Спутник
76;150;Стоянка легкового такси;Строгинский бул., д.30;37,40609254;55,80275556;3;Круглосуточно;выход из метро, восточ. вестибюль
77;209;Стоянка легкового такси;Профсоюзная ул., д. 104;37,52441056;55,64178962;4;Круглосуточно;На парковке у дома
78;224;Стоянка легкового такси;Профсоюзная ул., д. 129А;37,50576884;55,61968336;4;Круглосуточно;На парковке
79;233;Стоянка легкового такси;Новоясеневский пр-т, д. 3А;37,526153;55,609608;4;Круглосуточно;Возле Дом Авто
80;236;Стоянка легкового такси;Рязанский пр-т, д.1;37,73022039;55,73114876;3;Круглосуточно;введена в эксплуатацию
81;31;Стоянка у Варшавского ш,5;Варшавское ш.,5;37,62261;55,701215;3;круглосуточно;на дублере
82;33;Стоянка у Мастеркова 6;Мастеркова ул., д.6;37,657243;55,708412;5;круглосуточно;напротив д. 6
83;109;Стоянка легкового такси;Котельническая наб., 1/15;37,643555;55,748178;4;Круглосуточно;введена в эксплуатацию
84;111;Стоянка легкового такси;Болотная пл.,;37,61584;55,743637;4;Круглосуточно;введена в эксплуатацию
85;116;Стоянка легкового такси;Комсомольская пл., 2;37,655829;55,774751;20;Круглосуточно;НЕвведена в эксплуатацию
86;117;Стоянка легкового такси;Улица Новорязанская, 10;37,657672;55,772334;5;Круглосуточно;введена в эксплуатацию
87;119;Стоянка легкового такси;Пл. Курского вокзала;37,660086;55,75712;20;Круглосуточно;введена в эксплуатацию
88;127;Стоянка легкового такси;Улица Волхонка, 13;37,606289;55,746095;5;Круглосуточно;введена в эксплуатацию
89;128;Стоянка легкового такси;Улица Красная Пресня, 4;37,57595;55,761123;2;Круглосуточно;введена в эксплуатацию
90;123;Стоянка легкового такси;Театральный пр-д, 1/6;37,620762;55,759155;4;Круглосуточно;введена в эксплуатацию
91;24;Стоянка у Домодедовской 28;Домодедовская, 28;37,711885;55,604554;4;круглосуточно;в заездном кармане
92;23;Стоянка у музея Царицино;Тюрина, д.4;37,672848;55,618497;4;круглосуточно;заездной карман перед КПП 13
93;29;Стоянка у ТЦ Южный;Кировоградская д.9, к.4;37,610148;55,621966;4;круглосуточно;У ТЦ Южный
94;6;Стоянка легкового такси;Улица Шолохова, д.15а;37,345909;55,64201;3;Круглосуточно;перед перекрестком с ул. Мухиной
95;104;Стоянка легкового такси;Улица Арбат, 1;37,60046;55,75216;3;Круглосуточно;НЕвведена в эксплуатацию
96;106;Стоянка легкового такси;Цветной б-р, 15;37,620907;55,771101;4;Круглосуточно;введена в эксплуатацию
97;36;Стоянка у музея Коломенское;Пр-кт Адропова 39;37,665187;55,672055;4;10.00-18.00;у входа в музей-заповедник
98;120;Стоянка легкового такси;Пл. Тверская Застава;37,660086;55,75712;10;Круглосуточно;НЕвведена в эксплуатацию
99;126;Стоянка легкового такси;Улица Серафимовича, 2 корп. 10;37,610781;55,74499;2;Круглосуточно;введена в эксплуатацию
100;144;Стоянка легкового такси;Свободы ул., д.71;37,4493836;55,86027442;3;Круглосуточно;у входа в парк Сев. Тушино
101;147;Стоянка легкового такси;Митинская ул., д.36, корп.1;37,36157649;55,84704922;4;Круглосуточно;перед ост. метро Митино ТЦ Ковчег
102;148;Стоянка легкового такси;Дубравная ул., 34/29;37,35924335;55,84603569;4;Круглосуточно;перед ост. метро Митино ТЦ Ладья
103;149;Стоянка легкового такси;Строгинский бул., д.9;37,40059679;55,80453211;4;Круглосуточно;выход из метро, западный вестибюль
104;151;Стоянка легкового такси;Родионовская ул., д.3;37,39810359;55,89391685;3;Круглосуточно;в заездном кармане напротив д.10
105;161;Стоянка легкового такси;Тихорецкий б-р, д. 1;37,77913276;55,67483435;40;5.00-20.00;ТЦ Москва, со стор. Тихорецкого б-ра
106;21;Стоянка у ТЦ;Ореховый бул,24, к.1;37,744686;55,61382;4;круглосуточно;На территории перехват. парковки
107;7;Стоянка легкового такси;Сколковское шоссе, д.31;37,402836;55,705789;2;Круглосуточно;Напротив ТЦ Спортхит
