0_Код;1_Наименование;0_Код ОМК ТЕ;1_Сокращенная текстовая запись фактического адреса объекта учета;1_Телефон;1_Дата открытия;1_WEB-страница, содержащая сведения о государственных услугах;1_Наименование дополнительной услуги;1_WEB-страница, содержащая сведения о графике работы;1_ФИО руководителя;1_Площадь МФЦ;1_Количество «окон»
0050;межрайонный МФЦ районов Старое Крюково и Силино;1101;Зеленоград, корп.828;(499) 940 17 77;;;;;Тихолаз Виталий Юрьевич;1013;34
0056;МФЦ района Ново-Переделкино;0811;ул.Новопеределкинская, 12А;(499) 940 45 28;03.06.2013;http://pgu.mos.ru/ru/services/#mfc;Доступ к сети Интернет;http://pgu.mos.ru/ru/mfc/;Пащенко Марина Николаевна;751,8;32
0009;МФЦ района Новогиреево;0411;ул. Алексея Дикого, д. 3;(499) 940-92-91;22.10.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Цветкова Людмила Леонидовна;1300;41
0007;МФЦ района Измайлово;0408;10-я Парковая ул., д. 20;(499) 940-02-75;30.01.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы";http://pgu.mos.ru/ru/mfc/;Колчерина Светлана Юрьевна;1654;49
0016;МФЦ района Нагорный;0615;Варшавское шоссе, д.47, корп. 4;(499) 940-43-65;20.02.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы";http://pgu.mos.ru/ru/mfc/;Некрасова Надежда Александровна;1589;47
0010;МФЦ района Лефортово;0507;пр. Завода Серп и Молот, д. 10;(495) 531-09-20;22.08.2011;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Галайда Светлана Валерьевна;2152;46
0028;МФЦ района Текстильщики;0514;Волжский бульвар, квартал 95, корп.2;(499) 940 32 30;03.12.2012;http://pgu.mos.ru/ru/services/#mfc;Фото- и копировальные услуги, доступ к сети Интернет;http://pgu.mos.ru/ru/mfc/;Зацепина Ольга Владимировна;1230;41
0022;МФЦ района Фили-Давыдково;0819;Кременчугская ул., д. 9;(499) 940-96-78;08.10.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Хрол Людмила Леонидовна;1271;35
0037;МФЦ района Солнцево;0816;ул.Домостроительная, д.2а;(499) 940 32 70;24.12.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Реймер Ирина Викторовна;790;32
0017;МФЦ района Нагатино-Садовники;0613;Варшавское шоссе, д.47, корп. 4;(499) 940-43-74;27.02.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы";http://pgu.mos.ru/ru/mfc/;И.О. Клинов Михаил Александрович;1240;38
