№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
46	Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр "Парк"Новослободский"	127055 г. Москва, ул. Новослободская, дом.58/12, стр.6,9,23	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	972-68-73	http://novoslobodskiy.ru
47	Государственное бюджетное образовательное учреждение города Москвы детская школа искусств "Аккорд"	117463, г. Москва, Новоясеневский проспект, д.32, к.2	Бюджетное	Образовательное учреждение дополнительного образования детей	Школа	422-87-83	http://sch-acord.ru
48	Государственное бюджетное образовательное учреждение города Москвы центр диагностики и консультирования "Теплый Стан"	117465, г.Москва, улица Теплый Стан, дом 13, корпус 3	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр диагностики и консультирования	(495)424-04-33,(495) 424 04 33	http://www.centertepliystan.narod.ru
49	Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей	127254, г.Москва, Гончарова, дом 15 А	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	618-89-01	http://center-detey.ru/
50	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Орленок"	124482 г. Москва, Зеленоград, корп. 359	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 736-24-44	http://orlenok.zouo.ru
51	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Тушино"	125480, г. Москва, улица Вилиса Лациса, дом 23, корпус 3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	494-05-65	http://cddtu.mskobr.ru
52	Государственное бюджетное образовательное учреждение города Москвы дом детского творчества "Парк "Усадьба Трубецких в Хамовниках""	119048 г. Москва, ул. Савельева, д.5	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом	(495) 637-00-48	http://park_hamovniki.vsevteme.ru
53	Государственное бюджетное образовательное учреждение города Москвы детская школа искусств	127642, г. Москва, проезд Дежнева, дом 8, корп.1	Бюджетное	Образовательное учреждение дополнительного образования детей	Детская школа искусств	477-11-44	http://shcool-of-arts.ucoz.ru
54	Государственное бюджетное образовательное учреждение города Москвы  детская музыкально-хоровая школа "Радость"	125008 Михалковская улица, д. 22	Бюджетное	Образовательное учреждение дополнительного образования детей	Школа	154-35-20	http://radost-moscow.ru/
55	Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 24	105484, г. Москва,  ул. 16-я Парковая,  д. 20 строение 1	Автономное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 461-52-19	http://k24.mskcollege.ru/
56	Государственное бюджетное образовательное учреждение города Москвы  центр творческого развития и гуманитарного образования "Поликультурный центр"	125040 Правды улица, д. 3а	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	614-01-18	http://www.kuldeti.ru
57	Государственное бюджетное образовательное учреждение города Москвы центр творческого развития и гуманитарного образования "Экономика-культура-образование"	115088 Новоостаповская улица, 10, стр.1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	674-46-11	http://www.goeko.ru
58	Государственное бюджетное образовательное учреждение города Москвы Центр дополнительного образования детей "Дистантное обучение"	119421 Новаторов улица, 34-2	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр дополнительного образование детей	(495) 936-31-04	http://www.desc.ru
59	Государственное бюджетное образовательное учреждение города Москвы Московский центральный дворец творчества детей и молодежи	119180 г.Москва, ул. Александра Невского, д. 4, стр. 1.	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	250-29-09	http://miussy.ru
60	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Ново-Переделкино"	119634 Чоботовская улица, 5 к. 1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	731-99-34	http://cdt-np.mskzapad.ru
