0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
28;POINT (4170768.0524000004 7503633.950199999);4851.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции """"Давыдково""""";"ГБОУ ЦППРиК """"Давыдково""""";121352 г.Москва, Славянский бульвар, д. 11, корпус 3;-1984.857675;6325.59858911;2127015.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;445-07-49;http://davidkovo.mskzapad.ru
29;POINT (4192254.392499998 7535469.0923999995);5915.0;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 14;ГБОУ СПО Педагогический колледж № 14;127282, г. Москва, ул. Грекова, д. 3 к. 1;10102.5372;24231.4506133;2114141.0;;;;;Бюджетное;Образовательное учреждение среднего профессионального образования;Колледж;"(499) 478-33-75; (499) 478-38-98; (499) 478-33-75; (499) 478-09-22; (499) 478-91-40; (499) 478-21-62; (499) 479-89-33; (499) 478-02-49";http://pk14.mskcollege.ru
30;POINT (4183737.5720000006 7491725.072499998);6196.0;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 750;ГБОУ детский сад № 750;117209, г. Москва, Болотниковская ул., дом 52А;5344.02875;-384.88062839;2108405.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад комбинированного вида;(499) 121-54-10;http://detsad750.ru
31;POINT (4176879.175900001 7480518.9542);6213.0;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 983;ГБОУ детский сад № 983;117574, Москва, Новоясеневский проспект, дом 16, корпус 3;1468.588475;-6714.03337676;2108101.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад компенсирующего вида;422-01-88;http://www.sad983.ru
32;POINT (4178606.705499999 7482375.623400003);6228.0;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1209;ГБОУ детский сад № 1209;117593, г.Москва, улица Айвазовского, дом 6, корпус 2;2446.097775;-5664.84294615;2108127.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад комбинированного вида;425-33-33;http://ds1209.ru
33;POINT (4182125.1743 7492306.4309);6237.0;Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1279;ГБОУ детский сад №1279;117418, г. Москва, улица Цюрупы, дом 15, корпус 1;4432.1547;-57.91696854;2108388.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей;332-62-83;http://ds1279.ru
34;POINT (4177008.6306000017 7466196.840499997);6308.0;Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2345;ГБОУ детский сад № 2345;117042, г.Москва, ул. Южнобутовская, дом № 89;1544.43245;-14812.6559239;3000146.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей;715-27-36;http://sad2345.ru и сад2345.рф
35;POINT (4166350.471900001 7531086.772699997);6747.0;"Государственное бюджетное образовательное учреждение города Москвы Центр детского творчества """"Дебют""""";"ГБОУ ЦДТ """"Дебют""""";125480, г. Москва, ул. Вилиса Лациса, д. 11, корп. 2;-4461.99635;21763.5109765;2113827.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;(495) 494-64-76;http://www.choir-debut.ru/
36;POINT (4185203.4065000005 7538356.355099998);7126.0;"Государственное бюджетное образовательное учреждение города Москвы центр детского и юношеского творчества """"Бибирево""""";"ГБОУ ЦДЮТ """"Бибирево""""";127349, г.Москва, улица Лескова, д.7;6136.58905;25843.5114931;2114138.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Детско-юношеский центр;"(499) 747-89-27; (499) 747-89-25; (499) 747-89-26";http//cdutbibirevo.ru
37;POINT (4191701.4538000003 7529625.446699999);7138.0;"Государственное бюджетное образовательное учреждение города Москвы центр эстетического воспитания детей """"Иверия""""";"ГБОУ ЦВЭД """"Иверия""""";129323, г. Москва, ул.Снежная,д.28;9798.989975;20951.4565237;63482.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр эстетического воспитания детей;"(499) 180-43-16; (499) 180-96-16; (495) 656-55-29";http://iveria-center.ru
38;POINT (4165619.160500001 7527040.425300002);6758.0;"Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы """"Синяя птица""""";"ГБОУ ЦВР """"Синяя птица""""";125459, г. Москва, проезд Донелайтиса, д. 20;-4875.97663046;19492.2485919;6933.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр внешкольной работы;(495) 492-01-90;
39;POINT (4174351.3993999995 7492511.620499998);6881.0;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида №486;ГБОУ СКОШ № 486;109004 г.Москва, Товарищеский пер., д.3-5, стр.1;37.658527;55.741747999999994;0.0;;;;;Казенное;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья;Специальная (коррекционная) общеобразовательная школа;(495) 911-33-59;http://myschool486.narod.ru
40;POINT (4180932.850200001 7498837.1994);6935.0;"Государственное бюджетное образовательное учреждение города Москвы центр социально-трудовой адаптации и профориентации """"Гагаринский""""";"ГБОУ ЦСТАиПО """"Гагаринский""""";119333, город Москва, ул. Фотиевой, дом 14, корп. 2;3755.10421725;3623.86127489;2101091.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр социально-трудовой адаптации и профориентации;137-63-12;http://www.psykonvoy.ru/
41;POINT (4209849.4175 7521744.1677);7398.0;Государственное бюджетное образовательное  учреждение города Москвы детский сад общеразвивающего вида № 1289;ГБОУ детский сад № 1289;107497, г. Москва, ул. Байкальская, д. 46 А;20028.8261;16559.5100136;2600002.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей;"(495) 467-99-38; (495) 467-99-38";http://detsad1289.narod2.ru
42;POINT (4193471.1407000013 7533259.958400004);7987.0;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1744;ГБОУ детский сад № 1744;129281, город Москва, Староватутинский проезд, дом 9;10789.57135;22993.6599964;2119111.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад комбинированного вида;"(499) 185-77-31; (499) 185-81-46; (499) 185-81-75";http://dskv1744.mskobr.ru
43;POINT (4192138.034000002 7535650.958300002);8068.0;Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 758;ГБОУ ЦРР-детский сад № 758;127282, город  Москва, Заревый проезд, дом 8, корпус 2;10036.8937469;24333.3194926;2118721.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Центр развития ребенка – детский сад;"(499) 472-91-64; (499) 472-93-12";http://www.crrds1767.mskobr.ru
44;POINT (4174351.328899998 7492511.753300004);7137.0;"Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества """"Останкино""""";"ГБОУ ЦРТДиЮ """"Останкино""""";129075, г. Москва, ул. Новомосковская, д. 10/16, стр. 1.;37.618556999999996;55.816699;2126068.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр развития творчества детей и юношества;602-21-58;
45;POINT (4210998.494199999 7523083.661200002);7229.0;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 865;ГБОУ детский сад № 865;107589 город Москва, Хабаровская улица, дом 12;20672.3702;17315.1835912;2115254.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад компенсирующего вида;"(495) 467-59-10; (495) 467-12-44";http://ds865.narod.ru
46;POINT (4180875.605700001 7491860.804700002);6952.0;"Государственное бюджетное образовательное учреждение города Москвы детская школа искусств """"Юность""""";"ГБОУ ДШИ """"Юность""""";117420, г. Москва, ул. Новочеремушкинская, д.64, корп.3;3725.98115;-309.93022169;2108499.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Школа;331-41-66;http://unost.mosuzedu.ru
