0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;1_Подчинен
6651;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551                                                                                                                                                                            ;ГБОУ гимназия № 1551                                                                                                                                                                                                                                          ;123364, г. Москва, ул. Свободы, д. 42, корп. 2                                                                                                                                                                                                                ;-2596,59509;20014,49995;3301736;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;492-95-75                                                                                                                                                                                                                                                     ;http://www.ds270.mskobr.ru                                                                                                                                                                                                                                    ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
7106;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1572                                                                                                                                                                            ;ГБОУ гимназия № 1572                                                                                                                                                                                                                                          ;127018, г.Москва, Октябрьский пер.,д.11                                                                                                                                                                                                                       ;7028,86535;13326,81491;2114109;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;681-67-58                                                                                                                                                                                                                                                     ;http://www.gum1572.svao.mskobr.ru                                                                                                                                                                                                                             ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7377;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1786                                                                                                                                                                            ;ГБОУ Гимназия № 1786                                                                                                                                                                                                                                          ;117041, г.Москва, ул. Адмирала Лазарева, д. 77                                                                                                                                                                                                                ;-139,649675;-14755,76645;2901287;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(499) 793-77-09                                                                                                                                                                                                                                               ;http://gim1786.ru/                                                                                                                                                                                                                                            ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
7589;Государственное бюджетное образовательное учреждение города Москвы гимназия № 625                                                                                                                                                                             ;ГБОУ гимназия № 625                                                                                                                                                                                                                                           ;117449, г. Москва, ул. Шверника, д. 17, корп. 2                                                                                                                                                                                                               ;5979,463;2779,906271;2108431;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;126-45-06                                                                                                                                                                                                                                                     ;http://g625.edusite.ru                                                                                                                                                                                                                                        ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
2550;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1552                                                                                                                                                                            ;ГБОУ гимназия № 1552                                                                                                                                                                                                                                          ;115580 г. Москва, ул. М.Джалиля, д. 25                                                                                                                                                                                                                        ;15666,03525;-5250,128201;3800894;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;396-32-19                                                                                                                                                                                                                                                     ;http://sch1552.edusite.ru                                                                                                                                                                                                                                     ;Южное окружное управление образования                                                                                                                                                                                                                         
5446;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306                                                                                                                                                                            ;ГБОУ гимназия № 1306                                                                                                                                                                                                                                          ;119607 Мичуринский проспект, д. 15,к.2                                                                                                                                                                                                                        ;683,92595;3447,71445;3101697;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;932-89-42                                                                                                                                                                                                                                                     ;http://www.gymnasium1306.ru                                                                                                                                                                                                                                   ;Западное окружное управление образования                                                                                                                                                                                                                      
5500;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1582                                                                                                                                                                            ;ГБОУ Гимназия № 1582                                                                                                                                                                                                                                          ;117587 г. Москва,ул. Кировоградская,д.18,к.4                                                                                                                                                                                                                  ;6496,91815;-5462,041;2107429;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;311-82-72                                                                                                                                                                                                                                                     ;http://sch1582.edusite.ru/                                                                                                                                                                                                                                    ;Южное окружное управление образования                                                                                                                                                                                                                         
8522;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1531 ""Лингвистическая""                                                                                                                                                          ";"ГБОУ гимназия № 1531 ""Лингвистическая""                                                                                                                                                                                                                        ";129085 Годовикова улица, д. 4, стр.5                                                                                                                                                                                                                          ;8475,489;15255,13572;2307139;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(495) 687-01-07                                                                                                                                                                                                                                               ;http://www.pgym1756.mskobr.ru                                                                                                                                                                                                                                 ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
9313;Государственное бюджетное образовательное учреждение города Москвы гимназия №1272                                                                                                                                                                             ;ГБОУ гимназия № 1272                                                                                                                                                                                                                                          ;115280,г. Москва,1-й Кожуховский пр. д.17                                                                                                                                                                                                                     ;10411,52608;4587,168793;2124462;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;710-36-43                                                                                                                                                                                                                                                     ;http://dou131.ru                                                                                                                                                                                                                                              ;Южное окружное управление образования                                                                                                                                                                                                                         
8557;Государственное бюджетное образовательное учреждение города Москвы гимназия № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских                                                                            ;ГБОУ гимназия № 201                                                                                                                                                                                                                                           ;125130 Зои и Александра Космодемьянских улица, 3, к.1                                                                                                                                                                                                         ;380,1047035;17187,57596;3402231;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;"(495) 450-95-37; (499) 159-92-65                                                                                                                                                                                                                              ";http://www.gimnazia-201.ru/                                                                                                                                                                                                                                   ;Северное окружное управление образования                                                                                                                                                                                                                      
9615;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 ""Вертикаль""                                                                                                                                                                 ";"ГБОУ ЦО №1748 ""Вертикаль""                                                                                                                                                                                                                                     ";105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3                                                                                                                                                                                                          ;20669,30037;15398,30205;2132252;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;"(499) 461-75-73; (499) 461-82-07                                                                                                                                                                                                                              ";http://schn381.mskobr.ru/                                                                                                                                                                                                                                     ;Восточное окружное управление образования                                                                                                                                                                                                                     
5474;Государственное бюджетное образовательное учреждение города Москвы Гимназия №1518                                                                                                                                                                             ;ГБОУ гимназия № 1518                                                                                                                                                                                                                                          ;129085, г. Москва, проспект Мира, д. 87                                                                                                                                                                                                                       ;37,63459;55,803572;14506;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(495) 687-66-66                                                                                                                                                                                                                                               ;http://gum1518.svao.mskobr.ru                                                                                                                                                                                                                                 ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
5994;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1536                                                                                                                                                                            ;ГБОУ гимназия № 1536                                                                                                                                                                                                                                          ;117261, г.Москва, Ленинский проспект, дом 83 А                                                                                                                                                                                                                ;37,539277;55,680066;12913;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;134-34-12                                                                                                                                                                                                                                                     ;http://gymnasium1536.ru                                                                                                                                                                                                                                       ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
