0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
11;POINT (4210987.733899999 7502692.5669);7276.0;Государственное бюджетное образовательное учреждение города Москвы Прогимназия № 1753;ГБОУ прогимназия № 1753;111538  г.Москва, ул. Молдогуловой , д. 30 Б;20720.4535028;5843.26680727;2122331.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;375-70-17;http://sch1753.mskobr.ru/
12;POINT (4198982.682300001 7494944.969899997);6919.0;Государственное бюджетное образовательное учреждение города Москвы  прогимназия № 1893;ГБОУ прогимназия № 1893;109388, г. Москва, ул. Гурьянова, д. 59;13956.9557205;1449.90990025;2129691.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;354-90-06;http://pgymuv1893.mskobr.ru/
13;POINT (4189922.0687999986 7529194.252899997);8087.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1779;ГБОУ прогимназия № 1779;129323, г. Москва, ул. Седова, д.12;8798.43305;20707.2758737;2125331.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;"(499) 180-43-90; (499) 180-01-96";http://www.pgym1779.svao.mskobr.ru
14;POINT (4182934.5944 7539455.802500002);8089.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1819;ГБОУ прогимназия № 1819;127572, г. Москва, ул. Абрамцевская, д. 24, корп. 2;4860.98266968;26458.4149314;49.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;(499) 200-73-44;http://www.pgym1819.svao.mskobr.ru
15;POINT (4164263.8332 7487548.4152000025);855.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1728;ГБОУ прогимназия № 1728;119620 г.Москва, ул. Авиаторов, д.28;-5668.40820371;-2740.87836799;4101074.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;(499) 727-74-52;http://pgym1728.mskzapad.ru
16;POINT (4172876.5029000007 7489776.582999997);853.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1723;ГБОУ прогимназия № 1723;119571 г.Москва, Ленинский проспект, д. 156, корпус 2;-796.41443189;-1487.18915177;2111662.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;428-45-01;http://www.pro1723.ru
17;POINT (4174351.1391000003 7492511.758500002);8542.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1774;ГБОУ прогимназия № 1774;125130, г. Москва, 3-ий Новоподмосковный переулок, дом 7, строение 1;37.511327;55.819576999999995;2112044.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;159-30-66;http://1774.ru/
18;POINT (4177865.1625000015 7533422.166199997);8540.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1661;ГБОУ прогимназия № 1661;127486, г. Москва, Коровинское шоссе, дом 14-а;2014.113;23072.046215;2110359.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;905-41-64;http://www.pgym1661.mskobr.ru
19;POINT (4174964.0612000003 7493555.283299997);856.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1754;ГБОУ прогимназия № 1754;119415 г.Москва, Проспект Вернадского, д. 55;383.956;644.40894463;2117002.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;431-50-58;http://pgym1754.mskzapad.ru
20;POINT (4181989.7520999983 7531883.237499997);8544.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1826;ГБОУ прогимназия № 1826;127540 г. Москва, улица Дубнинская, дом 14 Б;4334.2002;22210.0633308;3501046.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;(499) 219-32-22;http://pgym1826.mskobr.ru
21;POINT (4162864.6246999986 7535876.2026999965);5554.0;"Негосударственное образовательное учреждение Прогимназия ""Белоснежка""";НОУ Прогимназия Белоснежка;125466 Куркинское шоссе, дом 42 корпус 3;-6418.59605292;24453.4214072;3303215.0;;;;;Негосударственное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;(495) 744-15-52;
22;POINT (4168051.3847000003 7503738.156499997);4411.0;Автономная некоммерческая организация ПРОГИМНАЗИЯ «ГАРМОНИЯ»;"Некоммерческое партнерство Центр развития личности дошкольника ""Гармония""";121374 Ращупкина улица, д.3 кор.2;-3518.28885;6385.31995;2126457.0;;;;;Автономное;Дошкольное образовательное учреждение;Прогимназия;(495) 440-19-92;
23;POINT (4209264.817899998 7500107.322800003);6915.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1882;ГБОУ прогимназия № 1882;109444 Ферганская улица, д. 16, к. 3;19754.3492145;4382.19397657;2128931.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;376-42-11;http://progimnazia1882.ucoz.ru
24;POINT (4175007.5581 7518068.536899999);8541.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1672;ГБОУ прогимназия № 1672;125252,  г. Москва, улица Алабяна, дом 15;407.76535;14448.0551902;340.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;(499) 198-77-15;http://pgym1672.mskobr.ru/
