1_Протокол;1_Статья;1_Категория нарушения;1_Адреса проверок;1_Административный округ;1_Район;1_Наименование нарушителя;1_ИНН;1_Предписание;1_Устранить до
9093931 от 13.03.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, ул. Лавочкина, вл.7А, стр.1;Северный;Левобережный;Магомедова Расифет Наврузовна;;9093931 от 13.03.12;10.май
9076773 от 12.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Маршала Неделина, д.30, корп.1;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве.;7731139836;9076773 от 12.03.12;12.сен
9076767 от 12.03.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Кубинка, д.3, стр.5;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве.;7731139836;9076767 от 12.03.12;06.июн
9003125/4 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Красный Казанец, вл.18Б;Восточный;Вешняки;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9003125/4 от 12.03.12;12.июл
9093957 от 06.03.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, 2-й Лихачевский пер., напротив вл. 7;Северный;Головинский;"Закрытое акционерное общество ""Вторсырьепереработка""";7719171417;9093957 от 06.03.12;03.май
9016782 от 05.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Гвоздева, д.7/4, стр.1;Центральный;Таганский;"Открытое акционерное общество ""Сбербанк России""";7707083893;9016782 от 05.03.12;05.июл
9020383 от 06.03.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Декабристов, вл.10;Северо-Восточный;Отрадное;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020383 от 06.03.12;06.июн
9020384 от 06.03.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, пр. Дежнева, вл.32;Северо-Восточный;Южное Медведково;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020384 от 06.03.12;06.июн
9040153/5п от 07.03.12;Ст.9.7 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Люблинская, д.7/2, корп.1;Юго-Восточный;Текстильщики;"Общество с ограниченной ответственностью ""Совика""";7723013540;9040153/5п от 07.03.12;07.сен
9003193/2 от 06.03.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, Волжский Бульвар квартал 113А, корп.1;Юго-Восточный;Кузьминки;"Общество с ограниченной ответственностью ""Инвестиционно Строительная Инжиниринговая Компания Плюс""";7709430447;9003193/2 от 06.03.12;06.авг
9003193 от 06.03.12;Ст.9.10 п.2;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Юных Ленинцев, д.28, корп.2;Юго-Восточный;Кузьминки;"Общество с ограниченной ответственностью ""Инвестиционно Строительная Инжиниринговая Компания Плюс""";7709430447;9003193 от 06.03.12;06.авг
9076959 от 07.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Ярцевская ул., вл.34;Западный;Кунцево;"Общество с ограниченной ответственностью ""КОНТО""";7718853181;9076959 от 07.03.12;07.июн
9076958 от 07.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, бульв. Осенний, вл.18, корп.1;Западный;Крылатское;"Общество с ограниченной ответственностью ""ЭТЕЛЬ ЛЮКС""";7714262251;9076958 от 07.03.12;07.июн
9066164 от 06.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Горчакова, микрорайон А-1 Южное Бутово;Юго-Западный;Южное Бутово;"Общество с ограниченной ответственностью ""АККОР""";7704271070;9066164 от 06.03.12;06.сен
9016833 от 06.03.12;Ст.6.4;правонарушения в области землепользования;г. Москва, пер. Малый Знаменский, вл.3-5/3/6;Центральный;Хамовники;"Общество с ограниченной ответственностью ""Внешпром""";7704216739;9016833 от 06.03.12;06.июн
9016720/17к от 06.03.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, наб. Саввинская, д.19, стр.1A;Центральный;Хамовники;"Общество с ограниченной ответственностью ""ГЕРИРУД""";7731022404;9016720/17к от 06.03.12;06.июл
9016823 от 06.03.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Большая Ордынка, д.13/9, стр.1;Центральный;Замоскворечье;"Общество с ограниченной ответственностью ""Волмеш""";7705041873;9016823 от 06.03.12;06.июл
9020366 от 05.03.12;Ст.6.5 п.1;правонарушения в области землепользования;"г. Москва, ул. Тайнинская, ост. ""ул. Тайнинская""";Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью Компания ""Бизнестехнологии""";7709552124;9020366 от 05.03.12;05.июн
9084588 от 06.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Свободы, вл.45;Северо-Западный;Южное Тушино;"Общество с ограниченной ответственностью  ""Кентавр""";7733579180;9084588 от 06.03.12;06.июн
9020382 от 06.03.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Декабристов, вл.1;Северо-Восточный;Отрадное;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020382 от 06.03.12;06.июн
9066257 от 06.03.12;Ст.6.11;правонарушения в области землепользования;г. Москва, ул. Дмитрия Ульянова, вл.32-34;Юго-Западный;Академический;"Общество с ограниченной ответственностью ""Властелин""";7721639364;9066257 от 06.03.12;08.июн
