1_Протокол;1_Статья;1_Категория нарушения;1_Адреса проверок;1_Административный округ;1_Район;1_Наименование нарушителя;1_ИНН;1_Предписание;1_Устранить до
9031067/  от 07.08.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Полимерная, вл.8;Восточный;Новогиреево;"Открытое акционерное общество ""УЗОРЫ""";7720103549;9031067/  от 07.08.12;07.окт
9030437/  от 10.04.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Полимерная, вл.8;Восточный;Новогиреево;"Открытое акционерное общество ""УЗОРЫ""";7720103549;9030437/  от 10.04.12;10.июл
9051697/4к от 26.10.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Варшавское ш., вл.122;Южный;Чертаново Северное;"Общество с ограниченной ответственностью ""Монолитблокстрой""";7727200823;9051697/4к от 26.10.12;25.дек
9050737/3к от 23.05.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Варшавское ш., вл.122;Южный;Чертаново Северное;"Общество с ограниченной ответственностью ""Монолитблокстрой""";7727200823;9050737/3к от 23.05.12;23.сен
9050033/к от 01.02.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Варшавское ш., вл.28А;Южный;Нагорный;"Потребительский автостояночный кооператив ""Лыжник""";7726328651;9050033/к от 01.02.12;01.май
9086100/к от 28.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Живописная, вл.3, корп.1;Северо-Западный;Хорошево-Мневники;"Товарищество собственников жилья ""Кондоминиум Хорошевская Горка""";7734243497;9086100/к от 28.11.12;28.дек
9020436 от 21.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Изумрудная, вл.63;Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020436 от 21.03.12;21.июн
9021742 от 10.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Шереметьевская, вл.27;Северо-Восточный;Марьина Роща;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021742 от 10.10.12;10.янв
9020433 от 16.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Шереметьевская, вл.20;Северо-Восточный;Марьина Роща;"Общество с ограниченной ответственностью ""ИНФО КОМФОРТ""";7723203301;9020433 от 16.03.12;16.июн
9020432 от 16.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Шереметьевская, вл.8;Северо-Восточный;Марьина Роща;"Общество с ограниченной ответственностью ""ПРАЙМ КОНСАЛТ""";7725238412;9020432 от 16.03.12;16.июн
9021741 от 10.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Изумрудная, вл.63;Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021741 от 10.10.12;10.янв
9021128 от 05.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Изумрудная, вл.63;Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021128 от 05.07.12;05.окт
9003183 от 22.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Малая Пироговская, вл.8;Центральный;Хамовники;"Открытое акционерное общество ""Московская шелкокрутильная фабрика ""Моснитки""";7704037828;9003183 от 22.03.12;25.июн
9020437 от 21.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Шереметьевская, вл.27;Северо-Восточный;Марьина Роща;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020437 от 21.03.12;21.июн
9021129 от 05.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Шереметьевская, вл.27;Северо-Восточный;Марьина Роща;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021129 от 05.07.12;05.окт
9017842 от 03.09.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Воронцовская, д.21, стр.1;Центральный;Таганский;"Общество с ограниченной ответственностью ""ДСМ МАШИНЕРИ""";7705955563;9017842 от 03.09.12;17.окт
9018365 от 09.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Садовая-Самотечная ул., вл.7;Центральный;Тверской;"Общество с ограниченной ответственностью ""АЙРОНИ""";7705363101;9018365 от 09.11.12;10.янв
9017857/к от 17.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. 1-й Колобовский, вл.11;Центральный;Тверской;"Общество с ограниченной ответственностью ""Гетон""";7707636322;9017857/к от 17.08.12;01.окт
9017845 от 03.09.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Воронцовская, д.21, стр.1;Центральный;Таганский;"Общество с ограниченной ответственностью ""Тридцать три додо""";7725663008;9017845 от 03.09.12;17.окт
9017854/к от 29.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Садовая-Самотечная ул., вл.7;Центральный;Тверской;"Общество с ограниченной ответственностью ""АЙРОНИ""";7705363101;9017854/к от 29.08.12;12.окт
9078047/к2 от 07.09.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Витебская, вл.3а;Западный;Можайский;"Закрытое акционерное общество ""БИЗНЕС-ЦЕНТР ПЛЮС""";7730175944;9078047/к2 от 07.09.12;29.окт
9041155/к от 10.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Перерва, вл.40;Юго-Восточный;Марьино;Индивидуальный предприниматель Савельева Светлана Андреевна;7,71E+11;9041155/к от 10.07.12;10.сен
9041155/к1 от 10.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Белореченская, вл.49;Юго-Восточный;Марьино;Индивидуальный предприниматель Савельева Светлана Андреевна;7,71E+11;9041155/к1 от 10.07.12;10.сен
9040696/3к от 26.04.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, бульв. Мячковский, вл.1;Юго-Восточный;Марьино;"Товарищество собственников жилья ""Наш дом""";7723365503;9040696/3к от 26.04.12;27.авг
9017866/2к от 21.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, наб. Шелепихинская, вл.20, корп.1;Центральный;Пресненский;"Общество с ограниченной ответственностью ""Снежинка-С""";7728175457;9017866/2к от 21.08.12;04.окт
9003147/к от 19.03.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Большая Тульская ул., д.19;Южный;Даниловский;"Общество с ограниченной ответственностью ""Столичные парковки""";7703646591;9003147/к от 19.03.12;19.июн
9017064/к от 18.04.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, наб. Шелепихинская, вл.20, корп.1;Центральный;Пресненский;"Общество с ограниченной ответственностью ""Снежинка-С""";7728175457;9017064/к от 18.04.12;18.авг
9018238/3к от 31.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, наб. Шелепихинская, вл.20, корп.1;Центральный;Пресненский;"Общество с ограниченной ответственностью ""Снежинка-С""";7728175457;9018238/3к от 31.10.12;10.дек
9050146/7к2 от 10.02.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, МКАД, 25-26 км;Южный;Бирюлево Восточное;"Общество с ограниченной ответственностью ""Эмерал""";7703217521;9050146/7к2 от 10.02.12;04.июн
9040852/5к от 08.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Гурьянова, вл.7;Юго-Восточный;Печатники;"Общество с ограниченной ответственностью ""Юго-восточный торговый проект-М""";7722247384;9040852/5к от 08.06.12;18.сен
9016793/к от 20.02.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Климашкина, вл.17, стр.1;Центральный;Пресненский;"Общество с ограниченной ответственностью ""Коммерческая фирма ""МАРТА""";7725072573;9016793/к от 20.02.12;20.май
9040287/4к от 28.02.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Гурьянова, вл.7;Юго-Восточный;Печатники;"Общество с ограниченной ответственностью ""Юго-восточный торговый проект-М""";7722247384;9040287/4к от 28.02.12;28.май
9042103/к1 от 12.12.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Авиамоторная, вл.33;Юго-Восточный;Лефортово;"Общество с ограниченной ответственностью кафе ""Синичка""";7722013756;9042103/к1 от 12.12.12;12.фев
9020394 от 28.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Грекова, вл.7;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""ДОМ""";7710869856;9020394 от 28.03.12;20.авг
9076454/3к от 18.01.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Олеко Дундича, вл.6;Западный;Филевский Парк;"ГАРАЖНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ №20 ""ЗА РУЛЕМ""";7730010195;9076454/3к от 18.01.12;18.фев
9017870/к от 22.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Бутырский Вал, вл.5;Центральный;Тверской;"Общество с ограниченной ответственностью ""Красный Дракон""";7710863075;9017870/к от 22.08.12;06.окт
9017526/к от 17.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Бутырский Вал, вл.5;Центральный;Тверской;"Общество с ограниченной ответственностью ""Красный Дракон""";7710863075;9017526/к от 17.07.12;17.авг
9077117/1 от 03.05.12;Ст.6.6 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Рябиновая, вл.63Г;Западный;Очаково-Матвеевское;"Государственное унитарное предприятие города Москвы ""Московское имущество""";7727268885;9077117/1 от 03.05.12;03.авг
9003055 от 25.01.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Балаклавский просп., д.33, стр.32;Южный;Чертаново Северное;Индивидуальный предприниматель Ковалев Виталий Евгеньевич;7,73E+11;9003055 от 25.01.12;25.май
9021407 от 14.08.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, пр. Огородный, вл.7;Северо-Восточный;Бутырский;"Закрытое акционерное общество ""Петрол Комплекс Эквипмент Кампани""";7707126064;9021407 от 14.08.12;10.окт
9003625 от 28.06.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Варшавское ш., вл.143А;Южный;Чертаново Южное;"Закрытое акционерное общество ""Ольтэк""";7726577986;9003625 от 11.07.12;07.сен
9003632 от 07.06.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Балаклавский просп., д.33, стр.32;Южный;Чертаново Северное;Индивидуальный предприниматель Ковалев Виталий Евгеньевич;7,73E+11;9003632 от 07.06.12;08.окт
9004327 от 22.10.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Балаклавский просп., д.33, стр.32;Южный;Чертаново Северное;Индивидуальный предприниматель Ковалев Виталий Евгеньевич;7,73E+11;9004327 от 22.10.12;22.янв
9085588 от 07.11.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. 3-я Хорошевская, вл.7;Северо-Западный;Хорошево-Мневники;"Закрытое акционерное общество ""Тепличное""";5000000546;9085588 от 07.11.12;07.дек
9042099 от 12.12.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, бульв. Тихорецкий, вл.2, стр.3;Юго-Восточный;Люблино;"Общество с ограниченной ответственностью ""Магазин Отделочной и Строительной ДРЕВесины""";7723119949;9042099 от 12.12.12;12.фев
9031348/  от 05.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Колодезный, вл.3;Восточный;Сокольники;"Общество с ограниченной ответственностью ""КРАСНЫЙ ДОМ""";7704248699;9031348/  от 05.10.12;19.ноя
9067284 от 13.09.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Наметкина, вл.3;Юго-Западный;Обручевский;"Закрытое акционерное общество ""ЭКОНОМИСТ""";7710145243;9067284 от 13.09.12;12.дек
9066161 от 28.02.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Наметкина, вл.3;Юго-Западный;Обручевский;"Закрытое акционерное общество ""ЭКОНОМИСТ""";7710145243;9066161 от 28.02.12;10.авг
9051587 от 11.09.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Восточная, вл.9;Южный;Даниловский;"Общество с ограниченной ответственностью Управляющая компания ""Система""";7727627541;9051587 от 11.09.12;22.окт
9017954 от 31.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, просп. Мира, вл.24, стр.1;Центральный;Мещанский;"Общество с ограниченной ответственностью ""КУМ""";7701831711;9017954 от 31.08.12;10.окт
9051588 от 01.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пр. Жуков, вл.21;Южный;Даниловский;"Общество с ограниченной ответственностью ""ГЕРАЛЬД""";7717650968;9051588 от 01.10.12;01.ноя
9085286 от 22.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Маршала Соколовского, вл.10;Северо-Западный;Щукино;"Общество с ограниченной ответственностью ""ДС Эксплуатация""";7734555231;9085286 от 22.08.12;22.сен
9085514 от 09.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Маршала Соколовского, вл.10;Северо-Западный;Щукино;"Общество с ограниченной ответственностью ""ДС Эксплуатация""";7734555231;9085514 от 09.10.12;09.ноя
9021152 от 06.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Широкая, вл.12;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ПРОИЗВОДСТВЕННО-ТОРГОВАЯ ФИРМА ""ЛАДОГА-КЛАД""";7715074170;9021152 от 06.07.12;06.авг
9031463 от 26.10.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Рудневка, д.12;Восточный;Косино-Ухтомский;"Общество с ограниченной ответственностью ""Финал""";7729570530;9031463 от 26.10.12;28.янв
9017831/2к от 14.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Воздвиженка, вл.4/7;Центральный;Арбат;"Общество с ограниченной ответственностью ""МСД Сервис""";7704578753;9017831/2к от 14.08.12;13.сен
9017533/к от 12.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Воздвиженка, вл.4/7;Центральный;Арбат;"Общество с ограниченной ответственностью ""МСД Сервис""";7704578753;9017533/к от 12.07.12;11.авг
9004103 от 08.10.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Варшавское ш., пересечение и 1-го Дорожного пр.;Южный;Чертаново Центральное;"Общество с ограниченной ответственностью ""ГармонияТехникс""";7710541014;9004103 от 08.10.12;08.дек
9003537/к3 от 19.06.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Варшавское ш., и 1-го пересечение (Дорожного проезда);Южный;Чертаново Центральное;"Общество с ограниченной ответственностью ""ГармонияТехникс""";7710541014;9003537/к3 от 19.06.12;19.сен
9030954 от 02.07.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Просторная, д.14, корп.1;Восточный;Преображенское;"Закрытое акционерное общество ""ДИСКОНТцентр""";7734213527;9030954 от 17.07.12;17.окт
9031484 от 31.10.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Просторная, д.14, корп.1;Восточный;Преображенское;"Закрытое акционерное общество ""ДИСКОНТцентр""";7734213527;9031484 от 31.10.12;31.янв
9030203 от 17.02.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, пр. Измайловский, д.9, корп.2;Восточный;Измайлово;"Общество с ограниченной ответственностью ""РЕФМОН""";7721211480;9030203 от 17.02.12;17.июн
9066873 от 26.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Профсоюзная ул., вл.74;Юго-Западный;Обручевский;"Федеральное государственное  бюджетное учреждение ""Транспортный комбинат ""Россия "" ";7728021168;9066873 от 26.06.12;26.сен
9065733 от 21.12.11;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Профсоюзная ул., вл.74;Юго-Западный;Обручевский;"Федеральное государственное  бюджетное учреждение ""Транспортный комбинат ""Россия "" Управления делами Президента Российской Федерации";7728021168;9065733 от 21.12.11;01.июн
9016716/3к от 14.02.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, бульв. Смоленский, д.17, стр.1;Центральный;Хамовники;"Общество с ограниченной ответственностью ""Березка-Сервис""";7704036824;9016716/3к от 14.02.12;14.июн
9031196 от 30.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Суворовская, вл.2А, стр.6;Восточный;Преображенское;Сусолкин Олег Федорович;7,74E+11;9031196 от 30.08.12;01.окт
9018401 от 15.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Николоямская, вл.7;Центральный;Таганский;"Открытое акционерное общество Банк ""ОФК Банк""";7744001419;9018401 от 15.11.12;28.дек
9018400 от 14.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Николоямская, вл.11;Центральный;Таганский;"Общество с ограниченной ответственностью ""ВеликанИнвест""";7707329603;9018400 от 14.11.12;28.дек
9051021/1 от 29.06.12;Ст.9.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Орджоникидзе, д.9, корп.1;Южный;Донской;"Общество с ограниченной ответственностью  ""Ситекс Сервис""";7727169242;9051021/1 от 11.07.12;11.авг
9051646 от 30.10.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Шипиловская, д.7;Южный;Орехово-Борисово Северное;"Негосударственное образовательное учреждение ""Классическая Философская Школа ""Новый Акрополь""";7737070651;9051646 от 30.10.12;29.янв
9050653 от 04.05.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Шипиловская, д.7;Южный;Орехово-Борисово Северное;"Негосударственное образовательное учреждение ""Классическая Философская Школа ""Новый Акрополь""";7737070651;9050653 от 04.05.12;14.сен
9077824 от 08.08.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Киевская, вл.27;Западный;Дорогомилово;"Общество с ограниченной ответственностью ""Автоломбард Национальный кредит""";7702768413;9077824 от 08.08.12;08.ноя
9085197/1 от 24.08.12;Ст.9.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Свободы, вл.55;Северо-Западный;Южное Тушино;"Общество с ограниченной ответственностью ИНТЕРНАЦИОНАЛЬНАЯ КОМПАНИЯ ""ИНПРОД""";7712009013;9085197/1 от 24.08.12;24.окт
9017354/2к от 13.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Поварская, вл.8, стр.4;Центральный;Арбат;"Общество с ограниченной ответственностью  ""РЕТРО ГРУПП""";7710165360;9017354/2к от 13.06.12;13.сен
9017827/4к от 27.08.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Тимура Фрунзе, д.20;Центральный;Хамовники;"Региональная общественная организация ""Объединение инвалидов боевых действий в Афганистане и региональных конфликтов""";7704207396;9017827/4к от 27.08.12;26.ноя
9003083/2к от 18.01.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Удальцова, вл.15;Западный;Проспект Вернадского;"Товарищество собственников жилья ""Кварт-13""";7729439832;9003083/2к от 18.01.12;14.май
9003506/3к от 07.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Удальцова, вл.15;Западный;Проспект Вернадского;"Товарищество собственников жилья ""Кварт-13""";7729439832;9003506/3к от 07.06.12;08.окт
9020454 от 14.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Плещеева, вл.12;Северо-Восточный;Бибирево;"Общество с ограниченной ответственностью ""ПРАЙМ КОНСАЛТ""";7725238412;9020454 от 14.03.12;14.июн
9066897 от 10.07.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Кржижановского, д.25;Юго-Западный;Академический;"Общество с ограниченной ответственностью ""Чинар-Рэйки""";7727201295;9066897 от 10.07.12;10.сен
9020453 от 14.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, ул. Корнейчука, ост. ""Аптека""";Северо-Восточный;Бибирево;"Общество с ограниченной ответственностью ""ИНФО КОМФОРТ""";7723203301;9020453 от 14.03.12;14.июн
9067548 от 25.09.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Кржижановского, д.25;Юго-Западный;Академический;"Общество с ограниченной ответственностью ""Чинар-Рэйки""";7727201295;9067548 от 25.09.12;25.дек
9016715/2к от 06.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, просп. Комсомольский, д.45;Центральный;Хамовники;"Общество с ограниченной ответственностью  ""ИНВЕСТМЕД""";7725582510;9016715/2к от 06.03.12;06.июн
9017834/4к от 16.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, просп. Комсомольский, вл.45;Центральный;Хамовники;"Общество с ограниченной ответственностью ""ИНВЕСТМЕД""";7725582510;9017834/4к от 16.08.12;26.сен
9017363/3к от 02.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, просп. Комсомольский, вл.45;Центральный;Хамовники;"Общество с ограниченной ответственностью ""ИНВЕСТМЕД""";7725582510;9017363/3к от 02.07.12;01.авг
9018142/к от 03.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Большой Патриарший, вл.7, стр.1;Центральный;Пресненский;"Общество с ограниченной ответственностью ""Ресторанный синдикат""";7705732567;9018142/к от 03.10.12;05.ноя
9004075/к от 05.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Новокосинская, вл.35А;Восточный;Новокосино;Индивидуальный предприниматель Лёвшин Александр Владимирович;7,72E+11;9004075/к от 05.10.12;20.дек
9094300/5к от 14.06.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Усиевича, д.12;Северный;Аэропорт;"Общество с ограниченной ответственность ""Киноконцертный  Комплекс Баку""";7704245296;9094300/5к от 14.06.12;06.окт
9093868/4к от 07.03.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Усиевича, д.12;Северный;Аэропорт;"Общество с ограниченной ответственность ""Киноконцертный  Комплекс Баку""";7704245296;9093868/4к от 07.03.12;01.июн
70662 от 02.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Скульптора Мухиной, вл.4;Западный;Ново-Переделкино;"Закрытое акционерное общество ""ВАМ И НЕ СНИЛОСЬ""";7732103399;70662 от 02.10.12;02.ноя
9068486 от 26.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Вавилова, вл.57;Юго-Западный;Академический;"Закрытое акционерное общество ""РЕМСТРОЙТРЕСТ""";7728014795;9068486 от 26.11.12;26.дек
9066898 от 14.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Вавилова, вл.57;Юго-Западный;Академический;"Закрытое акционерное общество ""РЕМСТРОЙТРЕСТ""";7728014795;9066898 от 14.06.12;14.сен
9067575 от 25.09.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Вавилова, вл.57;Юго-Западный;Академический;"Закрытое акционерное общество ""РЕМСТРОЙТРЕСТ""";7728014795;9067575 от 25.09.12;25.окт
9050947 от 29.06.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ш. Каширское, д.16;Южный;Нагатино-Садовники;"Общество с ограниченной ответственностью ""Маврус""";7725247625;9050947 от 01.08.12;01.ноя
9020396 от 03.04.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Полярная, вл.31А;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Компания ""Кассия""";7728167008;9020396 от 03.04.12;03.июл
9021579 от 13.09.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Алтуфьевское ш., вл.100;Северо-Восточный;Бибирево;"Гаражно-строительный кооператив ""АЛТУФЬЕВО""";7715503502;9021579 от 13.09.12;13.дек
9020877/1 от 05.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Алтуфьевское ш., вл.100;Северо-Восточный;Бибирево;"Гаражно-строительный кооператив ""АЛТУФЬЕВО""";7715503502;9020877/1 от 05.06.12;05.сен
9077084/4к1 от 10.04.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Поклонная, вл.12А;Западный;Дорогомилово;Постоянное представительство Республики Калмыкия при Президенте Российской Федерации;7730071896;9077084/4к1 от 10.04.12;10.июл
9078561/6к1 от 31.10.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Поклонная, вл.12А;Западный;Дорогомилово;Постоянное представительство Республики Калмыкия при Президенте Российской Федерации;7730071896;9078561/6к1 от 31.10.12;08.янв
9077810/5к1 от 13.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Поклонная, вл.12А;Западный;Дорогомилово;Постоянное представительство Республики Калмыкия при Президенте Российской Федерации;7730071896;9077810/5к1 от 13.08.12;13.окт
9018425 от 09.11.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Подколокольный, д.13/5, стр.1;Центральный;Басманный;"Общество с ограниченной ответственностью ""СЛАЙГО ИНВЕСТМЕНТС ЛИМИТЕД""";7724274111;9018425 от 09.11.12;09.фев
9041703 от 31.10.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, 1-я улица Машиностроения, д.4, корп.1;Юго-Восточный;Южнопортовый;"Общество с ограниченной ответственностью ""РЭУ-сервис""";7724787868;9041703 от 31.10.12;31.янв
9041702 от 31.10.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Мельникова, д.18А;Юго-Восточный;Южнопортовый;"Общество с ограниченной ответственностью ""РЭУ-сервис""";7724787868;9041702 от 31.10.12;31.янв
9041550/к от 27.09.12;Ст.9.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Люблинская, д.7/2, корп.1;Юго-Восточный;Текстильщики;"Общество с ограниченной ответственностью ""Совика""";7723013540;9041550/к от 27.09.12;12.мар
9077644 от 25.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ш. Очаковское, вл.10, корп.1, стр.2;Западный;Очаково-Матвеевское;"Общество с ограниченной ответственностью ""Школьные Годы""";7731257156;9077644 от 04.07.12;06.авг
9017736/5к от 25.07.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Садовая-Самотечная ул., вл.18;Центральный;Тверской;"Общество с ограниченной ответственностью ""РДО ИНВЕСТ""";7705377104;9017736/5к от 25.07.12;25.авг
9017220/к от 12.05.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Садовая-Триумфальная, вл.16;Центральный;Тверской;"Общество с ограниченной ответственностью ""РДО ИНВЕСТ""";7705377104;9017220/к от 12.05.12;12.июл
