"0_UID";"1_Название объекта";"1_Адрес";"0_Координата X";"0_Координата Y";"1_Наименование парка";"1_Имя WiFi сети";"1_Зона покрытия (метры)";"1_Условия доступа"
1303;"Wi-Fi точка №4";"Лазо улица, дом 7";17419,6031;8256,2801;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1304;"Wi-Fi точка №5";"Лазо улица, дом 7";17450,1626;8360,923;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1313;"Wi-Fi точка №6";"Лазо улица, дом 7";17326,9988;8483,0285;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1314;"Wi-Fi точка №7";"Лазо улица, дом 7";17370,9197;8465,4336;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1315;"Wi-Fi точка №8";"Лазо улица, дом 7";17319,3258;8420,4544;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1316;"Wi-Fi точка №9";"Лазо улица, дом 7";17283,607;8392,6731;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1318;"Wi-Fi точка №10";"Лазо улица, дом 7";17275,6695;8331,8188;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1319;"Wi-Fi точка №11";"Лазо улица, дом 7";17318,0029;8323,8813;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1320;"Wi-Fi точка №12";"Лазо улица, дом 7";17459,5553;8428,3919;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1321;"Wi-Fi точка №13";"Лазо улица, дом 7";17421,1906;8409,871;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1322;"Wi-Fi точка №14";"Лазо улица, дом 7";17484,6907;8390,0272;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1323;"Wi-Fi точка №15";"Лазо улица, дом 7";17405,3156;8231,2769;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1324;"Wi-Fi точка №16";"Лазо улица, дом 7";17391,8218;8181,006;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1325;"Wi-Fi точка №17";"Лазо улица, дом 7";17490,6439;8278,5051;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
