0_OBJECTID;0_UIDNFTN;1_Кадастровый номер;1_Адрес;1_Площадь;0_ZPO;1_Разрешение на использование
224;25407700;77:02:0024027:16;пер Новосущевский (г Москва, пер Новосущевский, вл 4);2327; ;эксплуатации здания музыкальной школы
225;25170461;77:02:0025002:4;линия Северная 1-я (г Москва, линия Северная 1-я, вл 1, дом 1);1162445;Аренда;"эксплуатации очистных сооружений Северной водопроводной станции МГП ""Мосводоканал"""
226;25349341;77:01:0003017:6;пер Плетешковский (г Москва, пер Плетешковский, вл 2, стр 1, вл 4, стр 1,2);3466;Аренда;эксплуатации существующих административно-производственных зданий
227;25394531;77:07:0012009:8;ул НЕЖИНСКАЯ (г Москва, ул Нежинская, вл 10);11888;Аренда;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДОМА РЕБЕНКА №22
228;25410702;77:07:0004004:11;ул Молодогвардейская (г Москва, ул Молодогвардейская, вл 20);3419; ;ЭКСПЛУАТАЦИИ ОСНОВНОГО И ВСПОМОГАТЕЛЬНОГО ЗДАНИЙ ПОЛИКЛИНИКИ
229;25301401;77:01:0001076:1000;пер Трехпрудный (г. Москва, Трехпрудный пер., вл. 6, стр. 7);30,09;Аренда;земельные участки, предназначенные для размещения конструктивных элементов и сооружений, объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития наземных и подземных зданий, строений, сооружений, устройств энер
230;25769359;77:08:0011001:1004;улица Маршала Бирюзова, вл. 43, корп.1, стр.2;0;Аренда;"земельные участки, предназначенные для размещения объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития наземных и подземных зданий, строений, сооружений, устройств энергетики (1.2.13); земельные участки, пре"
231;25455836;77:08:0002008:19;ул МИТИНСКАЯ (г Москва, ул Митинская, вл 38, корп 1, стр 1);512;Аренда;ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 126.
232;25453700;77:05:0001009:23;пр-кт Ленинский (г Москва, пр-кт Ленинский, вл 35-А);6810; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
233;25360499;77:01:0001044:54;пер Газетный (г Москва, пер Газетный, вл 9);2943,04;Аренда;эксплуатации зданий историко-культурного назначения
234;25454210;77:05:0012003:80;ул БОРИСОВСКИЕ ПРУДЫ (г Москва, ул Борисовские Пруды, вл 46, корпус 1);9716; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО САДА
235;25319950;77:05:0001002:30;наб Павелецкая (г Москва, наб Павелецкая, вл 6);21000;Аренда;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЙ И ЛЕЧЕБНЫХ КОРПУСОВ БОЛЬНИЦЫ
236;25438956;77:05:0003002:5;проезд Электролитный (г Москва, проезд Электролитный, вл 4);62583;Аренда;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЙ ДЛЯ РЕМОНТА И ОТСТОЯ ТРОЛЛЕЙБУСНОГО ТРАНСПОРТА
237;25394939;77:10:0001002:2; (г. Москва, Зеленоград, улица Алабушевская, дом 8А);263;Аренда;ЭКСПЛУАТАЦИИ ЗДАНИЯ ГАЗОРАСПРЕДЕЛИТЕЛЬНОГО ПУНКТА № 7
238;25394513;77:08:0008001:4;ул Исаковского (г. Москва, ул. Исаковского, вл. 37, корп. 2, стр. 1);205;Аренда;ЭКСПЛУАТАЦИИ ЗДАНИЯ ЭЛЕКТРОТЯГОВОЙ ПОДСТАНЦИИ
239;25454821;77:06:0009008:18;пр-кт Новоясеневский (г Москва, пр-кт Новоясеневский, вл 21, корпус 2);8975; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
240;25455704;77:08:0002004:30;пер Ангелов (г Москва, пер Ангелов, вл 2, корпус 3);9265; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 2304
241;25344633;77:08:0002011:204;ул Генерала Белобородова (г Москва, ул Генерала Белобородова, вл 20, стр 1);762;Аренда;ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 164
242;25345324;77:10:0004001:120; (г. Москва, Зеленоград, кор. 101, стр. 1);294;Аренда;объекты размещения помещений и технических устройств центральных тепловых пунктов (ЦТП) (1.2.10)
243;25406569;77:01:0006038:68;проезд Сибирский (г Москва, проезд Сибирский, вл 2, стр 2);612;Аренда;эксплуатации части здания в административных целях
244;25625127;77:06:0012020:1179;Дачная улица пос. Милицейский, вл. 7, стр.1;0;Аренда;эксплуатации части здания в административных целях
245;25455523;77:07:0015008:17;ул Новоорловская (г Москва, ул Новоорловская, вл 4);4288; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ ПОД ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКИЕ ЦЕЛИ
246;25452939;77:03:0006024:35;ул Молостовых (г Москва, ул Молостовых, вл 10-А, стр 1);20133; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ЛИЦЕЯ И ПРИЛЕГАЮЩЕГО УЧАСТКА
247;25316300;77:01:0002006:17;ул Новокузнецкая (г Москва, Новокузнецкая улица, вл 42, стр 1);797,03;Аренда;эксплуатации зданий историко-культурного назначения
248;25412517;77:10:0002007:72;мкр 8-й (г Москва, 8-й микрорайон г Зеленограда, корпус 857);6638; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОКАЗАНИЯ СКОРОЙ И НЕОТЛОЖНОЙ МЕДИЦИНСКОЙ ПОМОЩИ НАСЕЛЕНИЮ
249;25498821;77:05:0009005:61;проезд Востряковский (г. Москва, Востряковский проезд, вл. 18А);600;Аренда;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ КОНЕЧНОЙ АВТОБУСНОЙ СТАНЦИИ
250;25407192;77:02:0015011:12;проезд Серебрякова (г Москва, проезд Серебрякова, вл 14В);18019;Аренда;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ПРОИЗВОДСТВЕННЫХ ЗДАНИЙ ПО ОБРАЩЕНИЮ ТВЕРДЫХ БЫТОВЫХ ОТХОДОВ И ПРИРАВНЕННЫХ К НИМ ПРОМЫШЛЕННЫХ ОТХОДОВ, А ТАКЖЕ ДЛЯ РЕКОНСТРУКЦИИ И НОВОГО СТРОИТЕЛЬСТВА ЗДАНИЙ И СООРУЖЕНИЙ ТРАНСПОРТНОГО ПРЕДПРИЯТИЯ
251;25439212;77:07:0001004:6;ул Крылатская (г Москва, ул Крылатская, вл 10, корпус 2);9874;Аренда;ЭКСПЛУАТАЦИИ КАНАЛИЗАЦИОННОЙ НАСОСНОЙ СТАНЦИИ И АВАРИЙНО- РЕГУЛИРУЮЩЕГО РЕЗЕРВУАРА
252;25452008;77:03:0002014:42;ул Амурская (г Москва, ул Амурская, вл 60);18976; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
253;25432597;77:04:0004019:147;б-р Новочеркасский (г Москва, б-р Новочеркасский, вл 19, стр 1);19516; ;"ЭКСПЛУАТАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА ""МАРЬИНО"""
254;25452438;77:03:0005014:19;ул Первомайская Нижн. (г. Москва, ул. Нижняя Первомайская, вл. 14, стр. 1);7094; ;для эксплуатации здания школы
255;25438457;77:01:0003024:7;ул Бакунинская (г Москва, ул Бакунинская, вл 45, стр 3);1824; ;эксплуатации здания и территории под учебно-воспитательные цели
256;25408641;77:04:0002010:59;ул Ферганская (г Москва, ул Ферганская, вл 23);16835; ;эксплуатации детской школы искусств
257;25408041;77:03:0005015:10;пр-кт Измайловский (г Москва, пр-кт Измайловский, вл 115);7244; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И БЛАГОУСТРОЙСТВА ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
258;25276297;77:06:0012002:15;ул Веневская (г Москва, ул Веневская, вл 11);4974; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения.
259;25277774;77:09:0002029:67;ул Дубнинская (г Москва, ул Дубнинская, вл 10А);10315; ;эксплуатации детских яслей-сада
260;25316117;77:01:0001086:67;пер Даев (г Москва, пер Даев, вл 16, стр 9);2942; ;эксплуатации здания в учебно-воспитательных целях и благоустройства территории
261;25182480;77:01:0004039:43;ул 3-я Красногвардейская (г Москва, ул 3-я Красногвардейская, вл 1);6610; ;эксплуатации зданий под медицинские цели
262;25181524;77:01:0001052:24;наб Пречистенская (г Москва, Пречистенская набережная, 1-й Зачатьевский переулок, вл. 15/1, стр.4);488; ;эксплуатации поликлиники
263;25231132;77:06:0004010:21;ул Херсонская;11099; ;эксплуатации имущественного комплекса щколы-детского сада без права изменения функционального назначения
264;25319815;77:04:0004023:31;ул Люблинская (г Москва, ул Люблинская, вл 173);13365; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ШКОЛЫ № 1043
265;25299029;77:05:0004009:126;наб Нагатинская (г. Москва, Нагатинская набережная, вл. 46, корп. 1);9168; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
266;25318269;77:03:0002018:51;ул САХАЛИНСКАЯ (г Москва, ул Сахалинская, вл 4А);10175; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
267;25394673;77:06:0009005:6;проезд Одоевского (г Москва, проезд Одоевского, вл 9, корпус 1);7304; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
268;25394628;77:07:0005007:2;ул МИНСКАЯ (г Москва, ул Минская, вл 12, корпус 2);3454; ;эксплуатации здания под административные цели
269;25278015;77:09:0003022:78;ш Дмитровское (г Москва, ш Дмитровское, вл 15, корпус 3);4871; ;ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
270;25276536;77:07:0005004:89;ул ТАРУТИНСКАЯ (г Москва, ул Тарутинская, вл 2);13785; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПРОТИВОТУБЕРКУЛЕЗНОГО ДИСПАНСЕРА № 20
271;25275891;77:06:0005006:71;ул Одесская (г Москва, ул Одесская, вл 9, корп 2);10720; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
272;25275887;77:06:0007003:97;ул Профсоюзная (г Москва, ул Профсоюзная, вл 154, корпус 4);1818; ;эксплуатации имущественного комплекса поликлиники без права изменения функционального назначения.
273;25277025;77:08:0004002:11;б-р Яна Райниса (г Москва, б-р Яна Райниса, вл 47);6266; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ
274;25275802;77:06:0003006:38;пр-кт Ломоносовский (г Москва, пр-кт Ломоносовский, вл 3А);11842; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
275;25274814;77:04:0004003:32;б-р Есенинский (г Москва, б-р Есенинский, вл 12, корпус 2);10203; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ
276;25343390;77:04:0001019:192;ул Шарикоподшипниковская (г Москва, Шарикоподшипниковская улица, вл 3);20309; ;эксплуатации зданий больницы
277;25349136;77:01:0001002:7;пл Манежная (г Москва, пл Манежная, вл 1);9320; ;эксплуатации выставочного зала
278;25347656;77:07:0015004:1025;ул Лазенки 7-я (г. Москва, ул. 7-я Лазенки, вл. 18);5712,39; ;земельные участки, предназначенные для размещения объектов образования, религии (1.2.7)
279;25322104;77:08:0002005:24;ул БАРЫШИХА (г Москва, ул Барышиха, вл 34, корпус 1);7758; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 2307
280;25343391;77:04:0001019:200;ул Мельникова (г Москва, ул Мельникова, вл 22);1909; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ МЕДИЦИНСКОГО УЧРЕЖДЕНИЯ
281;25321801;77:07:0015003:38;пр-кт Солнцевский (г Москва, пр-кт Солнцевский, вл 11А);4472; ;ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОЛИКЛИНИКИ ПОД ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКИЕ ЦЕЛИ И АРХИВА ДЛЯ ХРАНЕНИЯ РЕНТГЕНОПЛЕНКИ
282;25215443;77:06:0003014:7;ул Новаторов (г Москва, ул Новаторов, вл 5);3059; ;эксплуатации здания поликлиники без права изменения функционального назначения
283;25366338;77:07:0004004:27;ул Молодогвардейская (г Москва, ул Молодогвардейская, вл 40, корпус 1);5327; ;ЭКСПЛУАТАЦИИ ОСНОВНОГО И ПОДСОБНОГО ЗДАНИЙ ПОЛИКЛИНИКИ
284;25320483;77:05:0011003:14;ш Каширское (г Москва, ш Каширское, дом 116, корпус 3);15667; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
285;25319826;77:04:0004003:35;ул УЛИЦА ЮНЫХ ЛЕНИНЦЕВ (г Москва, ул Юных Ленинцев, д 75, корпус 2);4910; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
286;25319819;77:04:0004023:47;б-р Мячковский (г Москва, б-р Мячковский, вл 18, корпус 2);9767; ;ЭКСПЛУАТАЦИИ ДЕТСКИХ ЯСЛЕЙ-САДА
287;25319810;77:04:0004012:16;ул Краснодарская (г Москва, ул Краснодарская, вл 53, стр 1);9142; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ
288;25320469;77:05:0011003:13;проезд Шипиловский (г Москва, проезд Шипиловский, дом 63, корпус 2);14676; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
289;25227641;77:02:0006003:46;ул Молодцова (г Москва, ул Молодцова, вл 5);12075; ;использования территории и эксплуатации здания дошкольного образовательного учреждения
290;25229177;77:03:0009004:64;ул Николая Старостина (г Москва, ул Николая Старостина, вл 13А, стр 1);3953; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
291;25274221;77:03:0006020:98;пр-кт Федеративный (г Москва, пр-кт Федеративный, вл 37Б);2663; ;эксплуатации детско-юношеской спортивной школы и благоустройства прилегающей территории.
292;25278225;77:10:0002003:42;аллея БЕРЕЗОВАЯ (г Москва, г Зеленоград, аллея Березовая, д 9А);9434; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
293;25278224;77:10:0002003:35;аллея Березовая (г Москва, г Зеленоград, аллея Березовая, д 1А);10385; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
294;25365168;77:05:0011003:15;ул Ясеневая (г Москва, ул Ясеневая, дом 8, корпус 2);17611; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
295;25365391;77:06:0001007:50;ул Марии Ульяновой (г Москва, ул Марии Ульяновой, вл 17, корпус 1);2240; ;эксплуатации прогулочной площадки детского сада без права изменения функционального назначения
296;25365767;77:06:0006003:94;ул Академика Волгина (г Москва, ул Академика Волгина, вл 17-А);8004; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
297;25365978;77:06:0012010:47;ул Академика Понтрягина (г. Москва, ул. Академика Понтрягина, вл. 27, к. 1);4410; ;земельные участки, предназначенные для размещения объектов образования (1.2.7)
298;25215885;77:09:0002007:9;проезд Керамический (г Москва, проезд Керамический, вл 59);17158; ;эксплуатации учебного центра
299;25229086;77:04:0001003:33;проезд Танковый (г Москва, проезд Танковый, вл 3А);6127; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
300;25227833;77:02:0017001:83;ул Гостиничная (г Москва, ул Гостиничная, вл 8, корпус 1);8199; ;эксплуатации здания школы
301;25227642;77:02:0006003:91;проезд Шокальского (г Москва, проезд Шокальского, вл 11, корпус 2);13472; ;эксплуатации здания школы
302;25300292;77:09:0005013:165;проезд 1-й Хорошевский (г Москва, проезд 1-й Хорошевский, вл 8);2376; ;для учебно-воспитательных целей
303;25278479;77:10:0002002:52;мкр 4-Й (г Москва, 4-й микрорайон г Зеленограда, корпус 445-А);9419; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
304;25273006;77:02:0020003:21;ул Милашенкова (г Москва, ул Милашенкова, вл 5б);4989; ;использования территории под эксплуатацию здания дошкольного образовательного учреждения
305;25278462;77:10:0002001:46;мкр 2-Й (г Москва, 2-й микрорайон г Зеленограда, корпус 205Б);6047; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
306;25212641;77:03:0003025:1006;ул Потешная (г. Москва, ул. Потешная, вл. 5А);7505; ;земельные участки, предназначенные для размещения объектов образования (1.2.7)
307;25188233;77:09:0002029:17;б-р Бескудниковский (г Москва, б-р Бескудниковский, вл 2А);1600; ;эксплуатации здания медицинского вытрезвителя № 4
308;25183904;77:03:0002015:66;ш Щелковское (г Москва, ш Щелковское, вл 79А);17108; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
309;25187240;77:07:0014003:54;пр-кт Мичуринский (г Москва, пр-кт Мичуринский, вл 74, корпус 2);5611; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОДСТАНЦИИ СКОРОЙ И НЕОТЛОЖНОЙ МЕДИЦИНСКОЙ ПОМОЩИ
310;25277743;77:09:0002007:54;проезд Керамический (г Москва, проезд Керамический, вл 73А);8854,1; ;ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
311;25318252;77:02:0023014:55;пер 1-й Рижский (г Москва, пер 1-й Рижский, вл 2, стр 7);2014; ;эксплуатации зданий
312;25300367;77:09:0004020:133;ул Правды (г Москва, ул Правды, вл 1А);9058; ;осуществления учебно-воспитательной деятельности
313;25299316;77:07:0007002:102;проезд Резервный (г Москва, проезд Резервный, вл 18, стр 1);2582; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
314;25365909;77:06:0008007:19;ул Островитянова (г Москва, ул Островитянова, вл 45-А);9104; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
315;25363210;77:03:0001004:35;пер Алымов (г Москва, пер Алымов, вл 15);6944; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
316;25366101;77:06:0009003:14;пр-кт Новоясеневский (г Москва, пр-кт Новоясеневский, вл 22, корпус 2);8341; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
317;25321193;77:06:0011003:77;ул Куликовская (г Москва, ул Куликовская, вл 3 Б);9873; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
318;25320869;77:06:0002014:11;ул Большая Черемушкинская (г Москва, ул Большая Черемушкинская, вл 6А);3138; ;эксплуатации имущественного комплекса поликлиники без права изменения функционального назначения
319;25320866;77:06:0002013:14;ул Винокурова (г Москва, ул Винокурова, вл 14 и вл 14, строение 1);2317; ;эксплуатации имущественного комплекса поликлиники
320;25388637;77:05:0010004:185;ул Лебедянская (г Москва, ул Лебедянская, вл 9);10174; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
321;25277761;77:09:0002007:61;проезд Керамический (г Москва, проезд Керамический, вл 71, корпус 4);9102; ;ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
322;25254469;77:07:0006005:127;ул Генерала Ермолова (г Москва, ул Генерала Ермолова, вл 12, стр 1,2);4591; ;для эксплуатации зданий стоматологической поликлиники
323;25323256;77:09:0004020:67;ул Расковой (г Москва, ул Расковой, вл 14/16);5810; ;эксплуатации общеобразовательной школы
324;25322888;77:09:0002023:26;ул Дегунинская (г Москва, ул Дегунинская, вл 26, корпус 1);9314; ;ЭКСПЛУАТАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА
325;25322882;77:09:0002010:27;б-р Карельский (г Москва, б-р Карельский, вл 2А);9852; ;ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
326;25323417;77:09:0005014:24;проезд Боткинский 1-й (г Москва, проезд 1-й Боткинский , вл 7А);2850; ;ЭКСПЛУАТАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА
327;25322728;77:09:0002004:12;б-р Карельский (г Москва, б-р Карельский, вл 23А);11506; ;ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
328;25298426;77:03:0003021:139;ш Открытое (г. Москва, Открытое шоссе, вл. 6, корп. 12);4504; ;для эксплуатации здания общеобразовательного учреждения - школа № 1349 (земельные участки, предназначенные для размещения объектов образования)
329;25274616;77:04:0004025:14;ул Братиславская (г Москва, ул Братиславская, вл 4);16313; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ГИМНАЗИИ
330;25274308;77:03:0007006:93;ул Реутовская (г. Москва, улица Реутовская, владение 16А (район Вешняки));23282; ;для эксплуатации здания общеобразовательного учреждения (школа № 404)
331;25315595;77:01:0001029:63;ул Покровка (г Москва, ул Покровка, вл 50/2);79,84; ;эксплуатации зданий историко-культурного назначения
332;25316199;77:01:0002011:17;пер 1-й Новокузнецкий (г Москва, пер 1-й Новокузнецкий, вл 12, стр 2);5875; ;эксплуатации здания в образовательных целях и благоустройства территории
333;25276124;77:06:0011003:76;ул Куликовская (г Москва, ул Куликовская, вл 3 А);5021; ;эксплуатация здания школы (земельные участки, предназначенные для размещения объектов образования)
334;25388759;77:05:0009003:114;проезд Востряковский (г Москва, проезд Востряковский, вл 11 А);8703; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
335;25232402;77:08:0009020:23;ул МАРШАЛА РЫБАЛКО (г Москва, ул Маршала Рыбалко, вл 14);6670; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ НЕМЕЦКОГО ЯЗЫКА № 1212
336;25360917;77:01:0002003:37;ул Большая Полянка (г Москва , ул Большая Полянка, вл 30, корпус 2);4262; ;эксплуатации здания под учебно-воспитательные цели и благоустройства территории
337;25389180;77:07:0013007:144;ул Лобачевского (г Москва, ул Лобачевского, вл 30);11032; ;ПОД ЭКСПЛУАТАЦИЮ ЗДАНИЯ ДЕТСКОГО САДА № 167
338;25276167;77:06:0011004:58;ул Грина (г Москва, ул Грина, вл 18, корпус 3, стр 1);12928; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
339;25276160;77:06:0009006:48;проезд Соловьиный (г Москва, проезд Соловьиный, вл 4, корпус 2);5310; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
340;25276127;77:06:0012007:10;ул Южнобутовская (г Москва, ул Южнобутовская, вл 52, корпус 2);15173; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
341;25275737;77:06:0001003:17;пр-кт Ломоносовский (г Москва, пр-кт Ломоносовский, вл 12);12317; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
342;25388632;77:05:0008002:138;проезд Россошанский (г Москва, Россошанский проезд, вл 5А);8389; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ И СТРОЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
343;25277913;77:09:0003017:97;ш Ленинградское (г Москва, ш Ленинградское, вл 13, корпус 2);2786; ;осуществления учебно-воспитательной деятельности
344;25323294;77:09:0004012:44;ул Вятская (г Москва, ул Вятская, вл 78);4003; ;ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА НАЧАЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ
345;25215227;77:04:0003001:7;ул ТРОФИМОВА (г Москва, ул Трофимова, д 13А, стр 1);8626; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
346;25299308;77:06:0012000:565;ул Скобелевская (г Москва, ул Скобелевская, вл 18);7614; ;эксплуатации имущественного комплекса школы-детского сада без права изменения функционального назначения
347;25299295;77:06:0007003:123;ул Профсоюзная (г Москва, ул Профсоюзная, вл 142, корпус 5);19487; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
348;25317926;77:02:0013011:18;ш Ярославское (г Москва, ш Ярославское, вл 65);7521; ;эксплуатации здания школы искусств
349;25302604;77:06:0012005:1002;проезд Чечерский (г. Москва, Чечерский проезд, вл. 22, корп. 1);14648,04; ;эксплуатация здания школы (земельные участки, предназначенные для размещения объектов образования (1.2.7)
350;25305386;77:06:0012005:2;ул Южнобутовская (г Москва, ул Южнобутовская, вл 11);5370; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
351;25316317;77:01:0002025:75;ул Гончарная (г Москва, ул Гончарная, вл 23);3200; ;земельные участки, предназначенные для размещения объектов здравоохранения (1.2.7)
352;25275143;77:05:0005011:54;ул Кантемировская (г Москва, ул Кантемировская, вл 27, корпус 2);9707; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СТРОЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
353;25365426;77:06:0002017:91;ул Нагорная (г Москва, ул Нагорная, вл 22, корпус 1);11100; ;эксплуатации имущественного комплекса школы-интерната без права изменения функционального назначения
354;25365446;77:06:0003010:40;ул Гарибальди (г Москва, ул Гарибальди, вл 10, корпус 5);10014; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
355;25365678;77:06:0005017:38;ул Азовская (г Москва, ул Азовская, вл 31);15582; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения.
