0_OBJECTID;0_UIDNFTN;1_Кадастровый номер;1_Адрес;1_Площадь;0_ZPO;1_Разрешение на использование
595;25271402;77:01:0003049:47;пр-кт проспект Мира (г Москва, пр-кт Мира, вл. 41, стр.1);639,97;Аренда;эксплуатации зданий историко-культурного назначения
596;25548324;77:01:03011:013;Денисовский переулок, вл. 23;560; ;для эксплуатации зданий историко-культурного назначения
597;25412647;77:10:0006003:29; (г Москва, г Зеленоград, 15-й микрорайон, корпус 1555);8621; ;эксплуатации здания и сооружений с целью организации учебно-воспитательного процесса детей
598;25477964;77:07:0001002:204;ул КРЫЛАТСКИЕ ХОЛМЫ (г Москва, ул Крылатские Холмы, вл 45, корпус 2);11285; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
599;25438947;77:05:0010006:8;ул Радиальная 3-я (г Москва, ул 3-я Радиальная, вл 2А);12592; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ
600;25182860;77:01:0006035:45;ул Большая Калитниковская (г Москва, ул Большая Калитниковская, вл 34/3, стр 1,2);3760; ;эксплуатации здания под учебно-воспитательную деятельность, без права коммерческого использования
601;25305196;77:08:0004001:2;ул Василия Петушкова (г Москва, ул Василия Петушкова, вл 19, корпус 1);9435; ;для эксплуатации здания детского дома без права изменения функционального назначения объекта
602;25233493;77:09:0005015:79;ул Беговая (г Москва, ул Беговая, вл 6, корпус 1);6099; ;ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
603;25497849;77:04:0002013:68;пр-кт Рязанский (г Москва, пр-кт Рязанский, вл 68, корпус 2);18946; ;эксплуатации школы
604;25170857;77:03:0007004:8;ул Вешняковская (г. Москва, ул. Вешняковская, вл. 41А);5387; ;для эксплуатации здания общеобразовательного учреждения - детский сад № 62 (земельные участки, предназначенные для размещения объектов образования)
605;25184606;77:03:0007002:39;ул Вешняковская (г Москва, ул Вешняковская, вл 4А);3129; ;ЭКСПЛУАТАЦИИ СЛУЖЕБНОГО ЗДАНИЯ И БЛАГОУСТРОЙСТВА ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
