0_Код;Название;Адрес;Число парковочных мест;Время работы;Стоимость
95;Парковка №57 (Зона 1004);Брюсов переулок,15;7;Круглосуточно;50 рублей в час
96;Парковка №58 (Зона 1004);Газетный переулок,17;6;Круглосуточно;50 рублей в час
97;Парковка №59 (Зона 1004);Газетный переулок,17/9;5;Круглосуточно;50 рублей в час
98;Парковка №60 (Зона 1004);Газетный переулок,15;5;Круглосуточно;50 рублей в час
99;Парковка №61 (Зона 1004);Никитский переулок,7/14;8;Круглосуточно;50 рублей в час
100;Парковка №62 (Зона 1004);Никитский переулок,6;34;Круглосуточно;50 рублей в час
101;Парковка №63 (Зона 1004);Никитский переулок,7/14;30;Круглосуточно;50 рублей в час
102;Парковка №64 (Зона 1004);Никольская улица,2/1;27;Круглосуточно;50 рублей в час
103;Парковка №65 (Зона 1004);Никольская улица,5;7;Круглосуточно;50 рублей в час
104;Парковка №66 (Зона 1004);Никольская улица,4;10;Круглосуточно;50 рублей в час
105;Парковка №67 (Зона 1004);Никольская улица,9;1;Круглосуточно;50 рублей в час
106;Парковка №68 (Зона 1004);Никольская улица,9;6;Круглосуточно;50 рублей в час
107;Парковка №69 (Зона 1004);Никольская улица,6;6;Круглосуточно;50 рублей в час
108;Парковка №70 (Зона 1004);Никольская улица,11;4;Круглосуточно;50 рублей в час
109;Парковка №71 (Зона 1004);Ветошный переулок,7;22;Круглосуточно;50 рублей в час
110;Парковка №3 (Зона 1003);Леонтьевский переулок,12;6;Круглосуточно;50 рублей в час
111;Парковка №4 (Зона 1003);Леонтьевский переулок,11с3;10;Круглосуточно;50 рублей в час
112;Парковка №5 (Зона 1003);Леонтьевский переулок,10;10;Круглосуточно;50 рублей в час
113;Парковка №9 (Зона 1003);Леонтьевский переулок,2а;6;Круглосуточно;50 рублей в час
114;Парковка №10 (Зона 1003);Леонтьевский переулок,6;6;Круглосуточно;50 рублей в час
115;Парковка №6 (Зона 1003);Вознесенский переулок,5;5;Круглосуточно;50 рублей в час
116;Парковка №13 (Зона 1003);Вознесенский переулок,7;9;Круглосуточно;50 рублей в час
117;Парковка №14 (Зона 1003);Вознесенский переулок,11с2;3;Круглосуточно;50 рублей в час
118;Парковка №16 (Зона 1003);Вознесенский переулок,11;9;Круглосуточно;50 рублей в час
119;Парковка №18 (Зона 1003);Брюсов переулок,4;5;Круглосуточно;50 рублей в час
120;Парковка №7 (Зона 1003);Брюсов переулок,2а;3;Круглосуточно;50 рублей в час
121;Парковка №20 (Зона 1003);Брюсов переулок,2/14с1;5;Круглосуточно;50 рублей в час
122;Парковка №21 (Зона 1003);Брюсов переулок,2/14с9;10;Круглосуточно;50 рублей в час
123;Парковка №8 (Зона 1003);Брюсов переулок,7;36;Круглосуточно;50 рублей в час
124;Парковка №22 (Зона 1003);Брюсов переулок,2;4;Круглосуточно;50 рублей в час
125;Парковка №24 (Зона 1003);Газетный переулок,9;4;Круглосуточно;50 рублей в час
126;Парковка №25 (Зона 1003);Газетный переулок,3;12;Круглосуточно;50 рублей в час
127;Парковка №26 (Зона 1003);Газетный переулок,1/12;7;Круглосуточно;50 рублей в час
128;Парковка №29 (Зона 1003);Калашный переулок,7;9;Круглосуточно;50 рублей в час
129;Парковка №30 (Зона 1003);Калашный переулок,9;3;Круглосуточно;50 рублей в час
130;Парковка №31 (Зона 1003);Средний Кисловский переулок,15;4;Круглосуточно;50 рублей в час
131;Парковка №33 (Зона 1003);Средний Кисловский переулок,4с1;4;Круглосуточно;50 рублей в час
132;Парковка №33 (Зона 1005);Сандуновский переулок,4;9;Круглосуточно;50 рублей в час
133;Парковка №34 (Зона 1005);Сандуновский переулок,2;6;Круглосуточно;50 рублей в час
134;Парковка №35 (Зона 1005);Сандуновский переулок,2;11;Круглосуточно;50 рублей в час
135;Парковка №36 (Зона 1005);Рождественка улица,19/10;6;Круглосуточно;50 рублей в час
136;Парковка №37 (Зона 1005);Рождественка улица,12;3;Круглосуточно;50 рублей в час
137;Парковка №42 (Зона 1005);Рождественка улица,11;4;Круглосуточно;50 рублей в час
138;Парковка №43 (Зона 1005);Рождественка улица,11;4;Круглосуточно;50 рублей в час
139;Парковка №44 (Зона 1005);Рождественка улица,9/13;4;Круглосуточно;50 рублей в час
140;Парковка №46 (Зона 1005);Нижний Кисельный переулок,8;1;Круглосуточно;50 рублей в час
141;Парковка №48 (Зона 1005);Нижний Кисельный переулок,8;2;Круглосуточно;50 рублей в час
142;Парковка №49 (Зона 1005);Нижний Кисельный переулок,4;11;Круглосуточно;50 рублей в час
143;Парковка №50 (Зона 1005);Нижний Кисельный переулок,3;4;Круглосуточно;50 рублей в час
144;Парковка №51 (Зона 1005);Большой Кисельный переулок,10;9;Круглосуточно;50 рублей в час
145;Парковка №52 (Зона 1005);Пушечная улица,3;2;Круглосуточно;50 рублей в час
