"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Площадь (га)";"1_Телефон";"1_Типы захоронений";"1_Статус кладбища";"0_POINT_X";"0_POINT_Y"
34.00000000000;"Девятское кладбище";"Девятское кладбище";"Поселение Рязановское, д. Девятское";37.51621200000;55.47207100000;0.00000000000;"";"";"";"";5.96000000000;"232-40-21";"";"Закрытое";4176285.60740000010;7454029.83459999970
35.00000000000;"Долгопрудненское (Центральное) кладбище";"Долгопрудненское (Центральное) кладбище";"Московская обл., Долгопрудный, Лихачевский пр., д. 1";37.51043000000;55.91743100000;0.00000000000;"";"";"";"";59.60000000000;"408-80-98";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4175641.96080000000;7541996.04260000030
36.00000000000;"Долгопрудненское (Южное) кладбище";"Долгопрудненское (Южное) кладбище";"Московская обл., Долгопрудный, Лихачевский пр., д. 1";37.49794200000;55.90892200000;0.00000000000;"";"";"";"";27.00000000000;"408-80-98";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4174251.80290000000;7540305.93659999970
37.00000000000;"Домодедовское кладбище";"Домодедовское кладбище";"Московская обл., Домодедовский р-н, п/о Чурилково, д. Истомиха";37.82664000000;55.49484000000;0.00000000000;"";"";"";"";100.50000000000;"223-56-82";"Захоронение урной в землю";"Открытое";4210842.29399999980;7458502.89570000020
38.00000000000;"Донское кладбище";"Донское кладбище";"Ул. Орджоникидзе, д. 4";37.60349000000;55.71287600000;0.00000000000;"";"";"";"";7.00000000000;"954-12-89";"Открытый колумбарий, закрытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг";"Закрытое";4186001.35119999990;7501468.44749999980
39.00000000000;"Жохово кладбище";"Жохово кладбище";"Поселение Кленовское, д. Жохово";37.37787000000;55.27258700000;0.00000000000;"";"";"";"";0.50000000000;"232-40-21";"";"Закрытое";4160885.44570000000;7414950.45390000010
40.00000000000;"Захарьинское кладбище";"Захарьинское кладбище";"д. Захарьино, ул. Шоссейная, Южное Бутово";37.59734300000;55.49554500000;0.00000000000;"";"";"";"";10.05000000000;"717-69-18";"Захоронение урной в землю";"Закрытое";4185317.06900000010;7458641.43620000030
41.00000000000;"Зеленоградское (Центральное) кладбище";"Зеленоградское (Центральное) кладбище";"Зеленоград, пр-д 4921, д. 3, стр. 1, д. Ржавки";37.26025400000;55.98590800000;0.00000000000;"";"";"";"";20.92500000000;"(499) 735-85-33";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4147792.49670000000;7555610.85769999960
42.00000000000;"Зеленоградское (Северное) кладбище";"Зеленоградское (Северное) кладбище";"Зеленоград, пр-д 710, д. 19, стр. 1";37.21565200000;55.95421600000;0.00000000000;"";"";"";"";14.74000000000;"(499) 735-85-33";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4142827.42480000020;7549306.75939999990
43.00000000000;"Зосимова пустынь кладбище";"Зосимова пустынь кладбище";"Поселение Новофедоровское, п. Зосимова пустынь";36.91218100000;55.40846400000;0.00000000000;"";"";"";"";0.60000000000;"952-47-37, 952-29-63";"";"Закрытое";4109045.18500000010;7441547.66079999970
