0_OBJECTID;0_UIDNFTN; 1_Наименование;1_Адрес;0_X;0_Y;1_Режим работы;0_Товары; 0_QUANTITY
55;79;Ярмарка выходного дня;ул. Новинки, дом 31;11324,4854;1069,2012;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
56;56;Ярмарка выходного дня;Краснодарская ул., дом 51 стр. 1;16822,5146;1115;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;50
57;57;Ярмарка выходного дня;ул. Головачёва, дом 3 корп. 1;19302,53;1003,4611;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;10
58;78;Ярмарка выходного дня;Судостроительная ул., дом 10 корп. 1;10926,1491;1371,2976;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;45
59;103;Ярмарка выходного дня;ул. Наташи Ковшовой, дом 6;-2838,4019;1849,2265;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;60
60;72;Ярмарка выходного дня;Восточная ул., дом 4А стр. 26;10091,1894;5392,6378;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
61;91;Ярмарка выходного дня;ул. Крупской, дом 9;1780,01;1668,4055;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;15
62;63;Ярмарка выходного дня;ул. Кухмистерова, дом 4;13855,093;2120,8611;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
63;86;Ярмарка выходного дня;ул. Гримау, дом 12;5040,1221;2511,5107;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;15
64;101;Ярмарка выходного дня;ул. Раменки, дом 3;-142,321;2949,2073;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;60
65;58;Ярмарка выходного дня;ул. Юных Ленинцев, дом 52;16799,875;3683,2321;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;80
66;67;Ярмарка выходного дня;Рождественская ул., дом 23/33;26539,7489;4329,1636;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;10
67;60;Ярмарка выходного дня;1-я Новокузьминская ул., дом 21;18494,4349;5317,6418;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
68;108;Ярмарка выходного дня;ул. Толбухина, дом 14;-6134,0794;6290,713;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;40
69;100;Ярмарка выходного дня;Мосфильмовская ул., дом 16;1702,7543;6208,473;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;20
