0_UIDNFTN;1_Название;0_LABEL;1_Адрес;0_X;0_Y;0_BUI_NO_BTI;0_CAD_NO;0_STREET_BTI;0_HOUSE_BTI;0_HADD_BTI;1_Административный округ;1_Количество машино-мест;1_Дата начала строительства;1_Дата окончания;0_POINT_X;0_POINT_Y
143.00000000000;Гараж емкостью 125 машиноместа;Гараж емкостью 125 машиноместа;Костромская ул., вл. 18-20;37.59879000000;55.88499800000;0;;;;;СВАО;125.00000000000;янв.13;авг.13;4185478.15070000010;7535556.00179999970
144.00000000000;Гараж емкостью 240 машиноместа;Гараж емкостью 240 машиноместа;Ленская ул., вл. 31.;37.65624700000;55.86788800000;0;;;;;СВАО;240.00000000000;мар.12;дек.13;4191874.23440000000;7532160.73240000010
145.00000000000;Гараж емкостью 127 машиноместа;Гараж емкостью 127 машиноместа;Мусоргского ул.,вл. 1.;37.62078100000;55.86164400000;0;;;;;СВАО;127.00000000000;мар.13;сен.13;4187926.17739999990;7530922.05960000030
147.00000000000;Гараж емкостью 188 машиноместа;Гараж емкостью 188 машиноместа;Тайнинская ул.,  вл. 13-15;37.68352200000;55.88365400000;0;;;;;СВАО;188.00000000000;окт.12;сен.13;4194910.47350000030;7535289.24770000020
148.00000000000;Гараж емкостью 291 машиноместа;Гараж емкостью 291 машиноместа;Яблочкова ул.,  вл. 49;37.57465500000;55.83045900000;0;;;;;СВАО;291.00000000000;фев.13;сен.13;4182791.45450000000;7524738.61710000040
149.00000000000;Гараж емкостью 543 машиноместа;Гараж емкостью 543 машиноместа;Бибиревская ул., вл. 4.;37.59837000000;55.87947400000;0;;;;;СВАО;543.00000000000;янв.13;окт.13;4185431.39640000000;7534459.66830000000
150.00000000000;Гараж емкостью 350 машиноместа;Гараж емкостью 350 машиноместа;Летчика Бабушкина ул., вл. 42. стр. 1 и 2.;37.67947400000;55.87388200000;0;;;;;СВАО;350.00000000000;янв.13;дек.13;4194459.85219999960;7533349.99799999970
151.00000000000;Гараж емкостью 950 машиноместа;Гараж емкостью 950 машиноместа;Огородный пр-д, 20;37.59195100000;55.82134000000;0;;;;;СВАО;950.00000000000;янв.13;дек.13;4184716.83630000010;7522931.41530000050
153.00000000000;Гараж емкостью 98 машиноместа;Гараж емкостью 98 машиноместа;Дежнева пр., вл. 9. (кор. 1.);37.64543100000;55.87050000000;0;;;;;СВАО;98.00000000000; -;янв.00;4190670.20289999990;7532678.95480000040
154.00000000000;Гараж емкостью 85 машиноместа;Гараж емкостью 85 машиноместа;Бутлерова ул. вл.12;37.53097000000;55.64972600000;0;;;;;ЮЗАО;85.00000000000;авг.12;мар.13;4177928.46160000000;7488999.69600000050
155.00000000000;Гараж емкостью 90 машиноместа;Гараж емкостью 90 машиноместа;Генерала Тюленева ул. вл.2;37.48493500000;55.62590800000;0;;;;;ЮЗАО;90.00000000000;авг.12;мар.13;4172803.86860000020;7484302.13580000030
156.00000000000;Гараж емкостью 257 машиноместа;Гараж емкостью 257 машиноместа;Севастопольский пр-т, вл.28;37.57377100000;55.65991500000;0;;;;;ЮЗАО;257.00000000000;мар.13;дек.13;4182693.04710000010;7491010.11780000010
157.00000000000;Гараж емкостью 263 машиноместа;Гараж емкостью 263 машиноместа;Азовская ул., вл. 35 (1-я очередь);37.59806100000;55.64662200000;0;;;;;ЮЗАО;263.00000000000;мар.13;дек.13;4185396.99740000020;7488387.34069999960
159.00000000000;Гараж емкостью 939 машиноместа;Гараж емкостью 939 машиноместа;Голубинская ул., напротив вл. 23;37.52842200000;55.59893600000;0;;;;;ЮЗАО;939.00000000000;фев.13;дек.13;4177644.81919999980;7478985.96640000030
160.00000000000;Гараж емкостью 300 машиноместа;Гараж емкостью 300 машиноместа;Между Академ. Волгина ул. и пр.пр. 4989, кор. 46;37.51901100000;55.65512500000;0;;;;;ЮЗАО;300.00000000000;фев.13;дек.13;4176597.19180000010;7490064.92360000030
161.00000000000;Гараж емкостью 436 машиноместа;Гараж емкостью 436 машиноместа;Одоевского пр-д, напротив  вл. 7;37.50807500000;55.59945000000;0;;;;;ЮЗАО;436.00000000000;фев.13;дек.13;4175379.80159999990;7479087.24120000000
162.00000000000;Гараж емкостью 405 машиноместа;Гараж емкостью 405 машиноместа;Старобитцевская ул., напротив вл. 19-А;37.58097400000;55.57786100000;0;;;;;ЮЗАО;405.00000000000;мар.13;дек.13;4183494.88079999990;7474834.63619999960
163.00000000000;Гараж емкостью 326 машиноместа;Гараж емкостью 326 машиноместа;Ясногорская ул. вл.21;37.53094700000;55.59822000000;0;;;;;ЮЗАО;326.00000000000;дек.12;ноя.13;4177925.90079999990;7478844.89290000030
165.00000000000;Гараж емкостью 298 машиноместа;Гараж емкостью 298 машиноместа;Литовский б-р, вл. 1-5;37.53332400000;55.61413200000;0;;;;;ЮЗАО;298.00000000000;мар.13;дек.13;4178190.50730000020;7481980.64169999960
166.00000000000;Гараж емкостью 98 машиноместа;Гараж емкостью 98 машиноместа;Северное Тушино мкр. 4 вл. 21 (Героев Панфиловцев, вл. 17, к.4);37.42542000000;55.85581400000;0;;;;;СЗАО;98.00000000000;фев.13;ноя.13;4166178.69059999990;7529765.69440000040
167.00000000000;Гараж емкостью 141 машиноместа;Гараж емкостью 141 машиноместа;Свободы ул., вл. 91, корп. 3;37.44532100000;55.86617900000;0;;;;;СЗАО;141.00000000000;фев.13;ноя.13;4168394.05990000020;7531821.68360000010
