0_OBJECTID;0_UIDNFTN;Название;0_LABEL;Адрес;0_X;0_Y;0_ZRENIE;0_OPORNO_DVIG
189;191;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 31 (ГБУ  ПВТ № 31) Департамента социальной защиты населения города Москвы;ГБУ города Москвы Пансионат для ветеранов труда № 31 (ГБУ  ПВТ № 31) Департамента социальной защиты населения города Москвы. 117321,               ул. Островитянова,          д. 16 корп. 5;117321, г. Москва,               ул. Островитянова,          д. 16 корп. 5;510,0263;-3781,816;частично приспособлен;полностью приспособлен
190;194;Государственное бюджетное учреждение города Москвы Психоневрологический интернат №4;ГБУ города Москвы Психоневрологический интернат №4. Город Москва 121433, ул. Полосухина, д.3;Город Москва 121433, ул. Полосухина, д.3;-2508,659258;7698,712901;  Не приспособлен;  Не приспособлен
191;195;ГБУ Психоневрологический интернат №11;ГБУ Психоневрологический интернат №11. г. Москва ул. Ставропольская   д 37;г. Москва ул. Ставропольская   д 37;17308,9;2004,425732;не приспособлен;частично приспособлен
192;196;ГБУ Психоневрологический интернат № 12 Департамента социальной защиты города Москвы;ГБУ Психоневрологический интернат № 12 Департамента социальной защиты города Москвы. ул. 9-я парковая 53;Москва, ул. 9-я парковая 53;18770,78446;15651,53691;не приспособлен;частично приспособлен
193;198;Государственное бюджетное учреждение города Москвы Психоневрологический интернат №16 Департамента социальной защиты населения города Москвы;ГБУ города Москвы Психоневрологический интернат №16 Департамента социальной защиты населения города Москвы. 115487, ул. Садовники, д. 15;115487, г.Москва, ул. Садовники, д. 15;9915,17505;431,1529162;не приспособлен;частично приспособлен
194;199;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 20 Департамента социальной защиты населения города Москвы;ГБУ города Москвы Психоневрологический интернат № 20 Департамента социальной защиты населения города Москвы. 119421, ул. Обручева, д. 28, кор. 4;119421, Москва, ул. Обручева, д. 28, кор. 4;1035,3565;-1261,944799;не приспособлен;частично приспособлен
195;200;ГБУ ПНИ №22;ГБУ ПНИ №22. Москва ул. Лосиноостровская, д.27;Москва ул. Лосиноостровская, д.27;13470,90152;17862,25306;не приспособлен;частично приспособлен
196;201;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 25 (ГБУ ПНИ № 25);ГБУ города Москвы Психоневрологический интернат № 25 (ГБУ ПНИ № 25). ул. Талдомская, д.6;Москва, ул. Талдомская, д.6;1683,15675;22997,84147;не приспособлен;частично приспособлен
197;203;Государственное бюджетное учреждение города Москвы Психоневрологический интернат №30 Департамента социальной защиты населения города Москвы;ГБУ города Москвы Психоневрологический интернат №30 Департамента социальной защиты населения города Москвы. ул.Днепропетровская, д.14;Москва, ул.Днепропетровская, д.14;5336,9915;-5285,660517;Не приспособлен;Частично приспособлен
198;184;"ГБУ ""Пансионат для инвалидов по зрению""";"ГБУ ""Пансионат для инвалидов по зрению"". 142854, Московская область, Ступинский район, сельское поселение Аксиньское, в районе д. Карпово";142854, Московская область, Ступинский район, сельское поселение Аксиньское, в районе д. Карпово;38,264595;55,126066;Частично приспособлен;Частично приспособлен
199;189;"ГБУ ПВВТ ""Турист""";"ГБУ ПВВТ ""Турист"". Московская область,Дмитровский район,городское поселение Деденево,рабочий поселок Деденево,ул. Советская, д. 32А";Московская область,Дмитровский район,городское поселение Деденево,рабочий поселок Деденево,ул. Советская, д. 32А;37,512008;56,247856;частично приспособлен;частично приспособлен
200;192;ГБУ ПНИ № 2;ГБУ ПНИ № 2. Серпуховский район, м. Данки;Серпуховский район, м. Данки;37,57043;54,917669;частично приспособлен;частично приспособлен
201;193;ГБУ ПНИ №3 ДСЗН;ГБУ ПНИ №3 ДСЗН. Московская область, Дмитровский район, пос. Луговой;Московская область, Дмитровский район, пос. Луговой;37,233022;56,457987;не приспособлен;не приспособлен
202;197;Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 13 Департамента социальной защиты населения города Москвы;ГБУ города Москвы Психоневрологический интернат № 13 Департамента социальной защиты населения города Москвы. Московская область, Ступинский район, село Лужники;Московская область, Ступинский район, село Лужники;38,094384;54,844386;Не приспособлен;Частично приспособлен
203;205;Государственное бюджетное учреждение города Москвы Реабилитационный центр для инвалидов Департамента социальной защиты населения города Москвы Филиал  «Виват»;ГБУ города Москвы Реабилитационный центр для инвалидов Департамента социальной защиты населения города Москвы Филиал  «Виват». 143150, Московская область, Рузский район, сельское поселение Старорузское, д.Нестерово;143150, Московская область, Рузский район, сельское поселение Старорузское, д.Нестерово;36,341049;55,626862;Частично приспособлен;Приспособлен
