1_Номер;0_name;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Количество квартир;0_moddate;0_moduser
579;Высоковольтный проезд 1 к.4                                                                                                                                                                                                                                   ;Высоковольтный проезд 1 к.4                                                                                                                                                                                                                                   ;Высоковольтный проезд 1 к.4                                                                                                                                                                                                                                   ;5853,987625;23053,33869;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;252;12:00:00 AM;                                                                                                    
580;проспект Буденного 26 к.1                                                                                                                                                                                                                                     ;проспект Буденного 26 к.1                                                                                                                                                                                                                                     ;проспект Буденного 26 к.1                                                                                                                                                                                                                                     ;14603,83325;10827,22359;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;60;12:00:00 AM;                                                                                                    
581;Борисовская 1                                                                                                                                                                                                                                                 ;Борисовская 1                                                                                                                                                                                                                                                 ;Борисовская 1                                                                                                                                                                                                                                                 ;14916,86909;13169,11152;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;213;12:00:00 AM;                                                                                                    
583;Фестивальная 32 к.1                                                                                                                                                                                                                                           ;Фестивальная 32 к.1                                                                                                                                                                                                                                           ;Фестивальная 32 к.1                                                                                                                                                                                                                                           ;354,2679271;21634,82759;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;76;12:00:00 AM;                                                                                                    
584;Фестивальная 30 к.2                                                                                                                                                                                                                                           ;Фестивальная 30 к.2                                                                                                                                                                                                                                           ;Фестивальная 30 к.2                                                                                                                                                                                                                                           ;377,0264272;21483,41317;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;192;12:00:00 AM;                                                                                                    
585;Алабяна 13 к.1                                                                                                                                                                                                                                                ;Алабяна 13 к.1                                                                                                                                                                                                                                                ;Алабяна 13 к.1                                                                                                                                                                                                                                                ;462,868;14795,06608;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;256;12:00:00 AM;                                                                                                    
586;Мичуринский пр-т 16                                                                                                                                                                                                                                           ;Мичуринский пр-т 16                                                                                                                                                                                                                                           ;Мичуринский пр-т 16                                                                                                                                                                                                                                           ;479,0235;3939,910628;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;419;12:00:00 AM;                                                                                                    
587;Онежская 51 к.1                                                                                                                                                                                                                                               ;Онежская 51 к.1                                                                                                                                                                                                                                               ;Онежская 51 к.1                                                                                                                                                                                                                                               ;492,321425;21303,93795;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;192;12:00:00 AM;                                                                                                    
588;Старопетровский пр. 12 к.4                                                                                                                                                                                                                                    ;Старопетровский пр. 12 к.4                                                                                                                                                                                                                                    ;Старопетровский пр. 12 к.4                                                                                                                                                                                                                                    ;786,9686;17595,42324;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;172;12:00:00 AM;                                                                                                    
589;Старопетровский пр. 12 к.5                                                                                                                                                                                                                                    ;Старопетровский пр. 12 к.5                                                                                                                                                                                                                                    ;Старопетровский пр. 12 к.5                                                                                                                                                                                                                                    ;797,923925;17501,15386;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;93;12:00:00 AM;                                                                                                    
590;Мичуринский пр-т 13                                                                                                                                                                                                                                           ;Мичуринский пр-т 13                                                                                                                                                                                                                                           ;Мичуринский пр-т 13                                                                                                                                                                                                                                           ;813,9933655;3468,386047;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;220;12:00:00 AM;                                                                                                    
592;Мичуринский пр-т 13 к.1                                                                                                                                                                                                                                       ;Мичуринский пр-т 13 к.1                                                                                                                                                                                                                                       ;Мичуринский пр-т 13 к.1                                                                                                                                                                                                                                       ;896,3501399;3445,080666;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;220;12:00:00 AM;                                                                                                    
593;Мичуринский пр-т 13 к.2                                                                                                                                                                                                                                       ;Мичуринский пр-т 13 к.2                                                                                                                                                                                                                                       ;Мичуринский пр-т 13 к.2                                                                                                                                                                                                                                       ;900,2684822;3405,207666;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;220;12:00:00 AM;                                                                                                    
594;Ленинский пр-т 105 к.1                                                                                                                                                                                                                                        ;Ленинский пр-т 105 к.1                                                                                                                                                                                                                                        ;Ленинский пр-т 105 к.1                                                                                                                                                                                                                                        ;953,9728191;-193,2451751;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;193;12:00:00 AM;                                                                                                    
595;Ленинский пр-т 105 к.3                                                                                                                                                                                                                                        ;Ленинский пр-т 105 к.3                                                                                                                                                                                                                                        ;Ленинский пр-т 105 к.3                                                                                                                                                                                                                                        ;1215,909499;-307,3130391;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;144;12:00:00 AM;                                                                                                    
596;Ленинский пр-т 105 к.4                                                                                                                                                                                                                                        ;Ленинский пр-т 105 к.4                                                                                                                                                                                                                                        ;Ленинский пр-т 105 к.4                                                                                                                                                                                                                                        ;1242,09337;-397,8917266;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;270;12:00:00 AM;                                                                                                    
597;пр-т Вернадского 27                                                                                                                                                                                                                                           ;пр-т Вернадского 27                                                                                                                                                                                                                                           ;пр-т Вернадского 27                                                                                                                                                                                                                                           ;1270,185525;1617,212746;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;334;12:00:00 AM;                                                                                                    
598;пр.Березовой Рощи 3 к.2                                                                                                                                                                                                                                       ;пр.Березовой Рощи 3 к.2                                                                                                                                                                                                                                       ;пр.Березовой Рощи 3 к.2                                                                                                                                                                                                                                       ;1273,447422;13393,83923;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8;12:00:00 AM;                                                                                                    
600;Новаторов 4 к.3                                                                                                                                                                                                                                               ;Новаторов 4 к.3                                                                                                                                                                                                                                               ;Новаторов 4 к.3                                                                                                                                                                                                                                               ;1361,099852;52,29550636;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;310;12:00:00 AM;                                                                                                    
601;ул. Новаторов д. 10 к. 2                                                                                                                                                                                                                                      ;ул. Новаторов д. 10 к. 2                                                                                                                                                                                                                                      ;ул. Новаторов д. 10 к. 2                                                                                                                                                                                                                                      ;1402,693341;-34,32936862;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;197;24.01.2013;opens\dgpgf_pshenicin                                                                               
449;Зеленоград к.126                                                                                                                                                                                                                                              ;Зеленоград к.126                                                                                                                                                                                                                                              ;Зеленоград к.126                                                                                                                                                                                                                                              ;-18210,0397;37661,49289;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;134;12:00:00 AM;                                                                                                    
450;Зеленоград к.127                                                                                                                                                                                                                                              ;Зеленоград к.127                                                                                                                                                                                                                                              ;Зеленоград к.127                                                                                                                                                                                                                                              ;-18156,81926;37580,3889;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;88;12:00:00 AM;                                                                                                    
451;Зеленоград к.125                                                                                                                                                                                                                                              ;Зеленоград к.125                                                                                                                                                                                                                                              ;Зеленоград к.125                                                                                                                                                                                                                                              ;-18116,829;37689,51375;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;113;12:00:00 AM;                                                                                                    
