1_Тип сооружения;1_Адрес расположения
Тоннель пешеходный;Московская область, Химкинский район, Ленинградское шоссе, автобусная остановка Нагорное шоссе, Химки
Тоннель пешеходный;г.Москва, улица Наметкина, дом 16, соор. 3
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 58А, соор.1
Тоннель пешеходный;г.Москва, Дмитровское шоссе, вл. 14, соор. 2
Тоннель пешеходный;г.Москва, Смоленский бульвар, дом 10, соор. 1
Тоннель пешеходный;г.Москва, проспект Мира, дом 222, соор. 1
Тоннель пешеходный;г.Москва, Нижегородская улица, дом 32, соор. 1
Тоннель пешеходный;г.Москва, Нижегородская улица, дом. 52, соор. 1
Тоннель пешеходный;г.Москва, улица Маши Порываевой, дом 34, соор. 1
Тоннель пешеходный;г.Москва, проспект Мира, дом 112, соор. 3
Тоннель пешеходный;г.Москва, Садовая-Черногрязская улица, дом 22, соор. 1
Тоннель пешеходный;г.Москва, Новослободская улица, дом 62, соор. 1 
Тоннель пешеходный;г.Москва, Новочеремушкинская улица, дом 66, соор. 1
Тоннель пешеходный;г.Москва, Рязанский проспект, дом. 4А, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 94, кор. 2, соор. 1
Тоннель пешеходный;г.Москва, Рязанский проспект, дом. 30/15, соор. 1
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Олимпийский проспект, дом 16, соор. 1
Тоннель пешеходный;г.Москва, Онежская улица, б/н
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 24, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 108, кор. 1, соор. 1
Тоннель пешеходный;Московская область, Осташковское шоссе 3км, поворот на Северную ТЭЦ
Тоннель пешеходный;г.Москва, улица Островитянова, дом 2, соор. 2
Тоннель пешеходный;г.Москва, улица Островитянова, дом 2, соор. 1
Тоннель пешеходный;г.Москва, проспект Андропова, дом 58А, соор. 1
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 14, соор. 1
Тоннель пешеходный;г.Москва, Рязанский проспект, дом. 30, кор. 2, соор. 1
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 42, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 66, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 74, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 84, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 96, соор. 1
Тоннель пешеходный;г.Москва, Измайловский проспект, дом 56, соор. 5
Тоннель пешеходный;г.Москва, Измайловский проспект, дом 58, соор. 1
Тоннель пешеходный;г.Москва, Ленинградский проспект, дом 60, соор.1
Тоннель пешеходный;г.Москва, Ленинградский проспект, дом 36, соор.1
Тоннель пешеходный;г.Москва, Ленинградский проспект, дом 44, соор.1
Тоннель пешеходный;г.Москва, Можайское шоссе , дом 18, соор. 2
