0_uidnftn;1_Наименование;0_label;1_Трасса маршрута;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_moddate;0_moduser;1_Сторона фиксации;1_Административный округ;0_shape_leng
60;Маршрут №39 по ЦАО;Маршрут №39 по ЦАО;2-й Спасоналивковский пер - Казанский пер. - 1-й Спасоналивковский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,011945485
61;Маршрут №40 по ЦАО;Маршрут №40 по ЦАО;ул. Малая Якиманка - Бродников пер. - ул. Большая Якиманка;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,008564338
62;Маршрут №2 по 4СБ;Маршрут №2 по 4СБ;Центральный АО;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,033409685
63;Маршрут №41 по ЦАО;Маршрут №41 по ЦАО;ул. Волхонка - ул. Знаменка - Пречистенская наб. - Соймоновский пр.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,021781789
64;Маршрут №42 по ЦАО;Маршрут №42 по ЦАО;ул. Остоженка - Соймоновский пр. - Пречистенская наб. - Новокрымский пр.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,031938694
65;Маршрут №43 по ЦАО;Маршрут №43 по ЦАО;ул. Поварская - Малый Ржевский пер. - Стловый пер. - Медвежий пер. - Мерзляковский пер. - Большая Никитская ул. - Никитский бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,020404084
66;Маршрут №44 по ЦАО;Маршрут №44 по ЦАО;ул. Поварская - Малый Ржевский пер. - Большая Никитская ул. - Скарятинский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,014529105
67;Маршрут №45 по ЦАО;Маршрут №45 по ЦАО;ул. Спиридоновка - Спиридоновский пер. - Малая Бронная ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,016060518
68;Маршрут №46 по ЦАО;Маршрут №46 по ЦАО;Малая Никитская ул. - Большая Никитская ул. - Скарятинский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,017765181
1;Кремлевское кольцо(Маршрут №4 по 1 СБ ДПС);Кремлевское кольцо(Маршрут №4 по 1 СБ ДПС);ул. Варварка по нечетной стороне;0;0;0;;;;;12:00:00 AM;;Нечетная сторона;ЦАО;0,008298178
6;Пилотный проект(Маршрут № 1);Пилотный проект(Маршрут № 1);Петровский пер., Дмитровский пер. (четная сторона);0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,018676679
7;Пилотный проект(Маршрут №2);Пилотный проект(Маршрут №2);ул.Петровка (четная сторона);0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,005638874
8;Пилотный проект(Маршрут №3);Пилотный проект(Маршрут №3);Средний Каретный пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,007124207
9;Маршрут № 50 ЦАО;Маршрут № 50 ЦАО;Лихов пер. - Малый Каретный пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,005874465
10;Пилотный проект(Маршрут № 5);Пилотный проект(Маршрут №5);Петровские линии (нечетная сторона);0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,014406946
11;Пилотный проект(Маршрут №6);Пилотный проект(Маршрут №6);Каретный ряд;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,004940842
12;Пилотный проект(Маршрут №7);Пилотный проект(Маршрут №7);Успенский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,029678026
13;Пилотный проект(Маршрут №8);Пилотный проект(Маршрут №8);ул. Петровка - Дмитровский пер - ул. Большая Дмитровка - Страстной бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,017088179
14;Пилотный проект(Маршрут №8);Пилотный проект(Маршрут №8);Лихов пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,004151937
15;Пилотный проект(Маршрут №9);Пилотный проект(Маршрут №9);1-й Колобовский пер., 3-й Колобовский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,049068966
16;Пилотный проект(Маршрут №10);Пилотный проект(Маршрут №10);Петровский пер., Дмитровский пер. (нечетная сторона);0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,003027121
17;Маршрут №83 по ЦАО;Маршрут №83 по ЦАО;ул. Воронцово Поле - ул. Земляной Вал - Серебряническая наб. - пл. Яузские ворота - Яузский бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,033014799
18;Пилотный проект(Маршрут №11);Пилотный проект(Маршрут №11);Петровский бульвар, Страстной бульвар;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,001866177
19;Пилотный проект(Маршрут №12);Пилотный проект(Маршрут №12);Петровские линии (четная сторона), Рахмановский пер. (нечетная сторона);0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,030607816
20;Кремлевское кольцо(Маршрут №1);Кремлевское кольцо(Маршрут №1);ул. Моховая-ул. Охотный Ряд-Театральный пр-д-Новая пл.-Китайгородский пр-д-Москворецкая наб.-Кремлевская наб.-Боровицкая пл.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,059855307
21;Кремлевское кольцо(Маршрут №3);Кремлевское кольцо(Маршрут №3);ул. Никольская - Ветошный пер;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,009831726
22;Кремлевское кольцо(Маршрут №2);Кремлевское кольцо(Маршрут №2);Малый Черкасский пер. - Большой Черкасский пер. - ул. Ильинка - Рыбный пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,010205777
23;Кремлевское кольцо(Маршрут №5);Кремлевское кольцо(Маршрут №5);ул. Ильинка;0;0;0;;;;;12:00:00 AM;;Нечетная сторона;ЦАО;0,008060333
24;Маршрут №1 по ЦАО;Маршрут №1 по ЦАО;ул. Старая Басманная - ул. Садовая-Черногрязская - ул. Новая Басманная;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,033763269
25;Маршрут №3 по ЦАО;Маршрут №3 по ЦАО;ул. Рождественка - ул. Пушечная - ул. Неглинная - Трубная пл.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,015519822
