0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Муниципальный район;1_Организационно-правовая форма;1_Управляющая компания;1_Юридический адрес управляющей компании;1_Вид рынка;1_Режим работы;0_moddate;0_moduser
19;Афганец                                                                                                                                                                                                                                                       ;Афганец                                                                                                                                                                                                                                                       ;Ул. Зеленодольская, вл. 42                                                                                                                                                                                                                                    ;37,764981;55,701958;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;Кузьминки                                                                                                                                                                                                                                                     ;ООО                                                                                                                                                                                                                                                           ;«АФГАНЕЦ»                                                                                                                                                                                                                                                     ;109462, г. Москва, ул. Зеленодольская, вл. 42                                                                                                                                                                                                                 ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 9-00-19. час.                                                                                                                                                                                                                                               ;12:00:00 AM;                                                                                                    
20;Лефортовский                                                                                                                                                                                                                                                  ;Лефортовский                                                                                                                                                                                                                                                  ;Ул. Авиамоторная, вл. 39                                                                                                                                                                                                                                      ;37,716557;55,754132;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;Лефортово                                                                                                                                                                                                                                                     ;ОАО                                                                                                                                                                                                                                                           ;«Лефортовский рынок»                                                                                                                                                                                                                                          ;111024 г.Москва, ул. Авиамоторная, д. 39                                                                                                                                                                                                                      ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
21;ТК Барс-2                                                                                                                                                                                                                                                     ;ТК Барс-2                                                                                                                                                                                                                                                     ;Новочеркасский бульвар, вл. 5а                                                                                                                                                                                                                                ;37,720389;55,647528;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;Марьино                                                                                                                                                                                                                                                       ;ООО                                                                                                                                                                                                                                                           ;«Барс-2»                                                                                                                                                                                                                                                      ;140011 Московская область, Люберецкий район, г.Люберцы, ул. Шоссейная, д.2                                                                                                                                                                                    ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 9-00 - 19-00 час.                                                                                                                                                                                                                                           ;12:00:00 AM;                                                                                                    
22;ТК Печатники                                                                                                                                                                                                                                                  ;ТК Печатники                                                                                                                                                                                                                                                  ;Ул. Шоссейная, вл. 1                                                                                                                                                                                                                                          ;37,728331;55,695563;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;Печатники                                                                                                                                                                                                                                                     ;ЗАО                                                                                                                                                                                                                                                           ;«Фирма «БЛИК»                                                                                                                                                                                                                                                 ;109004 г.Москва, Тетеринский пер., д. 4/8, стр.2                                                                                                                                                                                                              ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 9-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
23;Ярмарка на Люблинской                                                                                                                                                                                                                                         ;Ярмарка на Люблинской                                                                                                                                                                                                                                         ;Ул. Люблинская, вл. 16-18                                                                                                                                                                                                                                     ;37,732876;55,697746;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;Текстильщики                                                                                                                                                                                                                                                  ;ООО                                                                                                                                                                                                                                                           ;"«Объединение 
АВЕЛ-ЦЕНТР»                                                                                                                                                                                                                                     ";109390 г.Москва, ул. Люблинская, вл. 16-18                                                                                                                                                                                                                    ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 9-00-17-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
24;Люблинский                                                                                                                                                                                                                                                    ;Люблинский                                                                                                                                                                                                                                                    ;Ул. Люблинская, вл. 10-12                                                                                                                                                                                                                                     ;37,730424;55,701955;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;Текстильщики                                                                                                                                                                                                                                                  ;Государственное Унитарное предприятие                                                                                                                                                                                                                         ;«ЛЮБЛИНСКИЙ РЫНОК»                                                                                                                                                                                                                                            ;109390 г.Москва, ул. Люблинская, д. 10-12                                                                                                                                                                                                                     ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
25;Велозаводский                                                                                                                                                                                                                                                 ;Велозаводский                                                                                                                                                                                                                                                 ;Ул. Велозаводская, вл. 13                                                                                                                                                                                                                                     ;37,668241;55,710372;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;Южнопортовый                                                                                                                                                                                                                                                  ;ОАО                                                                                                                                                                                                                                                           ;«Велозаводский рынок»                                                                                                                                                                                                                                         ;115280 г.Москва, ул. Велозаводская, д. 13                                                                                                                                                                                                                     ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
26;Даниловский                                                                                                                                                                                                                                                   ;Даниловский                                                                                                                                                                                                                                                   ;Ул. Мытная, вл.74 (д.74)                                                                                                                                                                                                                                      ;37,620498;55,712037;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;Даниловский                                                                                                                                                                                                                                                   ;ОАО                                                                                                                                                                                                                                                           ;«Даниловский рынок»                                                                                                                                                                                                                                           ;115191  г. Москва, ул. Мытная, д.74                                                                                                                                                                                                                           ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
27;Москворецкий                                                                                                                                                                                                                                                  ;Москворецкий                                                                                                                                                                                                                                                  ;Ул. Болотниковская д. 12                                                                                                                                                                                                                                      ;37,60645;55,657345;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;Нагорный                                                                                                                                                                                                                                                      ;ООО                                                                                                                                                                                                                                                           ;«Москворецкий  рынок»                                                                                                                                                                                                                                         ;117556  г. Москва, Симферопольский бульвар, д.11/12                                                                                                                                                                                                           ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
28;Домодедовский                                                                                                                                                                                                                                                 ;Домодедовский                                                                                                                                                                                                                                                 ;Пересечение Каширского шоссе с Ореховым бульваром                                                                                                                                                                                                             ;37,71745;55,610914;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;Орехово-Борисово Южное                                                                                                                                                                                                                                        ;ЗАО                                                                                                                                                                                                                                                           ;холдинговая компания «Автобан и Ко»                                                                                                                                                                                                                           ;115583  г. Москва, Ореховый бульвар, д. 14, к.3                                                                                                                                                                                                               ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
29;Царицынский                                                                                                                                                                                                                                                   ;Царицынский                                                                                                                                                                                                                                                   ;Ул. Каспийская, вл.36                                                                                                                                                                                                                                         ;37,670178;55,620345;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Царицыно                                                                                                                                                                                                                                                      ;ОАО                                                                                                                                                                                                                                                           ;«Рыночный комплекс «Царицынский»                                                                                                                                                                                                                              ;115516  г. Москва, ул. Каспийская, д.36                                                                                                                                                                                                                       ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
