Реестровый номер,Фамилия,Имя,Отчество,Присвоение статуса Реквизиты решения о присвоении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении сведений об адвокате в реестр,Приостановление статуса Реквизиты решения совета адвокатской палаты о приостоновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о приостоновлении статуса адвоката,Возобновление статуса Реквизиты решения совета адвокатской палаты о возобновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о возобновлении,Прекращение статуса Реквизиты решения совета адвокатской палаты о прекращении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о прекращении статуса,Исключение сведений об адвокате из реестра Реквизиты уведомления совета адвокатской палаты,Реквизиты распоряжения территориального органа Минюста России об исключении сведений об адвокате,Внесение изменений Содержание изменений,Реквизиты распоряжения территориального органа Минюста России о внесении в реестр изменений,Column,Column2,Column3
77/3538,Павлова,Лариса,Октябристовна,№ от 22.03.1983,№5024-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3539,Посутман,Нина,Феликсовна,№ от 28.02.1974,№5046-а от 26.09.2002,,,,, №9 от 03.03.2003, №35-а от 27.03.2003,,,,,прекращен ст.,,
77/3540,Пшеничная,Екатерина,Игоревна,№ от 05.12.2000,№5046-а от 26.09.2002,,,,,,,,,,,,"МКА ""Бинецкий и партнеры""",
77/3541,Малышева,Татьяна,Вячеславовна,№ от 25.08.1997,№5043-а от 26.09.2002,,,,,№ 6 от 18.06.2012,№ 3206 от 29.06.2012,,,,,,МГКА,
77/3542,Малиновская,Татьяна,Анатольевна,№ от 02.12.1997,№5043-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3543,Манафов,Ага,Гадирович,№ от 27.10.1998,№5074-а от 26.09.2002,,,,,,,,,,,,кабинет,
77/3544,Мальцева,Ольга,Леонидовна,№ от 10.10.1995,№5042-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3545,Муратов,Андрей,Иосифович,№ от 26.11.1991,№5013-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3546,Макаров,Михаил,Викторович,№ от 01.06.1999,№4974-а от 26.09.2002,,,,,,,,,,,,"МКА ""Практика""",
77/3547,Макаров,Александр,Леонидович,№ от 15.08.2000,№4974-а от 26.09.2002,,,,,,,,,,,,"КА ""Львова и парт.""",
77/3548,Макаров,Андрей,Михайлович,№ от 07.12.1999,№4974-а от 26.09.2002, №621 от 11.08.2003, №262-а от 14.08.2003,,,,,,,,,приост.ст.,"АБ ""А.Макаров и А.Тобак""",
77/3549,Макаров,Виктор,Федорович,№ от 16.06.1998,№4974-а от 26.09.2002,,,,,,,,,,,,"КА ""1-я КА""",
77/3550,Рябенко,Василий,Федорович,№ от 01.03.1977,№5062-а от 26.09.2002,,,,,№12 от 21.12.2011,№8-а от 16.01.2012,,,,,,МГКА,
77/3551,Рыжова,Светлана,Ивановна,№ от 16.01.1996,№4972-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3552,Ракова,Марина,Евгеньевна,№ от 22.05.1990,№5000-а от 26.09.2002, №5 от 21.05.2008, №105-а от 02.06.2008,,,,,,,,,приост.ст.,МГКА,
77/3553,Ракитина,Ольга,Всеволодовна,№ от 28.02.1974,№5000-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3554,Рахмилович,Виктор,Абрамович,№ от 10.10.1989,№5000-а от 26.09.2002,,,,, №988 от 02.06.2004, №127-а от 10.06.2004,,,,,прекращен ст.,,
77/3555,Федотов,Виталий,Владимирович,№ от 26.03.1996,№5077-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3556,Федотова,Виктория,Эммануиловна,№ от 28.03.1952,№5077-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3557,Федотова,Галина,Михайловна,№ от 27.04.1966,№5077-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3558,Филатов,Александр,Иванович,№ от 07.08.1956,№5077-а от 26.09.2002,,,,,,,,,,,,МГКА,"МКА ""Финансы.Право.Менеджмент"""
77/3559,Федотова,Мария,Аркадьевна,№ от 27.02.1979,№5077-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3560,Федосеева,Ирина,Геннадиевна,№ от 28.05.1998,№5060-а от 26.09.2002, №7 от 16.06.2004, №193-а от 29.06.2004, №6 от 21.06.2005, №142-а от 15.07.2005,,,,,,,,МГКА,
77/3561,Ребинин,Валерий,Гаврилович,№ от 13.02.1967,№5012-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3562,Рахмилович,Андрей,Викторович,№ от 28.02.1975,№5000-а от 26.09.2002,,,,,,,,,,,,"АБ ""Маргулян и Рахмилович""",
77/3563,Рахманова,Нина,Яковлевна,№ от 24.12.1954,№5000-а от 26.09.2002,,,,,,,,,,,,МГКА,МГКА
77/3564,Найдеров,Юрий,Вячеславович,№ от 05.06.2001,№4230-а от 24.09.2002,,,,,,,,,,,,"АБ ""Ушаков и партнеры""",
77/3565,Каретный,Сергей,Степанович,№ от 26.04.1994,№5146-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3566,Карлина,Галина,Викторовна,№ от 09.06.1987,№5146-а от 26.09.2002,,,,, №2116 от 22.12.2004, №12-а от 14.01.2005,,,,,прекращен ст.,МГКА,
77/3567,Карлов,Иван,Сергеевич,№ от 05.06.2001,№5146-а от 26.09.2002,,,,,,,,,,,,"КА г.М ""Центр адв.помощи""",
77/3568,Карловская,Анна,Сергеевна,№ от 01.11.1994,№5146-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3569,Карева,Наталия,Николаевна,№ от 29.10.1996,№5146-а от 26.09.2002,,,,,  №3509 от 24.12.2009, №387-а от 31.12.2009,,,,,прекращён ст.,"МКА ""Бинецкий и партнеры""",
77/3570,Кармель,Людмила,Борисовна,№ от 24.12.1957,№5155-а от 26.09.2002,,,,, №12 от 07.10.2004, №282-а от 20.10.2004,,,,,прекращен ст.,МГКА,Межтеррит.КА
77/3571,Кондаков,Юрий,Анатольевич,№ от 07.02.1995,№5173-а от 26.09.2002, №6 от 21.06.2005, №143-а от 15.07.2005,,,,,,,,,приост.ст.,МГКА,
77/3572,Леонова,Инна,Станиславовна,№ от 30.01.1996,№3881-а от 24.09.2002,,,,,,,,,,,,МГКА,"КА ""МКА №27"""
77/3573,Комлева,Лариса,Александровна,№ от 28.02.1986,№5173-а от 26.09.2002, №5 от 15.05.2006, №115-а от 29.05.2006,,,,,,,,,приост.ст.,МГКА,
77/3574,Ривкин,Константин,Евгеньевич,№ от 17.12.1996,№5166-а от 26.09.2002,,,,,,,,,,,,"МКА ""Каганер и партнеры""",
77/3575,Лямзин,Николай,Владимирович,№ от 12.02.1981,№5158-а от 26.09.2002, №1 от 27.01.2011, №16-а от 07.02.2011,,,№87 от 17.06.2010  отменено №13 от 21.12.2010 ,№177-а  от 14.07.2010 отменено №362 от 31.12.2010 ,,,,,прекращен ст.,МГКА,
77/3576,Ляховский,Владимир,Александрович,№ от 12.03.2002,№5158-а от 26.09.2002,,,,,,,,,,,,"МКА ""Ионцев, Ляховский и партнеры""",
77/3577,Константинова,Нелли,Георгиевна,№ от 29.05.1990,№3883-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3578,Константинова,Ольга,Николаевна,№ от 25.06.2002,№3882-а от 24.09.2002,,,,, №1 от 30.01.2008, №29-а от 19.02.2008,,,,,прекр.ст.,"АБ ""Лавров и парт.""",
77/3579,Колковский,Александр,Юлианович,№ от 27.05.1986,№5158-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3580,Колосова,Елена,Викторовна,№ от 29.10.1996,№5158-а от 26.09.2002, №1 от 30.01.2008, №27-а от 15.02.2008,№ 9 от 29.09.2011,№ 193-а от 14.10.2011,№1 от 24.01.2006  отменено №2 от 27.02.2006 ,№26-а  от 09.02.2006 отменено №52-а от 13.03.2006 ,,,,,приост.ст.,МГКА,
77/3581,Колесников,Александр,Тимофеевич,№ от 08.02.2000,№5158-а от 26.09.2002,,,,, №12 от 20.12.2006, №259-а от 29.12.2006,,,,,прекр.ст.,кабинет,
77/3582,Кононов,Виталий,Иванович,№ от 17.11.1998,№3880-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3583,Андреечкина,Марина,Александровна,№ от 28.05.1998,№3947-а от 24.09.2002,,,,, №6 от 21.06.2007, №123-а от 09.07.2007,,,,,прекр.ст.,МГКА,
77/3584,Андрианов,Игорь,Павлович,№ от 18.10.1994,№3948-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3585,Макеева,Елена,Владимировна,№ от 28.02.2002,№5143-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3586,Макешин,Геннадий,Васильевич,№ от 28.05.1996,№5143-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3587,Мамут,Цицилия,Людвиговна,№ от 01.08.1972,№5143-а от 26.09.2002,,,,, №5 от 21.05.2008, №107-а от 02.06.2008,,,,,прекр.ст.,МГКА,кабинет
77/3588,Маклаков,Вадим,Олегович,№ от 29.10.1996,№5143-а от 26.09.2002,,,,,,,,,,,,"АБ ""Рез., Гаг., Абуш.и парт.""",
77/3589,Макарова,Юлия,Сергеевна,№ от 30.06.2002,№5143-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3590,Мирзоян,Лианэ, Ашотовна,№ от 30.05.1995,№5148-а от 26.09.2002,,,,,,,,,,,приост.ст.,МГКА,"МКА ""Арутюнов и парт."""
77/3591,Кузнецова,Елена,Федосьевна,№ от 26.02.1980,№3886-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3592,Кустова,Татьяна,Владимировна,№ от 01.06.1999,№3887-а от 24.09.2002,,,,,,,,,,,,МГКА,Межрег.КА
77/3593,Кусилова,Яна,Вячеславовна,№ от 30.01.1996,№3888-а от 24.09.2002,,,,, №2116 от 22.12.2004, №12-а от 14.01.2005,,,,,прекращен ст.,"КА ""1-я КА""",
77/3594,Капустин,Александр,Юрьевич,№ от 25.06.2002,№5169-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3595,Каплан,Марина,Абрамовна,№ от 21.07.1960,№5169-а от 26.09.2002,,,,, №9 от 25.09.2007, №178-а от 15.10.2007,,,,,прекр.ст.,МГКА,
77/3596,Капранова,Юлия,Алексеевна,№ от 30.05.1995,№5169-а от 26.09.2002, №2775 от 17.09.2010, №247-а от 24.09.2010,,,,,,,,,приост.ст.,МГКА,
77/3597,Капранова,Лидия,Федоровна,№ от 01.03.1994,№5169-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3598,Зубкова,Валентина,Ивановна,№ от 24.03.1992,№3964-а от 24.09.2002,,,,, №12 от 20.12.2007, №04-а от 10.01.2008,,,,,прекр.ст.,МГКА,
77/3599,Журавлев,Сергей,Анатольевич,№ от 16.04.1996,№3951-а от 24.09.2002,,,,, №2032 от 20.07.2009, №242-а от 28.07.2009,,,,,прекращен ст.,МГКА,
77/3600,Жулябин,Олег,Иванович,№ от 28.05.1998,№3950-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3601,Журавлева,Оксана,Олеговна,№ от 30.05.2000,№3952-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3602,Журавлев,Роман,Александрович,№ от 24.04.2002,№3945-а от 27.09.2002,,,,,,,,,,,,МГКА,
77/3603,Жигарев,Роман,Владимирович,№ от 25.06.2002,№3946-а от 24.09.2002,,,,,,,,,,,,"АБ ""Рез., Абуш., Гаг.и парт.""",
77/3604,Жулябин,Иван,Иванович,№ от 24.09.1985,№3949-а от 24.09.2002,,,,, №1533 от 27.05.2010, №144-а от 07.06.2010,,,,,прекращен ст.,МГКА,
77/3605,Гаухман,Михаил,Сергеевич,№ от 28.02.2002,№5163-а от 26.09.2002,№2 от 17.02.2011,№38-а от 01.03.2011,,,,,,,,,,МГКА,
77/3606,Плотников,Сергей,Леонидович,№ от 23.06.1992,№4326-а от 24.09.2002,,,,,,,,,,,,"КА ""Северо-Запад""",
77/3607,Нестерова,Лариса,Васильевна,№ от 01.06.1993,№4324-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3608,Абушахмин,Глеб,Борисович,№ от 29.05.1990,№3879-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3609,Ивашина,Елена,Михайловна,№ от 28.02.1974,№5166-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3610,Зозуля,Александр,Яковлевич,№ от 15.06.1992,№3761-а от 24.09.2002,,,,, №13 от 25.06.2003, №237-а от 22.07.2003,,,,,прекращен ст.,,
77/3611,Зобков,Сергей,Викторович,№ от 01.03.1994,№3762-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3612,Живина,Алла,Викторовна,№ от 28.02.1974,№3752-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3613,Евсеев,Максим,Львович,№ от 25.06.2002,№3906-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3614,Ершова,Марина,Владимировна,№ от 26.02.1982,№3904-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3615,Гусева,Евгения,Владимировна,№ от 28.05.1998,№3885-а от 24.09.2002,,,,,,,,,Шафир,№42-а от 22.02.2005,,"КА ""Центр-я КА г.М""",
77/3616,Грищенко,Алла,Васильевна,№ от 13.11.2001,№3884-а от 24.09.2002, №7 от 19.07.2010, №185-а от 27.07.2010,,,,,,,,,приост.ст.,кабинет,
77/3617,Гальперина,Валерия,Исааковна,№ от 01.03.1977,№5163-а от 26.09.2002,,,,,,,,,,,,МГКА,приост.ст.
77/3618,Галуза,Юлия,Сергеевна,№ от 01.06.1999,№5163-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3619,Гатинян,Юрий,Артемович,№ от 28.09.1993,№5163-а от 26.09.2002,,,,,,,,,,,,"МКА ""РОСПО""",
77/3620,Гаспарян,Инна,Владимировна,№ от 15.10.1991,№5163-а от 26.09.2002,№ 6 от 18.06.2012,№ 3211 от 29.06.2012,,,,,,,,,,МГКА,
77/3621,Кипров,Леонид,Георгиевич,№ от 05.04.1999,№5033-а от 26.09.2002,,,,,,,,,,,,"МКА ""Адв.лига""",МК арбитр-х адв-в
77/3622,Кормушкина,Людмила,Владимировна,№ от 04.09.2001,№5028-а от 26.09.2002,,,,,,,,,,,,"МКА ""Адв.лига""",
77/3623,Кашигина,Галина,Германовна,№ от 04.12.2001,№5031-а от 26.09.2002,,,,,,,,,,,,"МКА ""Макаров и партнеры""",
77/3624,Бабилаев,Анатолий,Николаевич,№ от 18.04.2002,№5117-а от 26.09.2002,,,,,,,,,,,,МЮЦ,"НП КА ""Адвокаты Столицы"""
77/3625,Водопьянова,Наталия,Александровна,№ от 18.04.2002,№4129-а от 24.09.2002,,,,,,,,,,,,"КА ""Мос.адв.центр""",
77/3626,Церковникова,Анна,Вадимовна,№ от 18.04.2002,№4175-а от 24.09.2002,,,,,,,,,,,,"КА ""Коллеги"" (Шарикопод.)",
77/3627,Шкарупин,Анатолий,Александрович,№ от 19.10.2000,№4082-а от 24.09.2002,,,,,,,,,,,,"КА ""Фемида-М""",
77/3628,Шурхай,Владимир,Михайлович,№ от 17.06.1998,№4072-а от 24.09.2002,,,,,,,,,,,,МЮЦ,
77/3629,Эппель,Ольга,Петровна,№ от 15.02.2001,№4085-а от 24.09.2002,,,,, №3 от 13.03.2007, №58-а от 28.03.2007,,,,,прекр.ст.,МЮЦ,
77/3630,Щелокова,Елена,Петровна,№ от 28.09.1994,№4196-а от 24.09.2002,,,,,,,,,,,,"МКА ""Межрегион""",
77/3631,Шубина,Татьяна,Владимировна,№ от 21.06.1995,№4081-а от 24.09.2002,,,,,,,,,,,,"КА ""Гауф и партнеры""",
77/3632,Шабаев,Абдурахман,Шерванович,№ от 21.09.2000,№4089-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3633,Шалагин,Василий,Дмитриевич,№ от 08.09.1994,№4080-а от 24.09.2002,,,,, №2114 от 22.12.2004, №17-а от 17.01.2005,,,,,прекращен ст.,МЮЦ,
77/3634,Карпов,Павел,Николаевич,№ от 22.03.1995,№4116-а от 24.09.2002,,,,,,,,,,,,МЮЦ,
77/3635,Крытаев,Дмитрий,Михайлович,№ от 16.08.2001,№5079-а от 16.09.2002,,,,, №37 от 21.04.2010, №123-а от 11.05.2010,,,,,прекр.ст.,"Межд.КА ""Мюллер и партнеры""",
77/3636,Куркина,Юлия,Вячеславовна,№ от 20.06.2002,№5106-а от 26.09.2002,,,,, №11 от 18.11.2008, №111-а от 12.12.2008,,,,,прекр.ст.,"КА ""Союз моск.адвокатов""",
77/3637,Загорский,Максим,Геннадьевич,№ от 18.06.1998,№4971-а от 26.09.2002,,,,,,,,,,,,"АБ ""Закон и право""",
77/3638,Семенов,Александр,Анатольевич,№ от 16.08.2001,№5099-а от 26.09.2002,,,,,,,,,,,,"АБ ""Кривцов и партнеры""",
77/3639,Скуратова,Елена,Александровна,№ от 16.05.2002,№5105-а от 26.09.2002,,,,,,,,,,,,Межрег.КА,
77/3640,Шимборецкий,Денис,Александрович,№ от 31.05.2002,№5101-а от 26.09.2002,,,,,,,,,,,,"МКА ""Адвокат ХХ! Век""",
77/3641,Орлова,Надежда,Николаевна,№ от 11.06.2002,№4995-а от 26.09.2002,,,,,,,,,,,,"МКА ""Ф.Б.К.-право""",
77/3642,Георгиев,Андрей,Львович,№ от 23.01.1995,№5116-а от 26.09.2002,,,,,,,,,,,,"КА г.М ""БизнесИнЮрКоллегия""",
77/3643,Дорогокупец,Сергей,Анатольевич,№ от 27.06.2002,№5001-а от 26.09.2002,,,,,,,,,,,,"МКА ""Единство""",
77/3644,Яковлев,Андрей,Владимирович,№ от 03.06.2000,№5109-а от 26.09.2002,,,,,,,,,,,,кабинет,
77/3645,Шмелев,Дмитрий,Борисович,№ от 27.01.1999,№5081-а от 26.09.2002,,,,,,,,,,,,Межтеррит.КА,
77/3646,Юрина,Валентина,Ивановна,№ от 20.03.1995,№4645-а от 24.09.2002,,,,,,,,,,,,"МКА ""Ваш адвокат""",
77/3647,Телегин,Александр,Вениаминович,№ от 29.05.2002,№4645-а от 24.09.2002,,,,,,,,,,,,"КА ""С.Мирзоев, П.Мостовой и партнеры, г.М""",
77/3648,Тихомирова,Инна,Геннадьевна,№ от 17.10.2001,№4645-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3649,Завгородний,Алексей,Николаевич,№ от 19.09.1989,№4279-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3650,Королев,Олег,Михайлович,№ от 26.03.2002,№5187-а от 26.09.2002,,,,,,,,,,,,Столичная КА,"КА г.М. ""Гражд.проф-я"""
77/3651,Плотников,Игорь,Алексеевич,№ от 17.07.2001,№5186-а от 26.09.2002,,,,,,,,,,,,Моск.Междунар.КА,
77/3652,Ким,Виктория,Гванчеровна,№ от 13.02.1996,№5184-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/3653,Расулов,Магомедарип,Магомедович,№ от 20.04.2000,№5176-а от 26.09.2002,,,,,,,,,,,,МЮЦ,
77/3654,Сафронова,Наталия,Владимировна,№ от 26.01.2000,№5188-а от 26.09.2002,,,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,искл.из реестра,,
77/3655,Княжевская,Анастасия,Борисовна,№ от 27.11.2001,№4371-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3656,Яськин,Леонид,Викторович,№ от 29.05.2002,№4380-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3657,Обухов,Роман,Геннадьевич,№ от 30.05.2001,№4877-а от 24.09.2002,,,,,,,,,,,,"КА ""Юков, Хренов и партнеры""",
77/3658,Носкова,Елизавета,Михайловна,№ от 10.12.1987,№4876-а от 24.09.2002,,,,, №9 от 30.09.2008, №50-а от 15.10.2008,,,,,прекр.ст.,МРКА,
77/3659,Мартынов,Николай,Васильевич,№ от 06.04.1995,№4875-а от 24.09.2002,,,,, №1 от 01.02.2010, №22-а от 11.02.2010,,,,,прекращен ст.,МРКА,
77/3660,Воробьева,Светлана,Юрьевна,№ от 15.07.1998,№4874-а от 24.09.2002,,,,,№ 10 от 16.10.2012,№ 5628 от 29.10.2012,,,,,,"АБ ""Понамарев и партнеры""",
77/3661,Семенов,Виктор,Петрович,№ от 30.05.1990,№4383-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3662,Моисеев,Дмитрий,Николаевич,№ от 19.06.2002,№4380-а от 24.09.2002,,,,,,,,,,,,"АБ ""Сандыга и парт.""","АБ ""Моисеев, Халимон и К"""
77/3663,Масленникова,Нина,Александровна,№ от 30.12.1995,№4380-а от 24.09.2002,,,,, №1 от 25.01.2007, №20-а от 07.02.2007,,,,,прекр.ст.,кабинет,
77/3664,Лытус,Владимир,Эдуардович,№ от 29.03.2000,№4645-а от 24.09.2000,,,,,,,,,,,,"МКА ""Эгида""",
77/3665,Щербинин,Дмитрий,Евгеньевич,№ от 05.06.1996,№4645-а от 24.09.2002,,,,,,,,,,,,"МКА ""Защита""",
77/3666,Тасалов,Семен,Артемович,№ от 24.01.2001,№4646-а от 24.09.2002,,,,,,,,,,,,"МКА ""Защита""",
77/3667,Тай,Юлий,Валерьевич,№ от 29.05.2002,№4646-а от 24.09.2002,,,,,,,,,,,,"АБ ""Бартолиус""",
77/3668,Шумский,Владимир,Николаевич,№ от 26.06.2002,№4647-а от 24.09.2002,,,,,,,,,,,,"КА г.М ""Корпорация поверенных""","СКА ""Центр защиты бизнеса"""
77/3669,Ястребов,Владимир,Петрович,№ от 03.06.1999,№4647-а от 24.09.2002,,,,,,,,,,,,"МКА ""Защита""","АБ ""Сандыга и пар."""
77/3670,Хохлов,Сергей,Анатольевич,№ от 14.11.2001,№4647-а от 24.09.2002,,,,,,,,,,,,"МКА ""Защита""",
77/3671,Сердюков,Александр,Васильевич,№ от 24.05.2000,№4648-а от 24.09.2002,,,,,,,,,,,,"МКА ""Защита""",
77/3672,Мелников,Анатолий,Петрович,№ от 19.12.2001,№4648-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3673,Судонкина,Валентина,Владимировна,№ от 26.06.2002,№4648-а от 24.09.2002,,,,, №295 от 29.05.2003, №171-а от 16.06.2003,,,,,прекращен ст.,,
77/3674,Старостина,Любовь,Васильевна,№ от 14.11.2001,№4648-а от 24.09.2002,,,,,№ 11 от 17.11.2011,№239-а от 29.11.2011,,,,,,"КА ""1-я МКА""",
77/3675,Сизов,Михаил,Михайлович,№ от 29.10.1999,№4648-а от 24.09.2002,,,,,,,,,,,,"КА ""Красновский и партнеры""",
77/3676,Кирюшина,Елена,Александровна,№ от 17.09.1991,№4525-а от 24.09.2002,,,,,,,,,,,,МРКА,"КА ""Инюрконсалтинг"""
77/3677,Дементьев,Иван,Николаевич,№ от 21.11.1991,№4651-а от 24.09.2002,,,,,№ 4 от 07.04.2011,№ 77-а от 19.04.2011,,,,,,МРКА,
77/3678,Бородин,Сергей,Вячеславович,№ от 12.01.1995,№4493-а от 24.09.2002,,,,,,,,,,,,"АБ ""Адв.фирма ""Юстина""",
77/3679,Щеглов,Евгений,Иванович,№ от 22.01.1985,№4281-а от 24.09.2002,,,,,,,,,,,,"МГКА ""Дель кредере""",
77/3680,Щеглова,Валентина,Ивановна,№ от 14.04.1970,№4281-а от 24.09.2002,,,,, №11 от 20.11.2007, №213-а от 06.12.2007,,,,,прекр.ст.,МГКА,
77/3681,Щеглова,Елена,Петровна,№ от 26.02.1980,№4281-а от 24.09.2002, №7 от 29.07.2008, №13-а от 12.08.2008,,,,,,,,,приост.ст.,МГКА,
77/3682,Шалагина,Флюра,Ахметовна,№ от 22.05.1990,№4282-а от 24.09.2002, №12 от 20.12.2006, №257-а от 29.12.2006,,, №1194 от 21.04.2009, №157-а от 07.05.2009,,,,,прекращен ст.,МГКА,"МКА ""Торян-вы и п."""
77/3683,Шумская,Маргарита,Александровна,№ от 26.10.1993,№4282-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3684,Шокин,Андрей,Владимирович,№ от 23.03.1993,№4281-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3685,Смирнова,Екатерина,Александровна,№ от 28.02.2002,№4284-а от 24.09.2002,№6  от 27.05.2004 №5 от 21.05.2008 ,№136-а  от 18.06.2004 №105-а от 02.06.2008 ,№1  от 25.01.2007 №13 от 21.12.2010 ,№17-а  от 07.02.2007 №355-а от 28.12.2010 ,,,,,Николаенко,№298-а от 22.09.2003 ,приост.ст.,МГКА,
77/3686,Смирнова,Елена,Николаена,№ от 13.06.2000,№4284-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3687,Смирнова,Елена,Юрьевна,№ от 27.12.1994,№4284-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/3688,Самородкина,Мария,Валерьевна,№ от 25.06.2002,№4282-а от 24.09.2002,,,,,,,,,,,,МГКА,кабинет
77/3689,Хакимов,Олег,Владимирович,№ от 17.10.2001,№4644-а от 24.09.2002,,,,, №6 от 21.06.2005, №144-а от 15.07.2005,,,,,прекр.ст.,"МКА ""Лига защиты""",
77/3690,Мелихов,Игорь,Васильевич,№ от 03.06.1999,№4644-а от 24.09.2002,,,,, №497 от 24.02.2010, №53-а от 01.03.2010,,,,,прекращен. Ст.,"МГКА ""Столич.силы""",
77/3691,Хромов,Роман,Михайлович,№ от 10.04.2002,№4644-а от 24.09.2002,,,,,,,,,,,,"МКА ""Защита""",кабинет
77/3692,Хандамиров,Георгий,Вячеславович,№ от 11.06.2002,№4644-а от 24.09.2002,,,,,,,,,,,,МКА №13,
77/3693,Бодрова,Светлана,Анатольевна,№ от 30.05.2002,№4389-а от 24.09.2002,,,,,,,,,,,,Межрег.КА,
77/3694,Кирсанова,Наталья,Викторовна,№ от 06.09.2001,№4831-а от 24.09.2002,,,,,,,,,,,,Межрег.КА,
77/3695,Старикова,Татьяна,Германовна,№ от 12.03.2001,№3974-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3696,Симонов,Александр,Анатольевич,№ от 27.02.1997,№3972-а от 24.09.2002,,,,,,,,,,,,Межрег.КА,
77/3697,Сулимов,Михаил,Сергеевич,№ от 23.07.1996,№3971-а от 24.09.2002,,,,,,,,,,,,"МКА ""Юр.парт-во""",
77/3698,Сгибнева,Наталья,Валерьевна,№ от 30.01.2002,№3973-а от 24.09.2002,,,,, №3509 от 24.12.2009, №387-а от 31.12.2009,,,,,прекращён ст.,"КА ""Партнер""",
77/3699,Дойников,Владимир,Александрович,№ от 24.11.1999,№4383-а от 24.09.2002,,,,,,,,,,,,"АБ ""Интеллект""",
77/3700,Еньков,Игорь,Николаевич,№ от 20.05.1993,№4497-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3701,Архипов,Денис,Анатольевич,№ от 29.05.2001,№4730-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3702,Арнаутов,Андрей,Леонидович,№ от 09.06.1994,№4732-а от 24.09.2002,,,,,№2025 от 21.07.2011,№145-а от 01.08.2011,,,,,,"АБ г.М ""Павлов и партнеры""",
77/3703,Астапенко,Валентина,Васильевна,№ от 03.07.1991,№4731-а от 24.09.2002,,,,,,,,,,,,Строгинская КА,
77/3704,Алексеев,Сергей,Витальевич,№ от 21.10.1998,№4682-а от 24.09.2002,,,,, №6 от 27.05.2004, №134-а от 18.06.2004,,,,,прекращен ст.,,
77/3705,Астахов,Владимир,Петрович,№ от 27.02.2002,№4704-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/3706,Забарин,Сергей,Николаевич,№ от 15.09.1994,№4673-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/3707,Ежова,Таисия,Михайловна,№ от 26.11.1997,№4671-а от 24.09.2002,,,,,,,№43 от 21.02.2003 ,№23-а от 17.03.2003 ,,,искл.из реестра,,
