Реестровый номер,Фамилия,Имя,Отчество,Присвоение статуса Реквизиты решения о присвоении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении сведений об адвокате в реестр,Приостановление статуса Реквизиты решения совета адвокатской палаты о приостоновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о приостоновлении статуса адвоката,Возобновление статуса Реквизиты решения совета адвокатской палаты о возобновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о возобновлении,Прекращение статуса Реквизиты решения совета адвокатской палаты о прекращении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о прекращении статуса,Исключение сведений об адвокате из реестра Реквизиты уведомления совета адвокатской палаты,Реквизиты распоряжения территориального органа Минюста России об исключении сведений об адвокате,Внесение изменений Содержание изменений,Реквизиты распоряжения территориального органа Минюста России о внесении в реестр изменений,Column,Column2,Column3
77/8524,Малышев,Виктор,Зиновьевич, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,Межрег.КА,
77/8525,Арутюнов,Владимир,Григорьевич,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,кабинет,
77/8526,Архангельский,Анатолий,Анатольевич,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,"МКА ""Межрегион""",
77/8527,Астапов,Кузьма,Гаврилович,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,МРКА,
77/8528,Владимир,Наталья,Николаевна,№ от 16.02.2007,№42-а от 12.03.2007,,,,, №1 от 01.02.2010, №22-а от 11.02.2010,,,,,прекращен ст.,"АБ ""А.Макаров и А.Тобак""",
77/8529,Геворкян,Мушех,Варданович,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,"АБ ""Падва и партнеры""",
77/8530,Гереев,Артур,Юсупович,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,"АБ ""Адв.ф.""Юстина""",
77/8531,Добронравов,Юрий,Борисович,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,кабинет,
77/8532,Емелин,Антон,Евгеньевич,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,Межрег.КА,
77/8533,Кирищян,Арнольд,Эдгардович,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,кабинет,
77/8534,Кострица,Игорь,Владимирович,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,МРКА,
77/8535,Лосев,Евгений,Валерьевич,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,МГКА,
77/8536,Серегина,Анастасия,Анатольевна,№ от 16.02.2007,№42-а от 12.03.2007, №1 от 30.01.2008, №20-а от 15.02.2008,,,,,,,,,приост.ст.,МГКА,
77/8537,Степаненко,Антон,Сергеевич,№ от 16.02.2007,№42-а от 12.03.2007, №7 от 19.07.2010, №185-а от 27.07.2010,,,,,,,,,приост.ст.,МГКА,
77/8538,Филин,Денис,Константинович,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,Кремер,№277-а от 15.09.2009 ,,"КА ""Семенцов и партнеры""",
77/8539,Чуйкова,Светлана,Викторовна,№ от 16.02.2007,№42-а от 12.03.2007,,,,,,,,,,,,МРКА,
77/8540,Андриянова,Галина,Алексеевна, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,№915 от 23.04.2007 ,№83-а от 03.05.2007 ,,,искл.из реестра,МРКА,
77/8541,Бессонов,Денис,Анатольевич, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,МРКА,
77/8542,Веретенникова,Наталья,Валерьевна, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,"МКА ""Солидарность""",
77/8543,Говряков,Сергей,Петрович, №2 от 22.02.2007,№49-а от 13.03.2007,,,,, №163 от 17.11.2010, №343-а от 14.12.2010,,,,,,кабинет,
77/8544,Горемычкин,Игорь,Евгеньевич, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,"КА ""Антонов и партнеры""",
77/8545,Денисова,Екатерина,Петровна, №2 от 22.02.2007,№49-а от 13.03.2007, №7 от 16.07.2009, №243-а от 28.07.2009, №1 от 27.01.2011, №19-а от 07.02.2011,,,,,Соломенцева,№95-а от 26.11.2008 ,приост.ст.,МРКА,кабинет
77/8546,Ивлев,Анатолий,Владимирович, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,МГКА,
77/8547,Карпова,Анжела,Ильфатовна, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,кабинет,
77/8548,Киршов,Виктор,Леонидович, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,МГКА,МГКА
77/8549,Корж,Ирина,Валериевна, №2 от 22.02.2007,№49-а от 13.03.2007,№7  от 24.07.2012,№3875 от 02.08.2012,,,,,,,,,,кабинет,
77/8550,Магомедов,Магомед,Гусейнович, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,Мос.объед.КА,
77/8551,Молчагин,Вячеслав,Юрьевич, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,№915 от 23.04.2007 ,№83-а от 03.05.2007 ,,,искл.из реестра,,
77/8552,Рудик,Татьяна,Геннадьевна, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,ГКА,
77/8553,Руина,Галина,Константиновна, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,"МКА ""Линия защиты""",
77/8554,Сергеева,Елена,Николаевна, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,Вост.-Европ.КА,
77/8555,Талейкин,Павел,Викторович, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,ГКА №147,
77/8556,Типунов,Олег,Николаевич, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,МРКА,
77/8557,Ткаченко,Анатолий,Тимофеевич, №2 от 22.02.2007,№49-а от 13.03.2007,,,,,,,,,,,,МРКА,
77/8558,Ширяева,Дарья,Анатольевна, №2 от 22.02.2007,№49-а от 13.03.2007,,,,, №102 от 16.07.2009, №252-а от 10.08.2009,,,,,прекращен ст.,"Мос.""Центр-я""КА",
77/8559,Блинова,Ольга,Михайловна,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,МГКА,
77/8560,Якушев,Кирилл,Валерьевич,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,МГКА,
77/8561,Зайченко,Елена,Викторовна,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,"Мос.ф-л С-П АБ ""Егоров, Пугинский, .Афан. и парт.""",
77/8562,Исаев,Леонид,Борисович,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,кабинет,
77/8563,Ковалев,Сергей,Александрович,№ от 02.03.2007,№53-а от 20.03.2007, №10 от 21.10.2008, №76-а от 05.11.2008, №10 от 22.10.2009, №326-а от 05.11.2009,,,,,,,возобновлен.ст.,МГКА,
77/8564,Коцюба,Александр,Владимирович,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,"МГКА ""Московский адвокат""",
77/8565,Орешин,Евгений,Игоревич,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,МГКА,
77/8566,Палубин,Дмитрий,Алексеевич,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,"МКА ""Клишин и партнеры""",
77/8567,Федоровская,Наталья,Руслановна,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,кабинет,
77/8568,Фесенко,Илья,Александрович,№ от 02.03.2007,№53-а от 20.03.2007,,,,,,,,,,,,"КА ""Щит""",кабинет
77/8569,Абдулаев,Шамиль,Катибович, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,МГКА,
77/8570,Гриднев,Олег,Викторович, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,кабинет,
77/8571,Богданова,Фарида,Равильевна, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,СКА прав.пом.в/с,
77/8572,Бондаренко,Владимир,Юрьевич, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,"АБ ""Саланс""",
77/8573,Быков,Виктор,Николаевич, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,кабинет,
77/8574,Калугин,Федор,Федорович, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,кабинет,
77/8575,Каргапольцев,Олег,Анатольевич, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,Мос.межрайон.КА,
77/8576,Курганов,Алексей,Алексеевич, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,Межрег.КА,
77/8577,Лебедева,Инга,Олеговна, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,"АБ ""Мос.адв.группа""",
77/8578,Лихачев,Венедикт,Прокопьевич, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,"АБ ""Хабаров и партнеры""",
77/8579,Мельгунов,Виталий,Дмитриевич, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,МГКА,
77/8580,Прус,Дмитрий,Владимирович, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,"АБ ""Зилинский и партнеры""",
77/8581,Ребриков,Андрей,Валерьевич, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,"МОКА ""Прав.защита""",
77/8582,Черкашина,Мария,Викторовна, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,кабинет,
77/8583,Черных,Денис,Михайлович, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,"КА ""АЛРУД""",
77/8584,Шашков,Валерий,Анатольевич, №3 от 15.03.2007,№63-а от 28.03.2007,,,,,,,,,,,,"КА ""РусЮрЗащита""",
77/8585,Гольцова,Надежда,Александровна, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,,,,,,"МКА ""Перспектива""",
77/8586,Гучмазова,Карина,Сослановна, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,,,,,,МГКА,
77/8587,Дикарев,Илья,Геннадьевич, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,,,,,,кабинет,
77/8588,Квитка,Александр,Евгеньевич, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,,,,,,"МКА ""Адв.лига""",
77/8589,Комков,Андрей,Николаевич, № от 23.03.2007,№64-а от 02.04.2007, №11 от 20.11.2007, №212-а от 06.12.2007,,,,,,,,,приост.ст.,"МКА ""Перспектива""",
77/8590,Попов,Михаил,Валерьянович, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,,,,,,МГКА,
77/8591,Прокофьев,Сергей,Александрович, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,№2209 от 08.10.2008 ,№54-а от 17.10.2008 ,,,искл.из реестра,Межрег.КА,
77/8592,Серсков,Дмитрий,Борисович, № от 23.03.2007,№64-а от 02.04.2007,,,,,№ 9 от 29.09.2011,№ 195-а от 14.10.2011,,,,,,"МКА ""Традиция""",
77/8593,Сукачев,Эдуард,Владимирович, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,,,,,,кабинет,
77/8594,Шахгиреев,Аслан,Рамзанович, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,,,,,,"МКА ""Адв.лига""",
77/8595,Ширшова,Галина,Алексеевна, № от 23.03.2007,№64-а от 02.04.2007, №7 от 19.07.2010, №185-а от 27.07.2010,№9 от 04.09.2012,№4795 от 18.09.2012,,,,,Байковская,№4961 от 25.09.2012,приост.ст.,кабинет,"КА ""1-я КА"""
77/8596,Штукатуров,Сергей,Александрович, № от 23.03.2007,№64-а от 02.04.2007,,,,,,,№2209 от 08.10.2008 ,№54-а от 17.10.2008 ,,,искл.из реестра,Межрег.КА,
77/8597,Новиков,Николай,Иванович, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"КА ""Доверие""",
77/8598,Болталин,Валентин,Николаевич, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"АБ ""Жидков и Жарова""",
77/8599,Данченко,Ирина,Ивановна, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,№475 от            21.02.2012,№654 от             02.03.2012,,,,МГКА,
77/8600,Исаева,Оксана,Николаевна, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"АБ ""А.Еньков и парт.""",
77/8601,Квасов,Петр,Викторович, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"МКА ""Защита""","МОКА ""Фемида"""
77/8602,Коробицын,Михаил,Геннадьевич, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"МАБ ""Андреевы и партнеры""",
77/8603,Найденов,Роман,Владимирович, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"КА ""Мост""",
77/8604,Романова,Елена,Владимировна, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"МКА ""Москва-Адвокат""",
77/8605,Тарасов,Алексей,Алексеевич, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"АБ ""Парт-во прав.помощи""",
77/8606,Терентьева,Дарья,Александровна, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"КА ""Мост""",
77/8607,Тимушев,Артем,Андреевич, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"НП КА ""Адвокаты Столицы""",
77/8608,Шеметов,Максим,Николаевич, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,"Межд.КА ""Москва""",
77/8609,Шишков,Илья,Сергеевич, № от 13.04.2007,№72-а от 27.04.2007,,,,,,,,,,,,МГКА,
77/8610,Юдин,Дмитрий,Александрович, № от 13.04.2007,№72-а от 27.04.2007,,,,,№142 от 16.10.2012,№5716 от 02.11.2012,,,,,,Межрег.КА,
77/8611,Алехина,Наталья,Петровна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,№11 от 18.11.2008 ,№114-а от 15.12.2008 ,,,искл.из реестра,"КА ""Лоу энд Райтс""",
77/8612,Анимуцкая,Татьяна,Владимировна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,МГКА,
77/8613,Бонч-Бруевич,Екатерина,Алексеевна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"АБ ""Гришаев, Маляренко и партнеры""",
77/8614,Боровик,Светлана,Владимировна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,№2209 от 08.10.2008 ,№54-а от 17.10.2008 ,,,иксл.из реестра,Межрег.КА,
77/8615,Боташев,Рашид,Ахматович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"МКА ""Солидарность""",
77/8616,Васюхнова,Александра,Павловна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"АБ ""Вегас-Лекс""",
77/8617,Вольф,Алексей,Викторович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,кабинет,
77/8618,Гервик,Эдуард,Эдуардович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"КА ""Гервик, Голик и парт."" г.М",
77/8619,Голик,Игорь,Станиславович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"КА ""Гервик, Голик и парт."" г.М",
77/8620,Головенькин,Иван,Михайлович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"МКА ""Корпоративная защита""",
77/8621,Дмитрашко,Марина,Владимировна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,МЮЦ,
77/8622,Дубенский,Петр,Павлович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"МКА ""Курин и коллеги""",
77/8623,Ефанов,Андрей,Николаевич, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,№2209 от 08.10.2008 ,№54-а от 17.10.2008 ,,,искл.из реестра,Межрег.КА,
77/8624,Ефимчиков,Владимир,Васильевич, №4 от 19.04.2007,№86-а от 03.05.2007, №2554 от 25.09.2009, №295-а от 07.10.2009, №1158 от 23.04.2010, №117-а от 30.04.2010,,,,,,,возобнов. статус,ГКА,
77/8625,Игошин,Дмитрий,Николаевич, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"КАМ ""ЮрПрофи""",
77/8626,Истомина,Анастасия,Николаевна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,кабинет,
77/8627,Казьмина,Анна,Ивановна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,№2209 от 08.10.2008 ,№54-а от 17.10.2008 ,,,искл.из реестра,Межрег.КА,
77/8628,Клопов,Олег,Александрович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"МКА ""Правовед""",
77/8629,Лихачев,Родион,Венедиктович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"АБ ""Хабаров и партнеры""",
77/8630,Погуляев,Денис,Евгеньевич, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,кабинет,
77/8631,Сидорова,Оксана,Валерьевна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"АБ ""Сидоров и партнеры""",
77/8632,Снахова,Марзиета,Руслановна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,V МКА,
77/8633,Токарева,Ольга,Викторовна, №4 от 19.04.2007,№86-а от 03.05.2007, №1158 от 23.04.2010, №115-а от 30.04.2010, №2775 от 17.09.2010, №248-а от 24.09.2010,№ 1 от 22.01.2013,№ 488 от 30.01.2013,,,,,возобн.ст.,"НП КА ""Адвокаты Столицы""",
77/8634,Фонарьков,Константин,Владимирович, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,МГКА,
77/8635,Хаджабекова,Виктория,Юрьевна, №4 от 19.04.2007,№86-а от 03.05.2007,,,,,,,,,,,,"МКА ""Защита""",
77/8636,Черникова,Анна,Викторовна, №4 от 19.04.2007,№86-а от 03.05.2007, №1158 от 23.04.2010, №115-а от 30.04.2010,№5 от 19.05.2011,№99-а от 30.05.2011,,,,,,,приост.ст.,"АБ ""Сандыга и партнеры""",
