№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
38	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний "Искусство" № 1372	117042, г. Москва, Чечёрский проезд, дом 80	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	715-27-18	http://sch1372.ucoz.ru/
39	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов художественно-эстетического цикла № 1405 "Вдохновение"	117647, г.Москва, улица Академика Капицы, д.16	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	420-45-33	http://www.school1405.ru
40	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1214	119330  г.Москва, ул. Мосфильмовская, д.21	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 143-03-06	http://schu1214.mskzapad.ru/
41	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением экономики № 506	115432, г. Москва, ул. Трофимова, дом 13 а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 679-05-18	http://www.sch506.ru/
42	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1374	129337 г. Москва, ул. Федоскинская, д. 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 183-01-56; (499) 183-05-05	http://www.schu1374.svao.mskobr.ru
43	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1415	129515, г. Москва, 1-я Останкинская улица, дом 29	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	602-20-41	http://schu1415.svao.mskobr.ru
44	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики и информатики № 1355	117623, г.Москва, ул. Джанкойская, д.7	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	712-59-63	http://school1355.ru
45	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка и информационных технологий № 1347	119618 г.Москва, ул. Главмосстроя, д.28	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 727-74-14	http://schu1347.mskzapad.ru/
46	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и английского языка № 1307	119602 г.Москва, ул. Академика Анохина, д. 48	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 438-67-10	http://schu1307.mskzapad.ru
47	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа           с углубленным изучением биологии и химии № 1344	109472, г. Москва, ул. Чугунные ворота, дом 11	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	376-45-35	http://sch1344.web-box.ru/
48	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1366	111674, город Москва, ул. 1Вольская, д.22, корп 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 211-25-34; (499) 211-25-31; (499) 211-25-32; (499) 211-25-30	http://school1366.ru
49	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1238	119634 г.Москва, ул. Чоботовская, дом 19	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	731-11-82	http://schu1238.mskzapad.ru
50	Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1226	111116, г. Москва, ул. Красноказарменная, д. 21	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 362-56-80	http://sch1226.ucoz.ru
51	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1363	109542, г.Москва, Рязанский проспект, д. 82, корп. 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	376-61-44	http://schu1363.uvao.mskobr.ru
52	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1206	117593, г. Москва, Литовский бульвар  дом 3, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	426-64-22	http://www.school1206.ru/
53	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов области знаний "Искусство" № 1332	117628, г.Москва, бульвар Дмитрия Донского, дом 6, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	714-97-81	http://www.1332.ru
54	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1354	117624, г. Москва, улица Изюмская, дом 38, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	716-45-45	http://www.sch1354.znaet.ru
55	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1356	117216, г.Москва, ул.Грина, д.18 б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	711-50-81	http://lingvoschool1356.ru
56	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний "Технология" № 1379	117335, г. Москва, улица Гарибальди, дом 19, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	128-67-77	http://sch1379.ucoz.ru
57	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1298	125466, г. Москва, ул. Юровская, д. 97	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 401-86-05	http://ds2460.mskobr.ru/
58	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знания "Искусство" № 635	111399, г.Москва, ул.Новогиреевская, д. 22 а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 672-85-81	http://www.school635.ru
59	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1200	111673, г.Москва, Суздальская ул, 24 Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 701-05-00; (495) 701-53-50; (495) 701-05-01; (495) 702-53-10; (495) 701-23-91; (495) 701-23-90; (495) 701-25-90	http://1200.ucoz.ru
60	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1269	111401,г. Москва,ул. 3-я Владимирская , д.26 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	305-70-20	http://dsd1269.ucoz.ru/
61	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1324	111396, Москва, Федеративный проспект, д.27	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 303-51-30	http://www.sch1324.ru
62	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1362	105187, г.Москва, ул. Лечебная, д. 20	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	166-99-01	http://www.school1362.ru/
63	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1373	105568, город Москва, улица Чечулина, д. 28	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	308-66-70	http://sch1373.ru
64	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1265	119333, г. Москва, ул. Фотиевой, 14, корп. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	137-68-64	http://sch1265.ru
65	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1205	117335, г. Москва, улица Архитектора Власова, дом 19а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 128-18-33	http://www.1205.ru
66	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1359	109145, г. Москва, Пронская ул., д. 4, кор. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 705-53-32; (495) 705-57-00; (495) 705-40-60	http://schuvu1359.mskobr.ru
67	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов социального профиля № 1386	109125, г. Москва, Васильцовский переулок, д. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 796-22-60	http://schuvu1386.mskobr.ru
68	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1367	109125, Москва, ул. Васильцовский стан, д 6.	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 503-85-37	http://s1367.ru
