№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
9383	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БЕЛЫЕ СТОЛБЫ	Разовый	299.0
9384	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДОМОДЕДОВО	Абонемент	100.0
9385	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СТУПИНО	Абонемент	7.0
9386	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БАРЫБИНО	Абонемент	19.0
9387	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КАШИРА	Абонемент	1.0
9388	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ФАБРИКА 1 МАЯ	Абонемент	4.0
9389	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АШУКИНСКАЯ	Разовый	285.0
9390	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БОЛШЕВО	Разовый	1609.0
9391	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БУЖАНИНОВО	Абонемент	2.0
9392	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ШИФЕРНАЯ	Разовый	32.0
9393	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АВСЮНИНО	Разовый	91.0
9394	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПЛ 63 КМ	Абонемент	1.0
9395	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НОВОДАЧНАЯ	Разовый	166.0
9396	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КАТУАР	Абонемент	15.0
9397	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТАЛДОМ САВ	Абонемент	1.0
9398	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛИАНОЗОВО	Абонемент	10.0
9399	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ГОЛИЦИНО	Абонемент	89.0
9400	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТУЧКОВО	Разовый	738.0
9401	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТУЧКОВО	Абонемент	17.0
9402	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПЛ 42 КМ	Разовый	183.0
9403	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ГОРБАЧЕВО	Разовый	20.0
9404	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТУЛА-3 ВЯЗЕМСКАЯ	Разовый	66.0
9405	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ШАНЯ	Разовый	20.0
9406	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЦОН	Разовый	54.0
9407	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЩИГРЫ	Разовый	19.0
9408	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДМИТРИЕВ	Разовый	10.0
9409	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КОРАБЛИНО	Разовый	56.0
9410	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СУХИНИЧИ ГЛАВНЫЕ	Разовый	95.0
9411	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АЗАРОВО	Разовый	123.0
9412	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КУСТАРЕВКА	Разовый	13.0
9413	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КУДРИНСКАЯ	Разовый	27.0
9414	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАШИНОСТРОИТЕЛЬ	Абонемент	4.0
9415	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КЛИН	Разовый	1081.0
9416	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПОВАРОВКА	Абонемент	5.0
9417	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗАВИДОВО	Разовый	156.0
9418	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДОРОШИХА	Разовый	55.0
9419	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КАЛАШНИКОВО	Разовый	57.0
9420	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	УГЛИЧ	Разовый	14.0
9421	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КАШИН	Разовый	11.0
9422	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СХОДНЯ	Абонемент	41.0
9423	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗАВИДОВО	Абонемент	1.0
9424	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НОВОГИРЕЕВО	Разовый	1379.0
9425	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПАВЛ ПОСАД	Абонемент	28.0
9426	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТЕКСТИЛЬЩИКИ	Абонемент	18.0
9427	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОСКВА КАЗ	Разовый	5700.0
9428	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОСКВА КАЗ	Абонемент	130.0
9429	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БЫКОВО	Разовый	912.0
9430	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОСКВА КУР	Абонемент	243.0
9431	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НОГИНСК	Абонемент	5.0
9432	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ГРИВНО	Разовый	565.0
9433	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПЕРЕРВА	Разовый	263.0
9434	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЦАРИЦЫНО	Абонемент	56.0
9435	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СТОЛБОВАЯ	Разовый	359.0
9436	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОСКВА КАЛАНЧЕВСКАЯ	Разовый	1291.0
9437	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЭЛЕКТРОГОРСК	Разовый	79.0
9438	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОСКВА 3	Разовый	197.0
9439	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КЛЯЗЬМА	Абонемент	1.0
9440	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ВОРОНОК	Разовый	1040.0
9441	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ХОТЬКОВО	Разовый	429.0
9442	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗАГОРЯНСКАЯ	Разовый	305.0
9443	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ИЛЬИНСКАЯ	Абонемент	67.0
9444	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ИЛЬИНСКАЯ	Разовый	881.0
9445	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КУРОВСКАЯ	Разовый	809.0
9446	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РАМЕНСКОЕ	Разовый	1356.0
9447	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОЖАЙСК	Абонемент	15.0
9448	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РАБОЧИЙ ПОС	Разовый	633.0
9449	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АЭРОПОРТ ДОМОД	Разовый	151.0
9450	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ХЛЕБНИКОВО	Разовый	246.0
9451	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛУГОВАЯ	Разовый	198.0
9452	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДЕПО	Разовый	166.0
9453	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КАЛИСТОВО	Абонемент	1.0
9454	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДЕДОВСК	Абонемент	81.0
9455	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СНЕГИРИ	Разовый	390.0
9456	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛЕНИНГРАДСКАЯ	Абонемент	28.0
9457	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАНИХИНО 1	Разовый	168.0
9458	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТРИКОТАЖНАЯ	Абонемент	1.0
9459	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НОВОПЕТРОВСКАЯ	Абонемент	1.0
9460	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АПРЕЛЕВКА	Разовый	420.0
9461	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НАРА	Абонемент	13.0
9462	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАТВЕЕВСКАЯ	Разовый	457.0
9463	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МИИТОВСКАЯ	Абонемент	4.0
9464	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ШУГАРОВО	Разовый	55.0
9465	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МИХНЕВО	Абонемент	8.0
9466	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ВОСТРЯКОВО	Разовый	114.0
9467	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АВИАЦИОННАЯ	Разовый	166.0
9468	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТАРАСОВСКАЯ	Разовый	388.0
9469	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ФРЯЗИНО ТОВ	Разовый	178.0
9470	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЧЕЛЮСКИНСКАЯ	Абонемент	3.0
9471	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАЛАХОВКА	Абонемент	76.0
9472	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	УДЕЛЬНАЯ	Разовый	639.0
9473	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	УДЕЛЬНАЯ	Абонемент	16.0
9474	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛЮБЕРЦЫ 2	Абонемент	1.0
9475	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КРИВАНДИНО	Абонемент	1.0
9476	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПЛ 63 КМ	Разовый	32.0
9477	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПАВШИНО	Разовый	1185.0
9478	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛОБНЯ	Абонемент	46.0
9479	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТРУДОВАЯ	Абонемент	2.0
9480	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЖАВОРОНКИ	Абонемент	38.0
9481	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАЛЫЕ ВЯЗЕМЫ	Разовый	305.0
9482	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПЛ 47 КМ	Абонемент	4.0
9483	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	УХТОМСКАЯ	Абонемент	19.0
9484	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СКУРАТОВО	Разовый	14.0
9485	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БРЯНСК- ОРЛОВСКИЙ	Разовый	585.0
9486	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КЛИНЦЫ	Разовый	88.0
9487	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ОБНИНСКОЕ	Разовый	618.0
9488	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	САФОНОВО	Разовый	61.0
9489	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КАРАЧЕВ	Разовый	51.0
9490	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	УНЕЧА	Абонемент	5.0
9491	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СМОЛЕНСК	Абонемент	2.0
9492	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТАРУССКАЯ	Разовый	90.0
9493	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МИХАЙЛОВСКИЙ РУДНИК	Разовый	39.0
9494	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КШЕНЬ	Разовый	18.0
9495	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РЫШКОВО	Разовый	21.0
9496	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КОНЫШЕВКА	Разовый	10.0
9497	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НОВОМОСКОВСКАЯ-1	Разовый	43.0
9498	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СЕЩЕНСКАЯ	Разовый	38.0
9499	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПЛАВСК	Разовый	22.0
9500	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТИХОНОВА ПУСТ	Разовый	38.0
9501	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ВЕСЕННЯЯ	Разовый	397.0
9502	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАЛОЯРОСЛАВЕЦ	Разовый	326.0
9503	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РЯЗАНЬ	Разовый	260.0
9504	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БАЛАБАНОВО	Разовый	304.0
9505	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РЯЖСК-1	Разовый	85.0
9506	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДИВОВО	Разовый	14.0
9507	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДЯГИЛЕВО	Разовый	16.0
9508	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ВОРОТЫНСК	Разовый	29.0
9509	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СПИРОВО	Разовый	432.0
9510	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПОДСОЛНЕЧНАЯ	Абонемент	84.0
9511	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТОРЖОК	Разовый	81.0
9512	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛЕВОБЕРЕЖНАЯ	Разовый	199.0
9513	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ФИРСАНОВКА	Разовый	153.0
9514	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛИХОСЛАВЛЬ	Разовый	93.0
9515	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РЕДКИНО	Разовый	156.0
9516	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СХОДНЯ	Разовый	520.0
9517	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КАЛЯЗИН	Разовый	21.0
9518	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПРОЛЕТАРСКАЯ	Разовый	54.0
9519	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПРОЛЕТАРСКАЯ	Абонемент	1.0
9520	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПОВАРОВО 1	Разовый	119.0
9521	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЭЛЕКТРОУГЛИ	Разовый	478.0
9522	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СОВХОЗ	Разовый	121.0
9523	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗАРЯ	Абонемент	9.0
9524	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОСКВА КУР	Разовый	9446.0
9525	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ХРАПУНОВО	Разовый	190.0
9526	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЧЕХОВ	Разовый	697.0
9527	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СТОЛБОВАЯ	Абонемент	6.0
9528	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛЮБЛИНО Д	Разовый	228.0
9529	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КУПАВНА	Разовый	505.0
9530	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КУПАВНА	Абонемент	12.0
9531	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СИЛИКАТНАЯ	Разовый	146.0
9532	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАМОНТОВСКАЯ	Разовый	340.0
9533	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СТРУНИНО	Разовый	219.0
9534	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БАХЧИВАНДЖИ	Разовый	444.0
9535	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОСКВА 3	Абонемент	1.0
9536	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ВОРОНОК	Абонемент	68.0
9537	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МОСКВА ПАВ	Разовый	3201.0
9538	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БРОННИЦЫ	Абонемент	2.0
9539	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ГОЛУТВИН	Разовый	844.0
9540	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РОДНИКИ	Абонемент	1.0
9541	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ВЕШНЯКИ	Абонемент	10.0
9542	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ОДИНЦОВО	Разовый	2380.0
9543	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ОДИНЦОВО	Абонемент	106.0
9544	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КУБИНКА 1	Абонемент	28.0
9545	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РАБОЧИЙ ПОС	Абонемент	5.0
9546	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КОЛОМЕНСКОЕ	Разовый	1013.0
9547	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	САВЕЛОВСКАЯ	Разовый	9.0
9548	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ШЕРЕМЕТЬЕВСКАЯ	Разовый	199.0
9549	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗАПРУДНАЯ	Абонемент	1.0
9550	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛОБНЯ	Разовый	1108.0
9551	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АРСАКИ	Разовый	46.0
9552	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НОВОИЕРУСАЛИМСКАЯ	Абонемент	4.0
9553	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ШАХОВСКАЯ	Разовый	61.0
9554	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БЕКАСОВО 1	Разовый	42.0
9555	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РАССУДОВО	Разовый	103.0
9556	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АЛАБИНО	Разовый	82.0
9557	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КРЕКШИНО	Разовый	48.0
9558	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗОСИМОВА ПУСТ	Разовый	39.0
9559	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МИЧУРИНЕЦ	Разовый	42.0
9560	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СКОЛКОВО	Разовый	186.0
9561	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МИИТОВСКАЯ	Разовый	155.0
9562	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СОЛНЕЧНАЯ	Абонемент	17.0
9563	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БЕЛЫЕ СТОЛБЫ	Абонемент	5.0
9564	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СИТЕНКА	Разовый	5.0
9565	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	АВИАЦИОННАЯ	Абонемент	2.0
9566	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАЛЕНКОВСКАЯ	Разовый	462.0
9567	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЧКАЛОВСКАЯ	Разовый	222.0
9568	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СОКОЛОВСКАЯ	Разовый	275.0
9569	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ФРЯЗИНО ТОВ	Абонемент	6.0
9570	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЧЕЛЮСКИНСКАЯ	Разовый	220.0
9571	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛЮБЕРЦЫ 1	Абонемент	144.0
9572	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛЮБЕРЦЫ 2	Разовый	66.0
9573	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ОВРАЖКИ	Абонемент	1.0
9574	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗАГОРНОВО	Разовый	192.0
9575	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДМИТРОВ	Абонемент	31.0
9576	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НОВОДАЧНАЯ	Абонемент	4.0
9577	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДОЛГОПРУДНАЯ	Абонемент	45.0
9578	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ХОЛЩЕВИКИ	Абонемент	4.0
9579	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТАЛДОМ САВ	Разовый	153.0
9580	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БАКОВКА	Разовый	459.0
9581	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗДРАВНИЦА	Разовый	182.0
9582	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПЛЮЩЕВО	Разовый	345.0
9583	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КОНОБЕЕВО	Абонемент	7.0
9584	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗОЛОТОВО	Разовый	13.0
9585	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ГУСИНО	Разовый	23.0
9586	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ГОЛЫНКИ	Разовый	19.0
9587	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РУДНЯ	Разовый	13.0
9588	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЯРЦЕВО	Разовый	17.0
9589	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДЯТЬКОВО	Разовый	16.0
9590	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НАВЛЯ	Разовый	235.0
9591	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ВЯЗЬМА	Разовый	234.0
9592	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ОРДЖОНИКИДЗЕГРАД	Разовый	247.0
9593	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СЕЛЬЦО	Разовый	55.0
9594	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЖУКОВКА	Разовый	113.0
9595	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КУРЧАТОВ	Разовый	23.0
9596	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ДУБРОВКА	Разовый	50.0
9597	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЕФРЕМОВ	Разовый	23.0
9598	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КОЛОМНА	Разовый	261.0
9599	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	МАЛОЯРОСЛАВЕЦ	Абонемент	1.0
9600	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ШИЛОВО	Разовый	62.0
9601	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РОДИНКА	Разовый	21.0
9602	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЕРДЕНЕВО	Разовый	37.0
9603	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ВОРСИНО	Разовый	43.0
9604	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	РЯЗАНЬ-2	Разовый	172.0
9605	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ФРУКТОВАЯ	Разовый	38.0
9606	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ХОДЫНИНО	Разовый	15.0
9607	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПОВАРОВКА	Разовый	127.0
9608	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ТВЕРЬ	Разовый	2068.0
9609	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	САВЕЛОВО	Разовый	163.0
9610	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ФРОЛОВСКОЕ	Разовый	15.0
9611	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ХИМКИ	Разовый	770.0
9612	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	УДОМЛЯ	Разовый	59.0
9613	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СОНКОВО	Разовый	67.0
9614	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	НЕЛИДОВО	Разовый	42.0
9615	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СТАРИЦА	Разовый	7.0
9616	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ПЛАНЕРНАЯ	Разовый	93.0
9617	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ФИРСАНОВКА	Абонемент	3.0
9618	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ОСТАНКИНО	Разовый	165.0
9619	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КРАСНЫЙ ХОЛМ	Разовый	2.0
9620	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЖЕЛЕЗНОДОРОЖНАЯ	Абонемент	171.0
9621	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СЕРП И МОЛОТ	Разовый	1309.0
9622	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	КОРЕНЕВО	Разовый	266.0
9623	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	СОВХОЗ	Абонемент	2.0
9624	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	БЫКОВО	Абонемент	57.0
9625	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	САЛТЫКОВСКАЯ	Абонемент	8.0
9626	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ГРИВНО	Абонемент	24.0
9627	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЛЬВОВСКАЯ	Разовый	324.0
9628	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	УСАД	Абонемент	1.0
9629	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЭЛЕКТРОСТАЛЬ	Разовый	117.0
9630	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ЗЕЛЕНОГРАДСКАЯ	Разовый	303.0
9631	ОАО "ЦППК"	2013-01-12T00:00:00.000+03:00	ГАГАРИНСКАЯ	Абонемент	6.0
