№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
56	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КЛЯЗЬМА	Абонемент	8.0
57	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ДЕПО	Абонемент	4.0
58	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛУГОВАЯ	Абонемент	3.0
59	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПАВШИНО	Разовый	1502.0
60	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КАТУАР	Разовый	373.0
61	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТУШИНО	Разовый	2056.0
62	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КАТУАР	Абонемент	10.0
63	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОЧАКОВО 1	Абонемент	26.0
64	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОЧАКОВО 1	Разовый	525.0
65	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ИКША	Разовый	309.0
66	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	АНИКЕЕВКА	Разовый	34.0
67	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТРИКОТАЖНАЯ	Разовый	320.0
68	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	АЛАБИНО	Абонемент	1.0
69	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МИЧУРИНЕЦ	Абонемент	1.0
70	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НОВОПЕТРОВСКАЯ	Разовый	137.0
71	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТЕСТОВСКАЯ	Разовый	191.0
72	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МАРМЫЖИ	Разовый	13.0
73	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БРЯНСК- ЛЬГОВСКИЙ	Разовый	448.0
74	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	АЗАРОВО	Разовый	115.0
75	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПОНЫРИ	Разовый	71.0
