№ строки	Название	Адрес	Руководитель МФЦ	Телефон	График работы служб в МФЦ	Услуги в МФЦ	Дополнительные услуги в МФЦ	Дата открытия
39	МФЦ района Ивановское	ул. Алексея Дикого, д.3	Пермякова Наталья Борисовна	(499) 940 45 78	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платоматы	24.12.2012
40	МФЦ района Солнцево	ул.Домостроительная, д.2а	Реймер Ирина Викторовна	(499) 940 32 70	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги; доступ к сети Интернет	24.12.2012
41	МФЦ района Внуково	ул.Базовая, д.2, корп.2	Новиков Андрей Сергеевич		http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги; доступ к сети Интернет	24.12.2012
42	МФЦ района Бирюлево Западное	Востряковский проезд, д.22Б		(499) 940 32 62	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
43	МФЦ района Братеево	Борисовские пруды, д.18, корп.3	Шульгин Дмитрий Александрович		http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
44	МФЦ района Северное Тушино	ул.Василия Петушкова, д.13, корп.1			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		14.01.2013
45	МФЦ района Южное Тушино	ул.Василия Петушкова, д.13, корп.1			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		14.01.2013
46	МФЦ района Бирюлёво Восточное	ул.Загорьевская, д.10, корп.4			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		14.01.2013
47	МФЦ района Вешняки	ул.Алексея Дикого, д.3			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2013
48	МФЦ района Люблино	ул.Люблинская, 53			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		18.01.2013
49	МФЦ района Чертаново Центральное	Россошанский пр., д.4Б			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		18.01.2013
