№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
5043	Слав Инвест	ул. Арбат 37/2 с. 1	ЦАО	Арбат	Лоток	с 1 января по 31 декабря	21.05.2012 0:00:00	21.05.2015 0:00:00	100-000857	21.05.2012 0:00:00
5044	Джавадов Р.Т.	ул. Пречистенка	ЦАО	Хамовники	Бахчевой развал	с 1 августа по 1 ноября	09.08.2011 0:00:00	09.08.2014 0:00:00		
5045	Алвальд	ул. Римского-Корсакова 1	СВАО	Отрадное	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
5046	Овощи-фрукты на Чертановская ул., вл.46	Чертановская ул. 46	ЮАО	Чертаново Центральное	Модульный объект	с 1 января по 31 декабря	16.04.2012 0:00:00	13.04.2015 0:00:00	600-002871	16.12.2011 0:00:00
5047	мороженое на Нахимовский проспект, вл. 23	Нахимовский просп. 23 к. 1	ЮЗАО	Котловка	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004968	16.04.2012 0:00:00
5048	Фуд Сервис Про!	ул. Пришвина 3Б	СВАО	Бибирево	Модульный объект	с 1 января по 31 декабря	11.08.2011 0:00:00	10.08.2014 0:00:00	300-000341	15.08.2011 0:00:00
5049	Овощи-фрукты на Нахимовский проспект, д. 25 корп.1 стр.1	Нахимовский просп. 25 к. 1 с. 1	ЮЗАО	Котловка	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
5050	Елочный базар на Нахимовский просп, 25	Нахимовский просп. 25 к. 1	ЮЗАО	Котловка	Елочный базар	с 20 декабря по 31 декабря	01.12.2012 0:00:00	31.12.2014 0:00:00		
5051	Теремок стрит	ул. Новый Арбат	ЦАО	Арбат	Павильон	с 1 января по 31 декабря	04.05.2012 0:00:00	04.05.2015 0:00:00	100-000962	04.05.2012 0:00:00
5052	Бахчевые культуры на Нахимовский просп., д. 25 корп. 1 стр. 1	Нахимовский просп. 25 к. 1 с. 1	ЮЗАО	Котловка	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	01.11.2014 0:00:00	700-000141	27.07.2012 0:00:00
5053	Овощи и фрукты на Малый Лёвшинский пер.	Малый Лёвшинский пер.	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5054	Ретро-Групп	Большая Садовая ул. 1	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-000573	10.02.2012 0:00:00
5055	Буркин А.К.	Новинский бульв.	ЦАО	Арбат	Павильон	с 1 января по 31 декабря	18.06.2012 0:00:00	18.06.2015 0:00:00	100-000859	18.06.2012 0:00:00
5056	цветы на Грина ул.,  вл.10	ул. Грина 10	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004533	19.09.2011 0:00:00
5057	Фирма "Пеликан"	Большая Грузинская ул. 58	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-000691	28.04.2012 0:00:00
5058	овощи и фрукты на Грина ул.,  вл.10	ул. Грина 10	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004680	19.09.2011 0:00:00
5059	Рыба на Коктебельская ул., вл.4, корп.1	Коктебельская ул. 4 к. 1	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004684	20.09.2011 0:00:00
5060	Мороженое на Коктебельская ул., вл.4, корп.1	Коктебельская ул. 4 к. 1	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004685	11.10.2011 0:00:00
5061	Бытовое обслуживание на Грина ул., вл.10	ул. Грина 10	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004690	23.09.2011 0:00:00
5062	Муром	Троилинский пер. 3	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	19.04.2012 0:00:00	19.04.2015 0:00:00	100-001295	19.04.2012 0:00:00
5063	Халилюлин А.Ф.	Большая Грузинская ул. 58	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000892	01.09.2011 0:00:00
5064	Агенство печати Московский запад	Троилинский пер. 3	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	08.11.2011 0:00:00	08.11.2014 0:00:00	100-000719	08.11.2011 0:00:00
5065	Печать на ул. Бутырская,6	Бутырская ул. 6	СВАО	Бутырский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	300-000859	27.08.2012 0:00:00
5066	Центропечать	2-я Брестская ул. 39 с. 2	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-001072	05.04.2012 0:00:00
5067	печать на Старобитцевская ул,  вл. 15	Старобитцевская ул. 15 к. 2	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004943	11.04.2012 0:00:00
5068	Концерн Вечерняя Москва	Алтуфьевское шоссе 16	СВАО	Отрадное	Модульный объект	с 1 января по 31 декабря	04.05.2012 0:00:00	04.05.2014 0:00:00	300-000744	14.06.2012 0:00:00
5069	Концерн Вечерняя Москва	Каргопольская ул. 14А	СВАО	Отрадное	Модульный объект	с 1 января по 31 декабря	04.05.2012 0:00:00	04.05.2014 0:00:00	300-000636	12.03.2012 0:00:00
5070	печать на Северное Чертаново, вл. 403	мкр. Северное Чертаново 4 к. 403	ЮАО	Чертаново Северное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002183	15.11.2011 0:00:00
5071	Цветы на Винокурова ул., вл.17	ул. Винокурова 17 к. 1	ЮЗАО	Котловка	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004593	30.08.2011 0:00:00
5072	овощи и фрукты на Винокурова ул., вл.17	ул. Винокурова 17 к. 1	ЮЗАО	Котловка	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-005013	26.08.2011 0:00:00
5073	Елочный базар Шверника ул. д.2 кор.1, вл.1	ул. Шверника 2 к. 1	ЮЗАО	Академический	Елочный базар	с 20 декабря по 31 декабря	20.12.2012 0:00:00	31.12.2015 0:00:00		
5074	Мороженое на ул. Вишневского, вл. 1	ул. Всеволода Вишневского, вл. 1	САО	Тимирязевский	Модульный объект	с 1 января по 31 декабря	01.09.2011 0:00:00	31.08.2014 0:00:00	200-000406	01.09.2011 0:00:00
5075	Печать на Дмитровском шоссе, вл. 5/1	Дмитровское шоссе 5 к. 1	САО	Тимирязевский	Модульный объект	с 1 января по 31 декабря	01.01.2012 0:00:00	01.01.2015 0:00:00	200-000711	06.06.2012 0:00:00
5076	мороженое на Дмитрия Донского бульвар,  вл. 9,к.1	бульв. Дмитрия Донского 9 к. 1	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004810	12.12.2011 0:00:00
5077	мороженое на Дмитрия Донского бульвар,  вл.9	бульв. Дмитрия Донского 9 к. 1	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004878	30.12.2011 0:00:00
5078	МАРКОВА ИНГА ЭДУАРДОВНА	пер. Хользунова	ЦАО	Хамовники	Лоток	с 1 апреля по 1 ноября	10.07.2012 0:00:00	10.07.2015 0:00:00	100-000087	12.07.2012 0:00:00
5079	Вeзувий	ул. Красная Пресня	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-000724	03.04.2012 0:00:00
5080	Прохладительные напитки; Мороженое;  на Смоленская ул. 10	Смоленская ул. 10	ЦАО	Арбат	Модульный объект	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
5081	Овощи-фрукты на Инженерной ул., д. 20, к. 1	Инженерная ул. 20 к. 1	СВАО	Алтуфьевский	Лоток	с 1 апреля по 1 ноября	01.06.2012 0:00:00	01.11.2014 0:00:00		
5082	Лоток при стационарном предприятии ООО Аттан 2001, на Кржижановского ул.24/35, кор.2	ул. Кржижановского 24/35 к. 2	ЮЗАО	Академический	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
5083	Риал Финанс	1-я Квесисская ул. 18	САО	Савеловский	Лоток	с 1 апреля по 1 ноября	01.07.2011 0:00:00	31.12.2014 0:00:00		
5084	Мороженое на Чертановской ул, вл.11	Чертановская ул. 11 к. 1	ЮАО	Чертаново Северное	Модульный объект	с 1 января по 31 декабря	12.03.2012 0:00:00	12.03.2015 0:00:00	600-002903	12.03.2012 0:00:00
5085	гастрономия на Азовская ул., Чонгарский бульвар (пересечение)	Азовская ул. 23	ЮЗАО	Зюзино	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004596	17.08.2011 0:00:00
5086	бытовое обслуживание на Азовская ул., Чонгарский бульвар (пересечение)	Азовская ул. 23	ЮЗАО	Зюзино	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-005028	15.08.2011 0:00:00
5087	Карева Екатерина Семеновна	Ружейный пер. 4 с. 1	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	01.11.2011 0:00:00	01.11.2014 0:00:00	100-001374	01.11.2011 0:00:00
5088	Квас на ул. Нижняя Масловка 10	ул. Нижняя Масловка 10	САО	Савеловский	Лоток	с 1 апреля по 1 ноября	01.07.2012 0:00:00	01.07.2015 0:00:00		
5089	Ребров Сергей Леонидович	Ружейный пер. 4 с. 3	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	05.09.0211 0:00:00	05.09.2014 0:00:00	100-000776	05.09.2011 0:00:00
5090	гастрономия на Грина ул.,  вл.3	ул. Грина 3 к. 1	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004817	13.12.2011 0:00:00
5091	Московское мороженое	ул. Плющиха 27	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	18.04.2012 0:00:00	18.04.2015 0:00:00	100-000546	18.04.2012 0:00:00
5092	Лоток при стационарном предприятии овощи-фрукты	Керченская ул. 13 с. 2	ЮЗАО	Зюзино	Лоток	с 1 апреля по 1 ноября	01.07.2011 0:00:00	31.12.2014 0:00:00		
5093	Риал-Финанс	1-я Квесисская ул. 18	САО	Савеловский	Лоток	с 1 апреля по 1 ноября	01.07.2011 0:00:00	31.12.2014 0:00:00		
5094	овощи и фрукты на Грина ул.,  вл.3	ул. Грина 3 к. 1	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004542	19.09.2011 0:00:00
5095	печать на Нахимовский проспект вл.28	Нахимовский просп. 28 к. 1	ЮЗАО	Академический	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004867	29.12.2011 0:00:00
5096	цветы на Грина ул.,  вл.3	ул. Грина 3 к. 1	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004536	19.09.2011 0:00:00
5097	хлеб на Грина ул.,  вл.3	ул. Грина 3 к. 1	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004922	04.04.2012 0:00:00
5098	Карт Линк	ул. Красная Пресня	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-000684	02.05.2012 0:00:00
5099	Ц-ТАМАРА	Лесная ул. 20 с. 1	ЦАО	Тверской	Модульный объект	с 1 января по 31 декабря	28.09.2011 0:00:00	28.09.2014 0:00:00	100-000257	28.09.2011 0:00:00
5100	Аксянова О.Б.	Высоковольтный пр. 1 к. 1	СВАО	Отрадное	Модульный объект	с 1 января по 31 декабря	21.07.2011 0:00:00	20.07.2014 0:00:00	300-000280	26.07.2011 0:00:00
5101	общественное питание на ул. Академика Янгеля вл. 1 (сев.выход)	ул. Академика Янгеля 1А	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.10.2011 0:00:00	31.12.2014 0:00:00	600-002659	27.12.2011 0:00:00
5102	продтовары на Нагорная ул., вл.25	Нагорная ул. 25 к. 1	ЮЗАО	Котловка	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000107	27.08.2012 0:00:00
5103	Молоко, молочная продукция;  на Богословский пер. 5	Богословский пер. 5	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000889	02.04.2012 0:00:00
5104	Ступар А.М.	Тверская ул. 25/12	ЦАО	Тверской	Модульный объект	с 1 января по 31 декабря	18.04.2011 0:00:00	18.04.2014 0:00:00	100-001214	18.04.2012 0:00:00
5105	Атлантис-СИТИ	Новослободская ул. 18	ЦАО	Тверской	Лоток	с 1 января по 31 декабря	30.03.2012 0:00:00	30.03.2015 0:00:00	100-001253	30.03.2012 0:00:00
5106	Печать на Мамоновский пер. 7 с. 1	Мамоновский пер. 7 с. 1	ЦАО	Тверской	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5107	Аргунь	Мерзляковский пер. 8 с. 1	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5108	Спектр-М	ул. Арбат 2/1	ЦАО	Арбат	Лоток	с 1 января по 31 декабря	19.04.2012 0:00:00	19.04.2015 0:00:00	100-000072	19.04.2012 0:00:00
5109	Печать;  на Новослободская ул. 16	Новослободская ул. 16	ЦАО	Тверской	Лоток	с 1 января по 31 декабря	10.11.2011 0:00:00	10.11.2014 0:00:00		
5110	Колбасный домик	Богословский пер. 5	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000802	19.10.2011 0:00:00
5111	Продтовары, промтовары на Винокурова ул., вл.30	ул. Винокурова 30	ЮЗАО	Котловка	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000109	24.05.2012 0:00:00
5112	Овощи-фрукты на Винокурова ул., 30	ул. Винокурова 30	ЮЗАО	Котловка	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
5113	Прохладительные напитки; Мороженое на Тверской бульв.	Тверской бульв.	ЦАО	Тверской	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
5114	Эльбрус	Богословский пер. 5	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000826	31.08.2011 0:00:00
5115	Коляда	Большая Садовая ул.	ЦАО	Пресненский	Павильон	с 1 января по 31 декабря	05.07.2012 0:00:00	10.07.2015 0:00:00	100-000198	18.07.2012 0:00:00
5116	Ресторан-кафе Акрополь	Комсомольский просп. 4	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	29.09.2011 0:00:00	29.09.2014 0:00:00	100-000969	29.09.2011 0:00:00
5117	Атлант	Новолесная ул. 1/49	ЦАО	Тверской	Павильон	с 1 января по 31 декабря	26.12.2011 0:00:00	26.12.2014 0:00:00	100-000379	26.12.2011 0:00:00
5118	Плетцов	Новослободская ул. 58	ЦАО	Тверской	Елочный базар	с 20 декабря по 31 декабря	15.12.2011 0:00:00	31.12.2014 0:00:00	100-001429	03.12.2012 0:00:00
5119	Твик	Комсомольский просп. 7 с. 1	ЦАО	Хамовники	Павильон	с 1 января по 31 декабря	03.04.2012 0:00:00	03.04.2015 0:00:00	100-001123	03.04.2012 0:00:00
5120	Агенство по распространению детской печатной продукции	ул. 10-летия Октября 13	ЦАО	Хамовники	Павильон	с 1 января по 31 декабря	13.10.2011 0:00:00	13.10.2014 0:00:00	100-001333	13.10.2011 0:00:00
5121	Аргунь	ул. Спиридоновка 22/2	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000835	25.08.2011 0:00:00
5122	Фирма С-Спейс	2-й Тверской-Ямской пер. 10	ЦАО	Тверской	Павильон	с 1 января по 31 декабря	03.10.2011 0:00:00	03.10.2014 0:00:00	100-000377	03.10.2011 0:00:00
5123	Хлеб и хлебобулочные изделия на Чертановская ул., 34, корп.1	Чертановская ул. 34 к. 1	ЮАО	Чертаново Центральное	Модульный объект	с 1 января по 31 декабря	01.11.2011 0:00:00	01.12.2014 0:00:00	600-002170	01.11.2011 0:00:00
5124	Промышленные товары на Красного Маяка ул., вл. 10Б	ул. Красного Маяка 10Б	ЮАО	Чертаново Центральное	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	600-002775	26.01.2012 0:00:00
5125	Саадяев	ул. Спиридоновка 22/2	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000816	19.01.2012 0:00:00
5126	промышленные товары на ул. Красного Маяка, вл. 10Д	ул. Красного Маяка 10	ЮАО	Чертаново Центральное	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	12.06.2014 0:00:00	600-002887	27.03.2012 0:00:00
5127	Поддержки малого предпринимательства района "Арбат" ЦАО г. Москвы	Троилинский пер. 3	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	25.11.2011 0:00:00	25.11.2014 0:00:00	100-000710	25.11.2011 0:00:00
5128	Сувениры/Народные промыслы на Комсомольский просп. 4	Комсомольский просп. 4	ЦАО	Хамовники	Лоток	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5129	Бурова С.А.	Новослободская ул. 16	ЦАО	Тверской	Лоток	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-001189	10.11.2011 0:00:00
5130	мороженое на Севастопольский проспект, вл. 61	Севастопольский просп. 61 к. 1	ЮЗАО	Зюзино	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000364	16.04.2012 0:00:00
5131	МГИА Мосгорсправка	ул. Красная Пресня	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-001446	18.12.2012 0:00:00
5132	Альфатрейд	Баррикадная ул.	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-000084	21.06.2012 0:00:00
5133	Проект Х4	ул. Красная Пресня	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-000214	12.05.2012 0:00:00
5134	Печать на Инженерная ул., вл. 1	Инженерная ул. 1	СВАО	Алтуфьевский	Модульный объект	с 1 января по 31 декабря	14.12.2011 0:00:00	13.12.2014 0:00:00	300-000658	16.03.2012 0:00:00
5135	Арбат-торг	Смоленская пл. 6 с. 1	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	25.11.2011 0:00:00	25.11.2014 0:00:00	100-000407	25.11.2011 0:00:00
5136	Цветы;  на Смоленская пл.	Смоленская пл.	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5137	печать на Старокачаловская ул.,  вл.3	Старокачаловская ул. 3 к. 3	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004827	22.12.2011 0:00:00
5138	мороженое на Старокачаловская ул.,  вл.3 к.3	Старокачаловская ул. 3 к. 3	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000470	18.06.2012 0:00:00
5139	Мороженое Надюша-2	Ленинградский просп. 4/2	САО	Беговой	Лоток	с 1 апреля по 1 ноября	15.05.2012 0:00:00	31.10.2014 0:00:00		
5140	Цветы;  на Смоленская пл.	Смоленская пл.	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5141	Цветы;  на Смоленская пл.	Смоленская пл.	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5142	Страйп	Комсомольский просп. 25 к. 1	ЦАО	Хамовники	Павильон	с 1 января по 31 декабря	13.06.2012 0:00:00	13.06.2015 0:00:00	100-001026	13.06.2012 0:00:00
5143	Печать на Ленинградский пр-т, вл.2	Ленинградский просп. 2	САО	Беговой	Модульный объект	с 1 января по 31 декабря	04.10.2011 0:00:00	03.10.2014 0:00:00	200-000290	04.10.2011 0:00:00
5144	ЭКСОДУС	Комсомольский просп. 25 к. 1	ЦАО	Хамовники	Павильон	с 1 января по 31 декабря	25.08.2011 0:00:00	25.08.2014 0:00:00	100-001255	25.08.2011 0:00:00
5145	мороженое на Яблочкова ул., вл.19.Д	ул. Яблочкова 19Д	СВАО	Бутырский	Модульный объект	с 1 января по 31 декабря	26.07.2011 0:00:00	25.07.2014 0:00:00	300-000823	25.06.2012 0:00:00
5146	СибЭкоСистема	1-я Квесисская ул. 18	САО	Савеловский	Ролл-бар	с 1 апреля по 1 ноября	01.07.2011 0:00:00	01.11.2014 0:00:00	200-000760	22.05.2012 0:00:00
5147	печать на Ленинский проспект, вл.34	Ленинский просп. 34/1	ЮЗАО	Гагаринский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004755	08.03.2012 0:00:00
5148	Печатная продукция на ул. бутырская, вл.53	Бутырская ул., вл. 53	САО	Савеловский	Модульный объект	с 1 января по 31 декабря	08.11.2011 0:00:00	07.11.2014 0:00:00	200-000316	07.10.2011 0:00:00
5149	Мороженное по адресу: ул. Фонвизина,5	ул. Фонвизина 5	СВАО	Бутырский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2015 0:00:00	300-000441	24.10.2011 0:00:00
5150	печать на Ленинский проспект, вл.39	Ленинский просп. 39/1	ЮЗАО	Гагаринский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
5151	ГрандТорг	ул. Брусилова 17	ЮЗАО	Южное Бутово	Модульный объект	с 1 января по 31 декабря	07.09.2011 0:00:00	07.09.2014 0:00:00	700-004564	07.09.2011 0:00:00
5152	гастрономия на Ботаническая ул., вл. 33, к. 4	Ботаническая ул. 33 к. 4	СВАО	Марфино	Модульный объект	с 1 января по 31 декабря	26.08.2011 0:00:00	25.08.2014 0:00:00	300-000356	29.08.2011 0:00:00
5153	Маркон 64	ул. Бутырский Вал 3 с. 3	ЦАО	Тверской	Модульный объект	с 1 января по 31 декабря	08.09.2011 0:00:00	08.09.2014 0:00:00	100-000907	09.09.2011 0:00:00
5154	Московское мороженое	ул. Россолимо 7	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	18.04.2012 0:00:00	18.04.2015 0:00:00	100-000539	18.04.2012 0:00:00
5155	Татьяна	Алтуфьевское шоссе 89А	СВАО	Лианозово	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
5156	овощи и фрукты на Ботаническая ул., вл. 33, к. 4	Ботаническая ул. 33 к. 4	СВАО	Марфино	Модульный объект	с 1 января по 31 декабря	26.08.2011 0:00:00	25.08.2014 0:00:00	300-000813	18.06.2012 0:00:00
5157	Вероника и Ко	Алтуфьевское шоссе 31 с. 7	СВАО	Отрадное	Модульный объект	с 1 января по 31 декабря	04.05.2012 0:00:00	04.05.2014 0:00:00	300-000736	14.06.2012 0:00:00
5158	общественное питание,  продукты на ул. Нижняя Масловка, вл.2	Нижняя Масловка ул., вл. 2	САО	Савеловский	Павильон	с 1 января по 31 декабря	30.05.2012 0:00:00	29.05.2015 0:00:00	200-000314	05.10.2011 0:00:00
5159	промтовары на Ленинский проспект, вл.39	Ленинский просп. 39/1	ЮЗАО	Гагаринский	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
5160	Печать на Красного Маяка ул., вл.4, корп.1	ул. Красного Маяка 4 к. 1	ЮАО	Чертаново Центральное	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	600-002804	01.02.2012 0:00:00
5161	печать на Новочеремушкинская д.20/23	Новочерёмушкинская ул. 20/23	ЮЗАО	Академический	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000017	23.07.2012 0:00:00
5162	Автомаркет Черкизово	Трубецкая ул. 28 с. 1	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	29.09.2011 0:00:00	29.09.2014 0:00:00	100-000756	29.09.2011 0:00:00
5163	Сим-Трейд	Малый Тишинский пер. 11/12	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000832	05.04.2012 0:00:00
5164	Кяманчан	пр. Шломина 6	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	22.05.2012 0:00:00	22.05.2015 0:00:00	100-001276	23.05.2012 0:00:00
5165	Центр Прессы	1-я Квесисская ул. 18	САО	Савеловский	Модульный объект	с 1 января по 31 декабря	07.10.2011 0:00:00	06.10.2014 0:00:00	200-000510	07.10.2011 0:00:00
5166	АРИА-АИФ	Ленинский просп. 41 с. 1	ЮЗАО	Гагаринский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000177	16.08.2012 0:00:00
5167	Сегал	Ленинский просп. 41 с. 1	ЮЗАО	Гагаринский	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
5168	Печать на Нижней ул. Концерн Вечерняя Москва	Нижняя ул. 3	САО	Беговой	Модульный объект	с 1 января по 31 декабря	01.02.2012 0:00:00	31.01.2015 0:00:00	200-000615	01.02.2012 0:00:00
5169	Мороженое на ул. Каховка, вл. 19	ул. Каховка 19 к. 1	ЮЗАО	Зюзино	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004963	29.05.2012 0:00:00
5170	Грузинский вал, ыл 11 ИП Севастьянова	ул. Грузинский Вал	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-000243	07.08.2012 0:00:00
5171	печать на Ленинский проспект, вл.41	Ленинский просп. 41/2	ЮЗАО	Гагаринский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004754	08.12.2011 0:00:00
5172	мороженое на Яблочкова,21	ул. Яблочкова 21	СВАО	Бутырский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	300-000505	16.11.2011 0:00:00
