№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
25	Цветы на Зеленоград, Район Крюково,У корп.1421 в составе торговой зоны № 13, пл.6 кв.м	Зеленоград  к. 1420	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	29.05.2012 0:00:00	29.05.2015 0:00:00	1000-001523	01.06.2012 0:00:00
26	Печать на Зеленоград, Район Крюково, У корп.1421 в составе торговой зоны № 13, пл.6 кв.м	Зеленоград  к. 1420	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-01262	21.09.2011 0:00:00
27	Овощи, фрукты на Зеленоград, Район Крюково, У корп.1421 в составе торговой зоны № 13, пл.9 кв.м	Зеленоград  к. 1420	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	29.05.2012 0:00:00	29.05.2015 0:00:00	1000-001524	01.06.2012 0:00:00
28	Зеленоград, район Крюково, у корп.1504 (пр. № 621, между корп. 1504 и 1534)	Зеленоград  к. 1504	ЗелАО	Крюково	Елочный базар	с 20 декабря по 31 декабря	20.12.2012 0:00:00	31.12.2014 0:00:00	1000-001577	24.08.2012 0:00:00
29	печать на Зеленоград, Район Крюково,у корп.1627, пл.8,5	Зеленоград  к. 1627	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01331	19.10.2011 0:00:00
30	печать на Зеленоград, Район Крюково, у корп.1446, пл.8,5	Зеленоград  к. 1446	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01222	19.09.2011 0:00:00
31	Зеленоград, Район Крюково у корп. 1446 пл.5 кв.м	Зеленоград  к. 1446	ЗелАО	Крюково	Автоцистерна	с 1 января по 31 декабря	08.06.2012 0:00:00	08.06.2015 0:00:00	1000-001557	14.06.2012 0:00:00
32	гастрономия на Зеленоград, Район Крюково, в составе торговой зоны 2, у корп.1504, пл.48	Зеленоград  к. 1504	ЗелАО	Крюково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01219	19.09.2011 0:00:00
33	мороженое на Зеленоград, Район Крюково, у корп.1446, в составе торговой зоны 2, пл.6	Зеленоград  к. 1446	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01200	15.09.2011 0:00:00
34	Зеленоград, Район Крюково у корп. 1446 пл. 18 кв.м	Зеленоград  к. 1446	ЗелАО	Крюково	Бахчевой развал	с 1 августа по 1 ноября	09.06.2012 0:00:00	09.06.2015 0:00:00	1000-001568	19.06.2012 0:00:00
35	бытовое обслуживание на Зеленоград, Район Крюково,у корп.1446, в составе торговой зоны 2, пл.18	Зеленоград  к. 1446	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	21.10.2011 0:00:00	21.10.2014 0:00:00	1000-01334	26.10.2011 0:00:00
36	Цветы на Зеленоград, Район Крюково, У корп.1446 в составе торговой зоны № 2, пл.6 кв.м	Зеленоград  к. 1446	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	29.05.2012 0:00:00	29.05.2015 0:00:00	1000-001522	01.06.2012 0:00:00
37	Овощи-фрукты, район Крюково, у корп.1446, у ФОК со стороны универсама объект № 1 пл. 6 кв.м	Зеленоград  к. 1446	ЗелАО	Крюково	Лоток	с 1 апреля по 1 ноября	15.05.2012 0:00:00	01.11.2014 0:00:00	1000-001496	18.05.2012 0:00:00
38	Овощи-фрукты район Крюково, у корп.1446, у ФОК со стороны универсама объект № 5 пл. 6 кв.м	Зеленоград  к. 1446	ЗелАО	Крюково	Лоток	с 1 апреля по 1 ноября	15.05.2012 0:00:00	01.11.2014 0:00:00	1000-001497	18.05.2012 0:00:00
39	Квас, район Крюково, у корп.1446, объект № 8 пл. 3 кв.м	Зеленоград  к. 1446	ЗелАО	Крюково	Ролл-бар	с 1 апреля по 1 ноября	14.05.2012 0:00:00	01.11.2014 0:00:00	1000-001498	17.05.2012 0:00:00
40	Гастрономия, район Крюково у корп. 1620	Зеленоград  к. 1620	ЗелАО	Крюково	Павильон	с 1 января по 31 декабря	12.07.2012 0:00:00	12.07.2015 0:00:00	1000-001590	09.11.2012 0:00:00
41	Квас, район Крюково, у корп.1504, объект № 9 пл. 3 кв.м	Зеленоград  к. 1504	ЗелАО	Крюково	Ролл-бар	с 1 апреля по 1 ноября	14.05.2012 0:00:00	01.11.2014 0:00:00	1000-001499	17.05.2012 0:00:00
42	печать на Зеленоград, Район Крюково, у корп.1504, пл.10	Зеленоград  к. 1504	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01315	19.10.2011 0:00:00
43	Мороженое, соки, воды на Зеленоград, Район Крюково, Бульварная зона, мкр. 16 в составе торговой зоны № 30, пл.6 кв.м	Зеленоград  к. 1642	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	08.06.2012 0:00:00	08.06.2015 0:00:00	1000-001552	13.06.2012 0:00:00
44	печать на Зеленоград, Район Крюково, у корп.1453, пл.6	Зеленоград  к. 1453	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01215	19.09.2011 0:00:00
