№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
584	Сезонное кафе	ул. Большая Ордынка 45 с. 3	ЦАО	Замоскворечье	100.0	Волга	Волга
585	Сезонное кафе	Космодамианская наб. 52 с. 5	ЦАО	Замоскворечье	50.0	ГАЛЕРЕЯ АЛЕКС	ГАЛЕРЕЯ АЛЕКС
586	Сезонное кафе	ул. Льва Толстого 23 с. 1	ЦАО	Хамовники	40.0	ХАМОВНИКИ	ВИВАЛ-Б
587	Сезонное кафе	пл. Победы 1 к. Б	ЗАО	Дорогомилово	250.0	ШОКОЛАДНИЦА	Галерея - АЛЕКС
588	Сезонное кафе	ул. Большая Якиманка 32	ЦАО	Якиманка	30.0	ООО "КОФЕ ХАУЗ ЭКСПРЕССО КАПУЧИНО БАР"	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
589	Сезонное кафе	Нижегородская ул. 50	ЮВАО	Нижегородский	10.0	-	СК "АЛЬЯНС-ТЕХНО "
590	Сезонное кафе	ул. Плющиха 64 с. 6	ЦАО	Хамовники	40.0	ЗОЛОТОЙ ДРАКОН	ЗОЛОТОЙ ДРАКОН И К
591	Сезонное кафе	Абельмановская ул. 6	ЦАО	Таганский	150.0	Академия	Трентино
592	Сезонное кафе	ул. Тимура Фрунзе 11 с. 19	ЦАО	Хамовники	100.0	винный бар и кафе "Гаврош"	Флигель 8
593	Сезонное кафе	Новокузнецкая ул. 24 с. 2	ЦАО	Замоскворечье	50.0	СТАЙЛ	КОМПАНИЯ КАРАВАН
594	Сезонное кафе	Абельмановская ул. 9 с. 1	ЦАО	Таганский	150.0	Кафе	АСАТРЯН Р.Г.
595	Сезонное кафе	ул. Россолимо 7	ЦАО	Хамовники	100.0	ГАВАНЬ В ХАМОВНИКАХ	РУССКИЙ КОЛОРИТ ХХI ВЕК
596	Сезонное кафе	ул. Остоженка 53/2 с. 1	ЦАО	Хамовники	40.0	КОНСУЛ	КОНСУЛ
597	Сезонное кафе	Большой Саввинский пер. 1	ЦАО	Хамовники	100.0	СТАРЫЙ ГОРОД	РЕСТКОМ-ВК
598	Сезонное кафе	Марксистская ул. 7	ЦАО	Таганский	150.0	ЧАЙКА	ЧАЙКА
599	Сезонное кафе	Смирновская ул. 2 с. 1	ЮВАО	Нижегородский	10.0	-	СК "АЛЬЯНС-ТЕХНО "
600	Сезонное кафе	Космодамианская наб. 52 с. 8	ЦАО	Замоскворечье	50.0	АЛЛЕГРО	АЛЛЕГРО
601	Сезонное кафе	ул. Большая Ордынка 40 с. 2	ЦАО	Якиманка	70.0	ГРАНД	СИГМА
602	Сезонное кафе	Турчанинов пер. 3 с. 5	ЦАО	Хамовники	100.0	Касбар	Оранжерея
603	Сезонное кафе	ул. Большая Полянка 26 с. 1	ЦАО	Якиманка	100.0	КАПУЧИНО ЭКСПРЕСС	ЕВРОФУД-3
604	Сезонное кафе	Воронцовская ул. 21 с. 1	ЦАО	Таганский	60.0	РОНО	РОНО
605	Сезонное кафе	ул. Малая Якиманка 24	ЦАО	Якиманка	405.0	ГАРАЖ"	КОРПОРАЦИЯ РАЗВЛЕЧЕНИЙ "СТАРС"
606	Сезонное кафе	ул. Малая Якиманка 24	ЦАО	Якиманка	190.0	Квартира 44	САМБУЛ
607	Сезонное кафе	Новокосинская ул. 15 к. 3	ВАО	Новокосино	150.0	Вальсар	ВАЛЬСАР
608	Сезонное кафе	ул. Знаменка 13 с. 3	ЦАО	Хамовники	40.0	На Знаменке	Торговый дом "СПЕЦМАШМОНТАЖ"
609	Сезонное кафе	ул. Арбат 28/1 с. 1	ЦАО	Арбат	45.0	ШОКОЛАДНИЦА - ГАЛЕРЕЯ - АЛЕКС	Галерея - АЛЕКС
610	Сезонное кафе	ул. Арбат 29	ЦАО	Арбат	45.0	ГАЛЕРЕЯ АЛЕКС "ШОКОЛАДНИЦА"	Галерея - АЛЕКС
611	Сезонное кафе	Проточный пер. 11	ЦАО	Арбат	32.0	ТИНЬКОФФ"	ЧАСТНЫЕ ПИВОВАРНИ "ТИНЬКОФФ"
612	Сезонное кафе	Проточный пер. 7	ЦАО	Арбат	60.0	НОА	ТЕРИКА-М
613	Сезонное кафе	ул. Арбат 22/2 с. 1	ЦАО	Арбат	48.0	Кебаб Хаус	К Дом
614	Сезонное кафе	ул. Арбат 25/36	ЦАО	Арбат	12.0	СТАРЫЙ БЕРЛИН	СТОЛИЧНЫЙ СВЕТСКИЙ КЛУБ
615	Сезонное кафе	Рублёвское шоссе 16 к. 1	ЗАО	Кунцево	20.0	Микс	МИКС
616	Сезонное кафе	Минская ул. 11 с. 1А	ЗАО	Фили-Давыдково	820.0	Бегония-Л	Бегония-Л
617	Сезонное кафе	Пятницкая ул. 30 с. 4	ЦАО	Замоскворечье	50.0	Ресторан Луизиана	Рус Отель
618	Сезонное кафе	Новокосинская ул. 19 с. 2	ВАО	Новокосино	55.0	Шарманка	ДАНИОН
619	Сезонное кафе	ул. Пречистенка 21/12 с. 5	ЦАО	Хамовники	100.0	КОЛОННА"	РЕБЕРЕС
620	Сезонное кафе	Воронцовская ул. 2/10 с. 1	ЦАО	Таганский	70.0	ТЕРРА-ЛЭКС	ТЕРРА-ЛЭКС
621	Сезонное кафе	Большой Толмачёвский пер. 4 с. 1	ЦАО	Якиманка	100.0	АЛЬДЕБАРАН	АЛЕКСАНДРИЯ-К
622	Сезонное кафе	Большой Толмачёвский пер. 4	ЦАО	Якиманка	50.0	ПОРУЧИК РЖЕВСКИЙ	БАРТЕНДЕР
623	Сезонное кафе	Таганская ул. 13 с. 3	ЦАО	Таганский	70.0	ТАБУРЕТЪ	МУЗЕЙ МЕБЕЛИ
624	Сезонное кафе	Ельнинская ул. 23 с. 2	ЗАО	Кунцево	32.0	Сигма	СИГМА
625	Сезонное кафе	Климентовский пер. 14	ЦАО	Замоскворечье	50.0	ЕЛКИ-ПАЛКИ	ЛАНЧ
626	Сезонное кафе	Кутузовский просп. 30	ЗАО	Дорогомилово	300.0	КОФЕ ХАУС. ЭКСПРЕССО И КАПУЧИНО БАР	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
